Human,WT1,WT2,WT4,WT5,WT6,WT7,WT8,WT9_10,Mut3,Mut4,Mut5,Mut6,Mut7_8,Mut9_10
CPZ,2.734425852,0.60704981,0,0.588587091,3.204751631,4.843766669,0.401597099,2.109646313,1.12085059,0,0.301456492,2.404792315,1.542830284,3.158256413
CR1L,6.586812901,6.052951974,6.340512612,5.974681014,6.074323963,6.36586103,6.252993393,6.280741708,5.562918825,6.108101574,6.202050092,5.892878357,5.885631172,5.924005075
CR2,0.076746668,0.091385254,1.940206996,0.158667125,0.272738469,0,0,0,0,0,0,0.462588667,0,0.040031806
CRABP1,0.797096826,0.091385254,0,0.346262012,0.536928973,1.474039757,0.341956768,2.226560418,0.47672784,0,0.081471877,1.308992246,0.406708784,1.057611712
CRABP2,8.916231374,7.871134281,4.08596883,7.79844912,7.413598217,4.930437595,7.768198183,7.419735538,7.526885741,8.418487581,7.475437009,7.579005634,7.87098165,7.467313236
CRACR2A,0.550324885,1.433071243,3.912922544,1.212607273,1.590540667,2.577224417,2.073715532,0.89933645,2.451694398,1.025654177,1.600933205,1.56500756,0.982160463,1.888435175
CRACR2B,6.224723653,7.915573674,7.666611055,7.244025682,6.538305277,5.530884669,7.738872601,6.518809135,6.410408942,7.949252073,7.655831238,7.234808851,6.768444943,6.576947516
CRADD,4.41447417,3.442849638,4.256301903,3.448961567,3.166252908,3.110176897,3.818262858,3.865378841,3.179527115,3.738147874,3.539996156,3.512545236,3.412802663,3.117694055
CRAMP1,5.060587329,5.187562888,5.069992171,5.053230371,5.173900326,4.945206252,4.85953885,5.126830736,5.460794694,4.845641288,4.974658832,4.814968168,5.295913662,5.268456078
CRAT,6.503255457,6.577314042,7.044729382,6.475191402,5.856729544,7.912118936,6.573363624,6.292999635,5.877529539,6.597863012,6.590020495,5.94531301,5.808336294,6.052511712
CRB1,0.113641384,0.091385254,0.273393639,0.054850966,0,0,0.075183341,0.170572405,0,0.060962895,0,0.04874501,0.044724407,0
CRB2,0.076746668,0.177325074,1.060024828,0.107692669,0.142804739,0.073537465,0.181086352,0.102396641,0.091210978,0.175665483,0,0.04874501,0.104799116,0.125988537
CRBN,4.590013839,5.040525175,5.456081398,5.412126851,5.068991696,5.156669365,5.556402307,5.262886497,4.961250863,5.289533403,5.472437453,5.158191323,5.254468615,5.17539045
CRCP,5.277298991,5.02322274,4.896919205,5.26867717,5.101418724,5.131063371,5.330505158,5.118059799,4.986715832,5.359454988,5.335917637,5.428358468,5.290006163,5.18018781
CREB1,5.641763689,6.229289848,6.326327909,6.173667991,6.285980039,6.148053849,6.002190419,6.093568275,6.363723804,6.178569623,6.462765337,6.0236077,6.244421019,6.285474758
CREB3,6.634798225,6.032920028,6.427714808,5.945948368,5.805759047,6.351150058,6.198864461,6.063143823,5.713163616,6.311519908,6.043354013,6.107969595,5.829565718,5.867500084
CREB3L1,5.894551659,7.004331864,7.418959292,6.402374556,5.923379263,6.65725868,6.504480612,6.135819334,5.478853252,6.976250708,6.972899892,6.240426222,5.173776227,5.263397448
CREB3L2,6.368556091,6.418741764,7.28948818,6.244691317,6.545822595,7.050621682,6.054219437,6.728095505,6.509330328,6.44972397,6.288225704,6.201882946,6.150498186,6.228676257
CREB3L3,0.927147283,0.177325074,0.322363253,0.158667125,1.004185645,2.485902903,4.254085963,0.763878849,0.780649185,0.229768854,0.231789928,0.754712163,0.460114027,1.198864563
CREB3L4,2.66776426,2.939236341,0.939639833,2.87116198,2.741582269,2.048802482,3.117116401,2.318294225,2.667130493,3.11096989,3.372062724,2.912516078,2.969818824,2.634591511
CREB5,1.790217349,4.889570283,3.530765873,2.908870749,3.71198101,4.616603452,3.36570849,2.737312002,4.844847057,3.747450555,3.435414079,3.592809606,3.954995534,3.86897142
CREBBP,5.517352243,6.153122941,5.852844588,5.707873197,6.035184005,5.660336997,5.580794894,5.714707798,6.266173109,5.768729187,5.780627782,5.687915674,5.843870016,5.987733907
CREBL2,3.247330662,4.009499979,3.697815061,3.953560483,3.881128363,4.436696447,4.024390271,3.737928502,3.220509009,4.477596349,3.696881856,3.802762865,3.734675967,4.062386252
CREBRF,4.241914306,4.870346549,4.964036721,4.948490205,4.773953287,5.042270883,4.940938239,4.558501695,4.500483889,4.53781218,4.715464593,4.510154858,4.748639033,4.916953308
CREBZF,5.233971719,6.115518882,5.352323762,5.056594061,5.560651926,5.425991801,5.032210206,5.194699089,5.793448208,5.214373375,4.995828129,4.960598922,5.411553529,5.398993849
CREG1,6.515800315,5.506748313,6.846599813,6.16512352,6.272450642,6.91653559,6.092611264,6.248775003,5.156039402,5.920370335,6.311629105,6.129373904,5.674419698,6.992643847
CREG2,0.149616054,0.477528123,1.060024828,1.3722966,1.623393155,0.655563437,0.643114138,0.588103162,0.807796492,0.380876088,0.492293075,1.161649646,1.285091839,2.196905093
CRELD1,5.999923081,4.454547908,4.908992646,4.763276636,4.97028974,5.741545323,4.254085963,4.925026983,5.068959812,4.529747434,4.283539776,4.497041337,4.510351034,4.973926749
CRELD2,6.47074121,6.153122941,6.70143682,6.221652954,6.652629443,6.633899235,6.018354322,6.290932125,6.413173632,6.652735294,6.874184326,6.525682201,5.91370822,6.192790388
CREM,5.093281583,4.905396677,4.693252273,4.562611627,4.535879233,4.827916281,4.876715775,4.768797043,5.081527593,5.149188186,4.419002395,4.533891043,4.533030926,4.326261812
