Human,WT1,WT2,WT4,WT5,WT6,WT7,WT8,WT9_10,Mut3,Mut4,Mut5,Mut6,Mut7_8,Mut9_10
A1BG,0,0,0,0.107692669,0,0,0.03808137,0.020860466,0,0.060962895,0,0,0.017569482,0
A1CF,0,0,0,0,0,0,1.508719862,0,0,0,0,0,0,0
A2M,1.15661341,0.177325074,6.519820154,0.346262012,1.255395263,2.744164667,0,0.71806927,0.091210978,0.602115872,0,1.598136498,0.638247033,1.393398668
A3GALT2,0.218981154,0,0.663766518,0.431640214,0.502022617,0.274022962,0.430517479,0.214347883,0.752981232,0.229768854,0.367913316,0.498125184,0.427552514,0.438312024
A4GALT,2.417825584,3.937437976,0.460024984,3.464238818,3.818669153,4.922996183,3.435137248,2.995352765,3.576729612,2.901931627,3.481166296,4.082808348,2.887414719,3.648922104
A4GNT,0,0,0.273393639,0.054850966,0.142804739,0.143507655,0.11135503,0.020860466,0.091210978,0.060962895,0,0,0.067847584,0.059244301
AAAS,6.726975177,6.327710778,5.922987668,6.437630789,6.421159658,4.819925302,5.988276868,6.384676941,6.56955373,6.262885186,6.49750332,6.702698645,6.304303795,6.06762718
AACS,5.638602665,5.997918865,5.39872768,5.972011507,6.263360039,5.482769514,6.061171117,5.665179141,6.635909707,6.275801301,6.190620143,6.131496972,6.079585589,6.050550407
AADAC,0.076746668,0,0.058980731,0.107692669,0.142804739,0,2.591804187,0.177134886,0.091210978,0,0,0.270455357,0.111012165,0.211924821
AADACL2,0,0,0,0.255511563,0.142804739,0,0,0,0.17699666,0,0,0.185814524,0,0.495995234
AADACL3,0.076746668,0,0.058980731,0.389582602,0.789391952,0,0.03808137,0.362779132,0.046326194,0,0.081471877,0.350404423,0.398581988,1.20181216
AAGAB,5.68070298,6.305219856,7.012918825,6.309564976,5.964826434,5.766706254,6.536010334,6.098149291,5.709569557,6.446157652,6.533235544,6.257375528,6.124918666,6.033786556
AAK1,6.891698319,6.890463786,6.512585169,6.682621818,6.778747377,6.685386281,6.615295092,7.236515687,6.916381406,6.602356056,6.794124722,6.633976599,6.723209153,6.524004618
AAMDC,5.191461586,4.094793087,4.843400936,4.477336296,3.727174113,5.210637452,4.629457991,4.189522639,3.568816713,4.716595524,4.199358252,3.97343782,3.766719314,3.436054767
AAMP,7.939585487,8.021754891,7.925740626,7.987643144,7.495736984,7.24567462,7.877256305,8.023322829,7.75366051,8.12704522,8.108383594,8.018206113,7.725868746,7.617239257
AANAT,0.076746668,0.177325074,0.115644602,0,0,0,0,0.080049503,0.134741349,0,0.081471877,0,0,0.020293567
AAR2,6.269347632,5.614657337,5.401578959,5.697137254,5.470989735,5.26854287,5.723464794,5.785033039,5.573832264,5.846541213,5.754472127,5.653856126,5.585374814,5.514439783
AARD,0.49546833,0,0.058980731,0,0.049189022,0.073537465,0.03808137,0.564016744,1.14233732,0,0,0,0.137698316,0.157179123
AARS1,8.404147892,8.210661048,8.032143514,7.993139295,7.500994895,7.308418355,8.092588616,7.957693103,7.647309753,8.131937097,8.257431202,7.818772631,7.417272962,7.370392418
AARS2,4.697208946,4.570259365,4.672155198,4.315484691,4.376386791,4.286288314,4.615358148,4.486899662,4.612493986,4.241240097,4.51743729,4.404092871,4.580697997,4.349909226
AARSD1,0.348442688,0.835691276,0.625255245,0.207901806,0.604305789,0.504213422,0.341956768,0.215569735,0.407428758,0.42792161,0.492293075,0.42615466,0.365923045,0.279145037
AASDH,3.130678808,4.20631828,3.81366201,3.353736357,3.45339381,3.282892401,3.511564131,3.509055259,3.568816713,3.391711088,3.547184036,3.272010643,3.51432877,3.299760566
AASDHPPT,5.33017993,5.421267272,5.61315482,5.354534888,5.337522942,4.90799721,5.403431904,5.254261295,5.096741006,5.521408725,5.439982191,5.314616713,5.365020527,5.151732947
AASS,5.795139263,5.700613921,6.51192564,5.204929461,4.786699112,3.471537349,5.539908404,5.534147775,4.547545045,5.574642462,5.763757777,4.693769955,4.403348313,3.888433044
AATF,5.380244932,5.184971804,5.219669947,5.200375042,5.134558012,4.521262266,5.090000308,5.216013147,5.046343135,5.071689456,5.241592021,5.041104921,5.191608894,4.829014904
AATK,5.691420251,1.501309018,1.249186823,1.30601026,1.702393304,3.408989824,1.587873348,3.478833143,2.102937147,1.328067661,1.11232635,2.033097737,1.670588878,2.324075301
ABAT,1.369871912,1.688561133,4.822276526,2.395802375,2.937186596,2.85258896,3.199235885,2.061967547,2.834875745,0.963147668,1.187852468,2.008665314,2.226258154,3.028581754
ABCA1,6.842062964,7.203731482,6.607014215,7.254315452,7.563432852,8.29572047,6.932698619,7.653487343,6.34762755,6.160402348,7.207043578,7.037977487,7.152959103,7.856999203
ABCA12,0.038883608,0.335221017,0.115644602,2.808699671,4.104087085,0.21024071,0.214727532,1.200511485,3.255437389,0.229768854,0.660809899,2.613613487,3.582483901,4.611492553
ABCA13,0,1.286075998,0.322363253,1.163535671,0.90078252,0.335104354,1.011784185,0.732214524,0.666643692,0.517646222,1.655163407,0.867701908,0.506881011,0.407643063
ABCA2,6.08191968,5.403546033,5.76035755,5.692820406,5.29227132,5.372361997,5.343868961,5.833811279,5.505005955,5.59797143,5.295940306,5.499126054,5.370359857,5.518828138
ABCA3,7.787521836,8.008627099,6.97226304,7.836858466,7.253611058,6.721580006,7.842708579,8.000622747,7.171165754,8.05605626,7.936339126,7.539845262,7.43777684,7.081992235
ABCA4,1.971988736,0.667695961,0.545004278,0.625293958,0.466250707,1.699831615,0.691705171,0.693460232,1.184373937,0.517646222,0.492293075,0.566675328,0.894636005,0.952514209
ABCA5,5.068830615,4.597793132,4.718625529,4.201598949,4.314863945,5.082905061,4.469706025,4.869454762,4.275886771,4.187573281,4.024985224,4.079879609,4.352482593,4.337476509
ABCA6,0.18471545,0.335221017,0.115644602,0.472506407,0.571010675,2.744164667,0.214727532,0.450925778,0.5101678,0.060962895,0.231789928,0.228755571,0.378788126,0.560133367
ABCA7,3.094222755,4.632438672,3.626489158,4.439188075,4.689212075,4.809201342,4.162241535,3.789140919,4.901074872,4.257609659,4.411144829,4.56354668,4.368906993,4.89748397
ABCA8,2.342117973,0.887606882,3.204878555,0.763438993,1.336887771,4.274641803,1.381198768,2.02720983,1.076892588,0.930848614,0.763125878,1.308992246,1.103941642,1.534978276
ABCA9,2.907239896,2.374380329,2.439178597,2.692427803,4.480919681,6.850732946,2.726169721,3.544090778,1.431282419,2.325974661,2.389864202,3.584567957,2.97461509,4.121441156
ABCB1,2.212061214,1.361444967,1.625960468,1.733400999,2.33854621,3.867537706,4.515978408,1.998293135,2.156717179,1.055920354,1.485945427,1.662195927,2.017488978,2.787654011
ABCB10,5.629873965,5.53550899,5.432576646,5.38562559,5.388582816,5.078446259,5.682726543,5.802569834,5.608982519,5.525470107,5.840362095,5.263906087,5.369633956,5.255354161
ABCB11,2.597872632,0.408128502,0.058980731,0.207901806,0.049189022,0.073537465,0.14664195,0.8806312,0.046326194,0.42792161,0.301456492,0.185814524,0.088045777,0.074175606
ABCB4,0.467237498,0.091385254,1.808908457,0.512246829,0.90078252,5.051400122,1.548839382,0.319842834,0.47672784,0.281916388,0.081471877,0.42615466,0.708955624,1.823621655
ABCB6,0.603171775,0.60704981,0.545004278,0.625293958,0.466250707,0.143507655,0.643114138,0.413641013,0.807796492,0.642565661,0.991062888,0.498125184,0.432129011,0.384112397
ABCB7,5.434110634,6.179395273,5.675735443,5.988835559,6.079512633,5.577446797,6.01656725,5.992121137,5.848410073,5.904864768,6.286079175,5.751874579,5.937300556,5.784471453
ABCB8,6.261663091,6.200074012,6.352350396,5.963973218,5.822655411,5.154552805,6.122827204,6.125341263,5.940975764,6.202442174,6.067300491,5.926687923,5.99662986,5.683209493
ABCB9,3.687460671,6.197505321,2.262248497,5.778832603,5.068991696,4.092053074,6.098254764,5.212613401,5.32057829,5.9265262,6.799401835,5.266484401,4.250646283,3.664360062
ABCC1,5.778721342,5.113193325,5.071783307,5.022598942,5.488927904,6.680245917,4.673975564,5.212362701,5.571854133,4.485957097,4.771776602,5.158191323,5.221772009,5.907144425
ABCC10,4.957809181,4.886384063,4.815878413,4.21971571,4.104087085,3.918320123,4.189991176,4.356359729,4.500483889,4.400085776,4.434590294,3.872119958,4.100381756,3.840307967
ABCC12,0.18471545,0,0,0,0.049189022,0,0,0.279986919,0.046326194,0,0.081471877,0.04874501,0,0.059244301
ABCC2,0,0.477528123,0.058980731,0.472506407,0.391930706,0.450016744,3.327779246,0.138042187,0.218049484,0.332244572,0,0.350404423,0.210435149,0.211924821
ABCC3,3.480588589,3.460097447,3.747966898,3.701887857,4.390769934,5.314767128,3.858723469,4.576221013,3.350811274,3.11096989,4.124447924,3.766792503,4.007748882,4.785278353
ABCC4,2.15125419,0.781837516,4.148408304,2.115251075,2.975861455,4.856843585,1.439270494,2.333663226,2.091936312,1.143086025,1.294208868,2.214952587,2.28107125,3.406273
ABCC5,2.716548742,3.39880582,4.377109193,3.594908294,4.653870945,6.071594422,2.967279437,3.361457792,4.273454489,2.637511342,2.81600304,3.79920592,3.767443103,4.859836054
ABCC6,0,0.258432086,0,0,0.35328387,0.073537465,0.430517479,0.098747001,0.2968085,0.060962895,0,0.228755571,0.096147472,0.054437367
ABCC8,0,0,0,0,0,1.238564927,0.247602099,0.294345993,0,0,0,0,0,0.096199118
ABCC9,5.085177218,4.379480797,4.697898908,4.815831894,5.287154615,7.125472144,4.942193972,5.059439304,5.050610857,4.821620151,4.969317614,4.334534544,4.892106844,5.220465029
ABCD1,6.242010396,5.490052496,4.501924327,5.430392274,5.250820367,5.721667754,5.605574646,5.629652229,4.882042617,5.928572331,5.462967344,5.571805144,5.413000584,5.32301926
ABCD2,0.885086386,1.361444967,1.664453169,1.628818745,2.434230115,4.890299017,1.898494852,2.300003718,0.960754586,1.86110878,1.782439421,2.033097737,1.435036019,2.36135096
ABCD3,7.951098192,7.952604558,7.137013122,7.818400948,7.441788487,6.354841888,7.952246311,7.704466492,7.339324141,7.819642322,7.819127524,7.407981475,7.612655184,7.286989595
ABCD4,5.145435387,5.179775633,3.880588617,4.57439254,4.629819874,5.060471955,4.90918434,4.695146593,5.520472998,4.989790138,4.391311618,4.438796982,4.796815304,4.609830237
ABCE1,7.227460054,7.700216271,7.970352578,7.69540781,7.800943616,7.451056448,7.686822521,7.736545123,7.666438212,7.741780201,7.962785128,7.522692771,7.683270568,7.379922683
ABCF1,8.345499492,7.905772165,8.171883198,7.873079835,7.619723004,7.167537403,7.864397662,7.81734488,7.990698227,7.943445607,8.074271472,7.719708981,7.726868749,7.51029482
ABCF2,7.195550165,6.977632275,7.282544647,7.211577426,6.876524999,6.809626283,7.192181094,7.17663883,7.227225985,7.190057009,7.58862229,7.130754399,7.002632251,6.924506788
ABCF3,6.733286343,6.402105237,6.445093001,6.303207319,5.938959873,6.059202214,6.205154408,6.272736968,6.076203301,6.376666749,6.292509203,6.12227436,6.042553331,5.981062006
ABCG1,5.846044198,5.475283458,4.436702226,6.057597227,5.988662243,5.754180639,5.221994691,6.162913947,4.839923989,5.111859793,5.813787279,5.781920439,5.537936051,6.549565228
ABCG2,6.349349356,5.778302069,5.053771086,6.088323972,6.306355336,6.148053849,6.344635179,6.210090074,5.301605247,6.684562964,5.760669196,5.535923222,6.201332726,5.632204677
ABCG4,0.285163603,1.854277625,0.369725108,2.352670961,2.406185325,0.995362132,1.939313145,0.937108279,2.287828788,2.705912839,1.515562935,2.104006351,2.330684873,2.853282997
ABCG5,0,0,0.115644602,0.107692669,0.760146612,0,2.982006616,0.020860466,0.636676851,0,0,0.141556047,0.355487499,0.911942395
ABCG8,0.038883608,0.091385254,0.115644602,0.158667125,0.230714179,0.073537465,2.565970359,0.041134591,0.091210978,0,0,0,0.053324589,0.157179123
ABHD10,3.612107835,3.622102341,3.944547656,3.631456696,3.45339381,3.686016008,3.742445119,3.71742486,3.556865388,3.690712841,3.50350956,3.499453523,3.528220383,3.441390886
ABHD11,5.238154644,7.078799275,5.894933676,6.940130132,6.086156476,5.446897692,6.529759275,5.787711647,6.4774566,7.168143334,7.217218521,6.593991957,6.29544374,6.143374296
ABHD12,6.583118002,6.122306181,6.582096194,6.431814258,6.421159658,6.786576544,6.427219027,6.367504007,5.836925185,6.483519397,6.230234954,6.25996553,6.15147065,6.844362523
ABHD12B,0,0,1.00108765,0.763438993,1.469281671,0,0.03808137,0.430031028,2.268417183,0.060962895,0,0.840273205,0.999615971,1.612745825
ABHD13,5.783022323,6.085269489,6.587740391,6.235816831,6.167765981,5.408335788,6.402799608,6.137790484,5.781515494,6.281415941,6.36852865,6.022845418,6.126455577,6.062765926
ABHD14A,5.195769411,4.589979816,4.700216625,4.767388022,4.467411886,4.387080646,4.863520946,4.888482195,4.591167579,4.919515318,5.080009468,4.799028573,4.470335861,4.175115384
ABHD14B,5.188222255,6.192354177,5.073572222,5.84062321,5.175285758,4.16956126,6.143717177,5.710332943,5.033463693,6.566013697,6.071045443,5.906993238,5.401280377,4.907715686
ABHD15,0.927147283,1.20655153,2.103206125,1.799134859,2.181954852,2.252521196,1.802198685,1.932107914,1.322546256,2.007670383,2.183936286,2.068987646,1.855019088,2.081579972
ABHD16A,7.132905289,6.539274853,6.959259034,6.441495489,5.912621062,6.264502699,6.770389087,6.372366465,5.894248366,6.731611498,6.511351414,6.359928125,6.067667016,6.131026639
ABHD16B,0,0,0,0,0.049189022,0,0,0.061449292,0,0,0,0.095896736,0,0
ABHD17A,6.996345126,6.179395273,6.341255326,6.42857269,5.952759206,6.159708863,6.737858241,6.517875023,6.283198805,6.79185999,6.553900857,6.529980577,6.277999502,6.251273265
ABHD17B,5.849465982,6.062864598,5.417161053,6.111149253,5.775934037,5.465798886,6.195709173,6.167811865,5.867081849,6.273388321,6.104319615,5.73614871,5.718193058,5.537589727
ABHD17C,6.378064414,6.799382911,6.973700721,6.930537422,6.799109857,5.355876444,6.761169168,6.588179896,6.313110895,7.208278081,7.244006009,6.670451312,6.660742085,6.702675364
ABHD18,1.867856873,1.501309018,2.546122461,1.782980041,1.820431822,2.512589908,1.877644297,1.96672941,1.532394401,1.225283983,2.146564775,1.677776007,1.924366918,1.853116965
ABHD2,9.165198366,8.246515685,5.809490601,8.738087031,8.6523189,6.874717669,8.489402987,9.124188535,8.844675887,8.809245573,8.078928623,8.886848236,8.924939153,8.855599637
ABHD3,2.998836373,2.260861097,2.817782814,2.863500492,2.616617466,1.789856644,3.160919193,3.071326769,2.689196691,2.926711067,2.58408246,2.395399711,2.868997733,2.285554129
ABHD4,6.721009929,7.029102368,6.103680863,6.97298856,6.655610391,6.589151894,6.852490126,6.756725946,6.659852327,7.182789372,6.70293805,7.088394104,6.998020455,6.852264465
ABHD5,6.793148686,8.946442492,6.95149728,8.795834336,8.122609956,6.923388898,9.078069126,8.144461919,7.830334692,9.25809501,8.930473821,8.453510157,8.433111256,7.896814128
ABHD6,2.757922539,3.689463011,4.402951057,3.84881021,3.927904606,2.963138366,4.098344998,3.436042247,4.135621022,3.806498413,3.778549313,3.925300691,3.740390524,3.947848239
ABHD8,4.528158232,4.132934135,4.679221891,4.337774519,4.158337382,5.258723541,4.436230778,4.253504893,4.5333839,4.466372777,4.261858568,4.327143667,4.268749488,4.536118329
ABI1,6.435201785,6.982862706,6.72893978,7.020268358,6.915180317,6.884967207,6.917456684,6.802439063,6.794871498,7.015282179,6.91642879,6.849212982,6.968381146,6.973683137
ABI2,4.715325809,4.347398425,5.170368301,4.346045211,4.507561675,4.986247979,4.185756587,4.811117077,4.563560812,4.417673807,4.619845982,4.159717196,4.353579807,4.297314027
ABI3,1.084105609,3.207811016,2.756740044,3.47433451,3.976394163,4.55695647,3.514943706,3.828018656,3.332234236,2.998593716,3.458471547,3.938295117,3.538768109,4.250168814
ABITRAM,4.558581517,4.766725484,4.983197219,4.634149023,4.881412818,4.591788831,4.594745303,4.874060193,5.010279102,4.758607272,4.787036492,4.757475484,4.817102892,4.710916904
ABL1,6.874670661,7.085761121,7.18372592,7.179925607,7.128671239,7.30746612,7.177328016,7.194985918,7.308174919,7.245275821,7.161518239,7.079990598,7.312348742,7.11634806
ABL2,4.942510114,5.301985849,6.138280275,5.769638911,5.927495765,5.879930172,5.768049524,5.897637745,6.186968681,5.316348055,6.301038236,5.844518168,5.894555655,5.898580989
ABLIM1,5.329199908,4.105793809,4.191879975,4.536349927,5.612709141,6.447656135,4.160084675,5.052881326,5.518420282,4.117554457,3.808768661,4.70331668,5.166484234,6.033652469
ABLIM2,0.774234587,0.887606882,2.287130919,1.328445815,1.451095998,4.87752319,1.638328222,0.833100032,1.341247654,0.602115872,0.492293075,0.42615466,1.304058802,1.833201288
ABLIM3,2.417825584,0.887606882,1.683321112,0.919371528,2.043163297,4.354259442,1.049559787,0.997385943,2.25861255,0.963147668,0.904160241,1.139316318,0.723892053,2.195509156
ABR,6.442470689,5.845471564,6.017091221,6.213388805,6.42174343,6.413546683,6.161616266,6.267014346,5.706868124,6.100861698,5.962327403,6.268351066,6.439627133,6.671912242
ABRA,1.15661341,0.091385254,0,0,0,5.572699122,2.109923583,0,0.046326194,0,0,0,0.114848472,1.001385047
ABRACL,5.816976228,6.051530308,6.052897323,5.82394226,6.01520849,5.965724883,6.027256626,5.990758714,5.806124675,6.002308682,5.917269924,5.882831108,5.865771536,5.858850202
ABRAXAS1,3.070960867,3.551441842,2.979178461,3.210097639,3.220941699,2.831546199,3.350656241,3.011591743,2.97319197,3.11096989,3.227427884,3.114923065,3.104017035,3.08429337
ABRAXAS2,5.0874974,5.515024321,5.457452176,5.413439221,5.288435494,5.586895533,5.436777232,5.418170621,5.462931,5.457658467,5.504178627,5.151232523,5.321007787,5.329030817
ABT1,5.21499701,4.876782964,4.894897105,4.715133865,4.601243949,3.952833321,4.7548087,4.614771852,4.965777467,5.018890678,4.898019995,4.689933506,4.625610431,4.457974744
ABTB1,5.195769411,5.523253125,4.973648779,4.941229568,4.755547382,4.594914101,5.03103046,4.646128792,5.153396243,5.071689456,5.150137691,4.701412383,4.921033642,4.957125698
ABTB2,5.712618865,4.463127941,5.667467582,4.602280319,4.59089952,4.282416581,4.332792205,5.204248868,4.765719627,5.073539851,4.917564748,4.895462221,4.589806836,4.593384979
ACAA1,7.372698688,7.142283418,6.882249701,6.726045774,6.268561681,5.878648486,7.002675954,6.785035726,6.316068275,6.874847547,6.8143738,6.649368937,6.539629389,6.401835706
ACAA2,6.071994602,6.527051074,6.591490959,6.725517567,6.270507472,6.972875954,6.883542693,6.011512181,5.788346268,7.041989195,6.628650035,6.521370979,6.60610018,6.513914906
ACACA,7.145765101,7.362356413,5.532208606,7.323661557,7.328990898,6.696340057,7.23430743,7.399816008,6.912087836,6.984633709,7.330908904,7.039108835,7.210125721,6.784277803
ACACB,2.395527509,4.936537952,3.809374191,4.26694348,4.334838151,6.409114771,4.949705504,3.484466449,3.014559053,5.590236947,4.705861797,3.848222405,3.556363516,3.202809603
ACAD10,3.518913585,3.973918864,3.262475281,3.622406031,2.937186596,2.709982124,3.548311042,3.309278455,2.854536226,3.379796224,3.488652564,3.198307055,3.136906343,3.196526155
ACAD11,4.46888053,5.597223732,5.907023675,5.627599261,5.250820367,5.516123377,5.724194945,5.534289118,5.054865992,6.01872871,5.734145813,5.286946697,5.209079949,5.109541287
ACAD8,6.072580324,5.939166162,6.210785909,5.675422676,5.322596221,5.188050695,5.914064695,5.783370287,5.414081936,5.880761105,6.059781298,5.424900424,5.436832479,5.204143756
ACAD9,6.215206481,6.608587017,6.210785909,6.441495489,6.283412774,5.272451965,6.727335219,6.515916771,5.954703874,6.493920149,6.570751723,6.567577715,6.491907077,6.077211941
ACADL,7.055910304,7.41416245,6.966497948,7.866387185,7.170605497,7.357548106,7.722705007,7.422998475,7.558446732,7.747876511,8.031986698,7.511867974,7.383518987,6.969317854
ACADM,5.986310345,7.097519699,5.944653655,6.796138191,6.547428366,7.235197206,6.976256049,6.224927179,6.63732915,6.862592655,6.87275465,6.512166633,6.604260434,6.749112107
ACADS,7.107122486,6.955759038,7.017108021,6.918109466,6.347491931,6.349300595,7.102925884,6.768967831,6.845692817,6.995410491,7.095023175,6.805115796,6.727359213,6.541012303
ACADSB,7.078248018,6.895227014,7.156133404,7.002501515,6.594270966,6.734390617,7.024773444,7.169005125,6.157593447,7.3600214,7.14028625,6.673368698,6.432201486,6.408063923
ACADVL,6.31164064,7.407509711,7.455775687,7.567737304,7.04664718,7.568981779,7.55102948,7.376064853,7.226283077,7.662858892,7.406958868,7.301382847,7.323260287,7.135273713
ACAP1,2.106195919,1.773797469,0.545004278,1.750117376,2.648888011,1.97395979,1.625878963,2.12980824,2.381152215,1.376837822,1.393260069,3.056529929,2.328397401,2.767581996
ACAP2,6.248763856,6.361376948,6.148500335,6.495781134,6.446624758,6.766621202,6.334151077,6.341010527,6.151645938,6.277407715,6.306343389,6.282431874,6.340379132,6.487194283
ACAP3,6.355138273,6.032920028,5.602042521,5.722770551,5.730478865,6.037543532,5.751670355,6.12282287,6.135664991,6.218419319,5.83302917,5.788214147,5.816297252,5.920682526
ACAT1,8.031624856,7.58062371,8.206534473,7.464213848,7.014499492,7.478389749,7.758964206,7.755888274,6.912087836,7.730096429,7.820982025,6.944468117,7.267217341,6.86135297
ACAT2,0.49546833,0.335221017,0.322363253,0.389582602,1.146596432,0.957013528,0.401597099,0.668519117,0.442494352,0.332244572,0.431443182,0.532807366,0.49581765,1.174942547
ACAT2,5.388736364,5.671293277,5.126233487,5.410813286,5.653043395,4.433208496,5.437667847,4.917269184,5.206636119,5.939774474,5.430295901,5.484804738,5.525102707,5.385971205
ACBD3,5.929891061,5.71325667,6.082515786,5.910138651,5.88832892,6.424128052,5.782843732,6.01723783,6.041602011,6.142884861,6.111610802,5.970041889,5.94978593,6.027616074
ACBD4,6.175407034,5.531435259,4.843400936,5.227488356,4.721813166,4.971895607,5.606366949,5.25218027,5.053449008,5.311652128,5.147775376,5.216690673,4.908492702,5.038199924
ACBD5,6.343537118,6.437367449,6.887344033,6.399066084,6.109534283,6.013220507,6.337972299,6.607252232,5.752991613,6.582351185,6.373591764,5.90451239,6.034882877,5.922275881
ACBD6,5.770802753,5.118634463,5.307421305,5.043091986,4.933102004,4.613524866,5.092264448,5.268403889,5.039202089,5.197502884,5.356521659,5.13721341,5.003629054,5.008808583
ACBD7,0.774234587,0.60704981,0.545004278,0.472506407,0.536928973,0.274022962,0.784236992,0.557627636,0.257966373,0.681912194,0.550679978,0.350404423,0.672069502,0.324735803
ACCS,3.06626314,4.879990435,3.78337616,4.04106466,4.05676512,3.430141737,3.985940909,3.591679651,4.213814563,4.228009388,3.918154215,4.079879609,4.096909856,3.750143761
ACCSL,0,0.091385254,0,0.255511563,0.502022617,0.702679493,0.075183341,0.169037371,0.2968085,0.119453828,0,0.228755571,0.424092491,0.423140522
ACD,5.97444963,5.365149725,5.41151429,5.088163949,4.931463197,4.634938275,5.193805691,5.30119259,5.23691296,5.417428095,5.276609941,5.087045086,5.018793643,5.012070773
ACE,6.334774617,5.551689849,4.711749688,5.183551405,6.112430052,8.502279453,6.797006625,6.45126025,4.786338626,5.789142317,4.734480534,5.366011523,5.36608856,5.762570007
ACE2,0.218981154,1.827946612,0.875457924,2.341683572,2.523960766,1.390175498,6.210896202,1.259835816,0.636676851,2.876719131,2.108199391,2.385945555,2.189833731,3.138774618
ACER1,0.038883608,0.258432086,0,2.385139807,3.387982322,0,1.4534304,1.039903215,2.614290995,0.229768854,0.081471877,2.149413709,2.63196688,4.208627828
ACER2,4.483048932,4.936537952,4.660299907,5.007035836,5.128849066,3.787846562,4.970778217,4.744887754,5.125346716,5.060536965,4.917564748,4.92676909,5.222394146,4.757278878
ACER3,5.5164915,5.040525175,4.841302359,4.908096781,5.308776385,5.337335476,5.075196143,5.081599101,4.980764387,4.758607272,4.837744993,5.070910664,4.979679446,5.45503081
ACHE,0.947726646,0.477528123,0.773491516,0.550921844,0.429569225,3.857163141,0.892133379,0.319842834,0.47672784,0.829372028,0.606795547,0.812312901,0.349984933,1.156560281
ACIN1,7.467047064,7.870328146,7.496351333,7.431553497,7.60720293,7.314592613,7.2809567,7.5177915,7.859006677,7.569568568,7.591232548,7.386216074,7.611390112,7.403492697
ACKR1,0.947726646,0.091385254,0,0.919371528,1.862319815,3.804140841,0.59282931,1.13682257,1.642044958,0.42792161,0.081471877,0.946991414,1.193498834,2.049591089
ACKR2,1.486984422,0.091385254,1.171133451,1.163535671,1.671310407,1.993037595,0.59282931,1.138254083,1.12085059,1.055920354,0.858663663,1.226647302,1.052005065,1.45351269
ACKR3,4.792727669,3.26781021,2.908775335,4.006697219,4.224071128,6.600080729,4.02675967,3.701627342,4.685662481,3.709874413,2.994876339,4.684159636,4.269056047,4.84324576
ACKR4,0.819602415,0.781837516,0,0.625293958,1.191105296,0.335104354,1.122267167,0.763878849,0.911548674,0.42792161,0.660809899,1.093584932,0.916638534,1.212198087
ACLY,7.208931829,9.303870285,8.208774537,9.186425408,9.08975836,8.70425369,9.316181201,8.417577426,8.925808239,9.578187956,9.561409589,8.752829122,8.997927208,8.575110246
ACO1,7.454743232,7.725844537,6.969863718,7.24439444,7.123656693,6.505265781,7.446729652,7.28113536,6.921050773,7.768013479,7.427553647,7.459874329,7.461638164,6.989500765
ACO2,7.976514237,8.211616097,8.902659418,8.241847116,8.121712013,9.117158762,8.468203023,8.382143495,7.935998735,8.588591155,8.722587489,8.481244104,8.134297514,7.966382357
ACOD1,0,0.258432086,0.369725108,1.716488659,2.842696964,0.556447634,0.513954823,0.949744766,1.163508729,0.380876088,0.660809899,2.5725316,3.508124931,3.698275879
ACOT1,0,0,0.058980731,0,0.096756081,0.073537465,0.11135503,0.020860466,0.046326194,0.175665483,0.081471877,0,0.162435231,0.127832462
ACOT11,0.841762309,2.876387003,3.411360899,2.808699671,3.511587076,4.100873613,2.800057531,2.434550948,3.026163583,2.851058173,2.497678576,3.214420744,2.81134136,3.684613065
ACOT12,0,0,0,0.054850966,0.142804739,0.450016744,1.867104916,0.020860466,0.046326194,0,0,0.141556047,0.034721188,0.020293567
ACOT13,5.321335675,4.939615425,5.195229714,5.101252598,4.751837853,5.143923177,5.19485961,4.855987133,4.702033256,5.279949144,5.166566465,4.96695372,4.798527016,4.868919925
ACOT2,3.378176286,3.622102341,2.859855742,3.706177698,3.068242254,3.00132664,3.879847274,3.820018877,3.322855237,4.073851695,3.596520763,3.148857143,3.492873077,3.024867364
ACOT4,1.528561466,2.496431483,1.645335193,3.009495196,2.479792945,1.97395979,3.584145173,2.36804025,2.861030628,3.125313147,3.271493131,2.564172952,2.338482395,2.0461616
ACOT7,5.690657366,4.578179922,5.513879509,5.138234219,5.500027043,5.76254312,4.596341404,5.168855489,6.147667267,4.580078926,5.366714363,5.609865053,5.508834174,5.601549947
ACOT8,4.227259137,4.56628272,4.13133333,4.560243856,4.149906009,3.703494765,4.565709332,4.480060575,4.2710181,4.781429111,4.588834841,4.623102788,4.401418021,4.214939805
ACOT9,5.805042067,6.114157582,5.264212703,5.860966318,6.048096952,5.969341801,6.126145797,5.786415951,5.853304316,6.318558723,5.76683976,6.137847495,6.24287007,6.34061091
ACOT9,0.113641384,0.177325074,0.170166772,0.207901806,0.142804739,0.143507655,0.181086352,0.141676158,0.134741349,0.281916388,0,0.141556047,0.162435231,0.350375141
ACOX1,7.552876252,7.332230283,7.436790148,7.367655803,6.941065712,7.284905721,7.342880417,7.470751072,7.150769988,7.575130402,7.259405388,7.419611252,6.933738064,6.948679188
ACOX2,3.304296429,5.581548334,2.747804919,5.171191621,4.904985898,2.564527097,5.453605607,5.070599088,4.299986682,5.790267955,5.029579192,5.600699231,5.344528883,4.577843398
