gene_id,MCF7_1,MCF7_2,MCF7_3,TamR_1,TamR_2,TamR_3
NHLRC2,2.817623258,2.140778656,2.555816155,3.196921734,2.82374936,2.983677695
NHLRC3,4.230356745,3.892391026,4.034743949,3.513490746,3.493134922,3.49441561
NHLRC4,0.250961574,0.097610797,0.475084883,0.641546029,0.669026766,0.669026766
NHP2,9.251506081,9.226050872,9.208917129,9.02306125,8.990387652,9.020979939
NHP2L1,7.178714641,7.443938115,7.392660881,6.826294245,7.041221075,7.063287212
NHS,2.3950628,2.010779839,2.17951105,1.531069493,1.411426246,1.50589093
NHSL1,2.13093087,1.819668183,1.761285273,1.948600847,1.669026766,1.875780063
NHSL2,0.722466024,1.021479727,0.773996325,0.90303827,0.687060688,0.98550043
NICN1,2.100977648,2.153805336,2.080657663,2.500802053,2.606442228,2.589763487
NID1,0,0,0,0.014355293,0,0
NID2,0.097610797,0.137503524,0.070389328,0.097610797,0.014355293,0
NIF3L1,5.635464198,5.641546029,5.591260525,5.842978832,5.847245307,5.833143096
NIM1,0.411426246,0.464668267,0.50589093,0.214124805,0.189033824,0.042644337
NIN,3.922197848,3.628773595,3.587364991,4.679761574,4.370164281,4.470536865
NINJ1,7.592606532,7.704318678,7.643351158,7.401988775,7.341096238,7.49097118
NINJ2,0.070389328,0,0,0,0,0
NINL,3.575312331,3.66448284,3.684818738,3.957914599,3.94673086,3.850999395
NIP7,5.34978987,5.109778429,5.159064009,5.338067798,5.326249701,5.226123143
NIPA1,3.617063344,3.368768349,3.424922088,3.750606505,3.650764559,3.584962501
NIPA2,5.887281552,5.40053793,5.601993581,5.915520901,5.666472569,5.727103604
NIPAL1,1.906890596,1.422233001,1.526068812,2.587364991,2.341985747,2.324810603
NIPAL2,4.650764559,4.098453246,4.465974465,4.976821852,4.544732656,4.634012356
NIPAL3,3.629939409,3.533563348,3.549669171,3.944858446,3.840966704,3.888499736
NIPAL4,0,0,0,0,0,0
NIPBL,4.369466484,3.701549057,3.956985925,4.422233001,4.038260575,3.988230223
NIPSNAP1,7.318678374,7.299391206,7.25219234,7.269313726,7.18408189,7.205157884
NIPSNAP3A,4.74899785,4.401220862,4.444269502,4.876271361,4.680886921,4.631104282
NIPSNAP3B,0.871843649,0.389566812,0.82374936,0.807354922,0.555816155,0.555816155
NISCH,4.372952098,4.350497247,4.334854269,4.518535139,4.538538164,4.666756592
NIT1,4.742006211,4.980482356,4.917431755,4.509695842,4.420212891,4.64038956
NIT2,6.61970645,6.615004242,6.625270489,6.17512535,6.175524601,6.206135253
NKAIN1,0.50589093,0.333423734,0.411426246,0.310340121,0.298658316,0.070389328
NKAIN2,0,0,0,0,0,0.111031312
NKAIN3,0,0,0,0,0,0
NKAIN4,0,0.070389328,0,0.042644337,0.124328135,0
NKAP,5.192194165,4.947666157,4.749534268,5.059614856,4.896271849,5.080657663
NKAPL,0,0,0,0,0,0
NKAPP1,0.910732662,0.799087306,0.871843649,0.956056652,0.992768431,0.815575429
NKD1,0.137503524,0.111031312,0.084064265,0.124328135,0.084064265,0.042644337
NKD2,2.269033146,2.584962501,2.568032105,1.799087306,1.748461233,1.744161096
NKG7,0,0,0,0.084064265,0,0
NKIRAS1,3.323370069,3.119356177,3.025028794,3.672425342,3.371558863,3.152183419
NKIRAS2,5.229972385,5.388189537,5.172327492,5.282439805,5.378858383,5.425257872
NKPD1,0.526068812,0.613531653,0.35614381,0.59454855,0.739848103,0.659924558
NKRF,3.746312766,3.22650853,3.519793486,3.688180359,3.304511042,3.350497247
NKTR,3.64385619,3.389566812,3.537296067,3.875780063,3.819668183,3.711494907
NKX1-2,0,0.111031312,0,0,0.097610797,0
NKX2-1,0,0,0,0,0,0
NKX2-1-AS1,0,0,0,0,0,0
NKX2-2,0.189033824,0.056583528,0.321928095,0.150559677,0.137503524,0.111031312
NKX2-3,0,0.189033824,0.176322773,0.150559677,0.137503524,0
NKX2-4,0,0,0,0,0,0
NKX2-5,0,0,0,0,0,0
NKX2-6,0,0,0,0,0,0
NKX2-8,0.910732662,0.584962501,0.748461233,0.565597176,0.495695163,0.659924558
NKX3-1,1.10433666,0.86393845,0.925999419,1.691534165,1.459431619,1.807354922
NKX3-2,0.678071905,0.584962501,0.475084883,1.056583528,1.028569152,0.555816155
NKX6-1,0,0,0,0,0,0
NKX6-2,0,0,0,0,0,0
NKX6-3,0,0,0,0,0,0
NLE1,3.629939409,3.881664619,3.628773595,3.748461233,3.887525271,3.731183242
NLGN1,0.028569152,0,0,0,0,0
NLGN2,4.440287821,4.375734539,4.391630262,4.8928767,4.832383717,4.783456654
NLGN3,0.485426827,0.782408565,0.389566812,0.443606651,0.443606651,0.475084883
NLGN4X,0,0,0,0,0,0
NLGN4Y,0,0,0,0,0,0
NLGN4Y-AS1,0,0,0,0,0,0
NLK,3.862947248,3.40053793,3.478971805,3.973611276,3.822730148,3.744161096
NLN,3.054848477,2.659924558,2.952333566,2.713695815,2.518535139,2.693765712
NLRC3,0.565597176,0.5360529,0.731183242,0.687060688,0.526068812,0.485426827
NLRC4,0.35614381,0.124328135,0.545968369,0.40053793,0.495695163,0.286881148
NLRC5,1.815575429,1.910732662,1.887525271,1.416839742,1.438292852,1.580145484
NLRP1,0.028569152,0,0,0,0,0.028569152
NLRP10,0,0,0,0,0,0
NLRP11,0.014355293,0,0.056583528,0,0,0
NLRP12,1.163498732,1.35614381,1.117695043,1.438292852,1.189033824,1.232660757
NLRP13,0,0,0,0,0,0
NLRP14,0,0,0,0,0,0
NLRP2,0,0,0,0,0.056583528,0
NLRP3,0.176322773,0.189033824,0.056583528,0.111031312,0.201633861,0.214124805
