Human,WT1,WT2,WT4,WT5,WT6,WT7,WT8,WT9,WT10,Mut3,Mut4,Mut5,Mut6,Mut7,Mut8,Mut9,Mut10
A1BG,0,0,0,0.107692669,0,0,0.03808137,0,0.041720932,0,0.060962895,0,0,0.035138963,0,0,0
A1CF,0,0,0,0,0,0,1.508719862,0,0,0,0,0,0,0,0,0,0
A2M,1.15661341,0.177325074,6.519820154,0.346262012,1.255395263,2.744164667,0,1.166642517,0.269496023,0.091210978,0.602115872,0,1.598136498,0.692773441,0.583720624,1.739697152,1.047100183
A3GALT2,0.218981154,0,0.663766518,0.431640214,0.502022617,0.274022962,0.430517479,0.306986896,0.12170887,0.752981232,0.229768854,0.367913316,0.498125184,0.601949211,0.253155817,0.455144605,0.421479443
A4GALT,2.417825584,3.937437976,0.460024984,3.464238818,3.818669153,4.922996183,3.435137248,2.40539951,3.585306019,3.576729612,2.901931627,3.481166296,4.082808348,2.908631557,2.86619788,3.866055965,3.431788242
A4GNT,0,0,0.273393639,0.054850966,0.142804739,0.143507655,0.11135503,0,0.041720932,0.091210978,0.060962895,0,0,0.135695168,0,0.118488601,0
AAAS,6.726975177,6.327710778,5.922987668,6.437630789,6.421159658,4.819925302,5.988276868,6.210103259,6.559250622,6.56955373,6.262885186,6.49750332,6.702698645,6.364359792,6.244247797,6.14372946,5.991524899
AACS,5.638602665,5.997918865,5.39872768,5.972011507,6.263360039,5.482769514,6.061171117,5.578098353,5.752259928,6.635909707,6.275801301,6.190620143,6.131496972,5.989843881,6.169327297,6.117290109,5.983810704
AADAC,0.076746668,0,0.058980731,0.107692669,0.142804739,0,2.591804187,0.272000591,0.082269181,0.091210978,0,0,0.270455357,0.16771448,0.05430985,0.227979997,0.195869645
AADACL2,0,0,0,0.255511563,0.142804739,0,0,0,0,0.17699666,0,0,0.185814524,0,0,0.570511024,0.421479443
AADACL3,0.076746668,0,0.058980731,0.389582602,0.789391952,0,0.03808137,0.199374936,0.526183327,0.046326194,0,0.081471877,0.350404423,0.453999736,0.34316424,1.227136778,1.176487542
AAGAB,5.68070298,6.305219856,7.012918825,6.309564976,5.964826434,5.766706254,6.536010334,5.896488544,6.299810038,5.709569557,6.446157652,6.533235544,6.257375528,6.220086171,6.02975116,6.021056308,6.046516804
AAK1,6.891698319,6.890463786,6.512585169,6.682621818,6.778747377,6.685386281,6.615295092,7.554814289,6.918217085,6.916381406,6.602356056,6.794124722,6.633976599,6.583074081,6.863344225,6.376063958,6.671945278
AAMDC,5.191461586,4.094793087,4.843400936,4.477336296,3.727174113,5.210637452,4.629457991,4.559846525,3.819198752,3.568816713,4.716595524,4.199358252,3.97343782,3.893012619,3.640426009,3.527123831,3.344985702
AAMP,7.939585487,8.021754891,7.925740626,7.987643144,7.495736984,7.24567462,7.877256305,8.024644577,8.022001081,7.75366051,8.12704522,8.108383594,8.018206113,7.682944342,7.768793149,7.72789687,7.506581643
AANAT,0.076746668,0.177325074,0.115644602,0,0,0,0,0,0.160099005,0.134741349,0,0.081471877,0,0,0,0.040587134,0
AAR2,6.269347632,5.614657337,5.401578959,5.697137254,5.470989735,5.26854287,5.723464794,5.809193402,5.760872675,5.573832264,5.846541213,5.754472127,5.653856126,5.640020199,5.530729428,5.574414887,5.454464678
AARD,0.49546833,0,0.058980731,0,0.049189022,0.073537465,0.03808137,1.128033487,0,1.14233732,0,0,0,0.069442376,0.205954255,0.118488601,0.195869645
AARS1,8.404147892,8.210661048,8.032143514,7.993139295,7.500994895,7.308418355,8.092588616,8.200364746,7.715021459,7.647309753,8.131937097,8.257431202,7.818772631,7.505612515,7.328933408,7.39255977,7.348225065
AARS2,4.697208946,4.570259365,4.672155198,4.315484691,4.376386791,4.286288314,4.615358148,4.345210505,4.628588818,4.612493986,4.241240097,4.51743729,4.404092871,4.5012826,4.660113394,4.434886394,4.264932058
AARSD1,0.348442688,0.835691276,0.625255245,0.207901806,0.604305789,0.504213422,0.341956768,0.161643446,0.269496023,0.407428758,0.42792161,0.492293075,0.42615466,0.625196913,0.106649177,0.424801601,0.133488473
AASDH,3.130678808,4.20631828,3.81366201,3.353736357,3.45339381,3.282892401,3.511564131,3.357232243,3.660878274,3.568816713,3.391711088,3.547184036,3.272010643,3.572615379,3.45604216,3.461377373,3.138143758
AASDHPPT,5.33017993,5.421267272,5.61315482,5.354534888,5.337522942,4.90799721,5.403431904,5.308197839,5.20032475,5.096741006,5.521408725,5.439982191,5.314616713,5.50633199,5.223709064,5.067244998,5.236220896
AASS,5.795139263,5.700613921,6.51192564,5.204929461,4.786699112,3.471537349,5.539908404,5.890013364,5.178282185,4.547545045,5.574642462,5.763757777,4.693769955,4.510675598,4.296021027,3.814325264,3.962540824
AATF,5.380244932,5.184971804,5.219669947,5.200375042,5.134558012,4.521262266,5.090000308,5.212260725,5.219765568,5.046343135,5.071689456,5.241592021,5.041104921,5.257556942,5.125660846,4.818637744,4.839392063
AATK,5.691420251,1.501309018,1.249186823,1.30601026,1.702393304,3.408989824,1.587873348,5.116899366,1.840766919,2.102937147,1.328067661,1.11232635,2.033097737,1.686610952,1.654566804,2.512943232,2.13520737
ABAT,1.369871912,1.688561133,4.822276526,2.395802375,2.937186596,2.85258896,3.199235885,1.675080392,2.448854701,2.834875745,0.963147668,1.187852468,2.008665314,2.348463463,2.104052845,3.078428206,2.978735301
ABCA1,6.842062964,7.203731482,6.607014215,7.254315452,7.563432852,8.29572047,6.932698619,7.839713961,7.467260725,6.34762755,6.160402348,7.207043578,7.037977487,7.307884947,6.998033258,7.53608504,8.177913365
ABCA12,0.038883608,0.335221017,0.115644602,2.808699671,4.104087085,0.21024071,0.214727532,0.272000591,2.129022378,3.255437389,0.229768854,0.660809899,2.613613487,3.542404491,3.62256331,4.235168126,4.987816979
ABCA13,0,1.286075998,0.322363253,1.163535671,0.90078252,0.335104354,1.011784185,0.161643446,1.302785602,0.666643692,0.517646222,1.655163407,0.867701908,0.670597782,0.34316424,0.393806682,0.421479443
ABCA2,6.08191968,5.403546033,5.76035755,5.692820406,5.29227132,5.372361997,5.343868961,6.321766029,5.345856528,5.505005955,5.59797143,5.295940306,5.499126054,5.405877012,5.334842702,5.537668553,5.499987722
ABCA3,7.787521836,8.008627099,6.97226304,7.836858466,7.253611058,6.721580006,7.842708579,8.111317667,7.889927827,7.171165754,8.05605626,7.936339126,7.539845262,7.314380498,7.561173182,7.130556259,7.033428211
ABCA4,1.971988736,0.667695961,0.545004278,0.625293958,0.466250707,1.699831615,0.691705171,0.775146416,0.611774047,1.184373937,0.517646222,0.492293075,0.566675328,0.819113046,0.970158964,0.892173168,1.01285525
ABCA5,5.068830615,4.597793132,4.718625529,4.201598949,4.314863945,5.082905061,4.469706025,5.39713674,4.341772784,4.275886771,4.187573281,4.024985224,4.079879609,4.236538007,4.468427179,4.181732824,4.493220194
ABCA6,0.18471545,0.335221017,0.115644602,0.472506407,0.571010675,2.744164667,0.214727532,0.530672401,0.371179154,0.5101678,0.060962895,0.231789928,0.228755571,0.289125792,0.46845046,0.597966673,0.52230006
ABCA7,3.094222755,4.632438672,3.626489158,4.439188075,4.689212075,4.809201342,4.162241535,3.097314066,4.480967771,4.901074872,4.257609659,4.411144829,4.56354668,4.29206453,4.445749456,4.87021677,4.924751169
ABCA8,2.342117973,0.887606882,3.204878555,0.763438993,1.336887771,4.274641803,1.381198768,3.189255674,0.865163986,1.076892588,0.930848614,0.763125878,1.308992246,1.266255453,0.94162783,1.95671267,1.113243881
ABCA9,2.907239896,2.374380329,2.439178597,2.692427803,4.480919681,6.850732946,2.726169721,3.88872497,3.199456586,1.431282419,2.325974661,2.389864202,3.584567957,2.716364629,3.23286555,4.358685269,3.884197043
ABCB1,2.212061214,1.361444967,1.625960468,1.733400999,2.33854621,3.867537706,4.515978408,2.120795676,1.875790594,2.156717179,1.055920354,1.485945427,1.662195927,1.843513225,2.191464731,2.5272951,3.048012922
ABCB10,5.629873965,5.53550899,5.432576646,5.38562559,5.388582816,5.078446259,5.682726543,5.99297069,5.612168978,5.608982519,5.525470107,5.840362095,5.263906087,5.279702165,5.459565747,5.225245817,5.285462504
ABCB11,2.597872632,0.408128502,0.058980731,0.207901806,0.049189022,0.073537465,0.14664195,1.563768398,0.197494002,0.046326194,0.42792161,0.301456492,0.185814524,0.069442376,0.106649177,0.080063611,0.0682876
ABCB4,0.467237498,0.091385254,1.808908457,0.512246829,0.90078252,5.051400122,1.548839382,0.236144715,0.403540953,0.47672784,0.281916388,0.081471877,0.42615466,0.990025873,0.427885374,1.610854674,2.036388636
ABCB6,0.603171775,0.60704981,0.545004278,0.625293958,0.466250707,0.143507655,0.643114138,0.272000591,0.555281434,0.807796492,0.642565661,0.991062888,0.498125184,0.317946715,0.546311307,0.455144605,0.313080188
ABCB7,5.434110634,6.179395273,5.675735443,5.988835559,6.079512633,5.577446797,6.01656725,5.96791196,6.016330314,5.848410073,5.904864768,6.286079175,5.751874579,6.016463046,5.858138065,5.63116294,5.937779966
ABCB8,6.261663091,6.200074012,6.352350396,5.963973218,5.822655411,5.154552805,6.122827204,6.097210319,6.153472207,5.940975764,6.202442174,6.067300491,5.926687923,5.939149019,6.054110701,5.838881449,5.527537536
ABCB9,3.687460671,6.197505321,2.262248497,5.778832603,5.068991696,4.092053074,6.098254764,4.201537504,6.223689298,5.32057829,5.9265262,6.799401835,5.266484401,4.427162885,4.07412968,3.784763713,3.543956411
ABCC1,5.778721342,5.113193325,5.071783307,5.022598942,5.488927904,6.680245917,4.673975564,5.555545043,4.869180359,5.571854133,4.485957097,4.771776602,5.158191323,5.278786203,5.164757814,5.758281504,6.056007346
ABCC10,4.957809181,4.886384063,4.815878413,4.21971571,4.104087085,3.918320123,4.189991176,4.222304763,4.490414694,4.500483889,4.400085776,4.434590294,3.872119958,4.01903048,4.181733031,4.043786469,3.636829464
ABCC12,0.18471545,0,0,0,0.049189022,0,0,0.559973838,0,0.046326194,0,0.081471877,0.04874501,0,0,0.118488601,0
ABCC2,0,0.477528123,0.058980731,0.472506407,0.391930706,0.450016744,3.327779246,0.042140224,0.23394415,0.218049484,0.332244572,0,0.350404423,0.16771448,0.253155817,0.227979997,0.195869645
ABCC3,3.480588589,3.460097447,3.747966898,3.701887857,4.390769934,5.314767128,3.858723469,4.634052144,4.518389882,3.350811274,3.11096989,4.124447924,3.766792503,3.883403567,4.132094197,4.719002874,4.851553831
ABCC4,2.15125419,0.781837516,4.148408304,2.115251075,2.975861455,4.856843585,1.439270494,2.78004773,1.887278721,2.091936312,1.143086025,1.294208868,2.214952587,2.232147216,2.329995283,3.348715162,3.463830837
ABCC5,2.716548742,3.39880582,4.377109193,3.594908294,4.653870945,6.071594422,2.967279437,3.072112457,3.650803126,4.273454489,2.637511342,2.81600304,3.79920592,3.829378343,3.705507863,4.937583773,4.782088334
ABCC6,0,0.258432086,0,0,0.35328387,0.073537465,0.430517479,0,0.197494002,0.2968085,0.060962895,0,0.228755571,0.035138963,0.157155981,0.040587134,0.0682876
ABCC8,0,0,0,0,0,1.238564927,0.247602099,0.588691985,0,0,0,0,0,0,0,0.192398236,0
ABCC9,5.085177218,4.379480797,4.697898908,4.815831894,5.287154615,7.125472144,4.942193972,5.042297949,5.076580658,5.050610857,4.821620151,4.969317614,4.334534544,4.608695951,5.175517737,5.023619874,5.417310183
ABCD1,6.242010396,5.490052496,4.501924327,5.430392274,5.250820367,5.721667754,5.605574646,5.907216344,5.352088113,4.882042617,5.928572331,5.462967344,5.571805144,5.233176358,5.59282481,5.489921112,5.156117408
ABCD2,0.885086386,1.361444967,1.664453169,1.628818745,2.434230115,4.890299017,1.898494852,2.735797183,1.864210252,0.960754586,1.86110878,1.782439421,2.033097737,1.485350885,1.384721153,2.352943404,2.369758515
ABCD3,7.951098192,7.952604558,7.137013122,7.818400948,7.441788487,6.354841888,7.952246311,7.763242731,7.645690252,7.339324141,7.819642322,7.819127524,7.407981475,7.680345534,7.544964833,7.200231309,7.37374788
ABCD4,5.145435387,5.179775633,3.880588617,4.57439254,4.629819874,5.060471955,4.90918434,4.618469104,4.771824082,5.520472998,4.989790138,4.391311618,4.438796982,4.657432589,4.936198019,4.704867129,4.514793344
ABCE1,7.227460054,7.700216271,7.970352578,7.69540781,7.800943616,7.451056448,7.686822521,7.777540069,7.695550177,7.666438212,7.741780201,7.962785128,7.522692771,7.731954573,7.634586562,7.236441911,7.523403454
ABCF1,8.345499492,7.905772165,8.171883198,7.873079835,7.619723004,7.167537403,7.864397662,7.778708916,7.855980843,7.990698227,7.943445607,8.074271472,7.719708981,7.733459635,7.720277863,7.500611091,7.519978549
ABCF2,7.195550165,6.977632275,7.282544647,7.211577426,6.876524999,6.809626283,7.192181094,7.121140219,7.23213744,7.227225985,7.190057009,7.58862229,7.130754399,7.044067258,6.961197244,6.921325402,6.927688174
ABCF3,6.733286343,6.402105237,6.445093001,6.303207319,5.938959873,6.059202214,6.205154408,6.344045526,6.20142841,6.076203301,6.376666749,6.292509203,6.12227436,6.05281639,6.032290272,6.019788032,5.942335979
ABCG1,5.846044198,5.475283458,4.436702226,6.057597227,5.988662243,5.754180639,5.221994691,6.269511198,6.056316696,4.839923989,5.111859793,5.813787279,5.781920439,5.626403404,5.449468697,6.486689635,6.612440821
ABCG2,6.349349356,5.778302069,5.053771086,6.088323972,6.306355336,6.148053849,6.344635179,6.403849833,6.016330314,5.301605247,6.684562964,5.760669196,5.535923222,6.107491203,6.295174249,5.644390818,5.620018535
ABCG4,0.285163603,1.854277625,0.369725108,2.352670961,2.406185325,0.995362132,1.939313145,0.588691985,1.285524573,2.287828788,2.705912839,1.515562935,2.104006351,2.298724856,2.36264489,2.857698181,2.848867812
ABCG5,0,0,0.115644602,0.107692669,0.760146612,0,2.982006616,0,0.041720932,0.636676851,0,0,0.141556047,0.505020742,0.205954255,0.776784606,1.047100183
ABCG8,0.038883608,0.091385254,0.115644602,0.158667125,0.230714179,0.073537465,2.565970359,0,0.082269181,0.091210978,0,0,0,0,0.106649177,0.118488601,0.195869645
ABHD10,3.612107835,3.622102341,3.944547656,3.631456696,3.45339381,3.686016008,3.742445119,3.856614327,3.578235392,3.556865388,3.690712841,3.50350956,3.499453523,3.560606832,3.495833934,3.53779607,3.344985702
ABHD11,5.238154644,7.078799275,5.894933676,6.940130132,6.086156476,5.446897692,6.529759275,5.30711817,6.268305124,6.4774566,7.168143334,7.217218521,6.593991957,6.525162599,6.06572488,6.250850579,6.035898013
ABHD12,6.583118002,6.122306181,6.582096194,6.431814258,6.421159658,6.786576544,6.427219027,6.43037036,6.304637654,5.836925185,6.483519397,6.230234954,6.25996553,6.295385001,6.007556298,6.865231486,6.823493559
ABHD12B,0,0,1.00108765,0.763438993,1.469281671,0,0.03808137,0.042140224,0.817921831,2.268417183,0.060962895,0,0.840273205,0.819113046,1.180118895,1.555913321,1.669578328
ABHD13,5.783022323,6.085269489,6.587740391,6.235816831,6.167765981,5.408335788,6.402799608,6.041169803,6.234411165,5.781515494,6.281415941,6.36852865,6.022845418,6.178947303,6.07396385,5.996766303,6.128765548
ABHD14A,5.195769411,4.589979816,4.700216625,4.767388022,4.467411886,4.387080646,4.863520946,4.904890194,4.872074195,4.591167579,4.919515318,5.080009468,4.799028573,4.661654872,4.27901685,4.326220378,4.02401039
ABHD14B,5.188222255,6.192354177,5.073572222,5.84062321,5.175285758,4.16956126,6.143717177,5.615211798,5.805454088,5.033463693,6.566013697,6.071045443,5.906993238,5.388998839,5.413561914,5.074592907,4.740838465
ABHD15,0.927147283,1.20655153,2.103206125,1.799134859,2.181954852,2.252521196,1.802198685,1.9542317,1.909984127,1.322546256,2.007670383,2.183936286,2.068987646,1.740829989,1.969208186,2.270029933,1.89313001
ABHD16A,7.132905289,6.539274853,6.959259034,6.441495489,5.912621062,6.264502699,6.770389087,6.349299839,6.395433091,5.894248366,6.731611498,6.511351414,6.359928125,6.097136487,6.038197544,6.276034305,5.986018972
ABHD16B,0,0,0,0,0.049189022,0,0,0.122898584,0,0,0,0,0.095896736,0,0,0,0
ABHD17A,6.996345126,6.179395273,6.341255326,6.42857269,5.952759206,6.159708863,6.737858241,6.355579858,6.680170188,6.283198805,6.79185999,6.553900857,6.529980577,6.288575666,6.267423337,6.4267063,6.07584023
ABHD17B,5.849465982,6.062864598,5.417161053,6.111149253,5.775934037,5.465798886,6.195709173,6.246604038,6.089019692,5.867081849,6.273388321,6.104319615,5.73614871,5.887809677,5.548576439,5.485333983,5.589845471
ABHD17C,6.378064414,6.799382911,6.973700721,6.930537422,6.799109857,5.355876444,6.761169168,6.033356432,7.14300336,6.313110895,7.208278081,7.244006009,6.670451312,6.707071912,6.614412257,6.645605014,6.759745713
ABHD18,1.867856873,1.501309018,2.546122461,1.782980041,1.820431822,2.512589908,1.877644297,2.080922617,1.852536203,1.532394401,1.225283983,2.146564775,1.677776007,1.966929049,1.881804787,1.739697152,1.966536778
ABHD2,9.165198366,8.246515685,5.809490601,8.738087031,8.6523189,6.874717669,8.489402987,9.669094776,8.579282294,8.844675887,8.809245573,8.078928623,8.886848236,8.895604703,8.954273602,8.813091484,8.898107789
ABHD3,2.998836373,2.260861097,2.817782814,2.863500492,2.616617466,1.789856644,3.160919193,3.244443285,2.898210253,2.689196691,2.926711067,2.58408246,2.395399711,2.918074583,2.819920882,2.328565834,2.242542424
ABHD4,6.721009929,7.029102368,6.103680863,6.97298856,6.655610391,6.589151894,6.852490126,6.479598272,7.033853619,6.659852327,7.182789372,6.70293805,7.088394104,6.879205947,7.116834963,6.928101736,6.776427193
ABHD5,6.793148686,8.946442492,6.95149728,8.795834336,8.122609956,6.923388898,9.078069126,7.531428901,8.757494936,7.830334692,9.25809501,8.930473821,8.453510157,8.302424146,8.563798365,7.90749684,7.886131416
ABHD6,2.757922539,3.689463011,4.402951057,3.84881021,3.927904606,2.963138366,4.098344998,2.988374998,3.883709496,4.135621022,3.806498413,3.778549313,3.925300691,3.849258743,3.631522305,3.937648205,3.958048273
ABHD8,4.528158232,4.132934135,4.679221891,4.337774519,4.158337382,5.258723541,4.436230778,3.88872497,4.618284816,4.5333839,4.466372777,4.261858568,4.327143667,4.313690254,4.223808721,4.695365762,4.376870895
ABI1,6.435201785,6.982862706,6.72893978,7.020268358,6.915180317,6.884967207,6.917456684,6.739775675,6.86510245,6.794871498,7.015282179,6.91642879,6.849212982,6.970244826,6.966517466,6.915540387,7.031825887
ABI2,4.715325809,4.347398425,5.170368301,4.346045211,4.507561675,4.986247979,4.185756587,5.272135088,4.350099066,4.563560812,4.417673807,4.619845982,4.159717196,4.279298185,4.427861429,4.286694748,4.307933306
ABI3,1.084105609,3.207811016,2.756740044,3.47433451,3.976394163,4.55695647,3.514943706,4.049724983,3.606312329,3.332234236,2.998593716,3.458471547,3.938295117,3.463987886,3.613548332,4.421502305,4.078835323
ABITRAM,4.558581517,4.766725484,4.983197219,4.634149023,4.881412818,4.591788831,4.594745303,4.960884098,4.787236287,5.010279102,4.758607272,4.787036492,4.757475484,4.832429267,4.801776516,4.680995343,4.740838465
ABL1,6.874670661,7.085761121,7.18372592,7.179925607,7.128671239,7.30746612,7.177328016,7.041579482,7.348392353,7.308174919,7.245275821,7.161518239,7.079990598,7.157042717,7.467654767,7.150974649,7.081721471
ABL2,4.942510114,5.301985849,6.138280275,5.769638911,5.927495765,5.879930172,5.768049524,5.946576425,5.848699065,6.186968681,5.316348055,6.301038236,5.844518168,5.837688965,5.951422344,5.704829273,6.092332704
ABLIM1,5.329199908,4.105793809,4.191879975,4.536349927,5.612709141,6.447656135,4.160084675,5.613465974,4.492296678,5.518420282,4.117554457,3.808768661,4.70331668,5.182163816,5.150804652,5.993539587,6.073765351
ABLIM2,0.774234587,0.887606882,2.287130919,1.328445815,1.451095998,4.87752319,1.638328222,0.470221369,1.195978695,1.341247654,0.602115872,0.492293075,0.42615466,1.379958305,1.228159298,2.018975454,1.647427122
ABLIM3,2.417825584,0.887606882,1.683321112,0.919371528,2.043163297,4.354259442,1.049559787,1.328634241,0.666137645,2.25861255,0.963147668,0.904160241,1.139316318,0.757325777,0.690458329,2.656956729,1.734061582
ABR,6.442470689,5.845471564,6.017091221,6.213388805,6.42174343,6.413546683,6.161616266,6.529517988,6.004510703,5.706868124,6.100861698,5.962327403,6.268351066,6.30261304,6.576641226,6.631973336,6.711851147
ABRA,1.15661341,0.091385254,0,0,0,5.572699122,2.109923583,0,0,0.046326194,0,0,0,0.229696944,0,1.86928162,0.133488473
ABRACL,5.816976228,6.051530308,6.052897323,5.82394226,6.01520849,5.965724883,6.027256626,6.030742543,5.950774885,5.806124675,6.002308682,5.917269924,5.882831108,5.871498026,5.860045046,5.834559947,5.883140457
ABRAXAS1,3.070960867,3.551441842,2.979178461,3.210097639,3.220941699,2.831546199,3.350656241,2.846953068,3.176230418,2.97319197,3.11096989,3.227427884,3.114923065,3.123860884,3.084173186,3.112143424,3.056443316
ABRAXAS2,5.0874974,5.515024321,5.457452176,5.413439221,5.288435494,5.586895533,5.436777232,5.461631543,5.374709699,5.462931,5.457658467,5.504178627,5.151232523,5.405037777,5.236977796,5.26218297,5.395878664
ABT1,5.21499701,4.876782964,4.894897105,4.715133865,4.601243949,3.952833321,4.7548087,4.600954885,4.628588818,4.965777467,5.018890678,4.898019995,4.689933506,4.707302255,4.543918607,4.492710259,4.423239228
ABTB1,5.195769411,5.523253125,4.973648779,4.941229568,4.755547382,4.594914101,5.03103046,4.388728515,4.903529068,5.153396243,5.071689456,5.150137691,4.701412383,4.940631717,4.901435567,5.111972142,4.802279253
ABTB2,5.712618865,4.463127941,5.667467582,4.602280319,4.59089952,4.282416581,4.332792205,5.55827013,4.850227605,4.765719627,5.073539851,4.917564748,4.895462221,4.336757999,4.842855673,4.53771106,4.649058898
ACAA1,7.372698688,7.142283418,6.882249701,6.726045774,6.268561681,5.878648486,7.002675954,6.72287238,6.847199071,6.316068275,6.874847547,6.8143738,6.649368937,6.504938801,6.574319977,6.490357062,6.31331435
ACAA2,6.071994602,6.527051074,6.591490959,6.725517567,6.270507472,6.972875954,6.883542693,5.383884434,6.639139927,5.788346268,7.041989195,6.628650035,6.521370979,6.568156817,6.644043543,6.489441079,6.538388732
ACACA,7.145765101,7.362356413,5.532208606,7.323661557,7.328990898,6.696340057,7.23430743,7.365276259,7.434355756,6.912087836,6.984633709,7.330908904,7.039108835,7.141758882,7.27849256,6.583436478,6.985119128
ACACB,2.395527509,4.936537952,3.809374191,4.26694348,4.334838151,6.409114771,4.949705504,3.189255674,3.779677223,3.014559053,5.590236947,4.705861797,3.848222405,3.4114678,3.701259232,3.332461467,3.073157738
ACAD10,3.518913585,3.973918864,3.262475281,3.622406031,2.937186596,2.709982124,3.548311042,3.414499625,3.204057284,2.854536226,3.379796224,3.488652564,3.198307055,3.052769311,3.221043374,3.140428034,3.252624275
ACAD11,4.46888053,5.597223732,5.907023675,5.627599261,5.250820367,5.516123377,5.724194945,5.229459921,5.839118315,5.054865992,6.01872871,5.734145813,5.286946697,5.209338425,5.208821472,5.018549098,5.200533475
ACAD8,6.072580324,5.939166162,6.210785909,5.675422676,5.322596221,5.188050695,5.914064695,5.989609703,5.57713087,5.414081936,5.880761105,6.059781298,5.424900424,5.477082772,5.396582186,5.260036179,5.148251332
ACAD9,6.215206481,6.608587017,6.210785909,6.441495489,6.283412774,5.272451965,6.727335219,6.634390484,6.397443058,5.954703874,6.493920149,6.570751723,6.567577715,6.422328238,6.561485915,6.08065853,6.073765351
ACADL,7.055910304,7.41416245,6.966497948,7.866387185,7.170605497,7.357548106,7.722705007,7.106009846,7.739987104,7.558446732,7.747876511,8.031986698,7.511867974,7.463104555,7.303933418,6.946907873,6.991727835
ACADM,5.986310345,7.097519699,5.944653655,6.796138191,6.547428366,7.235197206,6.976256049,5.701558684,6.748295673,6.63732915,6.862592655,6.87275465,6.512166633,6.611726462,6.596794406,6.749490847,6.748733367
ACADS,7.107122486,6.955759038,7.017108021,6.918109466,6.347491931,6.349300595,7.102925884,6.527201699,7.010733962,6.845692817,6.995410491,7.095023175,6.805115796,6.752646214,6.702072212,6.656255137,6.425769468
ACADSB,7.078248018,6.895227014,7.156133404,7.002501515,6.594270966,6.734390617,7.024773444,7.368902595,6.969107654,6.157593447,7.3600214,7.14028625,6.673368698,6.519357848,6.345045123,6.345511546,6.470616299
ACADVL,6.31164064,7.407509711,7.455775687,7.567737304,7.04664718,7.568981779,7.55102948,7.282001312,7.470128393,7.226283077,7.662858892,7.406958868,7.301382847,7.309006958,7.337513616,7.184187276,7.086360149
ACAP1,2.106195919,1.773797469,0.545004278,1.750117376,2.648888011,1.97395979,1.625878963,2.130594101,2.129022378,2.381152215,1.376837822,1.393260069,3.056529929,2.020514253,2.636280548,2.829020896,2.706143095
ACAP2,6.248763856,6.361376948,6.148500335,6.495781134,6.446624758,6.766621202,6.334151077,6.439760243,6.24226081,6.151645938,6.277407715,6.306343389,6.282431874,6.289485436,6.391272828,6.406953262,6.567435304
ACAP3,6.355138273,6.032920028,5.602042521,5.722770551,5.730478865,6.037543532,5.751670355,6.212411814,6.033233925,6.135664991,6.218419319,5.83302917,5.788214147,5.775410875,5.857183629,6.048679979,5.792685072
ACAT1,8.031624856,7.58062371,8.206534473,7.464213848,7.014499492,7.478389749,7.758964206,8.049067986,7.462708561,6.912087836,7.730096429,7.820982025,6.944468117,7.310800363,7.223634318,6.920985748,6.801720191
ACAT2,0.49546833,0.335221017,0.322363253,0.389582602,1.146596432,0.957013528,0.401597099,0.644468177,0.692570057,0.442494352,0.332244572,0.431443182,0.532807366,0.692773441,0.298861858,1.173397551,1.176487542
ACAT2,5.388736364,5.671293277,5.126233487,5.410813286,5.653043395,4.433208496,5.437667847,4.398899297,5.435639071,5.206636119,5.939774474,5.430295901,5.484804738,5.501628974,5.548576439,5.452809084,5.319133326
ACBD3,5.929891061,5.71325667,6.082515786,5.910138651,5.88832892,6.424128052,5.782843732,6.182108567,5.852367093,6.041602011,6.142884861,6.111610802,5.970041889,5.886006352,6.013565507,5.970091714,6.085140434
ACBD4,6.175407034,5.531435259,4.843400936,5.227488356,4.721813166,4.971895607,5.606366949,5.271028079,5.233332461,5.053449008,5.311652128,5.147775376,5.216690673,4.868188406,4.948796998,5.174857413,4.901542435
ACBD5,6.343537118,6.437367449,6.887344033,6.399066084,6.109534283,6.013220507,6.337972299,6.859870223,6.35463424,5.752991613,6.582351185,6.373591764,5.90451239,6.003214856,6.066550898,5.798034958,6.046516804
ACBD6,5.770802753,5.118634463,5.307421305,5.043091986,4.933102004,4.613524866,5.092264448,5.187832092,5.348975685,5.039202089,5.197502884,5.356521659,5.13721341,5.04774887,4.959509237,5.158815181,4.858801984
ACBD7,0.774234587,0.60704981,0.545004278,0.472506407,0.536928973,0.274022962,0.784236992,0.559973838,0.555281434,0.257966373,0.681912194,0.550679978,0.350404423,0.55429885,0.789840153,0.393806682,0.255664923
ACCS,3.06626314,4.879990435,3.78337616,4.04106466,4.05676512,3.430141737,3.985940909,2.916567274,4.266792028,4.213814563,4.228009388,3.918154215,4.079879609,4.132893538,4.060926174,3.95633111,3.543956411
ACCSL,0,0.091385254,0,0.255511563,0.502022617,0.702679493,0.075183341,0,0.338074741,0.2968085,0.119453828,0,0.228755571,0.505020742,0.34316424,0.424801601,0.421479443
ACD,5.97444963,5.365149725,5.41151429,5.088163949,4.931463197,4.634938275,5.193805691,5.454822869,5.14756231,5.23691296,5.417428095,5.276609941,5.087045086,5.086999383,4.950587903,5.201950056,4.822191489
ACE,6.334774617,5.551689849,4.711749688,5.183551405,6.112430052,8.502279453,6.797006625,6.999756806,5.902763693,4.786338626,5.789142317,4.734480534,5.366011523,4.605777165,6.126399954,6.16797654,5.357163474
