Human,WT1,WT2,WT4,WT5,WT6,WT7,WT8,WT9,WT10,Mut3,Mut4,Mut5,Mut6,Mut7,Mut8,Mut9,Mut10
FEZF1,0.18471545,0.091385254,0,0.107692669,0.049189022,0.143507655,0.14664195,2.876368267,0.041720932,0.046326194,0.175665483,1.853742023,0.095896736,0,0,0.040587134,0.133488473
FEZF2,0,0,0,0,0.230714179,0,0,0,0,0.218049484,0,0,0,0.069442376,0.205954255,0.192398236,0
FFAR1,0,0.091385254,0,0,0,0.073537465,0.14664195,0.042140224,0,0,0,0.15858777,0.185814524,0.035138963,0.05430985,0,0.255664923
FFAR2,0.113641384,0,0,0.346262012,0.760146612,1.895021023,0.247602099,0.940238037,0.435192727,0.046326194,0.281916388,0.081471877,0.783799982,0.102949054,0.298861858,0.847119053,0.255664923
FFAR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080063611,0.133488473
FFAR4,0.076746668,0.091385254,0.663766518,0.346262012,0.187428942,0.335104354,0.14664195,0.824274207,0.041720932,0.134741349,0.175665483,0.367913316,0.462588667,0.289125792,0.253155817,0.847119053,0.704986193
FGB,0,0,0,0,0,0,0.11135503,1.222685249,0.23394415,0,0,0,0.095896736,0,0,0.484862554,0.195869645
FGD1,2.097012899,3.622102341,3.636205496,4.781686298,5.452825716,4.50141394,4.181509533,3.2712651,4.869180359,4.500483889,5.047415819,4.653538607,5.092867697,4.916100639,5.135141201,4.795108178,4.47131955
FGD2,2.948668969,3.725569778,2.78321811,3.860404229,4.297156743,4.73465152,3.644018364,3.21711335,3.703742041,3.279878437,3.228569701,3.561453244,4.181739316,3.944747983,3.831368451,4.528822494,4.143571741
FGD3,5.880571335,6.642977368,2.274743351,6.441495489,6.117483703,5.143923177,6.432143079,6.367022704,6.570428877,5.953944618,6.838310361,6.476007998,6.331891256,6.224374154,6.389953532,5.978603028,6.066479684
FGD4,3.518913585,4.256540338,4.79434409,3.727437627,4.026380753,4.467714244,3.928810457,4.448704689,3.748521814,2.94900994,3.913677868,3.603433129,3.925300691,3.542404491,3.135459075,3.992986389,4.19028631
FGD5,3.522347715,2.094112164,2.645682974,3.023313872,4.023306822,5.883768413,1.939313145,2.982976452,2.875317305,3.733599388,1.928091568,1.986573485,2.521637485,2.860466433,3.166610951,3.660060158,3.61986508
FGD6,5.494804324,6.428632367,4.796512044,6.132822533,6.266613263,5.051400122,6.173426798,5.982864147,6.239462266,6.477984838,6.305234223,6.249090899,6.161589205,6.210991691,6.428374409,5.930819566,6.177887306
FGF1,3.259728393,3.068562687,0.663766518,2.468312137,1.968416488,2.344519179,3.244726179,3.925774867,3.253719686,1.757934281,2.456496926,2.42149915,2.057123271,1.930066916,2.179296926,1.967278198,1.555255975
FGF10,0.947726646,0,0,0.512246829,1.968416488,3.227586576,0.311185811,1.675080392,0.611774047,0.752981232,0.175665483,0.301456492,1.308992246,0.625196913,0.427885374,2.408271891,1.555255975
FGF11,1.354541098,1.566464468,2.074907051,1.393732096,1.862319815,3.620052129,0.849938124,1.701616387,1.742987642,2.344544027,1.352658815,0.948265803,1.646445754,1.497999653,1.618972465,2.49114413,2.119200505
FGF12,0.550324885,0,0,0,0.187428942,0.21024071,0.03808137,0.306986896,0.23394415,0.046326194,0,0,0,0.035138963,0.157155981,0.155916668,0.195869645
FGF13,1.084105609,0.887606882,2.774445972,0.88950425,1.100670585,3.898221146,1.336057611,1.147467154,0.403540953,0.752981232,1.085564604,0.991062888,0.921042771,1.295532259,0.821502186,1.261882113,1.20709921
FGF14,0.285163603,0,0,0,0.049189022,0.335104354,0.03808137,0.500763485,0,0.046326194,0,0,0,0,0.05430985,0,0
