"","SUM44_P1","SUM44_P2","SUM44_P3","SUM44_TamR1","SUM44_TamR2","SUM44_TamR3"
"DAO",5.10476,5.30349,5.16165,5.2362,5.2761,5.83834
"DAP",9.80515,9.45142,8.91959,9.17194,8.97544,8.37385
"DAP3",10.022,9.87362,9.83665,9.80785,9.86991,9.56134
"DAPK1",4.31874,4.39189,4.36238,4.43377,4.28156,4.73991
"DAPK2",6.26392,6.34629,6.24685,6.54948,6.53852,6.82161
"DARS",10.5763,10.5474,10.4594,9.67425,9.53678,9.91796
"DARS2",7.64109,7.9621,7.90602,7.74728,7.83481,7.77494
"DAXX",7.35657,7.36417,7.25259,7.3824,7.49758,7.2991
"DAZAP1",7.64361,7.82867,7.58272,7.63993,7.79978,7.16434
"DAZAP2",11.6687,11.57,11.604,11.5625,11.6611,11.3792
"DAZL",3.75898,3.77764,3.74068,3.86437,3.79179,3.72606
"DBF4",7.08881,7.89152,8.20684,7.42245,7.49727,7.78127
"DBF4B",4.75875,4.82575,4.75828,4.87519,4.84104,4.78501
"DBH",5.04402,5.18817,5.01847,5.33705,5.28021,5.78892
"DBI",12.924,12.9463,12.6558,12.3909,12.453,12.4365
"DBN1",8.99251,8.64842,8.1431,8.79611,8.51158,7.92764
"DBP",6.91452,6.70694,6.79639,6.9206,7.16307,6.44839
"DBT",9.49863,9.3959,9.46214,9.33433,9.27986,9.52255
"DCAF1",4.75808,4.86108,4.94886,5.15756,4.94886,5.3224
"DCAF11",7.62155,7.32789,7.04244,7.18732,7.3168,7.0386
"DCAF4",5.00984,5.07321,4.98894,5.07203,5.07822,4.74268
"DCAF6",8.904,8.73289,8.73801,8.39023,8.5398,8.47322
"DCAF7",6.58116,6.71746,6.51038,6.80268,6.90491,6.58553
"DCAF8",7.93551,7.82945,7.91561,8.24912,8.13482,7.92654
"DCBLD2",4.62097,4.77907,4.69742,4.57282,4.67648,4.90289
"DCC",4.24233,4.17778,4.42005,4.32657,4.21546,4.245
"DCK",6.43167,7.18578,7.9108,6.03105,5.83071,6.47649
"DCLK1",3.87434,3.81716,3.86142,3.81259,3.87813,3.79294
"DCLK2",4.36293,4.53997,4.42244,4.44004,4.365,4.54389
"DCLRE1A",6.05292,6.30292,6.08892,6.10868,5.85837,6.26201
"DCN",5.8188,5.79015,5.78123,5.69111,5.67557,6.13885
"DCP1A",6.91758,6.8951,6.68266,6.64986,6.44189,6.32785
"DCP2",8.18729,8.05736,8.2199,7.54031,7.48244,7.71876
"DCPS",7.45541,7.82701,7.97762,7.51421,7.50763,6.93214
"DCT",5.29996,5.44242,5.46741,5.56602,5.41596,5.45185
"DCTD",9.62051,9.27441,9.52551,9.36449,9.41144,8.82766
"DCTN1",9.295,9.28646,9.18427,9.46919,9.41793,9.0286
"DCTN2",10.5293,10.3982,10.2566,10.517,10.659,10.1322
"DCTN3",9.38398,9.56692,9.9698,9.90793,9.90919,9.5449
"DCTN4",7.30868,7.60964,7.49148,6.94281,7.24036,6.93213
"DCTN5",8.44996,8.3521,8.42221,8.82255,8.83855,8.54208
"DCTN6",8.91525,8.98453,8.87791,8.99087,9.00938,8.94032
"DCTPP1",9.12514,9.60264,9.83092,9.80947,9.57043,9.26781
"DCUN1D1",8.02493,8.044,8.01985,7.77114,7.56413,7.54289
"DCUN1D4",7.45735,7.45466,7.66794,7.13093,7.05413,7.06572
"DCX",4.57327,4.44124,4.7352,4.53583,4.53387,4.48429
"DCXR",10.5605,10.9368,11.1687,11.5186,11.3817,11.078
"DDA1",7.4741,7.48294,7.16791,7.91174,8.06753,6.95975
"DDAH1",9.23802,9.90098,10.0859,9.00149,8.89967,9.29319
"DDAH2",9.3916,9.11916,9.21217,9.3097,9.66098,9.16034
"DDB1",8.76176,8.6872,8.59575,8.94981,9.00787,8.69715
"DDB2",6.60272,6.74396,6.86653,7.33694,7.45017,7.17518
"DDC",8.06567,7.38919,6.12052,5.24594,5.00098,5.28932
"DDHD2",10.4758,10.5138,10.7866,9.6756,9.75794,10.0431
"DDIT3",8.69392,8.45947,8.57419,8.63976,8.85542,8.70939
"DDIT4",9.92494,7.76023,7.50048,8.47762,9.25472,8.07723
"DDN",5.49257,5.53562,5.41749,5.54538,5.38324,5.49237
"DDO",5.37725,5.50002,5.4654,5.53398,5.43813,5.39452
"DDOST",11.0585,11.1696,10.7667,11.1979,11.1989,10.8696
"DDR1-DT",5.25067,5.23511,5.10167,5.32239,5.27262,6.44253
"DDR2",5.37335,5.43579,5.20905,5.44338,5.28589,5.97479
"DDRGK1",9.50005,8.87297,8.72175,8.67133,8.69353,8.29799
"DDX1",11.6331,11.5047,11.6445,11.5141,11.4304,11.8831
"DDX10",6.83978,6.88684,6.98604,6.59825,6.58221,6.84018
"DDX11",8.46508,8.57452,8.93314,8.83892,8.69016,8.64495
"DDX17",11.9781,11.8871,12.0349,11.6297,11.7829,11.7117
"DDX18",9.35862,9.38513,9.35833,8.97293,8.75759,9.01842
"DDX19A",7.60389,7.58928,7.63794,7.80215,7.91526,7.59936
"DDX21",10.134,10.2221,10.3825,9.73986,9.40518,10.0287
"DDX23",8.41308,8.6353,8.64601,8.46644,8.69429,8.28782
"DDX24",9.62857,9.75769,9.74762,10.1025,9.95455,9.82118
"DDX27",9.29383,9.19939,9.1338,9.11447,9.25339,9.06323
"DDX28",6.6642,6.59958,6.59611,7.04829,6.97147,6.6136
"DDX39A",8.78096,9.06783,9.54628,9.13103,9.21033,8.89791
"DDX3X",11.0576,11.1476,11.1763,10.4047,10.4105,10.9514
