"","SUM44_P1","SUM44_P2","SUM44_P3","SUM44_TamR1","SUM44_TamR2","SUM44_TamR3"
"43891",8.36809,8.27101,8.27705,8.59291,8.35431,8.5396
"43892",8.92512,8.85882,8.76522,9.17637,9.05246,8.59348
"43893",5.68318,5.89165,6.07803,5.85219,5.89527,5.57876
"43895",9.41498,9.44072,9.23361,9.18379,9.34414,8.90387
"43896",10.5237,10.5258,10.2381,9.54365,9.59838,10.0366
"43897",7.30411,7.63854,7.37936,6.8026,6.83813,7.1134
"A2M",4.59811,4.4591,4.42128,4.51772,4.46175,4.93079
"AAAS",7.40829,7.47868,7.51066,7.66602,7.63966,7.36523
"AACS",8.46183,8.55317,8.41712,8.78069,8.69457,8.30989
"AADAC",4.72181,4.76651,4.68487,4.72146,4.69234,4.73033
"AAGAB",8.45459,8.3876,8.49277,8.42948,8.4799,8.40025
"AAK1",6.67707,6.49029,6.58221,7.03968,6.92998,6.7907
"AAMP",9.2188,8.86567,8.98241,9.05028,9.15714,8.71471
"AANAT",4.35372,4.38186,4.36623,4.52801,4.3083,4.37886
"AAR2",7.89088,7.72986,7.77648,8.1679,8.20195,7.68954
"AARS",11.6765,11.237,11.3634,11.455,11.8841,11.2964
"AASDHPPT",7.86331,7.84121,7.6488,7.24095,7.1538,7.55051
"AASS",4.10201,4.11175,4.04714,4.07516,4.09339,4.3638
"AATF",7.9916,7.97021,8.10382,8.06384,8.06124,7.72573
"AATK",6.81154,6.65517,6.57646,6.73713,6.81593,6.78459
"ABAT",8.47099,8.33383,8.35176,7.64274,7.76317,7.35686
"ABCA1",5.02877,4.89672,4.8793,5.04192,5.00855,4.92757
"ABCA12",7.36692,7.0425,6.59912,6.83369,6.82407,6.15789
"ABCA2",5.43793,5.50004,5.44727,5.44975,5.47393,5.67227
"ABCA3",7.92919,8.00558,8.34733,9.25666,9.33752,9.00643
"ABCA4",8.44987,8.19362,7.7835,7.69653,7.79205,7.0668
"ABCA5",4.80929,4.621,4.62511,4.92822,4.72665,4.68566
"ABCA6",3.67741,3.77327,3.88715,3.77476,3.70547,4.10522
"ABCA8",3.56216,3.708,3.58088,3.56734,3.78494,3.66996
"ABCB1",4.06656,3.98461,3.82588,4.24314,4.08641,4.29589
"ABCB11",4.67355,4.48359,4.4418,4.45681,4.63714,4.79748
"ABCB4",4.63635,4.67397,4.55668,4.81021,4.54756,5.12432
"ABCB6",8.46619,8.17981,8.48741,8.53837,8.50329,8.2415
"ABCB7",7.20649,7.24351,7.4796,7.03078,7.32383,7.22162
"ABCB8",5.91011,5.91465,6.22561,5.95066,5.77116,5.94386
"ABCB9",6.50744,6.30059,6.16036,6.5102,6.38196,6.79602
"ABCC1",9.11108,8.67241,8.38819,8.87973,8.82564,8.42198
"ABCC10",8.48226,8.27712,8.1479,8.40545,8.4523,7.71255
"ABCC2",8.40099,7.72228,7.55699,8.21584,8.44154,7.93428
"ABCC3",5.57596,5.66555,5.46917,5.59868,5.48842,5.61118
"ABCC4",4.41385,4.17783,4.04846,4.42811,4.2388,4.29217
"ABCC5",8.31259,8.31774,7.85234,8.02343,8.27157,7.83526
"ABCC6",4.96252,4.69079,4.72174,4.8623,4.73133,4.87356
"ABCC8",7.35353,7.23533,7.15853,8.30496,8.21045,7.58937
"ABCC9",4.63531,4.58186,4.56852,4.58369,4.46608,4.54647
"ABCD1",7.45534,7.46308,7.11221,7.7966,7.64195,7.24512
"ABCD2",3.55406,3.72398,3.75835,3.61456,3.67861,3.67083
"ABCD3",11.624,11.8017,11.9176,11.0893,11.1029,11.468
"ABCD4",6.40575,6.41181,6.28911,6.79358,6.78789,6.84767
"ABCE1",8.38243,8.78668,8.79093,8.34294,7.82953,8.25766
"ABCF1",9.98518,9.68025,9.78243,9.69795,9.72677,9.42785
"ABCF2",8.9642,8.90349,9.02768,9.12867,9.11551,8.57508
"ABCF3",8.20411,7.95275,7.93396,8.22848,8.31789,8.01254
"ABCG1",8.30096,8.65996,8.39729,8.39052,8.54881,7.91179
"ABCG2",4.6597,4.50628,4.3793,4.39693,4.26556,4.50829
"ABCG4",5.93079,5.95888,5.82171,5.9157,5.91792,5.85456
"ABHD10",7.7359,7.7094,7.83441,7.50456,7.65205,7.77758
"ABHD2",6.18558,6.2638,6.39457,6.31365,6.2768,6.20675
"ABHD3",7.4697,7.41637,7.58356,7.75198,7.80102,7.71212
"ABHD4",7.8253,8.00615,7.42995,7.84029,7.62652,7.43593
"ABHD5",7.52841,7.53826,7.39487,7.67931,7.86557,7.26001
"ABI1",8.72379,8.77153,8.67392,8.45101,8.7658,8.51739
"ABI2",7.73032,7.93179,7.78017,7.63071,7.76876,7.71843
"ABL1",7.97706,7.77789,7.68186,8.09964,8.17159,7.40366
"ABL2",5.51645,5.47212,5.43852,5.57726,5.54899,5.49711
"ABLIM1",9.41994,9.31208,9.20516,8.91448,9.05141,8.72155
"ABLIM3",8.86898,8.38094,8.41142,9.30479,9.38683,8.78531
"ABO",5.767,5.59688,5.61277,5.78302,5.68663,6.42371
"ABR",7.96781,7.8999,7.66049,7.7659,7.77947,7.61672
"ABRAXAS2",7.86321,7.55733,7.58287,7.35376,7.44488,7.31521
"ABT1",8.08024,8.03047,8.08336,8.19883,8.34019,7.81138
"ABTB2",6.91941,6.42289,6.05841,6.85083,7.01964,6.56391
"ACAA1",9.40991,9.2074,9.26519,9.73087,9.59326,9.20197
"ACAA2",8.92041,8.66683,8.06249,9.14001,9.06069,8.83152
"ACACA",8.92106,9.09851,9.24557,9.18237,9.03703,8.59891
"ACACB",7.56105,6.99832,7.04877,7.41365,7.40206,7.29648
"ACADL",4.16566,4.44232,4.20844,4.30173,4.28675,4.3678
"ACADM",5.97725,5.96499,6.03872,4.8373,4.68841,4.9705
"ACADS",7.06587,6.72174,6.94007,6.86143,6.85365,6.66927
"ACADSB",4.09001,3.96022,4.1677,4.12828,4.2685,4.01946
"ACADVL",9.30058,9.36362,9.57735,9.55659,9.56728,9.18545
"ACAN",6.02555,5.9751,5.95555,6.19328,6.0809,6.45671
"ACAP1",5.23734,5.2265,5.35314,5.45621,5.48775,5.21385
"ACAP2",4.67642,5.23364,5.27262,4.21803,4.26076,4.27048
"ACAT1",9.76677,10.0122,10.0666,9.97806,10.0033,9.89876
"ACAT2",9.08745,9.24701,9.81351,9.41216,9.3174,9.12934
"ACBD3",9.65645,9.48282,9.47979,8.97705,8.92463,9.42059
"ACD",7.63431,7.97029,8.22582,8.24878,7.98239,7.85133
"ACE",4.52874,4.45502,4.63832,4.65938,4.61182,5.07411
"ACHE",5.60415,5.82011,5.61342,5.85886,5.57501,6.60739
"ACIN1",6.97799,6.74792,6.87957,6.99651,6.84332,6.71648
"ACKR1",4.81563,4.90872,4.87327,4.78892,4.82419,5.13596
"ACKR2",5.46169,5.33828,5.40895,5.54185,5.47567,5.31021
"ACKR3",8.69815,8.19668,7.362,8.58996,8.49274,7.70764
"ACLY",10.5824,10.6743,10.6061,11.0213,10.8853,10.6666
"ACO1",8.7866,9.02133,9.19128,8.54198,8.74574,8.39674
"ACO2",10.0127,10.0634,10.1304,10.1682,10.0872,9.78889
"ACOT11",6.38741,6.41902,6.0983,6.28773,6.2439,6.23369
"ACOT13",8.69829,8.72615,8.64568,9.31512,9.5149,9.14544
"ACOT7",9.23888,9.94366,10.3416,9.89271,9.45345,9.38895
"ACOT8",7.49248,7.25887,7.14322,8.04811,7.88649,7.55669
"ACOX1",6.5125,6.46639,6.37117,6.5154,6.54912,6.4123
"ACOX2",8.32836,8.19783,8.52317,6.04885,6.03291,6.1831
"ACOX3",6.42418,6.5422,6.5072,6.71973,6.54513,6.6362
"ACP1",9.12664,8.97995,9.16969,8.77816,8.85588,8.77586
"ACP2",8.8015,8.61668,8.49271,8.96724,8.85244,8.45527
"ACP5",5.47224,5.48584,5.19854,5.50033,5.43139,5.81128
"ACP6",9.0853,8.59178,8.56995,8.909,9.07527,8.57923
"ACPP",4.10772,3.98429,4.01319,3.96506,4.21638,3.94775
"ACR",5.79937,5.63317,5.72632,5.83021,5.75171,5.82947
"ACRV1",5.26788,5.19587,5.28456,5.19041,5.30196,5.38549
"ACSBG1",4.50601,4.61482,4.53625,4.53821,4.53684,4.57175
"ACSF2",6.45325,6.41336,6.031,6.26853,6.37339,5.91298
"ACSL1",9.91695,9.70505,9.69296,9.91742,10.0989,9.58999
"ACSL3",8.9887,8.80452,8.84386,8.8557,8.78261,9.01631
"ACSL4",3.40203,3.4816,3.43338,3.45195,3.44287,3.39457
"ACSL5",4.80236,4.96143,4.80294,4.96484,4.8594,4.71277
"ACSL6",5.92156,5.81689,5.94183,5.96468,5.93751,5.83819
"ACSM1",4.5685,4.75579,4.51152,4.78253,4.79822,5.18433
"ACSM3",5.17308,4.95478,4.901,4.77016,4.91841,4.77961
"ACTA1",4.12434,4.1215,4.16452,4.20167,4.08102,4.15751
"ACTA2",5.53455,5.52085,5.61152,5.86246,5.41805,5.27178
"ACTB",13.638,13.8123,13.7765,14.0025,13.5644,13.6022
"ACTC1",5.56556,5.84286,5.57621,5.92685,5.57319,5.73869
"ACTG2",4.71093,4.91837,4.92137,5.28622,4.82945,5.06271
"ACTL6A",7.23578,7.64005,7.68602,7.47586,7.56759,7.03799
"ACTL6B",5.53289,5.55392,5.46607,5.51957,5.55253,5.90046
"ACTL8",5.6885,5.91744,5.83178,5.97227,5.92797,5.79542
"ACTN1",9.97156,9.82444,9.95639,10.3742,10.1865,9.90029
"ACTN2",5.6442,5.91361,5.66383,5.96287,5.64025,6.03846
"ACTN3",5.12046,5.06176,4.9614,5.36885,5.24723,5.40533
"ACTN4",8.63,9.03365,9.30051,9.62028,9.41786,9.28104
"ACTR1A",8.21378,8.03514,8.01925,8.57606,8.47084,8.22773
"ACTR1B",8.51797,8.58556,8.6276,8.69915,8.842,8.35963
"ACTR2",11.0297,11.2023,11.0614,10.4293,10.1124,11.0075
"ACTR3",11.4457,11.395,11.4102,10.6672,10.7189,10.9442
"ACTR3B",5.76871,5.83111,6.01079,5.83914,5.80659,5.78224
"ACTR6",6.97948,7.15195,7.04128,6.924,6.96242,7.07616
"ACTR8",5.08473,5.15212,5.1499,4.97273,5.04591,5.01404
"ACVR1",9.12502,8.57265,8.14841,8.56016,8.8897,8.25361
"ACVR1B",9.02148,8.57793,8.66125,8.6221,8.53435,8.00233
"ACVR2A",8.0212,8.14303,7.90343,8.30587,8.3748,8.10828
"ACVR2B-AS1",4.99455,5.08133,5.05368,5.13841,5.13296,5.59246
"ACVRL1",6.48576,6.34028,6.39592,6.57688,6.57245,6.55053
"ACYP1",4.52572,4.80195,5.54284,4.59604,4.77953,4.5704
"ACYP2",6.34201,6.46745,6.23906,6.89244,6.64554,6.61721
"ADA",5.49054,5.738,5.37611,5.06207,5.13589,5.33218
"ADAM10",8.53212,8.56829,8.49321,7.43573,7.52845,7.84617
"ADAM11",5.81013,6.04691,5.96271,6.37355,5.91519,6.7083
"ADAM12",5.50474,5.36488,5.39882,5.5697,5.52338,5.37639
"ADAM15",6.9826,6.82314,7.086,6.82555,7.11976,6.55285
"ADAM17",6.20866,6.35538,6.25024,6.0856,6.32146,6.36018
"ADAM18",4.1909,4.18924,4.28262,4.24074,4.28449,4.28021
"ADAM19",5.17959,5.14552,5.22247,5.37263,5.16962,5.5584
"ADAM2",3.8683,3.72653,3.93937,3.87045,3.96734,4.01349
"ADAM20",5.50389,5.28303,5.53238,5.74331,5.54717,5.66047
"ADAM21",4.43071,4.61215,4.61073,4.49601,4.36855,4.19427
"ADAM22",5.27955,5.47762,5.33499,5.43008,5.32296,5.48722
"ADAM23",5.20252,5.42668,5.1968,5.382,5.53384,5.24152
"ADAM28",5.75255,5.95645,5.83695,6.32202,6.01919,7.11912
"ADAM3A",4.13274,4.15383,4.13908,4.30307,4.2333,4.5364
"ADAM5",4.89692,4.84174,5.0056,5.01666,4.87015,4.93735
"ADAM7",4.84856,4.87096,4.96426,4.91104,4.9019,5.03252
"ADAM8",5.57139,5.80793,5.78317,5.55384,5.61488,5.60189
"ADAM9",11.2367,11.1458,10.7744,9.68871,9.69016,9.94131
"ADAMDEC1",3.9894,3.97908,3.96312,4.07653,3.917,4.00307
"ADAMTS2",5.4867,5.47387,5.2929,5.52669,5.41676,5.96309
"ADAMTS3",3.70772,3.79569,3.74336,3.58795,3.65003,3.71727
"ADAMTSL2",4.60419,4.40479,4.5535,4.67716,4.80112,4.99359
"ADAMTSL3",3.69805,3.79411,3.74912,3.84062,3.71093,3.75648
"ADAR",10.8588,10.9073,10.9695,10.4772,10.4636,10.1987
"ADARB1",5.61621,5.33974,5.31827,5.51815,5.64793,5.74068
"ADCY1",5.53253,5.37445,5.6634,9.92498,10.5063,9.87669
"ADCY10",4.27092,4.3032,4.30749,4.30567,4.34253,4.27606
"ADCY2",5.8535,5.90795,6.0002,6.05912,5.88618,5.90576
"ADCY3",7.87917,8.32006,9.08819,7.09843,6.87661,7.3675
"ADCY6",8.29427,8.31649,8.36184,8.44762,8.6231,8.2543
"ADCY7",4.29453,4.38914,4.53087,4.14154,4.1248,3.8267
"ADCY8",4.42345,4.52848,4.32809,4.7705,4.50198,4.90811
"ADCY9",7.30688,6.94462,7.04976,7.50341,7.34834,6.43567
"ADCYAP1",4.92543,4.97755,5.16751,5.06207,5.12097,4.96903
"ADCYAP1R1",4.56155,4.51835,4.59376,4.5976,4.62454,4.66489
"ADD1",9.38313,9.21259,9.3619,8.71777,8.76854,8.61341
"ADD2",6.80099,6.59731,6.77385,6.95024,6.78615,6.88526
"ADD3",5.79797,5.811,5.21114,4.87768,4.65566,4.85603
"ADD3-AS1",4.74907,4.75889,4.80742,4.79339,4.82983,4.86775
"ADGRA3",7.38321,7.49643,7.57061,6.84084,7.10106,6.49042
"ADGRB1",5.54436,5.63911,5.50379,5.68949,5.57774,5.91781
"ADGRB2",6.45586,6.09652,6.46444,6.71505,6.45558,6.40653
"ADGRB3",3.71429,3.70852,3.56077,3.70733,3.70803,3.90237
"ADGRD2",5.11907,5.11316,5.05715,5.10125,5.29547,5.16385
"ADGRE1",4.84211,4.80017,4.80196,5.20252,4.89089,5.13984
"ADGRE2",4.10069,4.1695,3.9329,4.16475,4.11641,4.54978
"ADGRE3",4.65903,4.70118,4.76079,4.52555,4.55345,4.46625
"ADGRE5",5.11663,5.01048,4.96453,5.17214,4.96028,5.75609
"ADGRF5",5.03988,5.20967,5.15124,5.16633,5.28832,5.35464
"ADGRG1",9.55918,9.03735,9.05419,9.58632,9.83265,9.47528
"ADGRG2",4.69952,4.55806,4.54005,4.59212,4.55496,4.40676
"ADGRG6",7.32193,6.76325,6.82343,6.51071,6.59989,7.16147
"ADGRL1",7.49618,7.43849,7.92896,7.41984,7.36777,6.83292
"ADGRL2",3.82154,3.82094,3.81823,3.80104,3.79404,3.74645
"ADGRL3",4.28392,4.24241,4.39316,4.37547,4.27294,4.37357
"ADGRV1",3.84494,3.9201,3.98414,4.00075,3.87005,3.94075
"ADH1A",4.35095,4.42449,4.22477,4.43488,4.31056,5.01925
"ADH1B",4.35591,4.39681,4.40941,4.36873,4.25732,3.92097
"ADH1C",3.99185,4.06498,3.95942,4.12584,3.98344,4.08669
"ADH5",9.31322,9.71162,9.57777,9.60282,9.5231,9.38632
"ADH6",4.68921,4.54202,4.74436,4.64489,4.55511,4.66153
"ADH7",4.56139,4.59519,4.58436,4.6276,4.75634,4.6104
"ADI1",8.53432,8.24976,8.11841,8.54534,8.31934,7.83467
"ADIPOQ",3.85763,4.01227,4.04229,3.97264,3.90919,3.94517
"ADIPOR1",10.448,10.3236,10.3511,10.8675,10.7465,10.5908
"ADIPOR2",9.38317,9.41828,9.32789,9.17394,9.27481,9.032
"ADIRF",11.233,11.3606,11.0382,11.6838,11.7297,11.2702
"ADK",9.67414,9.7534,9.85561,9.3327,9.37853,9.19006
"ADM",6.68987,6.41016,6.31056,6.89192,7.05259,6.57365
"ADNP",9.94106,10.1052,9.93311,9.34878,9.59904,8.94598
"ADNP2",8.40438,8.18327,8.53632,8.17,8.4395,8.07086
"ADO",8.56896,8.5245,8.43323,8.35216,8.39859,7.87996
"ADORA1",6.42499,6.17713,6.17223,6.43898,6.31903,6.19433
"ADORA2B",5.68636,5.38939,5.20618,5.15389,4.86597,5.01496
"ADORA3",5.42378,5.48558,5.55105,5.19617,5.3885,5.24063
"ADPRH",4.72313,4.82957,4.72681,4.79662,4.65026,5.2781
"ADRA1A",4.14324,4.15054,4.14849,4.208,4.58915,4.38233
"ADRA1B",4.21529,4.28924,4.29506,4.23934,4.1489,4.70638
"ADRA1D",4.89304,4.87609,4.77449,5.07059,4.9019,5.70545
"ADRA2A",5.32797,5.25572,5.4579,4.73449,4.71388,4.69134
"ADRA2B",5.87639,5.45928,5.67916,5.9199,5.76876,5.81273
"ADRA2C",6.51159,6.31082,6.24332,6.11167,6.01143,6.54852
"ADRB1",4.04332,4.149,4.03977,4.24637,4.16907,4.69703
"ADRB2",4.91315,4.84118,4.63769,4.61879,4.73182,4.72455
"ADRB3",6.0073,6.07182,5.87231,6.17309,6.04488,6.38558
"ADRM1",9.11241,9.01158,9.10114,9.20405,8.88794,8.59206
"ADSL",9.97018,9.92473,9.96184,10.4644,10.4496,10.1429
"ADTRP",4.58281,4.61919,4.66985,4.71199,4.57983,4.6987
"AEBP1",5.66026,5.57709,5.68202,5.78609,5.74896,6.23479
"AFAP1",3.85225,3.59559,3.74089,3.55569,3.48745,3.42199
"AFDN",5.55479,5.53978,5.65547,5.46824,5.82384,6.07983
"AFDN-DT",4.25719,4.48575,4.48442,4.79439,4.60422,4.94635
"AFF1",8.76324,8.82415,8.73118,8.6128,8.72926,8.63908
"AFF2",4.74085,4.74278,4.74899,4.75366,4.81566,4.97677
"AFF3",4.84222,4.88727,4.62889,5.36867,5.605,5.22422
"AFG3L2",7.68323,7.53001,7.68726,7.75867,7.79134,7.57608
"AFM",4.09435,4.02873,3.91336,3.73066,4.05555,3.84197
"AFP",5.61741,5.81825,5.73662,5.38728,5.22685,5.72709
"AFTPH",9.6655,9.63095,9.63662,8.85971,9.02419,9.04344
"AGA",9.09144,8.849,8.35232,8.78272,8.94814,8.55155
"AGAP1",8.97961,8.45107,8.48089,8.76987,8.98114,8.37766
"AGAP2",5.86834,5.96898,5.78094,5.88388,5.94273,5.97793
"AGBL5",7.83061,7.98031,8.12611,8.50917,8.51906,8.097
"AGER",5.94984,5.8798,5.84764,6.07049,5.84398,6.25691
"AGFG1",9.7304,9.48496,9.57491,9.15205,9.27412,9.04236
"AGFG2",6.00056,6.01979,6.26427,6.41495,6.01535,6.5019
"AGGF1",7.48511,7.4599,7.48042,7.00393,6.94965,7.11187
"AGK",7.70464,7.72343,8.18941,7.95799,7.98905,7.54724
"AGL",7.71302,8.45094,7.71748,6.91137,7.13351,7.25133
"AGO1",7.31659,7.0425,7.18519,7.66438,7.66806,6.92126
"AGPAT1",8.90795,8.71624,8.98167,9.38947,9.21854,9.06498
"AGPAT2",8.07243,7.97115,7.69635,8.00951,7.87152,7.85277
"AGPAT5",7.12726,7.87699,7.76287,6.53931,6.49364,7.1447
"AGPS",6.53015,6.52245,6.83452,5.76346,5.86385,5.66516
"AGR2",11.2565,12.5625,12.5237,11.5086,11.1099,11.2993
"AGRN",9.08952,9.0385,9.16853,8.63729,8.50236,8.37631
"AGRP",5.84995,5.76531,5.95479,6.10325,5.87238,6.16157
"AGT",5.42655,5.5246,5.44193,5.54138,5.56639,5.63382
"AGTPBP1",5.68134,5.83459,6.08806,5.3573,5.56055,5.70905
"AGTR1",4.51403,4.39031,4.54985,4.62515,4.67114,5.25074
"AGTR2",5.15719,4.97023,5.19412,5.0933,5.1475,5.0856
"AGXT",5.60458,5.66701,5.44487,5.44952,5.44987,6.09897
"AHCTF1",6.66035,6.78902,6.67738,5.90047,5.78576,5.78917
"AHCY",9.95383,9.96455,10.0613,10.4244,10.3449,9.96042
"AHCYL1",10.9722,10.5879,10.5003,10.6582,10.8097,10.6014
"AHCYL2",6.70572,6.95141,7.02767,7.18765,7.40611,7.1886
"AHDC1",5.66106,5.54482,5.28396,5.99197,5.89033,6.49372
"AHNAK",10.829,10.6003,10.6524,10.4651,10.6314,10.3784
"AHNAK2",7.48816,7.46429,7.22591,7.51328,7.45387,6.54478
"AHR",6.86725,6.09725,6.07503,5.87455,5.69879,5.853
"AHSA1",10.6861,10.5729,10.5042,10.9192,10.8372,10.6499
"AHSG",5.27101,5.36237,5.22106,5.28323,5.37559,5.54049
"AIF1",6.18594,6.23412,6.15347,6.12869,6.13509,6.20944
"AIFM1",9.66707,9.56111,9.36372,9.49761,9.74079,9.5083
"AIM2",5.1271,5.23676,5.07987,5.24161,5.27647,5.83788
"AIMP1",8.9719,9.29983,9.29684,8.89014,8.60345,8.80433
"AIMP2",10.5709,10.2603,10.3375,10.4808,10.5045,10.0166
"AIP",9.63354,9.66298,9.71773,9.76289,9.70804,9.53531
"AIRE",5.96282,5.8174,5.81772,5.9199,6.01331,6.38508
"AJAP1",4.70663,4.67328,4.77616,4.74266,4.90196,5.00219
"AK1",8.58047,8.29857,8.34365,9.09021,8.88695,8.68083
"AK2",9.14512,9.34559,9.52759,9.60894,9.37676,9.17444
"AK4",7.53585,7.72851,7.81448,8.06383,7.75057,7.76798
"AK6",8.96653,9.03256,9.18487,8.80022,8.621,8.72615
"AKAP1",7.76486,7.53403,7.73855,7.47459,7.41382,6.98766
"AKAP10",6.88052,6.92122,7.08036,6.58326,6.6899,6.41293
"AKAP11",6.61962,6.90068,7.44652,6.17738,6.10916,5.65328
"AKAP12",4.16183,4.12051,4.11825,4.30423,4.3549,4.41833
"AKAP13",8.07792,7.86622,7.58837,7.54306,7.45483,7.42203
"AKAP17A",8.38841,7.91469,8.3526,8.56832,8.52885,8.27622
"AKAP3",4.47139,4.41362,4.41385,4.45128,4.69917,4.34379
"AKAP4",4.38576,4.4195,4.44662,4.5045,4.6835,4.48357
"AKAP5",4.37942,4.56067,4.62873,4.78125,4.67803,4.59163
"AKAP6",4.64772,4.59853,4.67698,4.65089,4.67851,4.79304
"AKAP7",6.00566,6.05948,5.83646,6.24111,6.1042,6.32677
"AKAP8",7.04712,6.99155,7.0211,7.07176,7.26131,6.95648
"AKAP8L",7.44943,6.8604,7.03773,7.3467,7.37293,6.87578
"AKAP9",8.02494,8.05969,7.94542,7.22212,7.55369,7.57038
"AKIRIN1",7.7903,7.55318,7.55605,7.26152,7.43638,7.29648
"AKIRIN2",4.42685,4.4983,4.43292,4.44916,4.69907,4.17589
"AKR1A1",10.6015,10.7359,10.779,10.9573,10.911,10.4535
"AKR1B1",7.61435,6.86195,6.26355,6.21451,5.88978,5.95099
"AKR1B10",9.28803,8.32564,6.84522,7.83541,7.36822,6.64969
"AKR1C1",13.7028,12.4058,11.0333,9.35521,9.32226,8.56256
"AKR1C2",13.7739,12.4725,11.0865,9.2367,9.25898,8.28875
"AKR1C3",12.447,11.0854,9.11716,8.41812,8.69414,7.37617
"AKR1C4",4.38496,4.33612,4.20483,4.12275,3.96202,4.17224
"AKR1D1",3.76825,3.66806,3.813,3.61701,3.85342,3.60497
"AKR7A2",10.4872,10.2526,10.4202,10.8758,10.8431,10.5136
"AKR7A3",9.54907,9.59489,9.66904,10.3285,10.4516,10.2393
"AKT1",9.65207,9.74098,9.68523,9.85147,9.70989,9.41804
"AKT2",4.75318,4.87579,4.84023,4.90133,4.92804,5.1039
"AKT3",5.46726,5.91044,6.06319,5.25809,5.27065,4.99176
"AKTIP",10.7079,10.3226,10.2439,9.91224,10.029,9.91129
"ALAD",6.92331,7.03031,6.96097,7.04266,7.19073,6.58534
"ALAS1",8.02281,7.37831,7.66906,8.27947,8.4666,7.4131
"ALAS2",5.87879,5.66763,5.82146,5.86373,5.8517,6.14455
"ALB",6.88417,8.7162,7.92875,4.23978,4.38606,4.4126
"ALCAM",10.3898,10.2823,10.1676,9.00755,8.9369,9.37885
"ALDH18A1",9.95278,9.75667,9.51754,9.92883,9.99666,9.58949
"ALDH1A1",3.66108,3.83102,3.69464,3.91392,4.02486,3.99064
"ALDH1A2",6.06391,5.89794,5.9572,6.03695,6.09536,6.45
"ALDH1A3",4.20236,4.09108,4.08323,4.14602,4.00681,4.17164
"ALDH1B1",6.03645,5.90686,6.28712,6.01897,5.89393,5.58419
"ALDH1L1",6.19287,6.13167,6.14501,6.31722,6.2914,6.13777
"ALDH2",11.6197,11.1033,10.8113,10.8678,11.2591,10.7997
"ALDH3A1",5.00339,5.0393,4.88387,5.02181,4.92531,4.87804
"ALDH3A2",9.91079,9.68712,9.25019,8.93966,8.85354,8.58998
"ALDH3B1",7.47432,7.53221,7.57696,9.09772,9.29874,8.89488
"ALDH3B2",11.1177,11.3295,11.7212,11.8665,11.6528,11.2784
"ALDH4A1",9.48891,9.31159,9.08564,9.92148,9.93773,9.81229
"ALDH5A1",5.20292,5.70164,6.20426,6.34544,6.18784,5.90344
"ALDH6A1",8.65491,8.85146,8.82022,8.82436,8.91865,8.45566
"ALDH7A1",9.33771,9.19611,9.52842,9.54764,9.82352,9.39591
"ALDH9A1",10.2868,10.3338,10.428,10.996,11.0317,10.8387
"ALDOA",12.8708,12.9811,13.1206,13.3141,13.1948,12.9619
"ALDOAP2",4.05136,4.05543,4.01109,4.1097,4.0607,3.97669
"ALDOB",5.84125,5.74706,5.86864,5.97206,6.0584,5.65006
"ALDOC",6.4712,6.51564,6.9377,6.60982,6.38605,6.2162
"ALG12",7.12256,7.27021,7.1056,7.46929,7.4208,6.92603
"ALG13",8.21413,8.04643,7.68568,7.83791,7.89822,7.62483
"ALG3",8.04613,7.99886,7.92652,8.24198,8.17455,7.86664
"ALG5",9.14997,9.18727,9.194,9.17477,9.23937,9.17779
"ALG8",11.0181,11.2447,11.1955,10.9647,10.9533,10.8155
"ALK",4.94342,4.9003,5.06968,5.01154,5.05968,5.17237
"ALKBH1",8.37343,8.31789,8.14282,8.38037,8.47461,7.995
"ALMS1",6.58045,6.78542,6.74722,6.54794,6.38291,6.52163
"ALOX12",4.77083,4.70612,4.76314,4.86057,4.64876,5.1174
"ALOX12B",4.34383,4.41567,4.16961,4.43609,4.30916,4.67862
"ALOX12P2",5.43897,5.60163,5.34771,5.76348,5.49434,5.70373
"ALOX15",4.86682,4.88584,4.95572,5.21376,4.99589,4.79466
"ALOX15B",5.02274,5.10797,4.93885,5.19062,4.9733,5.14044
"ALOX5",6.11303,5.947,6.19596,6.34734,5.95204,6.35377
"ALOX5AP",5.10488,5.14538,5.25683,5.18601,5.19068,5.03492
"ALOXE3",6.04912,6.02444,5.97947,6.23337,6.07382,6.50189
"ALPG",6.31676,6.15694,6.19647,6.26048,6.20182,6.39079
"ALPI",4.43925,4.73792,4.58813,4.80638,4.76543,4.64428
"ALPK1",6.18271,6.00543,6.10745,6.1391,6.05713,6.13123
"ALPK3",6.11716,5.85445,5.88053,6.10774,5.9357,5.84442
"ALPL",4.10565,4.07419,4.2645,4.09329,4.1992,4.52517
"ALPP",4.77106,4.79864,4.74506,4.75915,4.81286,5.26739
"ALX1",4.77198,4.97091,4.90632,4.81427,4.84774,4.70428
"ALX3",5.72175,5.76397,5.82641,5.88771,5.87672,5.90894
"ALX4",4.9035,4.96115,5.04756,5.19106,5.27879,5.64741
"AMACR",5.11857,5.06042,4.86671,5.23075,5.1215,5.26852
"AMBP",10.5091,9.20809,8.44805,12.0416,12.2812,11.9381
"AMD1",8.42402,8.65129,8.84094,8.29584,7.81451,8.24389
"AMELX",4.14288,4.23357,4.28649,4.07687,4.18733,4.30166
"AMELY",4.48347,4.59856,4.72314,4.74533,4.51814,4.7698
"AMFR",9.70804,9.52635,10.0734,10.2791,10.5756,9.90013
"AMHR2",5.98802,6.05824,5.9041,6.19567,6.0239,6.97628
