,MCF7_P1,MCF7_P2,MCF7_P3,MCF7_TamR1,MCF7_TamR2,MCF7_TamR3
LAMA3,0.333423734,0.50589093,0.584962501,1.819668183,1.757023247,2.195347598
LAMA4,0,0,0,0,0,0
LAMA5,6.518849829,6.331812684,6.589014385,7.333513184,7.103602544,7.242507238
LAMA5-AS1,0.137503524,0,0,0,0,0
LAMB1,3.039138394,3.486714373,3.734438666,5.880195729,5.747924416,5.634012356
LAMB2,7.36132973,7.194165869,7.108106224,7.221683781,6.758223215,6.949067966
LAMB3,0.97819563,0.669026766,0.970853654,2.99095486,2.845991771,2.739848103
LAMB4,0,0.014355293,0,0.275007047,0.250961574,0.137503524
LAMC1,4.824258697,4.725741157,5.014801602,6.712320641,6.163498732,6.217036793
LAMC2,0.669026766,0.604071324,0.757023247,3.097610797,2.339137385,2.462052319
LAMC3,0.443606651,0.214124805,0.137503524,0.028569152,0.056583528,0.084064265
LAMP1,6.534653056,6.18408189,6.274075255,6.148730779,5.801934646,5.711494907
LAMP2,5.882153917,5.720004787,5.499527024,5.533251852,5.17990909,5.099295204
LAMP3,0.659924558,0.495695163,0.526068812,0.056583528,0,0.084064265
LAMP5,0,0,0,0,0,0
LAMP5-AS1,0,0,0,0,0,0
LAMTOR1,7.040015679,7.303415463,7.374604819,6.948133578,7.261812858,7.313427266
LAMTOR2,6.817111573,6.919935917,6.936402378,7.132062678,7.478405614,7.336194109
LAMTOR3,4.826802684,5.060479781,4.820178962,5.421223299,5.269781238,5.339850003
LAMTOR3P1,0,0,0,0,0,0
LAMTOR3P2,0,0,0,0,0,0
LAMTOR4,7.052568051,7.29388543,7.312882955,7.245647774,7.566282415,7.655351829
LAMTOR5,7.590811576,7.936461272,7.938815059,7.396347899,7.584812212,7.706046995
LAMTOR5-AS1,2.64385619,2.117695043,1.589763487,2.185866545,1.709290636,1.782408565
LAMTOR5P1,0.389566812,0,0,0,0,0
LANCL1,4.627023106,4.69265037,4.573495715,4.482848283,4.263034406,4.059182199
LANCL1-AS1,0,0,0,0,0,0
LANCL2,3.244887059,3.849999259,3.795974694,3.538538164,3.815575429,3.794935663
LANCL3,0,0.070389328,0,0,0,0
LAP3,5.661920579,5.59454855,5.590063019,5.739308071,5.883865155,5.807612523
LAP3P1,0,0,0,0,0,0.344828497
LAP3P2,0.042644337,0,0,0.097610797,0,0
LAPTM4A,7.173827019,6.955940451,6.879338185,7.375126338,7.105384749,7.003827078
LAPTM4B,7.936755705,7.771687538,7.900806443,8.745439037,8.451046223,8.609511203
LAPTM5,0.056583528,0.042644337,0.042644337,0.056583528,0,0.070389328
LARGE,4.146492307,4.292781749,4.118525849,4.205548911,4.008092421,4.020591095
LARGE-AS1,0,0,0,0,0,0
LARGE-IT1,0,0,0,0,0,0
LARP1,6.386983342,6.493615314,6.431957188,6.69543711,6.428276414,6.456313341
LARP1B,4.164303583,4.116031993,3.959770155,4.038260575,4.119356177,4.022367813
LARP1BP1,0,0,0,0,0,0
LARP1BP2,0,0,0,0,0,0
LARP1BP3,0,0,0,0,0,0
LARP1P1,0,0,0.298658316,0,0,0
LARP4,4.957450336,5.055716264,4.817623258,5.526381863,5.338424415,5.02989455
LARP4B,5.170726276,5.587364991,5.404630684,4.572283367,4.693765712,4.498250868
