Hugo name,MCF7_1,MCF7_2,MCF7_3,MCF7_4,MCF7_13,MCF7_14,MCF7_15,MCF7_16
FUOM,3.402907685,3.511910749,3.653713554,3.56553625,3.509138416,3.361184427,3.201757739,3.514097005
LRRC27,2.764288823,3.205900745,3.065193149,2.714994975,2.743508505,2.497080917,2.783066854,2.392842194
MTG1,4.894449162,4.869752986,4.941880988,4.765221775,4.766584561,4.864958677,4.661481691,4.725495779
NKX6-2,0.047131976,0.188619939,0.183017662,0.053303637,0.09509724,0.312408439,0.31822196,0.064106125
PAOX,1.195964864,0.97874331,1.043120488,1.099207664,0.739773806,0.580246807,0.579439887,0.601029918
GSTO1,5.19424074,5.303806315,5.335847657,5.351278495,5.671333006,5.724707564,5.45431081,5.635304567
TAF5,2.27951884,2.532523934,2.471640102,2.385673997,2.780228197,2.942696531,2.90898579,2.955893039
PPRC1,3.370376344,3.378926338,3.390829993,3.194715887,3.937984611,3.760795781,3.890145086,3.619401272
ITPRIP,0.630720444,0.676645637,0.839943468,0.67684419,0.872313433,0.753563463,0.646446559,0.613283639
CNNM2,1.511149204,1.585424089,1.707180199,1.596248208,1.540161213,1.709590615,1.601786831,1.45540745
PDCD11,4.387231556,4.193550986,4.46440035,4.292310588,4.755411052,4.645615205,4.722077975,4.631110104
ADAM12,0.373198282,0.468328901,0.399959643,0.535766323,0.169719804,0.140303568,0.315807336,0.224604643
RGS10,5.064322423,4.962340793,5.205545001,5.09126823,5.039046248,5.102889045,4.933676493,5.214866949
BTBD10,3.873242306,3.853197255,3.950123097,3.847044814,3.749469908,4.007554336,3.63322194,3.739923691
ADM,1.928446128,1.42770807,1.917236964,1.75717263,1.20453515,1.395095712,1.63443993,1.245562594
GAS2,0.419635967,0.322567356,0.270948683,0.132484718,0.298236002,0.142606873,0,0.351698427
SLC5A12,1.079606808,0.831163011,0.941364019,0.787083869,1.043484498,0.885841404,1.115366237,0.79088378
LIN7C,4.389546162,4.301858309,4.408440141,4.502228749,4.318909707,4.421573409,4.395131367,4.448762224
LRRC4C,0.023918875,0.177031179,0.016636803,0.195287117,0.032609965,0,0.034354484,0
IMMP1L,4.607987145,4.562675931,4.659370886,4.663993515,5.010153222,4.908318157,4.707651783,4.867639523
SAA4,0,0.101873522,0.099441588,0.102722354,0,0,0,0.211377339
PGAP2,4.232461221,4.109444143,4.274269117,4.040305066,4.521157553,4.360750536,4.230487404,4.265309364
TUT1,2.920554372,2.850191339,3.057377486,2.932206719,3.015988114,3.142908411,2.975731058,2.885461131
SCGB1A1,0,0,0,0,0,0,0,0
SYT8,0.592196282,0.350483669,0.800772782,0.239715754,1.400712791,1.324153898,1.47668238,1.450474902
ZNF214,0.0252494,0.15054148,0,0.02838838,0,0,0,0.027796538
ZNF215,0.742040714,0.396344747,0.299568217,0.22378951,0.166210253,0.278696103,0.456035455,0.346543943
HSD17B12,3.628598642,3.784734293,3.963797769,3.827209306,4.041181642,4.145294316,4.364488389,4.112333158
APIP,3.800123353,3.734937182,3.864017717,3.709257546,3.750542193,4.071161993,3.88813926,3.916199544
PAMR1,0.063502528,0.103511605,0.154119129,0.146243337,0.025786879,0.024567342,0.026218474,0
DGKZ,5.461377943,5.475003794,5.59127848,5.455228571,5.630565646,5.811003415,5.54419479,5.599978283
EIF3M,6.969311686,6.882838656,6.970819151,7.14894427,7.179481193,7.470268409,7.308275313,7.482880543
TNKS1BP1,4.771531726,4.624434326,4.851454227,4.687262293,4.414751186,4.512726243,4.288557897,4.452707441
GLYAT,0.219958398,0.241729156,0.20408436,0.449165157,0.344400169,0.247537477,0.247479145,0.134172433
SERPING1,0.026218474,0,0,0,0,0.076086876,0.147025297,0.165168458
OR5F1,0,0,0,0,0,0,0,0
SSRP1,5.386838531,5.354723663,5.561943168,5.581507922,5.967546758,6.21086223,5.876637268,5.970273884
SLC43A1,0.38361638,0.627142673,0.782194661,0.513717112,1.239868475,1.109273627,1.246249975,1.388646938
PTPRJ,2.857188788,2.934386285,3.175117364,2.881355297,2.118552427,2.271434641,2.282255935,2.271849936
C11orf49,4.501177971,4.56175381,4.495918968,4.501744849,4.412862802,4.356805833,4.518170013,4.318873564
ARFGAP2,6.135124395,6.179467259,6.102540561,6.161651915,5.699904157,5.5813633,5.538230844,5.521160694
CELF1,5.56817807,5.560082108,5.634944607,5.560864718,5.677271438,5.667679281,5.837506836,5.71014519
