"","VC_rep2","VC_rep1","VC_rep4","VC_rep3","E2s_rep4","E2s_rep1","E2s_rep2","E2s_rep3"
"ARHGEF19",9.420223419,9.679150177,10.02546835,9.470150435,9.457432183,9.810451137,10.18395322,10.11348173
"ARHGEF2",11.76606557,11.88752765,12.16296952,11.76472648,11.46976263,11.89428726,11.93677135,12.00147417
"ARHGEF25",7.837706767,7.498250868,7.877590894,7.903053338,7.726473632,7.783243823,7.951831087,7.68938653
"ARHGEF26",7.351436196,7.453064814,7.33315535,7.487186855,7.351933039,7.376993567,7.414790924,7.312202278
"ARHGEF28",7.992973731,7.972513167,8.446618099,8.025347229,8.355240963,8.236133813,8.254733389,8.329628182
"ARHGEF3",11.57182373,11.5905812,11.57887976,11.28971993,11.35141549,11.52341493,11.07072474,11.29834902
"ARHGEF33",7.149493102,7.173364831,7.504918275,7.203225632,7.091237019,7.211523317,7.111787736,6.971974574
"ARHGEF34P",7.62561753,7.71630504,7.519046475,7.562337837,7.524247857,7.435566091,7.54399845,7.727665238
"ARHGEF35",7.615537684,7.586370695,7.87267488,7.389523792,7.473299871,7.478162893,7.593531183,7.430766147
"ARHGEF37",9.733756822,10.41539848,9.732951747,10.01604217,9.80656976,9.568478696,10.6570616,9.805764021
"ARHGEF38",7.233739497,7.171301918,7.403225109,7.446669787,7.480083319,7.510714726,7.638526419,7.515502735
"ARHGEF39",9.56495923,9.187800526,9.200867961,9.116928719,9.592410317,9.654255615,9.136734838,9.271171191
"ARHGEF4",7.708825242,7.410133309,7.327328083,7.467248908,7.652127928,7.851358649,7.334273285,7.432019847
"ARHGEF40",7.40599236,7.575444703,7.233260156,7.381326639,7.572036984,7.349834091,7.267137804,7.327777171
"ARHGEF5",9.261742352,9.712666706,9.458329708,9.191676146,8.693682963,9.291775054,9.651533855,9.439337437
"ARHGEF6",9.649907309,10.54837641,10.0173304,9.850177069,8.957283456,9.580376353,8.883177848,9.312925487
"ARHGEF7",11.53292203,11.8957788,11.61124962,11.7293074,11.63293841,11.81804786,11.68487461,11.56837181
"ARHGEF9",8.181835542,8.493955494,8.367250923,8.292264108,7.942221245,8.254910505,8.285026468,8.276066231
"ARID1A",12.1458645,12.72421806,11.89044479,12.40114285,11.77138114,12.32090277,11.72864332,11.84254186
"ARID1B",9.540394462,10.22436351,9.544795433,9.485439406,9.408143951,9.714910893,9.225493658,9.556350377
"ARID2",9.135388652,9.736972639,9.093186451,9.376885074,9.411722822,9.277330994,9.006396213,9.152570057
"ARID3A",10.45640576,11.04961886,10.83234613,10.52546575,10.29328483,10.80249617,10.88958952,10.62994851
"ARID3B",8.31299637,8.565435336,8.824004051,8.474212937,8.398957409,8.613651357,8.85590018,8.852646543
"ARID3C",7.447599858,7.279262342,7.48058827,7.403225109,7.339181934,7.580965136,7.519046475,7.355240963
"ARID4A",8.855063118,9.213833283,8.295367173,8.949498457,9.156715144,8.478466288,8.486910422,8.39065264
"ARID4B",11.23511671,11.14075789,10.4807902,10.55797817,10.72369294,10.83974509,10.55414514,10.61278213
"ARID5A",7.348728154,7.282856762,7.257034198,7.309931032,7.202491187,7.167919866,7.331812684,7.362382216
"ARID5B",11.0437792,10.80249617,10.75214018,10.57572832,10.48834228,10.67369554,10.44223078,10.33771945
"ARIH1",10.2512161,10.51771859,10.13743948,10.26734267,10.15488138,10.32242112,10.3126561,10.05706098
"ARIH2",10.85347526,11.76313454,11.34660376,10.9758032,10.77764574,11.43990878,11.51666648,11.40732088
"ARL1",12.66781287,11.44335153,12.35777535,12.65517012,12.53703939,12.5405216,12.27132441,12.27340953
"ARL10",7.343407822,7.395534135,7.362491806,7.427836603,7.454967529,7.333826215,7.320913343,7.265966595
"ARL11",7.046714772,7.394033895,7.03727239,6.885238786,7.059614856,7.072802535,7.029632328,7.150128063
"ARL13A",7.246265559,7.371994393,7.288866074,7.22905912,7.326092369,7.302181941,7.122051448,7.291400959
"ARL13B",7.681677655,7.387586566,7.38056929,7.676309727,8.091038624,7.442632537,7.348728154,7.433272458
"ARL14",7.038781844,7.057044051,7.237807474,7.255146625,7.270996061,7.18611424,7.321928095,7.121015401
"ARL14EP",10.39042425,10.00830606,10.04348874,10.10832843,10.4887816,10.17651601,9.952395454,10.0698609
"ARL14EPL",7.484722214,7.566006455,7.558994616,7.448942236,7.345793314,7.484117986,7.57865573,7.497752062
"ARL15",7.721099189,8.116733826,8.211340794,8.259213629,7.969314565,7.701349785,7.938256382,7.980425232
"ARL16",10.98883111,10.36110762,10.36176562,10.64885749,11.24540415,10.49702849,10.51316008,10.67237562
"ARL17A",8.142426202,8.842193179,8.310328759,8.411987571,8.237329483,8.428203122,8.210397388,8.360051463
"ARL2",11.71133358,12.03097743,12.07820085,11.81173342,11.9590737,11.91859774,11.89428726,12.18422837
"ARL2-SNX15",7.564387696,8.214015491,7.941194363,7.841642967,7.73178571,7.844705764,8.188959671,7.88310146
"ARL2BP",11.89223922,11.88912366,11.89489353,11.82759577,11.82857784,11.81953547,12.05188866,11.77839032
"ARL3",8.153805336,8.493955494,8.341463227,8.011192306,8.236432824,8.622578087,8.640199738,8.491452292
"ARL4A",10.60897668,11.31050628,10.7780874,11.03226962,10.32484154,10.42361494,10.64103567,10.39527974
"ARL4C",7.724641746,7.748360595,7.723532965,7.53794636,7.691481822,7.583270851,7.454607749,7.665335917
"ARL4D",8.353367404,9.115791472,8.555859283,8.426946099,8.248698485,8.495655194,8.410981267,8.099939496
"ARL5A",13.03333481,10.85293909,12.7807653,12.63041503,13.06935746,13.0426811,12.84353835,12.9683518
"ARL5B",9.416612825,9.438337041,9.152886896,9.307912302,8.968810768,9.23044081,9.028683101,9.034214339
"ARL5C",7.107674794,7.183015001,7.25502857,7.187475798,7.296572121,7.261801107,7.282393469,7.352815894
"ARL6",7.36347774,7.410133309,7.401199525,7.540515547,7.541387062,7.444186663,7.46994701,7.27076252
"ARL6IP1",14.57139714,14.75123021,14.6415219,14.7503609,14.79909313,14.93090535,14.77230426,14.45181318
"ARL6IP4",9.691612676,9.601422606,9.982726252,9.607515263,9.566934042,9.493179966,10.32433527,10.47217042
"ARL6IP5",13.150257,10.96462967,12.80447642,13.15411003,13.48951873,12.37475423,12.23722864,12.90751506
"ARL6IP6",10.96047261,10.78260412,11.21021472,11.14530728,11.09495188,11.19872895,11.27078442,11.11757006
"ARL8A",7.161761743,7.598238642,7.222794903,7.461223628,7.4268937,7.244958393,7.46994701,7.253492971
"ARL8B",11.51758943,10.45028337,10.63870741,11.3378379,11.84399954,10.89966847,10.56704103,10.8271839
"ARL9",7.394033895,7.320913343,7.074810461,7.169048097,7.248283398,7.368397328,7.029632328,7.333937996
"ARMC1",11.15958756,10.48692299,10.48724967,10.88702065,11.56942843,10.28320413,10.21222278,10.89356699
"ARMC10",12.12613173,12.46862404,12.00241069,12.23197114,11.94679664,12.27806826,12.14328754,11.85941346
"ARMC12",7.941267736,7.286326727,7.916924431,7.901281749,7.83683936,7.78496195,7.935901682,8.10518829
"ARMC2",7.304693557,7.394033895,7.278565613,7.362382216,7.417641579,7.400345797,7.327777171,7.446566409
"ARMC4",7.193155707,7.273562512,7.140446364,7.231521211,7.171802289,7.371994393,7.122051448,7.225629216
"ARMC5",7.855257827,7.544191698,7.420697133,7.594604531,7.890720273,7.812056942,7.348728154,7.784307667
"ARMC6",8.830871677,9.084276911,9.432398354,9.098196615,8.767398239,9.01972971,9.248016493,9.251778257
"ARMC7",10.75584731,11.26850545,11.40279891,11.01002976,10.45788102,10.98519265,11.10197567,11.03990433
"ARMC8",9.991114348,10.90147032,10.16958057,10.34817487,9.910155504,10.17033195,10.49765228,10.056028
"ARMC9",7.493955494,7.718960912,7.531673869,7.627351484,7.726047819,7.470048726,7.28343567,7.68938653
"ARMCX1",7.887182529,8.772190838,8.1866095,7.993079909,7.748612177,8.069718276,8.389711995,7.803202815
"ARMCX2",10.19884403,8.19358696,9.620448952,9.410398349,10.1141246,10.02952881,9.546412195,9.764726485
"ARMCX3",10.45572535,11.19517225,10.39655796,10.5206064,10.37338177,10.40535423,10.15271264,10.27464023
"ARMCX4",7.244958393,7.126059116,7.131342539,7.104074518,7.170551035,7.018756559,6.990529475,7.212861117
"ARMCX5",9.170410201,7.334831928,8.429302119,9.177201498,9.435487959,8.547280156,8.016077007,8.341157409
"ARMCX5-GPRASP2",9.181975265,9.528576202,9.0655676,9.042770858,8.799686361,9.293069247,8.785084595,8.948257711
"ARMCX6",10.6858876,10.74168291,10.53596181,10.73732129,11.03548645,10.18410049,10.36122417,10.53273335
"ARMH1",7.145040532,7.209697044,7.406523915,7.161257877,7.606358942,7.437544026,7.159619095,7.462144366
"ARMH3",10.40774575,10.20974273,10.46638241,10.17244314,9.74810897,10.59319268,10.50455833,10.23093609
"ARMH4",7.114913555,7.387586566,7.355461222,7.359969132,7.247393523,7.306631362,7.33645077,7.45007712
"ARMT1",9.829643464,10.36155317,10.52207881,10.29876426,10.34028826,10.74742726,10.46173522,10.74228838
"ARNT",8.592690615,8.620448952,8.202552405,8.242548918,8.315942034,8.210123381,7.993999792,8.020077104
"ARNT2",7.748905633,8.088986943,7.716605141,7.620861288,7.756389527,8.038644687,7.74306722,7.849796022
"ARNTL",9.948695743,10.86615844,10.47176411,10.38878419,9.844607699,10.28224866,10.50225998,10.18858885
"ARNTL2",7.25337478,7.261977357,7.25609072,7.507893723,7.586183015,7.603811769,7.423431104,7.345405247
"ARPC1A",13.1197274,13.51940513,13.57057174,13.1336279,12.94475781,13.416753,13.47783414,13.36793171
"ARPC1B",11.05985986,11.07072474,11.19462606,10.98409798,10.86615844,10.601794,11.41611797,10.96144517
"ARPC2",13.78078132,12.9376198,13.62324137,13.27838412,13.62967821,13.62967821,13.78921394,13.76132268
"ARPC4",13.00073507,13.20607571,13.05389831,13.29715093,12.62266673,13.09187542,13.24539858,12.8448504
"ARPC4-TTLL3",8.029425277,7.655575443,8.207807462,7.764000736,7.762215916,7.960364009,7.947235119,8.031356596
"ARPC5",12.74963901,10.99866094,11.75501795,12.53353658,13.26705,11.801097,11.3846691,12.11175921
"ARPC5L",12.35854819,12.92076688,12.61512095,12.46196218,12.54424604,12.57078369,12.52756864,12.528506
