"","VC_rep2","VC_rep1","VC_rep4","VC_rep3","E2s_rep4","E2s_rep1","E2s_rep2","E2s_rep3"
"A1CF",7.415847379,7.519046475,7.39210272,7.559377091,7.304693557,7.388340241,7.237687991,7.454299294
"A2M",7.087197616,7.329347878,7.236014192,7.057314878,7.262916994,7.074141463,7.278333295,7.195495247
"A2ML1",7.095792589,7.239001758,7.12425058,6.964846228,7.246384334,7.167292689,7.52160044,7.010667963
"A4GALT",7.457483485,7.240910558,7.426055045,7.2848241,7.765451869,8.533767731,8.399010833,8.26684509
"A4GNT",7.271696455,7.196233261,7.552380914,7.493054842,7.424376273,7.444963098,7.634357301,7.434211203
"AAAS",8.199181549,8.71630504,8.54925523,8.484848063,8.66088727,8.413257689,8.363696745,8.327047332
"AACS",10.2817562,10.75834815,10.7287921,10.50807948,10.31340742,10.33511117,11.14469409,10.47313495
"AACSP1",7.713128714,7.408542042,7.486533381,7.510071825,7.536344364,7.482303782,7.747018085,7.17292749
"AADAC",7.357991784,7.811495114,7.521698579,7.468522226,7.393497717,7.71381608,7.647098607,7.660530785
"AADACL2",7.331028884,7.173364831,6.960870764,6.961594391,7.001830385,7.204937885,7.083878174,7.09288925
"AADACL3",7.394033895,7.970681128,7.65745244,7.468522226,7.550073371,7.408223578,7.440765373,7.666490322
"AADACL4",7.114913555,7.448942236,7.456713761,7.534205597,7.286326727,7.304123119,7.230320716,7.202980858
"AADAT",10.44918734,11.53136318,11.15461245,10.80638851,10.56133568,10.80680133,10.62114756,10.80806925
"AAK1",8.240075769,8.391673219,7.975203124,7.63780222,7.759472121,8.33231633,7.799807761,7.908092341
"AAMDC",10.66365816,9.673960482,10.69621774,10.70390357,10.66383603,10.64259328,10.56114472,10.81197669
"AAMP",9.967604538,10.13620613,10.31862754,10.33618574,10.11348173,9.884647522,10.012642,10.44577791
"AANAT",7.315602457,7.309760545,7.195495247,7.279378431,7.220378328,7.174800876,6.939579214,7.152665116
"AAR2",11.45374648,12.12086965,11.84771315,11.56358657,11.21021472,11.72311162,11.62376149,11.63181367
"AARD",7.283088353,7.153805336,7.076815597,7.14070198,7.183511327,7.18096585,7.006326079,7.317073382
"AARS",14.48229669,14.74949106,14.55125389,14.48676747,14.76605457,14.93285373,14.49752053,14.41325356
"AARS2",9.506257986,9.546617177,9.646761195,9.578926923,9.64570346,9.534910768,9.679315148,9.642209677
"AASDH",9.522495712,8.381056203,9.205915403,9.221103725,9.833977162,9.356534502,8.965567864,9.319291077
"AASDHPPT",10.92700938,10.44379181,10.08991387,10.53123523,11.40786522,10.29968741,10.16606106,9.941084297
"AASS",7.390276456,7.53838296,7.571752644,7.428569547,7.430138888,7.331812684,7.588714636,7.572794951
"AATBC",7.322040801,7.145804806,7.425425735,7.166539716,7.340406491,7.473502825,7.382191694,7.167919866
"AATF",11.42199904,11.73113868,11.72975615,11.48287727,11.09582555,11.54776213,11.87648337,11.72117397
"AATK",7.442632537,7.913338238,7.889846154,7.472183116,7.456046333,7.653024179,7.645658432,7.605572114
"ABAT",8.392210075,8.627807442,8.251423234,8.198690586,8.903542968,8.901319466,8.570235215,8.911841356
"ABCA1",11.29026369,10.80557259,10.87063443,11.39531991,10.71840444,11.13485143,10.4807902,10.78798416
"ABCA10",7.340517763,7.230080497,7.162265434,7.239717854,7.426055045,7.478162893,7.273329387,7.433272458
"ABCA11P",8.142426202,8.443254388,8.041590711,7.990919416,8.122180901,8.27257147,8.329488037,8.294391002
"ABCA12",11.27686592,10.70281119,10.68213872,11.19594886,11.18828748,10.94577301,10.1191681,10.74830818
"ABCA13",7.226532613,7.211888295,7.016947537,7.089185621,6.902073579,7.025831668,7.072132604,7.137119232
"ABCA17P",7.076815597,7.103156648,7.241864012,7.003447638,7.107609414,7.332931659,7.132371199,7.273329387
"ABCA2",8.422064766,8.289529031,8.225388214,8.009093789,8.340128274,8.304009005,8.20939244,8.583693949
"ABCA3",10.99866094,11.39952494,11.30248899,11.48333085,11.66919511,10.89550902,10.77912426,11.53552447
"ABCA4",7.883406986,8.257535169,7.845215599,7.769259328,7.697749498,7.70269217,7.400345797,7.847840356
"ABCA5",7.858525012,7.898110077,7.948221202,7.833996921,7.615215803,7.736782428,7.57865573,7.782916328
"ABCA6",7.607561496,7.883177848,7.760096169,7.697879786,7.524933432,7.669948004,7.953287068,7.630767658
"ABCA7",8.317186468,8.161761743,8.512937943,7.961739073,8.480083319,8.607653959,9.032803391,8.888134388
"ABCA8",7.263151808,7.389308673,7.43269848,7.349060024,7.279378431,7.434419731,7.167919866,7.45907295
"ABCA9",7.359310317,7.600052271,7.600098745,7.407480222,7.616319097,7.526988205,7.496354489,7.327777171
"ABCB1",7.508983185,7.151777655,7.398262713,7.154311811,7.183511327,7.238643576,7.321928095,7.341852356
"ABCB10",11.61687043,8.396283671,10.79501483,10.80806925,11.88882409,11.18275126,10.6544794,11.12289269
"ABCB11",7.311578042,7.309760545,7.41974955,7.368288186,7.255146625,7.285980106,7.417430613,7.211644987
"ABCB4",7.122957379,7.085339669,7.110874761,7.093879681,7.199549661,7.285980106,7.167919866,7.12683351
"ABCB5",7.219652565,7.327328083,7.12425058,7.326317123,7.26185986,7.152411611,7.07721629,7.349060024
"ABCB6",11.26499963,8.499447297,11.16546448,11.17080137,11.54715964,11.04415502,10.70798457,11.38671127
"ABCB7",10.22514717,7.725195817,9.540164372,9.688250309,10.0764816,9.972746496,9.118746451,9.53537259
"ABCB8",7.587683771,7.782752553,7.779144789,7.584774638,7.726047819,7.667555107,7.857125696,7.828771194
"ABCB9",12.26483841,12.38336342,12.02221608,11.97257599,11.80224371,11.80617702,11.34223443,11.80760649
"ABCC1",7.969674312,8.711623959,8.50109077,8.259743264,8.015624123,8.328001662,8.707315989,8.465617419
"ABCC10",8.086003496,8.27257147,8.31299637,8.126446365,7.96459357,8.407161524,8.22394136,8.420907623
"ABCC11",11.01521466,11.48040525,11.43137354,11.19296314,10.94495908,11.61355352,11.82777686,11.52932684
"ABCC12",8.644239355,8.784553058,9.014961961,8.724599116,8.730639956,8.810571635,8.820498107,8.877284134
"ABCC13",7.390276456,7.654188473,7.745632311,7.608855435,7.441906705,7.456970381,7.599726916,7.460353501
"ABCC2",9.888381769,9.80161743,9.818642089,9.587355614,9.469641817,9.656827046,9.830416172,9.882022053
"ABCC3",8.974755146,9.775085532,9.366212915,8.957900093,8.970177808,9.448013031,10.35698834,9.391619522
"ABCC4",7.987619312,7.661778098,7.784266764,7.962751439,7.67542783,7.781359714,7.884552134,7.562337837
"ABCC5",10.27367906,10.94209292,10.61836256,10.59987798,9.801102057,9.960146774,10.32158992,9.835635955
"ABCC6",8.440220328,8.856425529,8.974091883,9.087263927,8.591078156,8.721013718,8.752652433,8.864340932
"ABCC8",7.637756945,7.622966945,7.941194363,7.646783692,7.790470685,7.914908295,8.278449458,7.957247175
"ABCC9",7.493955494,7.496654083,7.666579084,7.654277995,7.521305982,7.474821327,7.417430613,7.442425193
"ABCD1",8.573718185,8.77276818,8.835063492,8.219924769,8.204876768,8.659549997,8.881649326,8.410053787
"ABCD2",7.357991784,7.265615046,7.21273955,7.236731772,7.48598021,7.20725841,7.188465216,7.492454094
"ABCD3",9.0399129,9.459738978,9.260919534,9.482429842,9.50109077,9.150699289,8.848231701,9.102139753
"ABCD4",7.265732239,7.779801417,7.495355392,7.461786371,7.385700654,7.594231283,7.348728154,7.442425193
"ABCE1",11.31267028,10.48937133,10.97862109,11.31438498,11.45619396,11.21981892,11.11926538,11.20663285
"ABCF1",12.24747883,12.96098385,12.82745932,12.5265512,12.29794081,12.73436563,12.6650194,12.74094284
"ABCF2",10.40581956,10.76144735,10.86063599,10.77186082,10.30249613,10.70933157,11.0269902,10.73178571
"ABCF3",8.77700868,9.518800663,9.65479264,8.9622815,8.592059868,9.135388652,9.433481121,9.425465075
"ABCG1",9.953841774,11.07033062,10.53216108,10.52215239,9.742119928,10.13660668,10.39258576,9.883206492
"ABCG2",7.050256802,7.336618133,7.049576317,7.243412032,7.186980835,7.547280156,7.180655119,7.041385369
"ABCG4",7.274261661,7.397246787,7.318203844,7.434419731,7.396818815,7.268191079,7.269711121,7.319785003
"ABCG5",7.841721581,7.77033353,7.991025746,7.760470469,7.852139328,7.897694222,7.899130304,8.141436623
"ABCG8",7.174051814,7.19451064,7.163146469,7.428569547,7.109047078,7.222794903,7.216260837,7.283030459
"ABHD1",8.562480945,9.055960234,8.879353503,8.611831706,8.700743138,8.820218859,8.523880451,8.999013445
"ABHD10",9.687747464,10.12232652,10.39198865,10.1585308,10.00010566,9.985824152,10.17290406,10.2817562
"ABHD11",11.83537443,12.38081615,12.1746156,12.20388325,11.73113868,11.85306096,12.19054619,11.96612238
"ABHD11-AS1",7.282161767,7.261977357,7.35502067,7.423536153,7.255146625,7.178540368,7.459329151,7.520618681
"ABHD12",10.40159954,10.59645767,10.52497015,10.29764712,10.47787208,10.09585851,10.71342411,10.39561446
"ABHD12B",7.568098627,7.391136162,7.665513578,7.329347878,7.525618682,7.267020725,7.258330473,7.45291043
"ABHD13",7.484722214,7.309760545,7.692353962,7.594044623,7.475632115,7.603533624,7.851358649,7.320913343
"ABHD14A",8.168296041,8.120561896,8.560619434,8.225779821,8.071998581,8.469387441,8.545905644,8.749010425
"ABHD14A-ACY1",11.50363632,11.70727824,12.03056369,11.70872827,11.49468374,11.94079533,11.69743459,11.84177563
"ABHD14B",9.705049144,10.06127836,10.04145382,9.793400098,9.273547943,10.01675607,9.585948381,9.891005197
"ABHD15",9.218684313,7.14758654,8.31687546,8.944638863,9.499796069,8.446618099,8.11175514,8.597447372
"ABHD16A",9.995413852,10.37702747,10.5088718,10.10377136,9.85898144,10.19970301,10.3941009,10.14282503
"ABHD16B",7.237807474,7.139807127,7.220620167,7.119719295,7.255972742,7.152411611,7.183263185,7.195495247
"ABHD17A",11.28351525,11.26119876,11.40374437,10.97639407,10.74697611,11.34113656,11.34131033,11.34131033
"ABHD17B",8.95015489,9.80161743,9.320997933,9.435487959,9.576933052,9.341463227,9.451004998,8.915356569
"ABHD17C",12.57907134,11.77937567,12.05691285,12.39440575,12.44423844,12.29544969,12.08746284,12.20645352
"ABHD18",8.412358137,9.129250814,8.259213629,8.509131684,8.342463632,8.505563476,8.331700739,8.047498855
"ABHD2",8.011576703,8.496903697,8.3851344,8.201940107,7.999436337,8.319897877,8.427103287,8.546146881
"ABHD3",11.34746912,11.77882149,11.28195175,11.54891821,11.31438498,11.27686592,11.21885834,11.15779692
"ABHD4",8.317780025,8.848583821,8.872444031,8.473299871,8.385700654,8.520815086,8.522140123,8.469311119
"ABHD5",9.556086884,7.430034319,8.806509345,8.934059395,9.638684789,8.998766701,8.486910422,8.891593862
"ABHD6",8.956666555,9.416969016,8.995555182,9.028562246,8.653248154,9.032114622,9.131889106,9.219077744
"ABHD8",8.984097983,9.698596157,8.889789128,9.193463758,8.946431145,8.746871172,8.851358649,9.022887922
"ABI1",9.68892778,9.439817901,9.897864359,9.280843251,10.11605149,9.74281467,9.605363764,9.305221012
"ABI2",10.432307,10.12680125,9.87717867,10.04119711,10.23063594,10.32433527,10.17704573,10.04364252
"ABI3",7.433272458,7.334831928,7.482404631,7.508884177,7.198813342,7.434419731,7.406949019,7.462144366
"ABI3BP",7.2586838,7.483412734,7.327328083,7.245790363,7.498250868,7.664713932,7.57865573,7.567100469
"ABITRAM",10.20751771,11.27148491,10.82766027,10.76531718,10.17066056,10.62820629,10.70613983,10.66383603
"ABL1",10.56549484,11.47423829,11.45998866,11.26714512,11.08493292,11.17317742,11.40403721,11.25384748
"ABL2",8.011576703,7.644937806,7.686281655,7.55688919,7.797012978,8.021535249,7.843724806,7.784307667
"ABLIM1",13.07770448,12.73676922,12.66175583,12.77959112,12.46302938,12.94535696,12.36179303,12.58308571
"ABLIM2",7.740876979,8.091865089,7.931106833,7.843724806,7.702172685,8.054332982,8.180095633,7.679875907
"ABLIM3",7.448942236,7.473299871,7.236731772,7.369815424,7.26185986,7.354139164,8.155039558,7.355240963
"ABO",7.314243347,7.098953218,7.46311562,7.189083258,7.142872887,7.478870716,7.250653718,7.31101032
"ABR",11.45619396,11.86509528,11.80420162,11.70122252,11.68578907,11.78588153,11.84608288,11.78251709
"ABRA",7.243412032,7.336618133,7.416903061,7.163649676,7.373626463,7.320913343,7.241029774,7.240910558
"ABRACL",9.839597483,7.530211233,8.8608348,9.319531005,10.22336825,8.831148871,8.787596525,9.176889954
"ABRAXAS1",7.524247857,7.183015001,7.328338334,7.520618681,7.320913343,7.400345797,7.541483864,7.425215903
"ABRAXAS2",11.65324815,11.25810224,11.98502361,11.92879593,11.93544594,11.90329347,11.76630114,11.5907917
"ABT1",8.341630009,8.966577549,8.178229114,8.178229114,8.165660751,8.534886458,8.264178668,8.454941834
"ABTB1",8.268074087,8.52542293,8.467350814,8.215047571,8.482001193,8.155703703,8.210397388,8.53464333
"ABTB2",7.86735597,8.029425277,8.099808032,7.868243818,7.783243823,8.061202407,8.008848763,7.940827443
"ACAA1",11.15294234,11.45227342,11.62008233,11.13756756,11.11458013,11.2958837,11.55433103,11.52756864
"ACAA2",9.081017333,7.439103641,8.954087232,8.86623573,9.67985392,8.967622549,9.056773173,9.618683739
"ACACA",12.21857837,11.8611984,11.77224755,11.99013943,11.80678623,12.15303737,11.65928797,11.8338586
"ACACB",11.08493292,11.22486842,11.05985986,11.17813572,10.95117542,11.29053009,10.66006276,11.2104811
"ACAD10",9.108589795,9.296615136,8.799605422,8.864340932,9.155419107,8.968198777,8.544288313,9.064709088
"ACAD11",9.10053094,9.144498926,9.029080127,9.040323973,9.151904468,9.290479698,9.038438925,9.069818953
"ACAD8",9.914366444,11.14286491,10.61072497,10.48212728,10.16173026,10.60955968,10.48183096,10.12328079
"ACAD9",10.92026911,11.38916748,11.37425839,11.01043195,10.90807826,11.25536795,11.43137354,11.39139129
"ACADL",7.061506207,7.151777655,7.08991387,7.122439774,7.180903709,7.174051814,7.314583244,7.079484784
"ACADM",12.53585249,11.60556633,11.7887744,12.25089054,12.50497722,11.87307397,11.61909658,11.82151989
"ACADS",7.348728154,7.100662339,7.273329387,7.17255252,7.222794903,7.25219234,7.179287105,7.299894853
"ACADSB",7.962751439,8.948421989,8.296686825,8.209757957,7.966072795,7.949170128,8.364079924,8.094143681
"ACADVL",12.64101873,13.05268691,13.28345195,12.7707826,12.99279232,12.85145382,13.16925758,13.20491688
"ACAN",7.33237228,7.336618133,7.139551352,7.245790363,7.131342539,7.421749274,7.237687991,7.320913343
"ACAP1",7.349944639,7.14363831,7.314243347,7.398316163,7.274844027,7.175300036,7.234098898,7.363587247
"ACAP2",9.94454736,10.73254904,10.16026538,10.367756,9.597633592,10.15813629,9.898620281,9.925211342
"ACAP3",7.750204509,7.35887094,7.879353503,7.545929769,7.87843415,7.880616658,8.043505823,7.807918365
"ACAT1",12.78407757,12.88668493,12.78531708,12.71746223,13.1254498,12.78167476,12.66851385,12.73365621
"ACAT2",12.04872952,12.63719656,12.19865989,12.44602032,12.25021698,12.47940767,12.54424604,12.29072447
"ACBD3",12.59612859,9.551756319,11.75248519,12.34482295,12.42651374,11.78126237,11.58805286,11.80935113
"ACBD4",7.466484377,7.51234542,7.710978583,7.624612709,7.483664649,7.399918743,7.453270634,7.6283544
"ACBD5",8.468013034,8.693486957,8.510071825,8.773880973,8.832296679,8.752506093,8.951612563,8.747269901
"ACBD6",10.93078353,11.61022897,11.39884388,11.17422351,11.0124063,11.19121347,11.4138064,11.34878347
"ACBD7",8.316790628,8.531381461,8.540563979,8.261095891,8.669460884,8.491201733,8.435409823,8.731828128
"ACCS",7.719303249,8.125090539,8.20524343,7.804292387,8.053959811,8.157536419,7.971040535,8.085339669
"ACCSL",7.26185986,7.086932341,7.318203844,7.479477145,7.453579309,7.352429712,7.293241719,7.370687407
"ACD",11.1366227,10.65223999,11.36251235,10.84876963,10.74742726,11.4880849,11.58149484,11.62748829
"ACE",7.340517763,7.289903611,7.330244659,7.342630299,7.210549592,7.156841525,7.233080363,7.33650656
"ACE2",7.090509437,7.471675214,7.46311562,7.197708158,7.264794434,7.024308597,7.275891694,7.235774919
"ACER1",7.797458886,7.554109153,7.712527,7.500144757,7.695141275,7.833878365,7.711451887,7.76673594
"ACER2",7.120108249,7.35887094,7.258094873,7.35502067,7.2848241,7.279494511,7.307200809,7.287943192
"ACER3",7.596143157,7.76673594,7.698313992,7.77099418,7.865153293,7.892694591,8.36757856,8.007097367
"ACHE",7.208356305,7.256444596,7.223639749,7.388770735,7.311294209,7.355461222,7.167919866,7.323730338
"ACIN1",10.31391754,10.71461044,10.61580203,10.1551819,10.22514717,10.48347572,10.42361494,10.46460956
"ACKR1",7.510269671,7.474618559,7.283088353,7.249231993,7.539352709,7.21916852,7.194633752,7.579033028
"ACKR2",7.819700112,8.265322024,8.027387694,7.929776206,7.96459357,8.302753147,7.893036026,8.110809527
"ACKR3",11.41315189,11.1204485,11.00209419,11.36867697,10.20171043,9.720800021,9.338624973,9.526059028
"ACKR4",7.297145552,7.446566409,7.200653436,7.28077077,7.263386583,7.231221181,7.430138888,7.309703711
"ACLY",13.40230928,13.84020381,13.33156604,13.52855484,13.07734774,13.60532759,13.65582837,13.53754906
"ACMSD",7.899961067,8.399811959,8.54303182,8.395694783,8.340684654,8.158767455,8.273737331,8.500194563
"ACO1",11.05574846,11.29530618,10.89966847,11.04859756,11.12350713,11.36606945,11.37285826,10.94467546
"ACO2",10.36956327,10.10474616,10.13620613,10.60584987,10.47352819,9.98783245,9.967892685,10.34737222
"ACOT1",10.85411841,9.58082385,10.90562204,11.51390644,11.07935144,10.81300954,11.01992947,11.15490511
"ACOT11",7.531576406,7.826469042,7.778323583,7.563815935,7.607792642,7.667555107,7.961051705,7.609086373
"ACOT12",7.297145552,7.108263075,7.171051667,7.298520857,7.180282153,7.29530977,7.348728154,7.352815894
"ACOT13",11.44436787,10.97391257,11.27902288,11.08813398,11.2460651,11.48092901,11.47108455,11.40979531
"ACOT2",10.60728985,11.41272199,11.07669871,11.30828214,10.18753766,10.80806925,11.21472892,10.98907513
"ACOT4",11.18218482,10.7500998,11.3556608,11.01435181,11.71886996,11.61575032,11.43413952,11.7427831
"ACOT6",7.905650247,7.567480801,7.730257836,7.586464526,8.304009005,7.857436773,7.681589817,8.047498855
"ACOT7",12.92154577,13.16298132,12.86600385,13.01518635,13.06704985,12.73756689,13.18105323,12.89263768
"ACOT8",8.723063608,9.562266278,9.162737484,9.031253198,8.940643947,8.695097764,9.048248449,9.122504484
"ACOT9",7.136093953,7.350276229,7.399171094,7.398316163,7.270996061,7.453373533,7.728005517,7.303723678
"ACOX1",10.74986943,10.27824617,10.85980653,10.84184932,10.58162429,10.69710332,10.58828129,10.50629518
"ACOX2",9.62882143,9.717933412,9.547930784,9.251985313,11.48287727,11.8611984,11.23812853,11.59428378
"ACOX3",9.731997787,9.771943335,9.948969446,9.824481475,9.637711669,10.1015818,9.927870535,10.07976809
"ACP1",12.96029047,13.3123778,12.85145382,13.33001001,12.89606746,13.0236634,13.04114577,12.83690345
"ACP2",10.8608348,10.69660898,10.83652874,10.57794803,10.46080143,10.84841755,10.91312316,10.82766027
"ACP4",8.301839109,9.013444812,8.491527451,8.504943096,8.129057578,8.104205595,8.639431157,8.319897877
"ACP5",7.322040801,6.912365441,7.08991387,7.444600814,7.020979939,7.212070749,7.29553937,7.194387517
"ACP6",9.58202434,10.06280507,10.01213564,9.726760984,9.61325998,10.02522609,10.06267861,9.87820422
"ACP7",10.65119748,10.30443689,11.14986618,10.40145288,10.91312316,10.99746178,11.11962204,11.39499517
"ACPP",7.612407793,7.35540616,7.430138888,7.576767756,7.34440688,7.338959175,6.994777697,7.319785003
"ACR",7.508983185,7.256444596,7.410981267,7.421223299,7.583646945,7.522287274,7.413733695,7.523267899
"ACRBP",7.134554668,7.367087077,7.348838786,7.06406908,7.179038235,7.195495247,7.054739967,7.111787736
"ACRV1",7.507893723,7.534983697,7.31004468,7.460455896,7.474212937,7.645388239,7.301553353,7.544095078
"ACSBG1",7.599819882,7.224725253,7.520815086,7.530211233,7.59684199,7.51560129,7.624612709,7.367305535
"ACSBG2",7.082814338,7.092757141,7.174051814,7.182270192,7.305491792,7.178540368,7.016669025,7.215047571
"ACSF2",8.381191427,8.817863047,8.653203362,8.642367643,8.768763272,8.541871009,9.144243982,8.777604643
"ACSF3",8.00109147,8.675339611,8.292264108,8.117643101,8.156051466,8.258536591,7.932510053,8.23670188
"ACSL1",8.964413073,7.881228699,8.127543005,9.309561617,10.05008671,8.215229626,8.82269032,8.587285285
"ACSL3",13.14053823,12.7159057,13.0090041,13.10610487,12.69940165,13.02948998,13.07319911,12.75432645
"ACSL4",9.885124367,9.383731289,9.611946942,9.520753712,9.93891795,9.8054416,9.60998668,9.910155504
"ACSL5",7.511456179,7.695141275,7.733778002,7.590680607,7.372429792,7.601585101,7.577239981,7.520618681
"ACSL6",7.324405598,7.094473614,7.328338334,7.421749274,7.33136485,7.355461222,7.323167379,7.350441996
"ACSM1",7.201878863,6.977279923,7.118292233,7.26185986,7.31639468,7.014578465,7.196233261,7.196479182
"ACSM2A",7.397781575,7.383812275,7.579740197,7.26185986,7.517964589,7.199549661,7.255500733,7.199426968
"ACSM2B",7.392532094,7.288058585,7.519046475,7.456662431,7.458611673,7.671408379,7.278333295,7.394355507
"ACSM3",7.548532955,7.605201694,7.352595231,7.540224926,7.335278687,7.549207089,7.434836695,7.554013194
"ACSM4",7.099084761,7.202491187,7.267606021,6.996897126,7.061236166,7.020841078,7.041385369,7.095660745
"ACSM5",7.537606691,8.11318868,7.784266764,7.801061628,7.790470685,7.595723694,8.016077007,7.756389527
"ACSS1",7.970968661,8.061202407,8.439934746,8.046373734,7.567195561,7.991415553,8.407188084,7.654188473
"ACSS2",12.32913061,12.62464126,12.38278949,12.25301276,12.1622615,12.40810082,12.2821509,12.22936336
"ACSS3",7.093021347,7.192662689,7.416903061,7.06406908,7.395855413,7.314356655,7.749115208,7.208356305
"ACTA1",7.292896755,8.080417834,7.315149562,7.495255445,7.558946799,7.644847702,7.52160044,7.298749947
"ACTA2",9.970788959,10.04529894,10.18380594,9.914814887,9.683181051,10.05922615,9.87820422,9.919300972
"ACTB",15.31554585,15.28879445,15.21872971,15.27812,15.07721629,15.21872971,15.254744,15.27812
"ACTBL2",7.188836073,7.049031698,7.222794903,7.336283388,7.202491187,7.267606021,7.176796478,7.204448877
"ACTC1",7.204571144,7.023754353,7.160123534,7.327777171,7.123086751,7.221466287,7.109569509,6.999436337
"ACTG1",15.254744,15.09673934,15.20698142,15.07721629,14.74195869,15.03142552,15.22568569,15.16743089
"ACTG2",7.257328908,7.071462363,7.191429405,7.330076555,7.176796478,7.185494924,7.389631339,7.14197938
"ACTL10",8.875250195,9.310158318,9.229269462,9.034884917,8.737352985,9.010650482,9.277200208,9.164467014
"ACTL6A",12.79940811,13.56226031,12.8082176,12.87648097,12.77651785,13.02680222,12.96098385,12.78022191
"ACTL6B",7.240433595,7.302753147,7.278565613,7.208234358,7.284130052,7.29553937,7.199672345,7.155450731
"ACTL7A",7.12593001,7.392532094,7.102369438,7.076548407,7.027629592,7.156083076,6.911616689,7.191429405
"ACTL7B",7.679831933,7.876478577,8.246532788,7.944529059,8.105515707,8.248639194,8.596376139,8.735217522
"ACTL8",7.728728342,8.449251839,8.497452696,8.161824714,8.27367906,8.17255252,8.10774017,8.540563979
"ACTL9",7.255972742,7.173364831,7.109569509,7.322491538,7.356286893,7.111918114,7.209697044,7.114393055
"ACTN1",11.94030442,12.46196218,12.18294907,11.62892962,11.65855738,11.99013943,12.61168477,12.06238771
"ACTN2",8.193463758,7.977780772,8.118811328,8.140446364,8.00888377,8.19358696,7.847370601,8.126317293
"ACTN3",7.445118335,7.163146469,7.193278936,7.227134564,7.34251919,7.188341576,7.286326727,7.183511327
"ACTN4",11.5200293,11.39531991,11.68897148,11.23287058,11.15176973,11.63181367,11.69089283,11.52064323
"ACTR10",11.12350713,11.58204787,10.99328339,11.26463319,11.00593151,11.2587022,11.20602228,11.10069519
"ACTR1A",12.27996599,12.4571083,12.74648283,12.28728672,12.06156105,12.63564728,12.76182909,12.60304964
"ACTR1B",10.28266857,10.74669276,10.87014313,10.50426037,10.44785165,10.7361905,10.67763156,10.66096524
"ACTR2",13.85163925,14.26917326,13.84265112,13.96767545,13.72047941,13.81865707,13.84265112,13.77430577
"ACTR3",10.6152273,7.277171143,8.448864826,10.26719634,11.5807061,8.494555617,8.265146182,8.557703014
"ACTR3B",8.380758665,9.002217284,8.69548931,8.795207669,8.145995811,8.706064267,8.69440142,8.526621496
"ACTR3BP2",7.268658955,7.240910558,7.301953395,7.391941672,7.269009762,7.155450731,7.15304529,7.314469954
"ACTR3BP5",7.204571144,7.14758654,7.139551352,7.217351905,7.210549592,7.099084761,7.142872887,7.229419688
"ACTR3C",7.067972078,6.92555444,7.216745858,7.321759019,7.179038235,7.267020725,7.566054038,7.210671344
"ACTR5",9.681216446,9.937428996,9.908129879,9.766839444,9.915617997,9.973266861,10.01546732,9.918509227
"ACTR6",11.49697233,7.74028673,10.50252106,10.76354436,11.43137354,10.5458212,10.35276073,10.41860372
"ACTR8",8.773695568,8.699659203,8.594837761,8.613605318,8.494155563,8.625023857,8.503825738,8.623767204
"ACTRT1",7.759139185,7.76673594,7.729535777,7.643630751,7.543515216,7.360517915,7.479477145,7.715618859
"ACTRT2",7.434419731,7.353477681,7.24567154,7.37894506,7.326766526,7.217473084,7.243769032,7.346347514
"ACTRT3",7.674457121,8.002041434,7.824879207,7.632722622,7.7167766,7.788392079,7.77107674,7.43629512
"ACVR1",10.51930453,8.876248335,9.760595213,10.16352389,10.26976955,9.50109077,9.764405127,9.759076751
"ACVR1B",11.58911273,12.45268847,12.26545023,11.95129382,11.61303547,12.01914764,11.99407053,11.97711219
"ACVR1C",7.331028884,7.206159679,7.157346935,7.337621902,7.241387364,7.329347878,7.221466287,7.138399806
"ACVR2A",8.896862153,8.884475819,8.608970909,9.052618993,8.959349965,8.199120188,8.386563091,8.617605208
"ACVR2B",7.499845887,7.5072,7.303666606,7.360627646,7.40397066,7.544288313,7.515404174,7.21916852
"ACVRL1",7.25337478,7.348728154,7.024447124,7.14172399,7.084276911,7.108263075,6.989110617,7.056637715
"ACY3",7.10053094,7.566006455,7.328338334,7.522287274,7.380461065,7.194079663,7.146441392,7.165911939
"ACYP1",10.74151965,10.67622156,10.79005317,10.9542054,11.20405144,10.85952508,10.79309523,11.03652566
"ACYP2",10.110467,9.422524736,10.02902835,9.67299983,9.793786175,10.2568426,9.703449416,9.803566097
"ADA",10.12609139,10.74513857,10.77063292,10.14344699,10.20213913,10.81396152,10.79458848,10.76074074
"ADA2",8.189330401,8.86913112,8.437856084,8.212009933,8.002041434,8.370660165,7.635582096,7.899054756
"ADAD1",7.01806105,7.345737882,7.169173402,7.062046138,7.077750374,7.112309176,6.965495717,7.347566007
"ADAD2",7.239001758,7.145804806,7.147204925,7.261037108,7.237926947,7.215047571,7.135067946,7.523267899
"ADAL",8.597866334,8.77626852,8.471954583,8.756764789,8.901432608,8.641058257,8.461453867,8.634697626
"ADAM10",9.596585791,9.237150196,9.322745015,9.835586614,9.666712217,9.377508801,9.411524229,9.202521796
"ADAM11",7.666934078,7.002533761,7.355461222,7.013322673,7.184255495,7.309760545,7.531381461,7.165911939
"ADAM12",7.368397328,7.554109153,7.60279164,7.424796149,7.401199525,7.275658945,7.307200809,7.277752336
"ADAM15",14.77586101,15.07364735,14.88984734,14.94165976,15.11286198,14.83766058,14.86312335,14.84199179
"ADAM17",9.323702195,9.951348469,9.866602801,9.73194477,9.624041476,9.432750669,9.374781396,9.680359524
