"","MM134.24hr.Vehicle.A","MM134.24hr.Vehicle.B","MM134.24hr.Vehicle.C","MM134.24hr.Vehicle.D","MM134.24hr.E2.A","MM134.24hr.E2.B","MM134.24hr.E2.C","MM134.24hr.E2.D","SUM44.24hr.Vehicle.A","SUM44.24hr.Vehicle.B","SUM44.24hr.Vehicle.C","SUM44.24hr.Vehicle.D","SUM44.24hr.E2.A","SUM44.24hr.E2.B","SUM44.24hr.E2.C","SUM44.24hr.E2.D"
"A1CF",5.989126277,5.780847639,6.045254865,5.659933824,5.866688443,5.616182061,5.833459053,5.777701459,6.271922804,6.01191733,6.227769734,6.232507764,6.040714569,6.449781233,6.423537012,6.649558497
"A2M",6.499354636,6.38538923,6.497023398,6.307316564,6.681249515,6.785276084,6.766362847,6.97560452,5.986966608,5.774394879,6.086821364,5.923507012,5.75894821,5.702793429,6.093140506,6.146288728
"A4GALT",7.144898528,7.134728169,7.038529724,7.018658819,7.076853539,6.848192275,6.990937435,7.086864652,7.219254257,7.356043815,7.281507282,7.217914746,7.118983779,7.159480203,7.218006351,7.452217411
"A4GNT",5.806586304,5.913363011,5.7932458,5.845247076,5.887094228,5.770101584,5.848471992,5.873441049,5.682246566,5.786029599,5.988352823,5.816266103,5.576312766,5.819854114,5.597210059,5.732352189
"AAAS",8.630893131,8.63019219,8.495931712,8.629194406,8.62309889,8.568352472,8.567990714,8.526191371,8.476021591,8.436044135,8.442980206,8.577010902,8.469000947,8.54714165,8.486918504,8.458570116
"AACS",10.05986767,10.06285691,9.94006719,9.933306331,10.03016498,9.945217915,10.04656979,9.974694151,10.61823024,10.66148364,10.65972778,10.66666257,10.62818755,10.59357387,10.53169462,10.60813097
"AADAC",5.148976996,4.987092167,5.102145011,5.135159541,5.24831978,5.1705366,5.098821815,5.122792456,5.001945379,4.799500668,4.942263082,5.071498802,4.844812855,5.011080083,4.778137053,4.999358861
"AAGAB",10.70544081,10.63432407,10.61200114,10.6419658,10.689101,10.65023789,10.69246234,10.66761237,10.35090582,10.32044489,10.34720412,10.32628106,10.2927913,10.32396,10.20957364,10.24812452
"AAK1",7.530905116,7.643495648,7.38173925,7.521544556,7.587197981,7.708136832,7.653575884,7.549443445,8.141924054,8.066406454,8.007010164,8.213086772,8.07537676,8.048954408,7.994698162,7.979892078
"AAMDC",12.6573922,12.62742996,12.62601712,12.64524476,12.42593972,12.35759614,12.45589474,12.40325968,11.65902886,11.63787611,11.68771327,11.71587572,11.5784218,11.56324588,11.54092799,11.52358963
"AAMP",10.40832733,10.43048175,10.3227436,10.25646616,10.34601607,10.36316892,10.50927019,10.33959113,10.90624163,10.88225651,10.94272757,10.9752732,10.96902121,10.9876108,10.81007302,10.83864838
"AANAT",4.30197159,4.64303504,4.504812653,4.507137246,4.566859226,4.611278934,4.989447873,4.406977808,4.958344643,5.040158454,4.98223994,4.98223994,5.055623076,5.041595027,4.926292653,5.10697473
"AAR2",9.563793397,9.633533325,9.620052317,9.547536397,9.379880481,9.343706196,9.354231918,9.320243356,9.352349122,9.354430758,9.381661355,9.368421853,9.284994325,9.267970424,9.196382884,9.208151822
"AARS",9.643022524,9.755148755,9.696565059,9.642970165,9.862460359,9.758982401,9.878195312,9.828593144,9.885621448,9.933666777,9.932371978,9.915453501,10.24441312,10.23661537,10.1716049,10.24757266
"AASDHPPT",11.43090584,11.34950688,11.305895,11.38045789,11.10044382,11.13798641,11.14625653,11.17903701,11.05507858,10.93852732,11.10207451,10.99425095,10.76711342,10.79448172,10.76401816,10.73884295
"AASS",7.332373043,6.939049227,7.116259813,7.209751122,6.957905188,7.071008172,6.896302387,6.956486961,5.635702253,5.609643873,5.534631363,5.660745211,5.421370647,5.294534746,5.448074091,5.411582725
"AATF",9.651614334,9.724376693,9.732574008,9.655970829,9.892820885,9.814390179,9.748607153,9.83852812,9.350128525,9.415636456,9.460132689,9.37550349,9.472786127,9.475823789,9.374385235,9.42396867
"AATK",9.083605897,9.051572657,8.942541044,9.010859821,8.925995825,8.737503099,9.025376027,8.892537096,7.353879786,7.202830184,7.248675604,7.495353596,7.390811715,7.453245528,7.468183048,7.439232811
"ABAT",9.977069232,9.963500374,9.996458802,10.00655882,10.5947857,10.52764245,10.33992008,10.46577798,10.85603715,10.94380011,10.86297624,10.81214142,11.84280997,11.76866461,11.83542158,11.83065075
"ABCA1",7.388182554,7.161073308,7.279875766,7.367913878,5.518332856,5.692331489,5.82642276,5.588812336,5.790653648,5.600401847,5.886747421,5.771551706,5.966525527,6.027742513,5.909698659,6.044670101
"ABCA11P",7.222632824,7.358002867,7.302896389,7.35788047,7.231900282,7.4137051,7.386027916,7.17294422,7.097327675,7.118538681,7.063132836,7.161594715,7.390049816,7.299738333,7.34627562,7.276208519
"ABCA12",3.572131519,3.355746591,3.383711807,3.1484703,3.074103209,3.220294601,3.442357708,3.280322549,9.161572611,9.167841267,9.06145401,9.198992635,9.321288731,9.363964216,9.248957447,9.320742416
"ABCA2",8.445757079,8.468091213,8.331513824,8.445033221,8.535559668,8.376595068,8.535561904,8.406372852,7.127160773,6.968896254,7.222882566,7.035359477,7.118739222,7.248126405,7.105627177,7.21439874
"ABCA3",8.973570493,8.981038223,8.901226499,8.946067829,8.972535657,8.877625587,8.93783205,8.906882261,9.318606211,9.431017885,9.400856368,9.465420596,10.74942546,10.65042656,10.58057988,10.6982863
"ABCA4",5.910928064,6.008822034,5.779747716,5.901633677,5.883760841,5.74876086,5.928692545,5.865787099,8.486697736,8.456648706,8.66079153,8.534812961,7.533289055,7.545398533,7.341638616,7.475173768
"ABCA5",3.356325573,3.496860581,3.62015705,3.435989738,3.50263215,3.695320521,3.529536296,3.495070839,6.964038506,6.908713397,6.986576131,7.057432548,7.054833228,7.008499887,7.065928443,6.809933406
"ABCA6",3.059394696,3.359179123,3.416004066,3.283834888,3.254967577,3.303487481,3.316612287,3.456248453,3.083189442,2.87910451,3.052707627,3.029275096,3.185124302,2.937876632,3.20268662,3.350885656
"ABCA7",7.860823878,7.808570587,7.848807839,7.833985191,7.81149251,7.943844287,7.832246223,7.769596191,7.513515544,7.511279642,7.584748859,7.58781756,7.612137162,7.678841844,7.535371686,7.685561958
"ABCA8",3.387627382,3.463880875,3.09849193,3.339758869,3.62507752,3.478815399,3.295377218,3.257543903,3.144139078,3.447260617,3.499509888,3.613610508,3.421990542,3.567554314,3.499509888,3.475776014
"ABCB1",3.709053236,3.660602547,3.674800307,3.774642422,3.580709121,3.757801469,3.803654807,3.87810481,4.082651282,4.235093764,3.96817141,4.186157172,4.318049664,4.360836925,3.881917505,4.1194351
"ABCB11",5.202696395,5.335970528,5.326804517,5.212940535,5.120947236,5.186880592,5.152778212,5.207473559,5.432299686,5.528618644,5.550919086,5.243659401,5.488784657,5.247131989,5.376080479,5.466728021
"ABCB4",4.53159659,4.776641899,4.547138686,4.711163455,4.492955836,4.401542672,4.468058224,4.505682867,4.531159746,4.606394298,4.791928401,4.780078297,4.750917024,4.718529689,4.566105781,5.036150397
"ABCB6",8.634243077,8.660380259,8.67156905,8.654822936,8.866297318,9.056817699,8.990949817,8.964132083,8.347713308,8.480014235,8.379465075,8.526393626,8.478380723,8.393036436,8.358735626,8.367222577
"ABCB7",10.40008885,10.42245293,10.3918225,10.32537895,9.988035407,10.01825751,9.905157381,9.921041491,9.76231605,9.739331896,9.741048813,9.745131793,9.712827978,9.709135812,9.712787852,9.652300352
"ABCB8",6.850619055,6.778665925,6.579391457,6.776174422,6.890411719,6.825298782,6.836692991,6.953936173,6.864000942,6.70558278,6.860457956,6.892035893,6.91043856,7.016682277,7.041645081,6.796691541
"ABCB9",7.524196497,7.508739131,7.316663716,7.490058166,7.196207156,7.028930813,6.887781746,6.970614287,7.626586704,7.690304703,7.628429634,7.625890687,6.85402184,6.847160945,6.87263662,6.682161297
"ABCC1",8.809299414,8.743037615,8.841641266,8.800954295,8.75745398,8.84727396,8.713867386,8.809042984,9.620346528,9.613520281,9.701085925,9.658388322,9.401943921,9.391460037,9.406274458,9.352423076
"ABCC10",8.801404317,8.629670531,8.758971534,8.736672209,8.916559874,9.083843723,9.086975229,8.994609006,8.875666859,8.801497663,8.86550608,8.83115347,8.938344129,8.914691197,8.894753771,8.872885318
"ABCC2",5.730442749,5.813652673,5.832894861,5.57724367,5.692023811,5.669732439,5.813025618,5.720695575,8.756595522,8.950105681,8.791737536,8.857984822,8.300005526,8.249540686,8.269835984,8.243868995
"ABCC3",9.012703235,8.892015141,8.966092687,8.958297349,8.205583477,8.193184469,8.187694464,7.972499228,6.175691337,6.199698305,6.06557301,6.036045339,6.272859255,6.24788442,6.25516308,6.158254779
"ABCC4",4.137612025,3.920224171,3.9008361,3.808185811,3.890504931,3.473859453,3.929504199,3.703790625,3.280167831,3.234332859,3.26226832,3.285680306,2.993997829,3.211759685,2.957126069,3.14465451
"ABCC5",8.468131952,8.41568566,8.465222006,8.407039974,8.187888922,8.229825308,8.28366447,8.372519236,8.29627236,8.161774606,8.146511451,8.268827903,7.597847673,7.267081739,7.510811333,7.499734562
"ABCC6",7.177296279,7.016122893,7.039878643,7.122157637,6.589751341,6.967172247,6.984065024,6.768122525,6.420811176,6.311747055,6.355044665,6.32874238,6.371049322,6.380154969,6.415690365,6.612561721
"ABCC8",9.725718213,9.734501697,9.657317082,9.747260146,9.24500926,9.170389211,9.250868114,9.203539808,7.859120706,7.979152439,7.882224309,8.024792978,7.976052733,7.988021193,7.796512519,7.879310477
"ABCC9",5.279825859,5.496979193,5.338483635,5.279116811,5.241193759,5.310639918,5.413972663,5.383766256,4.457730171,4.515416264,4.494636042,4.439634124,4.39192496,4.601739706,4.24960811,4.55602042
"ABCD1",6.9176448,6.934308703,6.85386941,6.904059705,6.981050052,6.863305033,6.998420721,6.873156178,7.809863335,7.69449804,7.916579196,7.760495561,7.653803563,7.739946825,7.730965849,7.797754534
"ABCD2",2.673629125,2.611789303,2.600421999,2.605142734,2.602935433,2.665379602,2.825040275,2.602935433,2.799865705,3.052707627,2.636005888,2.828596547,3.030013726,2.856998669,2.597230177,2.820561676
"ABCD3",11.99604663,11.95976315,12.01100815,12.03060199,12.22152869,12.36509774,12.13768478,12.31323563,13.32422636,13.20362168,13.19314641,13.24724587,13.45582046,13.44002413,13.50250736,13.46385543
"ABCD4",8.608137987,8.631545265,8.696246692,8.629244366,8.220204624,8.408112542,8.328414251,8.254491447,9.152812823,9.126909434,9.101919594,9.05576692,9.336117833,9.356154946,9.321899579,9.331002169
"ABCE1",10.51290222,10.55069311,10.51112918,10.49158791,10.98664326,11.09547101,10.93685617,10.9653051,10.29132352,10.39890594,10.22392367,10.27447843,10.42534321,10.38748119,10.41876551,10.3674105
"ABCF1",10.00387354,9.986152997,9.921420744,9.955483485,10.19280961,10.1530437,10.19493515,10.17402793,9.835283693,9.886472193,10.00486706,9.822993377,9.953620416,9.908101694,9.926026675,9.991226103
"ABCF2",8.377318605,8.346658394,8.335299525,8.281285991,8.454844863,8.478466859,8.499622398,8.446401998,8.769823137,8.824563618,8.871326848,8.841577026,8.849609894,8.870301691,8.848254654,8.717399768
"ABCF3",7.758080324,7.634795463,7.690826358,7.68528816,7.731003618,7.767900612,7.73267606,7.846550914,8.210192617,8.208223257,8.320390564,8.183840499,8.272661272,8.232921979,8.197854235,8.261932498
"ABCG1",10.13620955,10.10121419,10.05338454,10.18307592,9.417364173,9.440294109,9.224666618,9.409547025,10.44739455,10.37868216,10.42784442,10.36644542,8.844673078,8.676659977,8.831337255,8.663876303
"ABCG2",3.772116671,3.903980287,3.983530539,3.880500006,3.806153864,3.711013791,3.831215068,4.019943866,4.491524464,4.436153194,4.486673808,4.281508049,4.374035344,4.501412093,4.276891166,4.589199227
"ABCG4",5.424334192,5.701031042,5.655873353,5.525624781,5.516802225,5.389516765,5.460404167,5.465459143,5.941059792,5.941059792,5.915324378,6.015689911,5.950591453,5.930037804,5.771283746,6.019987086
"ABCG5",5.083533859,4.913263869,4.634966612,5.0798208,4.969245386,4.661059676,4.794557159,4.664044057,5.095682794,4.599367136,4.654089177,4.678753973,4.745372548,4.682976109,4.509784967,4.56746213
"ABHD10",6.221559388,6.235915847,6.153796109,6.125683908,6.274893411,6.112292913,6.221448142,6.015667934,9.149033879,9.172783548,9.203134502,9.152702041,9.058890346,8.994917198,9.127238333,8.923904167
"ABHD11",9.828161052,9.848554266,9.837800515,9.802512576,9.906927221,9.936098275,9.902125009,9.964204494,10.22423103,10.2719155,10.30255309,10.29294682,10.24516705,10.24997157,10.252289,10.25708679
"ABHD17A",10.13017051,10.09697887,10.02444334,10.1197236,10.06407107,10.01857463,9.973208097,9.954605026,9.697063917,9.818795812,9.821768202,9.871185504,9.909700537,9.809935534,9.787048644,9.810513403
"ABHD17B",8.108055103,8.159274059,8.219763574,8.071738929,7.825313591,8.044871779,8.003485244,7.889383209,7.417691739,7.413353627,7.343688718,7.473864301,7.931915439,7.728628652,7.90293091,7.917425102
"ABHD18",6.115441249,6.125743788,6.080184543,5.989126277,6.183027128,6.294889635,6.348400173,6.109539657,6.886544774,6.758213747,6.876436609,6.976524661,7.042896846,7.150420093,7.103918929,6.930567731
"ABHD2",10.41903792,10.36399353,10.4030895,10.34104792,10.79263128,10.95010494,10.85195612,10.863913,8.648422307,8.580611267,8.556047551,8.710809691,8.620461168,8.599621724,8.692560087,8.408563121
"ABHD3",10.39272831,10.14941737,10.39993034,10.36103269,10.61398169,10.64640496,10.6047816,10.56429267,11.1484248,11.11856866,11.17822041,11.09005592,10.97932363,10.98298359,10.97808656,10.92576845
"ABHD4",8.677395358,8.512717103,8.661228518,8.545930713,8.338150559,8.252602504,8.440278909,8.427089972,9.576381934,9.635996403,9.749305505,9.70799803,9.323697329,9.418724695,9.490933439,9.155795433
"ABHD5",8.710461271,8.553209742,8.65114128,8.59991548,8.669069855,8.841883513,8.696521308,8.642442471,9.046530973,9.072105183,9.077577985,9.075946034,9.284199148,9.392029709,9.188715113,9.292122856
"ABHD6",6.972913051,6.972743939,6.934358616,6.864630779,7.247983881,7.200662748,7.35811964,7.242328328,7.425140339,7.461064638,7.562738377,7.391881756,7.138569117,7.010613483,7.142560529,7.21434755
"ABHD8",6.718125,6.740429574,6.572519137,6.746360491,6.764417552,6.546568531,6.727816612,6.630957382,5.89841533,6.119620763,6.0226534,6.044153094,6.151443944,6.197215102,6.065257572,6.087800678
"ABI1",10.44765569,10.34852871,10.50664399,10.49108003,10.18282675,10.25152606,10.06948138,10.05663307,11.12241373,11.06365785,10.95461821,11.00997351,10.89564793,10.83124493,10.91432405,10.87619578
"ABI2",8.658214378,8.753364485,8.582598167,8.626798448,8.654327752,8.776679426,8.65513765,8.697663997,8.842414354,8.770160891,8.860035131,8.839419461,8.661355767,8.687365011,8.793632759,8.782467393
"ABI3BP",3.147024281,3.165967857,3.319456164,3.103856768,3.172719677,3.145865516,3.144831356,3.221862878,3.216010289,3.447260617,3.107430904,3.148158176,3.458021067,3.320116474,3.516914489,3.786122807
"ABITRAM",9.888155568,9.993319402,10.00157913,10.06748289,9.901728044,9.921909652,9.739346234,9.824398582,9.411583639,9.541800786,9.525217982,9.356551214,9.463837825,9.435942073,9.414101138,9.457073291
"ABL1",9.920690838,10.02584857,9.925091315,9.917729876,9.536535555,9.499018134,9.618812487,9.583099206,9.089820904,9.159135678,9.310137739,9.266177849,9.219264665,9.165619922,9.109862671,9.07135841
"ABL2",5.821067987,5.746897136,5.904406545,5.741021704,5.871945304,5.97858482,5.949986691,5.743309918,5.653910275,5.775816814,5.678931842,5.747207547,5.617452064,5.710754376,5.747289519,5.925811641
"ABLIM1",9.073672646,8.960961326,9.007773643,9.034833208,8.277854907,8.268556034,8.417092029,8.333703863,9.948666095,10.07389838,10.14797494,10.02198605,9.659473036,9.534934465,9.567552249,9.630334519
"ABLIM3",8.840836151,8.791109976,8.875784331,8.831055333,8.859768196,8.848654754,8.83626876,8.736071698,8.507760661,8.590574904,8.595982109,8.674952732,8.621573357,8.547170297,8.503186556,8.563527067
"ABO",6.425929533,6.45866962,6.320649635,6.204735266,6.176426834,6.235237124,6.287228387,6.347019069,6.316850342,6.438063004,6.345282723,6.265970158,6.090742091,6.275461821,6.253256929,6.271889191
"ABR",8.4725053,8.516099267,8.464804655,8.447931171,8.349476697,8.399684181,8.434077387,8.472565709,8.702713723,8.650570705,8.69109997,8.69572759,8.740338341,8.755115148,8.681000797,8.639922268
"ABRAXAS2",9.895449085,9.885483011,9.900075271,9.856453502,9.825730066,9.908491978,9.874448684,9.916890372,9.2024951,9.187256144,9.356082974,9.228443642,9.200805491,9.171448684,9.085318801,9.213555888
"ABT1",9.054257476,9.116292695,8.973878322,9.001256713,9.025475336,8.990525794,9.104133523,9.052094912,9.16121716,9.219535713,9.255568105,9.18604907,9.202161596,9.241535693,9.197257369,9.277425989
"ABTB2",8.412466741,8.369132921,8.365044566,8.402665413,8.309034167,8.228189486,8.390466448,8.305892996,7.97211677,8.066571869,8.015264329,8.15691967,8.431146215,8.440417628,8.320157554,8.286847201
"ACAA1",8.875010595,8.939047844,8.898912181,8.926192538,8.457590588,8.5522864,8.515994434,8.575782622,10.53903943,10.59379429,10.54105908,10.55100718,10.31383239,10.29026643,10.23502891,10.2548235
"ACAA2",9.842908668,9.794751597,9.848616114,9.869783831,9.489879454,9.483468763,9.452365463,9.336850075,10.38346426,10.41163419,10.37857965,10.38398745,9.878014349,9.849456184,9.789254212,9.810646162
"ACACA",9.816330402,9.785424578,9.858593683,9.893918801,10.04939935,10.05992404,10.02635798,9.99351263,9.475385284,9.47605464,9.515540779,9.544366188,9.320279115,9.337820118,9.184785858,9.35801522
"ACACB",7.740936399,7.769869969,7.730390002,7.740365247,7.3172578,7.319222754,7.131539987,7.251900735,11.23054173,11.24232067,11.19105453,11.27243526,10.23520824,10.24039853,10.2251947,10.20886801
"ACAD10",7.174305807,7.116433984,7.199428323,7.071676627,6.988116931,7.061463445,6.885930469,7.040344908,7.446308639,7.647176206,7.551289539,7.578734785,7.574417331,7.552559929,7.395230268,7.514221175
"ACAD8",8.262185019,8.162504171,8.021364176,8.180054373,8.232377409,8.33740017,8.337075506,8.214300543,8.761105716,8.780801344,8.803757248,8.80891607,9.183972206,9.208229077,9.178242776,9.163612056
"ACADL",3.915287768,4.256074302,4.360177759,3.987714038,4.021733247,4.102154703,4.201076234,4.33643403,3.75584911,3.738852359,3.858483065,3.594386672,3.568319867,3.858447449,3.79826863,3.639297432
"ACADM",10.41288828,10.24222802,10.43856218,10.46991628,10.39446322,10.52873865,10.23584245,10.29817043,10.1893102,10.16002221,10.21969785,10.06501909,10.25586582,10.28351371,10.337714,10.23595466
"ACADS",7.655991402,7.641390954,7.598176525,7.649789704,7.260394463,7.26972,7.282706803,7.4271804,8.54784675,8.574581987,8.482713484,8.579623271,7.893716402,8.097482018,7.978252781,8.012150045
"ACADSB",9.141517575,9.132623753,9.330349911,9.402482807,8.753684516,8.920627945,8.443372431,8.750290971,7.831391244,7.937176915,7.815973629,7.720708811,7.831248864,7.826349668,7.957844404,7.803419552
"ACADVL",9.266086712,9.237810186,9.24680904,9.224635683,9.189871962,9.088502072,9.211915897,9.086336211,10.55965545,10.52722763,10.60089458,10.63945204,10.66315368,10.60204883,10.6001044,10.7198981
"ACAN",6.499354636,6.584770235,6.53239476,6.524841382,6.552886831,6.471987116,6.587368085,6.581469471,6.484181821,6.619738555,6.628272632,6.621135036,6.618955364,6.63028926,6.653586568,6.842701241
"ACAP1",6.25917483,6.349952431,6.249668364,6.397573505,6.303644674,6.521886141,6.095276068,6.329289971,6.377994394,6.707355891,6.314459207,6.483842304,6.387132825,6.447032804,6.302124592,6.447032804
"ACAP2",9.976976525,9.840378696,10.05015907,10.05107606,9.955975008,10.11128646,9.848229431,9.994804102,9.698684611,9.529653159,9.557405852,9.543187073,9.572130484,9.535160809,9.555588685,9.512459111
"ACAT1",10.21142499,10.18304458,10.20410903,10.13502926,10.407891,10.39855274,10.39365158,10.40427827,11.01781158,11.05798546,11.05450475,10.99495122,11.12370606,11.15968783,11.14703139,11.17137989
"ACAT2",10.69499394,10.71790702,10.59890111,10.66998388,11.33113759,11.32491703,11.21210775,11.29339747,10.50754575,10.4782245,10.47500568,10.48960214,11.39652492,11.38884993,11.37993961,11.36274466
"ACBD3",11.36266669,11.32149092,11.44138303,11.41978351,11.1797135,11.25881431,11.18468465,11.14522276,11.86391336,11.84117368,11.89193423,11.8378883,11.7642097,11.72617124,11.74390179,11.7275141
"ACBD4",7.284860604,7.119730909,7.31499064,7.375242615,6.841293124,6.913272694,6.979619112,6.961949506,6.988786922,7.230330916,7.039503509,6.977732718,6.862215442,6.873406587,6.971815626,6.811027874
"ACD",8.364027433,8.496255285,8.423090433,8.541170933,8.589335313,8.535466352,8.609895988,8.508984335,7.830812348,7.983651878,7.881844672,7.870968713,8.002848838,8.052177636,7.842036159,8.023604545
"ACE",4.547138686,4.550558977,4.775826485,4.4440315,4.636054277,4.846926601,4.447475697,4.744375272,4.613854088,4.347712609,4.464708044,4.345616107,4.480876773,4.334144579,4.598942452,4.772720045
"ACE2",4.619086279,4.555079995,4.727814813,4.547549187,4.831549266,4.47641562,5.02973556,4.887323675,4.854391698,4.917897851,4.864961333,5.027784239,5.281044983,5.064225566,5.078868981,4.991475716
"ACHE",6.974781029,6.988277673,6.872581282,6.99955258,7.001154906,6.843163279,7.040226028,6.857343652,7.354780673,7.265916105,7.264925295,7.031945054,7.178527352,7.2421586,7.359694407,7.484661269
"ACIN1",8.187067649,8.259833584,8.290554713,8.265132701,8.180981094,8.220304905,8.139771751,8.203879632,7.999781528,8.015910255,8.015910255,8.160517516,8.015910255,8.067198847,7.958804365,7.966899755
"ACKR1",6.143037835,6.44116763,6.351254714,6.207295917,6.455324331,6.48814846,6.322326566,6.347121224,6.585810948,6.387209822,6.465030669,6.511255131,6.492758091,6.326835018,6.46013579,6.531807227
"ACKR2",5.775197581,5.401907369,5.952448015,5.742733277,5.376110175,5.80965913,5.744026833,5.792089903,5.953158164,5.791873324,5.920685288,5.651691477,6.090736673,5.953631515,5.970936266,5.89748177
"ACKR3",9.880139116,9.745701,9.783525133,9.689638456,8.693321529,8.775588605,8.770979988,8.735811004,11.31422709,11.23484219,11.29462779,11.21715712,11.54805932,11.46627473,11.51297829,11.51100048
"ACKR4",3.627595862,3.814399833,3.561861112,3.562792208,3.311229975,3.382867143,3.473057495,3.597539428,4.335226752,4.371784954,4.335226752,4.353188324,4.404470259,4.611079721,4.528056619,4.434048549
"ACLY",12.15116353,12.21663043,12.20617762,12.25949385,12.48983348,12.47818744,12.45510851,12.46844869,11.57365138,11.56388746,11.5881085,11.55233795,11.74249578,11.66862894,11.66553466,11.73301278
"ACO1",9.257795816,9.115480632,9.091412693,9.148957531,9.447669361,9.534191841,9.455620225,9.523423698,9.572800468,9.468583261,9.526768256,9.487867921,10.13478043,10.11146837,10.02811563,10.00834619
"ACO2",9.669682534,9.714181663,9.614968643,9.646662493,9.699449047,9.636303371,9.599590107,9.602383533,10.69608794,10.73652694,10.66252792,10.82006614,11.14344928,11.08737872,11.10033834,11.12674374
"ACOT11",7.027292407,7.223981181,7.073469617,6.973843385,6.980930005,7.05168955,7.08660534,7.182586724,6.992938371,6.831796404,7.227802441,7.069404283,7.109114734,7.120850061,7.099827393,7.253799205
"ACOT13",10.01940008,10.08958334,10.06246987,10.0860086,10.21752578,10.22680304,10.14447953,10.16128205,9.953929746,9.95258082,9.97026257,9.944892514,10.02473885,10.0233708,9.95208188,9.943315342
"ACOT7",10.70425762,10.67132567,10.65889277,10.71149147,11.24392811,11.19630654,11.19423079,11.12883959,9.612578717,9.727035074,9.696123085,9.766445733,10.33350754,10.2886675,10.19712392,10.28826799
"ACOT8",8.707563479,8.653395876,8.607771153,8.668220257,8.273348508,8.380286463,8.437880551,8.346968383,9.057368718,9.158672453,9.091955705,9.164628926,8.674332509,8.639520458,8.473525348,8.610178709
"ACOT9",9.153252637,9.15199903,9.066181998,9.085691407,9.120935566,9.104736551,9.184805729,9.142101211,9.475299374,9.514552105,9.534064439,9.535008894,9.649015405,9.614075309,9.578457065,9.626590047
"ACOX1",9.592817409,9.463324701,9.561670096,9.537595335,9.120935566,9.2817316,9.126843901,9.14874328,9.459732898,9.489579056,9.446694047,9.396926543,9.009063059,8.99172407,9.037955776,8.802830497
"ACOX2",9.427934319,9.486032856,9.454133089,9.504124633,8.966041833,8.856427395,8.98568816,8.883602961,6.956768539,6.999574166,7.110989772,7.093605425,9.582634889,9.624680762,9.418705884,9.473393786
"ACOX3",7.134301373,7.122635781,7.161211548,6.937237096,7.046643589,6.967410134,7.223078056,7.2114569,7.860868115,7.843493028,7.963817389,7.995381212,7.732716507,7.7917832,7.786495821,7.643232933
"ACOXL",2.836522879,2.840988597,2.940068396,2.969965571,2.890279416,2.77639805,2.704821365,2.854934625,3.087139953,3.162146558,3.007747179,2.825651344,2.829876985,2.968476389,2.962965693,2.801864404
"ACP1",11.12421763,11.13894457,11.13088496,11.16013563,11.14808249,11.16595293,11.1132971,11.0468693,10.51912301,10.55094516,10.55974452,10.59075367,10.58818751,10.61917221,10.58356126,10.53123879
"ACP2",8.063803049,8.10678391,8.102863799,8.064973473,7.573702563,7.551362926,7.644875667,7.56988751,9.972171976,10.09885837,10.05109148,10.07777421,9.777232073,9.795316137,9.701754689,9.782505656
"ACP5",5.817743759,5.642539864,6.09932701,5.85596386,5.810794097,6.124951848,5.862007543,5.902550877,6.271773126,5.937530415,6.304837302,6.140336355,6.004007274,6.165187487,6.104534563,6.145082513
"ACP6",7.040848472,7.184311354,7.086958827,7.003527372,6.5359558,6.569731312,6.621600473,6.727346288,9.418875212,9.481254966,9.535107409,9.513278428,9.1245394,9.125820355,9.054801459,9.12587043
"ACPP",4.814313257,4.82666666,4.712017919,4.622372107,4.659391059,4.876380801,4.759547118,4.451731608,7.263998972,7.163190547,7.360977041,7.197218363,7.323248478,7.242355199,7.338348885,7.179592731
"ACR",5.74379124,5.833403715,5.752914166,5.705250162,5.876518911,5.616401868,5.809666899,5.908676997,5.679265253,5.65327997,5.692751371,5.872373438,5.744555647,5.676912048,5.581434952,5.813624714
"ACRV1",6.188569751,6.243666429,6.106194914,6.060756207,5.997232028,6.10892691,6.295852924,6.356524812,5.670800007,5.578425659,5.579321836,5.754534354,5.836344515,5.907122266,5.857652175,5.818162756
"ACSBG1",5.191088975,5.281976501,5.519198541,5.098396519,5.474053396,5.371345738,5.400559941,5.382921956,4.813203084,4.939030425,5.200084561,4.724601976,4.856491818,5.003660137,4.990668213,5.113061992
"ACSBG2",5.035761323,4.85788162,4.949710514,4.967078509,5.222509297,5.148970279,4.982771799,5.15685643,4.936306676,5.018788537,4.919794218,4.865601673,4.735074825,5.121285512,5.15991294,5.250975294
"ACSF2",7.830970716,7.90880804,7.713575403,7.836961371,7.599763882,7.326900293,7.440198016,7.601913299,9.569880603,9.565565775,9.553842935,9.693694841,9.733595315,9.75553825,9.680336426,9.599369652
"ACSL1",9.083527099,9.062677515,9.155992226,9.186635396,9.325412871,9.466013556,9.241844139,9.338490962,9.680655428,9.608779651,9.682359721,9.552205966,9.857872807,9.80811467,9.797931352,9.887221453
"ACSL3",12.38638774,12.28830337,12.39357743,12.36381164,11.97525794,12.06760887,11.84523244,11.90816447,11.554559,11.58033726,11.55254404,11.52709629,11.01094674,10.98828394,10.96860444,10.9797376
"ACSL4",3.437241975,3.318113114,3.284545892,3.353325962,3.861806803,3.837133855,3.800404537,3.950032564,2.788555101,2.758935204,2.882226196,2.803305054,3.162809079,3.071613778,2.977983652,2.941139548
"ACSL5",4.464603585,4.49023696,4.492914074,4.488719077,4.790333718,4.623215549,4.436337342,4.60456005,4.634452911,4.656425114,4.794399593,4.474015046,4.56746213,4.737185275,4.581584426,4.608877552
