"","MM134.24hr.Vehicle.A","MM134.24hr.Vehicle.B","MM134.24hr.Vehicle.C","MM134.24hr.Vehicle.D","MM134.24hr.E2.A","MM134.24hr.E2.B","MM134.24hr.E2.C","MM134.24hr.E2.D","SUM44.24hr.Vehicle.A","SUM44.24hr.Vehicle.B","SUM44.24hr.Vehicle.C","SUM44.24hr.Vehicle.D","SUM44.24hr.E2.A","SUM44.24hr.E2.B","SUM44.24hr.E2.C","SUM44.24hr.E2.D"
"TAS2R14",5.420244886,5.274448108,5.491956745,5.507740655,5.307536973,5.352880068,5.4129414,5.576722977,6.022002717,5.609300355,5.838899503,6.02467941,5.695796311,5.695535572,6.045329947,5.935458172
"TAS2R16",4.164620719,4.472381896,4.308845974,4.353918135,4.09152127,4.360158754,4.317746519,4.328246629,4.517367142,4.341221308,4.14712928,4.717725655,4.504447762,4.381762359,4.545899475,4.734350489
"TAS2R3",5.638327187,5.51997737,5.569585493,5.320394451,5.744274644,5.572416445,5.59935567,5.538093849,5.327082731,5.258384376,5.301802231,5.558553249,5.293587856,5.421543078,5.479897987,5.808612262
"TAS2R4",5.929189035,5.853107949,5.857549096,5.826771474,5.679856172,5.59352852,5.640707123,5.756175837,5.768456636,5.608983621,5.544811748,5.422520192,5.474657036,5.678679715,5.685053913,5.609643873
"TAS2R7",4.403555643,4.346036706,4.547138686,4.545908334,4.396341571,4.453798745,4.420170897,4.484014464,3.863340062,3.86304095,3.961549353,3.910499162,3.868117432,3.976296321,3.917567581,3.995916386
"TAS2R8",3.621580573,3.519944813,3.795343438,3.616732735,3.753749403,3.767329592,3.646268717,3.659838839,3.131900963,3.285153461,3.522433727,3.690481917,3.586734143,3.382284428,3.319220696,3.460285204
"TAS2R9",3.716978051,3.862933746,3.689991554,3.769687429,3.880498174,3.923694796,3.809941339,4.099656745,4.102013652,4.098464557,4.110718488,4.143840923,4.118901709,4.165325819,4.108219729,4.128510039
"TASOR",10.8205533,10.7314616,10.90996152,10.91428589,10.77289874,10.8614009,10.74174904,10.77138909,10.76090086,10.73474894,10.77988877,10.74780081,10.8138698,10.76964534,10.79374671,10.79936126
"TASOR2",10.68657981,10.63442127,10.64588693,10.71877043,11.12709086,11.20885941,11.00011918,11.14993197,11.41278213,11.41405701,11.36434671,11.37820433,11.47871957,11.56310968,11.51222666,11.42775789
"TASP1",8.108045109,7.962387907,8.201541523,8.102785489,8.058797853,8.330106621,8.226580701,8.120714006,8.2723498,8.252797457,8.352135083,8.307512219,8.174383959,8.205343551,8.214570535,8.053603469
"TAT",6.243120467,6.400643519,6.453016434,6.171891952,6.202040847,6.148323069,6.310529154,6.369206126,8.677909646,8.737336722,8.535309811,8.663166006,10.09721116,9.441750586,10.08514675,10.05607006
"TATDN2",9.216913066,9.207915269,9.147997741,9.158266758,9.293567248,9.312644945,9.404117998,9.311255813,9.132680742,9.179574112,9.158504872,9.173072685,9.250762811,9.285112285,9.2149076,9.141059894
"TAX1BP1",11.68084011,11.67890771,11.66504459,11.64634272,11.45603825,11.48290312,11.43503767,11.4482947,12.62984785,12.72833241,12.63201084,12.63629902,12.766836,12.72445513,12.72838809,12.76184991
