,T47.D_0h_1,T47.D_0h_2,T47.D_24h_13,T47.D_24h_14,BT.474_0h_15,BT.474_0h_16,BT.474_24h_25,BT.474_24h_26
CYP39A1,3.4536,3.358,3.4189,3.4034,3.3618,3.2845,3.2559,3.3061
CYP3A4,6.3348,6.4641,5.854,6.2501,6.2331,6.1767,6.3036,6.2694
CYP3A43,4.1084,4.0485,4.1591,4.0017,4.0592,3.8838,4.0997,4.0822
CYP3A5,3.8237,3.8247,3.6223,3.5531,3.5779,3.6582,3.7879,3.7129
CYP3A7-CYP3A51P,3.7792,3.3703,3.5549,3.5868,3.4976,3.4936,3.5059,3.424
CYP46A1,4.6316,4.6223,4.54,4.6699,4.8804,4.5774,4.6723,4.5844
CYP4A11,6.1025,5.8995,5.3682,5.3827,4.9134,5.0199,5.503,4.5939
CYP4B1,4.159,3.734,3.8732,4.2917,6.326,6.9252,6.251,5.9565
CYP4F11,3.5217,3.5977,3.3532,3.4033,3.4624,3.3349,3.4369,3.551
CYP4F12,6.9679,7.0289,6.9474,6.8894,7.129,7.2158,7.0754,7.0163
CYP4F2,4.5288,4.9507,4.2474,4.4377,4.3244,4.453,4.5381,4.2401
CYP4F3,3.3455,3.3923,3.6052,3.5261,3.544,3.4035,3.4144,3.3352
CYP4F8,4.5271,4.7323,4.1163,4.2844,4.1905,4.073,4.2811,4.5389
CYP7A1,3.214,3.3345,3.2071,3.2095,3.2853,3.1241,3.17,3.1968
CYP7B1,3.474,3.3064,3.2364,3.3681,3.3698,3.3512,3.3517,3.2965
CYREN,8.326,7.7724,8.5763,8.4486,8.4635,8.3587,8.4479,8.5237
CYSLTR1,3.5496,3.438,3.5125,3.6725,3.4344,3.5025,3.4069,3.4519
CYSLTR2,3.8143,3.7657,3.5613,3.8663,3.6489,3.7711,3.9009,3.6051
CYTH1,7.2584,7.2425,7.275,7.0834,6.7887,6.7915,6.5291,6.3895
CYTH2,6.9134,6.7207,7.2714,6.8434,8.1003,7.9827,7.3751,7.8501
CYTH3,4.7783,4.7282,4.7788,4.9845,4.9617,4.7417,4.7439,4.9179
CYTH4,5.6679,6.0475,5.3937,5.6142,5.4678,5.3501,5.3709,5.2767
CYTIP,3.2817,3.395,3.6274,3.3248,3.3963,3.1601,3.3887,3.3818
CYTL1,4.4995,4.1511,4.0322,3.8054,3.7908,3.7857,3.7106,3.6373
CZIB,8.5832,8.3442,8.868,8.7071,7.8536,7.7238,7.5373,7.6082
DAAM1,9.2146,8.8349,8.1416,8.7293,8.5122,8.7692,9.1857,8.8069
DAAM2,4.4975,4.516,4.565,4.5538,4.5102,4.3708,4.5177,4.3852
DAB1,4.856,5.0992,4.5134,4.8062,5.0513,4.6975,4.885,4.7054
DAB2,4.7742,4.491,4.5928,4.4474,4.4633,4.2028,4.2489,4.1524
DACH1,3.6438,3.5602,3.9448,3.7928,4.5241,4.302,3.9133,4.0302
DACT1,4.0044,3.967,3.5825,3.5628,3.7538,3.3463,3.6886,3.4776
DAD1,10.5847,9.9921,10.6155,10.5319,11.244,11.1483,10.9806,11.1132
DAG1,10.5984,10.6288,10.744,10.5591,9.7035,9.6103,9.7787,9.6516
DAGLA,5.9437,5.7903,6.0295,6.4717,5.7263,5.6066,5.6196,5.4225
DALRD3,8.2503,8.2936,8.6867,8.2565,9.3911,9.3613,9.1253,9.2868
DAO,4.9815,4.9189,4.5473,4.5712,4.4697,4.1135,4.2629,4.4368
DAP,7.0246,8.1414,8.7262,8.4876,9.251,9.2637,9.1259,8.9891
DAP3,10.9262,10.7582,11.0492,10.8768,9.9893,10.1327,10.1978,10.2871
DAPK1,4.4655,3.9545,3.5928,3.7796,3.8983,3.7993,3.6733,3.6667
DAPK2,5.4992,5.6789,5.8284,5.4573,5.4242,5.3336,5.7024,5.3931
DAPP1,4.9394,4.9368,4.371,4.8902,5.2039,5.1495,4.9763,5.0551
DARS,7.7211,7.9682,8.3413,8.1089,8.5416,8.8401,8.7591,8.6013
DARS2,7.4544,7.0735,8.162,8.1216,7.9347,7.8257,8.0109,8.0475
DAXX,7.6491,7.1363,8.7443,8.3663,7.9728,7.8461,8.046,8.1234
DAZAP1,5.7989,7.0651,8.1877,7.7953,7.4216,7.4653,7.5341,7.5544
DAZAP2,12.0565,11.83,11.5913,11.6775,11.6353,11.6628,11.4461,11.5261
DAZL,3.1033,3.1894,3.1681,3.2496,3.1862,3.158,3.1569,3.0916
DBF4,7.7126,7.5274,8.3053,8.2873,8.3782,8.78,8.9527,9.0692
DBF4B,4.3455,4.2118,4.334,4.6799,4.5353,4.5199,4.2179,4.4559
DBH,5.6517,5.6115,4.756,4.7017,4.7833,4.6983,4.8981,4.7073
DBI,12.9773,13.0689,12.5324,12.4057,12.785,12.8137,12.5297,12.5096
DBN1,7.0673,7.2757,7.3951,6.6992,9.2879,9.3525,8.9073,9.2132
DBNDD1,6.4826,6.424,7.2839,6.8014,6.6841,6.6868,6.7335,6.5639
