,T47.D_0h_1,T47.D_0h_2,T47.D_24h_13,T47.D_24h_14,BT.474_0h_15,BT.474_0h_16,BT.474_24h_25,BT.474_24h_26
A1CF,4.5703,4.6647,4.2353,4.3796,4.0437,3.9485,4.1766,4.0566
A2M,4.3962,4.1408,3.9414,3.9836,3.8394,3.9789,3.8612,3.5568
A4GALT,5.3017,5.5684,5.2881,5.4812,5.5843,5.4079,5.3505,5.5686
A4GNT,4.3908,4.224,4.3223,4.1626,4.1448,4.1232,4.2786,3.9802
AAAS,7.1881,7.8254,8.5736,8.1954,7.7048,7.4616,7.3529,7.5518
AACS,8.2424,7.954,9.0359,8.5534,8.2366,8.2542,8.268,8.101
AADAC,4.3936,4.461,4.3416,4.2733,4.1251,4.1736,4.3165,4.1497
AAGAB,9.3011,8.9244,9.0499,9.0044,8.6208,8.875,8.6413,8.6838
AAK1,6.932,7.0299,6.7846,6.8372,6.8603,7.1263,6.7546,6.6702
AAMDC,7.9315,7.7371,7.6966,7.4179,7.4196,7.3337,6.9135,7.1179
AAMP,6.9554,7.6833,8.7553,8.6807,9.1632,8.9673,9.0785,8.9937
AANAT,3.9343,3.8402,3.7553,3.6757,3.9086,3.6071,3.8022,3.6061
AAR2,8.9685,8.6417,8.7384,8.6867,8.305,8.3372,8.3362,8.4586
AARS,9.3938,9.35,11.197,10.9585,10.2876,10.0515,10.3817,10.2735
AASDHPPT,9.5795,9.2789,9.0461,9.3573,8.851,9.3414,9.2183,9.3096
AASS,4.2186,4.5682,3.9703,4.0665,4.1711,4.1558,3.8812,4.291
AATF,8.2981,8.3207,9.3552,9.1898,9.2065,9.2896,9.4485,9.5091
AATK,5.9411,6.1057,5.9761,6.0086,6.0239,5.8199,5.494,5.8621
ABAT,8.6068,8.2905,9.1237,9.3121,8.2123,8.1966,9.0206,9.0492
ABCA1,4.5919,4.4684,4.1643,4.1899,3.9633,4.2749,4.1482,4.1739
ABCA11P,5.3723,4.8612,5.385,5.3787,6.1125,6.1655,6.1602,5.861
ABCA12,7.0474,7.2412,7.9117,7.8075,3.8529,3.807,4.3097,4.1704
ABCA2,6.4469,6.1432,7.6032,7.2006,6.4018,6.4203,6.1315,6.0257
ABCA3,7.3227,6.7478,8.2362,8.0394,6.6772,6.6534,6.3977,6.4123
ABCA4,5.0303,5.2808,4.7057,4.8464,5.6263,5.3288,4.9813,4.7544
ABCA5,8.0648,8.1282,7.4095,7.4972,5.5808,5.8867,5.3249,5.5267
ABCA6,3.671,3.634,3.5478,3.5823,3.6849,3.6759,3.5257,3.369
ABCA7,5.304,5.6851,5.7959,5.6961,5.2395,5.011,5.1471,5.278
ABCA8,3.5346,3.4607,3.2916,3.4143,3.3204,3.468,3.3473,3.2928
ABCB1,3.637,3.6525,3.5352,3.4687,3.3548,3.4518,3.422,3.429
ABCB11,4.3905,4.7095,4.8212,4.8344,4.2883,4.3371,4.2813,4.3371
ABCB4,4.2819,4.3862,4.1562,4.0896,3.9867,3.943,4.0655,4.2245
ABCB6,7.3062,6.7757,7.7149,7.3472,7.5111,7.2978,7.8609,7.6179
ABCB7,6.949,6.4819,6.8991,6.8186,7.4477,7.4093,7.2293,7.5403
ABCB8,5.5989,5.5493,5.4884,5.6539,5.5594,5.5558,5.4358,5.6269
ABCB9,5.8715,5.9735,5.8972,5.5388,5.6622,5.6622,5.3688,5.6345
ABCC1,8.2213,7.3438,7.6088,7.6027,7.2105,7.2133,7.5421,7.3837
ABCC10,7.0964,6.7048,7.0701,6.7609,7.8691,8.1697,8.3227,8.3741
ABCC2,4.5756,4.6983,4.1738,4.4118,6.2336,5.7845,6.4439,6.58
ABCC3,6.7681,6.3833,5.9249,6.0739,10.7329,10.5767,9.7336,9.9576
ABCC4,4.2391,4.2738,3.8019,4.4449,5.0671,4.8151,4.7633,4.631
ABCC5,9.1317,9.0909,8.5402,8.6781,9.7618,9.5247,9.5738,9.3711
ABCC6,7.5717,6.7715,6.9931,6.5177,4.215,4.145,4.4873,4.5504
ABCC8,5.2312,5.152,5.1792,5.2466,5.3483,5.294,5.3806,5.6196
ABCC9,4.0779,4.3696,3.8579,3.8815,4.0416,4.0135,3.832,3.8333
ABCD1,6.0246,5.9002,5.4916,5.7085,5.6595,5.3815,5.6134,5.1775
ABCD2,3.2293,3.3448,3.046,3.0818,3.2121,2.9981,3.0964,3.1313
ABCD3,8.421,8.3246,8.4579,8.9021,8.9509,9.1775,8.918,9.0273
ABCD4,7.7419,7.3466,7.5351,7.3089,7.4551,7.147,7.2765,7.3339
ABCE1,7.8759,8.0162,8.9583,9.379,8.8854,8.7254,9.3986,9.3849
ABCF1,9.0719,8.5706,9.7023,9.5758,9.3072,9.3794,9.4792,9.2575
ABCF2,7.0538,7.2714,8.6735,8.3824,8.6467,8.4103,8.5589,8.6915
ABCF3,7.9225,7.9562,8.6354,8.3963,8.0509,7.9117,7.8324,7.9592
ABCG1,6.3035,5.8081,5.3886,4.9927,5.5289,5.9827,5.4086,5.0345
ABCG2,3.9099,3.746,3.7354,3.7091,3.6311,3.6585,3.5799,3.3913
ABCG4,5.2907,4.9783,5.1835,5.4141,5.2519,5.3681,5.4971,5.1769
ABCG5,4.3653,4.1194,3.9741,3.9584,3.8124,3.8727,3.809,3.901
ABHD10,8.2108,8.0344,7.9184,7.8115,8.5454,8.7052,8.445,8.5182
ABHD11,9.3401,9.5111,9.7937,9.327,10.5177,10.4515,10.2031,10.2733
ABHD17A,6.7448,7.9727,9.6111,8.9862,9.7088,9.4379,8.9695,9.4516
ABHD17B,5.4192,5.6922,4.806,5.3216,6.1309,6.4837,5.9369,6.3562
ABHD18,4.7031,4.8002,4.3538,4.3655,4.9488,4.8106,4.6684,4.7702
ABHD2,6.1869,5.9899,7.0855,6.5283,5.7674,5.7094,6.0213,6.0276
ABHD3,6.1723,6.0044,6.3118,6.2445,6.9637,7.6174,7.6361,7.8033
ABHD4,7.1937,7.2673,7.428,7.0366,8.2341,8.0958,7.7436,7.6707
ABHD5,7.2082,6.9189,7.9218,7.9226,7.3099,7.2349,6.8869,7.094
ABHD6,5.5748,5.2787,5.0965,5.215,5.4286,5.4378,5.4262,5.4953
ABHD8,5.7323,5.7009,5.5519,5.6627,5.0633,5.3217,5.3128,5.1101
ABI1,8.0987,7.4825,8.4842,8.6268,9.3377,9.2622,9.218,9.3453
ABI2,7.7521,7.4985,7.8253,7.8125,7.15,7.2774,7.4569,7.2439
ABI3BP,3.3846,3.4922,3.3773,3.2567,3.5751,3.2208,3.2302,3.2481
ABITRAM,8.7441,8.7446,8.2761,8.4512,6.8507,6.8307,6.3186,6.7754
ABL1,5.5574,6.7748,8.4074,7.6214,9.4984,9.507,9.5716,9.3005
ABL2,4.6001,4.5827,4.6211,4.2955,4.438,4.2109,4.2995,4.3848
ABLIM1,8.1511,7.0991,7.7507,7.5018,5.7165,5.7631,5.4815,5.133
ABLIM3,5.5385,4.7092,5.1304,5.1782,4.8925,5.0664,4.964,4.7073
ABO,5.6465,5.638,5.2017,5.2843,5.4157,5.3623,5.3681,5.2285
ABR,6.9784,7.0525,7.7631,7.2771,7.9545,7.8361,7.9512,7.9657
ABRAXAS2,7.533,7.619,7.4343,7.4444,7.2719,7.5545,7.2905,7.2353
ABT1,7.0187,6.9831,8.588,8.0539,7.9699,8.06,7.902,8.048
ABTB2,6.8319,6.934,7.1012,7.048,6.8684,6.958,6.9376,6.8562
ACAA1,9.1857,8.559,9.2372,8.984,8.7254,8.5892,8.3198,8.5423
ACAA2,8.0186,7.7233,7.8168,7.6024,8.545,8.3879,7.9783,8.0778
ACACA,10.0289,9.59,9.2031,9.3321,10.2424,10.3964,10.6599,10.3965
ACACB,5.7715,5.6809,5.5035,5.525,5.4719,5.4107,5.5014,5.6948
ACAD10,6.5366,6.8324,6.9522,6.7397,6.5343,6.42,6.0197,5.95
ACAD8,8.4583,7.9661,8.9714,8.8348,7.6439,7.4857,7.449,7.7536
ACADL,3.8293,3.8638,3.826,3.9287,3.9312,3.7405,3.5648,3.7701
ACADM,7.9207,8.2655,7.2339,7.4663,7.7659,8.0403,7.8539,8.0225
ACADS,5.798,5.6081,6.0787,5.7288,5.8668,5.6986,5.5014,5.4794
ACADSB,5.5498,5.3428,5.1176,5.1346,5.9469,6.3118,6.3788,6.6756
ACADVL,9.7588,9.7447,10.6187,10.3801,10.7469,10.6816,10.4418,10.4062
ACAN,4.7687,5.2299,4.7807,4.8774,5.0863,4.8429,4.8981,4.915
ACAP1,6.6384,6.5356,7.1722,6.8912,7.2685,6.7833,6.9612,7.1813
ACAP2,8.7864,8.7751,8.1382,8.6874,7.4997,7.6234,7.4586,7.5891
ACAT1,10.5359,10.0605,10.3426,10.355,9.2085,9.2834,9.4238,9.5159
ACAT2,9.0366,8.5259,9.5037,9.536,8.6099,8.7447,8.8663,8.675
ACBD3,9.6834,9.7703,8.8532,9.1728,9.2803,9.3139,8.9286,8.9801
ACBD4,7.2465,7.859,6.976,7.1352,6.6153,6.4591,6.8401,6.3617
ACD,8.2051,8.0925,8.8085,8.5079,8.631,8.6175,8.6352,8.9433
ACE,4.488,4.3843,4.239,4.3652,3.8602,4.1323,3.8419,4.1065
ACE2,3.9932,4.1186,4.0088,4.0102,3.893,3.8827,4.0843,4.0594
ACHE,5.2437,5.3284,5.1817,4.9785,5.1385,5.1521,5.2152,5.5586
ACIN1,6.1011,6.6572,7.2878,7.1526,8.0217,7.8146,8.1477,8.0159
ACKR1,4.059,4.1416,4.1207,4.0934,4.1122,4.1019,4.0995,4.1944
ACKR2,5.0454,5.5667,4.6982,4.807,4.4087,4.7248,4.6127,4.4033
ACKR3,3.6812,3.9379,3.3887,3.6095,8.4631,8.7374,7.7267,8.2232
ACKR4,3.1737,3.2017,3.3051,3.2846,3.3808,3.5126,3.3192,3.3184
ACLY,11.6487,11.5885,11.4911,11.3212,10.7128,10.7717,10.8211,10.6209
ACO1,8.2613,7.8378,8.1536,8.0134,6.6735,6.803,6.9237,6.7868
ACO2,8.6331,8.6498,9.9345,9.5856,9.8647,9.8201,9.6861,9.7035
ACOT11,5.5504,5.4996,5.4363,5.6042,5.5575,5.2344,5.576,5.5315
ACOT13,8.6813,8.3699,8.618,8.4905,8.4115,8.3571,8.0893,8.3743
ACOT7,8.087,7.267,8.84,8.5521,8.7405,8.6328,8.2685,8.508
ACOT8,6.4255,7.315,8.4909,7.8492,7.9631,8.2687,7.8502,7.9946
ACOT9,8.9125,8.2222,9.0567,9.0536,9.0068,8.8414,8.5212,8.6848
ACOX1,9.1529,8.6532,8.3886,8.3467,8.1959,8.1479,7.6684,8.1766
ACOX2,5.0316,4.6817,9.0343,8.5253,4.8357,4.6439,4.5766,4.5516
ACOX3,7.2714,7.0768,7.1367,6.7572,6.2268,6.1484,6.4956,6.5008
ACOXL,3.4231,3.47,3.2869,3.4198,3.3851,3.5955,3.419,3.5698
ACP1,9.5285,9.2173,9.7727,9.8292,10.3406,10.2183,10.4132,10.4021
ACP2,8.5903,7.9417,9.1284,8.5887,8.1889,8.1029,7.5198,7.6833
ACP5,5.0437,5.2658,4.7981,4.9191,4.611,4.8298,4.8289,5.0555
ACP6,8.2379,7.638,7.9431,7.6487,7.9585,8.0789,7.9306,7.9411
ACPP,3.7811,3.6186,3.8121,3.6454,4.2865,4.6228,4.4549,4.284
ACR,4.4485,4.8057,4.2064,4.252,4.3583,4.3193,4.4368,4.1987
ACRV1,4.7792,4.946,4.4935,4.5623,4.2122,4.2864,4.2652,4.0529
ACSBG1,4.1493,4.2158,3.9951,3.9951,4.2108,3.8563,3.9951,3.9082
ACSBG2,4.4258,4.5461,4.0932,4.022,4.0164,3.7191,4.0176,3.9783
ACSF2,7.8718,7.0903,7.7672,7.3303,9.8646,9.753,9.2346,9.4546
ACSL1,9.6667,9.362,9.0573,8.8887,10.523,10.8605,10.4221,10.3418
ACSL3,9.6116,9.632,9.0831,9.3383,10.3646,10.4615,10.0299,9.9102
ACSL4,3.0152,2.9841,3.4205,3.1937,3.1636,2.9617,2.8962,2.9337
ACSL5,4.0208,3.7877,3.8895,4.064,4.1626,4.0083,4.1196,3.7069
ACSL6,4.4687,4.1289,4.0922,4.1219,4.207,4.1081,4.2404,4.0191
ACSM1,4.341,4.2674,4.4124,4.2031,4.4127,4.2691,4.0354,4.3133
ACSM3,4.1647,4.1026,4.7286,4.7126,4.256,4.4805,4.8751,4.7633
ACSM5,4.5681,4.5682,4.2059,4.5568,4.2585,4.2402,4.4255,4.5537
ACSS3,6.4305,6.5114,6.0445,6.0132,4.7621,5.0215,4.3779,4.5864
ACTA1,4.419,4.4649,4.4768,4.4352,4.5428,4.6726,4.45,4.5347
ACTA2,5.7545,5.033,6.6515,6.4225,5.0574,5.3387,5.3491,4.8419
ACTB,13.9174,13.9247,13.8664,13.8421,13.8473,13.7289,13.6952,13.5941
ACTC1,5.5533,5.5083,5.5897,5.4123,5.4027,5.2776,5.342,5.408
ACTG2,5.567,5.5707,5.3945,5.4599,5.475,5.4651,5.6481,5.4198
ACTL6A,9.9118,9.6898,10.2668,10.1997,9.0456,9.2449,9.547,9.4627
ACTL6B,5.2098,5.0386,4.4964,4.7817,4.9619,4.5758,4.5096,4.664
ACTL7A,4.9125,4.788,4.4325,4.5823,4.4301,4.3769,4.4073,4.2914
ACTL7B,4.6563,4.8398,4.7545,4.7213,4.8095,4.7566,4.7303,4.7882
ACTL8,6.3519,6.3829,6.4621,6.5862,6.5164,6.4367,6.2431,6.6189
ACTN1,10.1139,9.7293,10.2964,10.1503,10.2155,10.3171,10.32,10.0251
ACTN2,5.1218,4.9662,5.3777,5.6185,5.0033,5.0175,5.1018,4.7379
ACTN3,4.4562,4.5505,4.5567,4.6495,4.278,4.4177,4.5631,4.483
ACTN4,7.8346,8.1562,8.6043,8.3704,9.1678,9.2946,8.8251,8.7881
ACTR10,10.967,10.6101,10.4849,10.4908,10.1739,10.2301,9.8791,10.0164
ACTR1A,8.9129,8.648,10.0913,9.5201,8.8827,8.6927,8.6298,8.7745
ACTR1B,7.5132,7.7854,8.6948,8.3072,8.2785,8.1871,7.8893,7.9361
ACTR2,10.1175,9.8774,10.2872,10.7163,10.8849,10.8532,11.0435,11.0432
ACTR3,11.2174,11.0617,10.6711,10.8621,11.8459,11.9472,11.7642,11.7173
ACTR3B,5.453,5.2737,6.4184,6.0022,6.7586,6.7576,6.8495,7.0822
ACTR5,7.4484,7.617,7.7284,7.4127,6.3284,6.5808,6.0533,6.0717
ACTR6,9.0505,8.7368,8.5576,8.7832,7.8254,8.0996,8.2125,8.4205
ACTR8,4.5939,4.5104,4.0819,4.2797,5.0437,4.7962,4.7171,4.6522
ACVR1,7.839,7.2902,6.7629,6.4228,6.8059,7.3165,6.9121,7.2084
ACVR1B,8.9773,8.9835,8.8644,8.4579,8.4584,8.5504,8.1725,8.3517
ACVR2A,6.6178,6.0396,6.2891,6.3568,6.9121,6.9895,6.7957,6.81
ACVR2B,4.9424,4.8629,4.8431,4.7557,4.5651,4.9361,5.0195,4.8357
ACVR2B-AS1,4.3643,4.7229,3.8514,4.0424,4.1354,4.0883,4.0876,4.0845
ACVRL1,4.9753,5.288,4.806,5.2752,4.9536,4.8691,4.9709,4.8572
ACYP1,7.4022,7.4314,8.0264,8.2204,6.2085,6.4243,6.1258,6.6062
ACYP2,5.7712,5.2949,5.312,5.0569,6.131,6.112,5.7858,6.0705
ADA,4.6506,4.1777,4.7716,4.6093,4.3299,4.4343,4.7607,4.5953
ADA2,4.539,4.757,4.3555,4.4176,4.3979,4.5045,4.3128,4.144
ADAM10,9.6871,9.611,8.9245,9.2254,10.024,10.0639,9.6793,9.6782
ADAM11,5.458,6.3727,5.1218,5.333,5.125,5.0317,5.04,4.7387
ADAM12,4.4758,4.2462,4.3383,4.5478,4.5932,4.4087,4.5411,4.1655
ADAM15,6.2602,6.2023,7.7149,7.0873,6.571,6.4374,6.3424,6.589
ADAM17,7.382,7.1691,7.1853,6.9395,8.2893,8.4126,8.0551,8.3861
ADAM18,4.2729,4.1422,3.9935,3.8713,3.8612,3.7046,3.9335,3.7565
ADAM19,5.0041,4.9818,4.4519,4.638,4.8352,4.484,4.3364,4.8473
ADAM2,3.3292,3.3026,3.1861,3.3573,3.2639,3.3292,3.4693,3.5253
ADAM20,4.6693,4.5761,4.3502,4.5805,4.5222,4.5137,4.7406,4.4438
ADAM21,3.717,3.5338,3.5606,3.6047,3.4237,3.4425,3.5827,3.5338
ADAM22,4.7765,4.4513,4.6218,4.6126,4.5791,4.3393,4.6115,4.3653
ADAM23,4.6577,4.2894,4.7621,4.8146,4.9371,4.6958,4.7964,4.5041
ADAM28,5.5943,5.7611,4.8232,5.0303,5.015,4.8691,4.8753,4.8542
ADAM30,5.542,5.1534,4.5562,4.5459,4.3316,4.6331,4.5291,4.58
ADAM3A,3.7703,3.6791,3.645,3.7069,3.8033,3.606,3.633,3.7483
ADAM5,4.5262,4.4687,4.1399,4.1932,3.7991,3.8282,3.895,3.6783
ADAM7,4.1476,4.1825,4.0619,4.0849,3.8356,3.7444,3.8948,4.0503
ADAM8,5.1989,5.3409,5.2047,5.247,5.298,5.2243,5.2625,5.4204
ADAM9,10.7404,10.717,10.0185,10.5105,9.0538,9.453,9.1085,9.3582
ADAMDEC1,3.3558,3.4086,3.4369,3.4687,3.2691,3.3354,3.355,3.2888
ADAMTS1,4.5717,4.766,4.3257,4.2298,4.6877,4.4189,4.7969,4.9707
ADAMTS12,4.29,4.0986,4.2073,4.1007,4.0684,3.9827,3.9762,3.7859
ADAMTS13,5.3282,5.4334,5.4427,5.5068,5.4582,5.339,5.209,5.5132
ADAMTS2,4.5392,4.5192,4.2756,4.3396,4.2835,4.2598,4.2178,4.1322
ADAMTS20,3.333,3.4094,3.4543,3.5225,3.2534,3.2044,3.2518,3.1428
ADAMTS3,3.1349,3.1324,3.4587,3.32,3.3065,3.2044,3.32,3.4492
ADAMTS5,3.3043,3.1546,3.3121,3.2333,3.2038,3.2154,3.2345,3.1747
ADAMTS6,3.8817,3.978,3.9956,3.8464,3.6145,3.7088,3.6953,3.858
ADAMTS7,5.1886,6.1572,5.5147,5.5327,5.4388,5.4872,5.4574,5.3785
ADAMTS8,4.368,4.0941,4.3324,4.3662,4.0606,4.3881,4.4915,4.2902
ADAMTS9,3.7419,3.8852,4.0746,3.7941,3.715,3.8767,3.772,3.6511
ADAMTSL2,4.3563,4.4972,4.0601,4.2186,4.1915,4.0893,4.1944,4.456
ADAMTSL3,3.5004,3.4722,3.4259,3.2499,3.5219,3.2635,3.4759,3.4328
ADAMTSL4,4.3188,4.6981,4.518,4.373,4.5587,4.3961,4.5053,4.3637
ADAP1,8.1291,8.2872,8.8858,8.6312,8.9839,8.9677,8.7062,8.6972
ADAP2,6.1704,6.3261,5.9019,5.9019,5.5798,5.5915,5.2946,5.1867
ADAR,10.2657,10.4238,10.3153,10.3084,10.531,10.5697,10.7731,10.4873
ADARB1,6.2831,6.7697,6.26,6.3164,6.5271,6.5817,6.6552,6.6149
ADARB2,4.9593,4.8279,4.0445,4.017,3.9868,3.9769,3.9824,3.8883
ADAT1,6.3733,6.1773,7.3552,7.03,6.6621,6.5854,6.3339,6.6322
ADCK2,7.4492,7.5424,8.2243,7.692,7.5126,7.7352,7.4843,7.3998
ADCY1,5.7004,6.0557,5.1117,5.3673,5.1883,4.9434,5.3299,5.2778
ADCY10,3.8359,4.1121,3.6961,3.7994,3.8088,4.1588,3.8795,3.7322
ADCY2,5.1266,4.8647,4.6038,4.6731,6.2883,5.9735,5.0463,5.2027
ADCY3,6.0793,6.1926,6.6541,6.4645,6.3455,5.9524,5.8932,6.2273
ADCY6,7.3294,7.7027,8.6634,8.5066,7.531,7.382,7.5758,7.1686
ADCY7,3.1992,3.07,3.1897,3.3217,3.3941,3.3872,3.3264,3.3027
ADCY8,4.287,4.3776,4.1204,4.0347,4.5586,4.4538,4.3637,4.4847
ADCY9,7.4372,7.2009,8.6107,8.3533,5.0947,5.3312,6.4856,6.7199
ADCYAP1,4.1732,4.2116,4.1457,4.1186,4.001,4.0542,4.0775,4.04
ADCYAP1R1,4.4229,4.66,4.3706,4.4619,4.2375,4.1588,4.104,4.3077
ADD1,8.7675,9.0041,9.1308,8.9956,9.1109,8.96,8.9009,8.6956
ADD2,5.802,5.749,5.6043,5.6282,5.4827,5.3328,5.5732,5.3038
ADD3,9.1954,9.0011,8.0172,8.2058,6.6775,7.0399,8.4655,8.523
ADD3-AS1,4.389,4.3379,4.241,4.2567,4.21,4.2393,4.1502,4.4222
ADGB,3.5218,3.4109,3.4457,3.4216,3.1628,3.2803,3.4861,3.4325
ADGRA2,5.383,5.3695,4.9775,4.8267,4.7793,4.7584,4.8394,4.4926
ADGRA3,6.6714,5.9361,6.7656,6.807,6.3033,6.5779,6.878,6.8517
ADGRB1,5.6243,5.6637,5.2335,5.2155,5.3139,5.2713,5.3939,5.1058
ADGRB2,4.2829,4.4267,6.2275,5.7242,4.2788,4.2592,3.9662,3.8413
ADGRB3,3.5359,3.4808,3.308,3.4558,3.3297,3.3528,3.2811,3.422
ADGRD2,6.0104,6.4613,6.5605,6.6579,6.8197,6.487,6.8083,6.8711
ADGRE1,5.1309,5.8292,4.1574,4.1092,3.9966,4.1421,4.2501,4.2579
ADGRE2,3.9474,4.0825,3.6647,3.5873,3.6377,3.5827,3.4187,3.4825
ADGRE3,3.8042,3.9557,3.7032,3.718,4.0498,3.6539,3.8977,3.6356
ADGRE5,6.0834,5.9077,6.3857,6.0934,5.2009,5.3681,5.3062,5.2794
ADGRF1,4.8879,5.3231,4.3504,4.4118,4.3838,4.4118,4.4261,4.3719
ADGRF5,4.3643,4.6073,4.1601,4.1998,4.0614,4.2253,4.3557,4.2065
ADGRG1,10.3945,9.9229,9.673,9.5161,9.7795,9.746,9.8706,9.7977
ADGRG2,4.183,3.9854,4.127,3.7512,3.5772,3.5943,3.9288,3.8644
ADGRG3,5.5148,5.3755,5.493,5.5673,5.4881,5.3279,5.3067,5.3863
ADGRG6,8.1643,7.5795,6.9874,7.3728,6.4421,6.5584,6.4751,5.6102
ADGRL1,7.3215,7.3034,7.8933,7.7465,7.4881,7.5727,7.6148,7.8994
ADGRL2,5.4213,4.6243,4.1641,4.4376,3.4305,3.8468,3.7692,3.5877
ADGRL3,4.1771,4.0304,4.2894,4.2894,4.3368,4.1383,4.205,4.1712
ADGRL4,3.6357,3.6269,3.6041,3.233,3.3714,3.468,3.3714,3.2942
ADGRV1,3.5833,3.7411,3.6197,3.6258,3.6629,3.3715,3.5507,3.4909
ADH1A,4.0343,3.6253,3.5593,3.7682,3.556,3.6359,3.6108,3.6542
ADH1B,3.7164,3.7239,3.8348,3.966,3.8632,3.7288,3.686,3.8042
ADH1C,3.7903,3.7675,3.5121,3.6626,3.5634,3.5649,3.6633,3.6151
ADH5,10.0187,9.6361,9.7961,9.7699,10.2223,10.1895,10.1563,10.1383
ADH6,4.2927,3.973,4.2872,4.2294,4.0997,4.102,4.195,3.9799
ADH7,3.8455,3.7994,3.7154,3.7307,3.7186,3.7515,3.782,3.8579
ADI1,8.9381,8.2626,8.5074,8.374,8.4352,8.6339,8.333,8.6339
ADIPOQ,4.094,4.082,3.7717,3.6254,3.6581,3.5176,3.4727,3.4834
ADIPOR1,9.4465,9.1056,9.6837,9.771,9.3464,9.4063,9.3099,9.0129
ADIPOR2,9.6094,9.0831,9.7708,9.6462,9.8441,9.8479,9.8717,9.7978
ADIRF,11.092,10.7325,10.9752,10.6482,11.5905,11.6197,11.1656,11.3066
ADK,11.3277,10.9057,10.8805,11.0567,9.3341,9.3311,9.1965,9.3882
ADM,7.9024,8.157,9.1683,9.0207,6.4327,5.9909,6.3138,6.5761
ADM2,6.6407,6.8975,6.5161,6.4164,6.344,6.1384,6.268,6.2377
ADNP,10.1672,9.8301,9.8975,9.8736,10.7238,10.8674,10.8231,10.9215
ADNP2,7.852,7.6084,7.7226,7.6598,8.7626,8.6513,8.6709,8.8537
ADO,8.3314,8.3783,8.6746,8.4704,8.7501,8.6693,8.7253,8.8417
ADORA1,5.0265,5.1608,5.1939,4.874,5.2492,5.2917,5.12,5.2762
ADORA2B,3.8323,3.9687,3.6427,3.783,3.9668,3.7755,4.1073,3.65
ADORA3,4.1373,4.2994,4.058,4.1491,4.0083,3.9748,3.9485,4.186
ADPGK,8.8969,8.5385,8.9103,8.8457,8.5525,8.548,8.7526,8.5435
ADPRH,5.277,5.3985,4.7745,4.9699,4.7905,4.9444,4.9359,4.6659
ADPRM,4.9894,4.6164,6.1474,5.7693,5.2308,4.9885,4.9217,5.1588
ADRA1A,3.8819,3.9519,3.8007,3.836,4.0997,4.0221,3.9252,3.9886
ADRA1B,3.9916,4.0981,3.896,3.9161,4.2489,3.9513,3.9159,4.0269
ADRA1D,4.1961,4.4087,4.078,4.1055,3.9083,3.9059,3.9544,4.1712
ADRA2A,3.9727,4.0196,5.6717,4.7688,3.471,3.7637,4.0539,4.0315
ADRA2B,5.1592,5.4415,4.8549,5.3622,5.0798,5.0048,4.9746,5.5442
ADRA2C,6.461,6.4964,6.5204,6.4543,6.6087,6.4797,6.4731,6.5754
ADRB1,4.1692,4.2744,3.6995,3.9417,3.8597,3.7545,3.8011,3.9164
ADRB2,4.3794,4.1759,3.9614,4.2121,4.0147,3.8206,3.8023,3.8942
ADRB3,5.5017,5.6132,5.191,5.6598,5.1666,5.1486,5.3917,5.2163
ADRM1,8.5667,8.8251,9.9035,9.6684,9.1859,8.9762,8.5284,8.7755
ADSL,9.8624,9.3481,10.1424,9.9917,9.3292,9.2811,9.4252,9.5455
ADSS,8.3627,7.7719,7.8074,7.5658,8.6907,8.8308,8.7387,8.7334
ADTRP,4.5481,4.3262,4.2267,4.0827,3.8254,3.952,4.0002,3.8984
AEBP1,6.0358,5.8144,6.1793,6.0303,6.2881,6.0209,5.9922,6.1507
AEN,5.8252,6.1879,6.6618,6.8302,6.1839,6.4422,6.4956,6.6543
AFAP1,2.9294,2.8608,3.1509,3.0284,3.353,3.4646,3.4715,3.3532
AFDN,4.813,4.6708,5.0896,5.321,5.4936,5.0412,5.9497,5.9179
AFDN-DT,4.2884,3.8412,3.7907,3.7245,3.7605,3.8903,3.8932,3.7269
AFF1,7.9484,7.6575,7.5024,7.5145,8.4238,8.3431,8.4409,8.4696
AFF2,4.2663,4.7581,4.2717,4.5054,4.8028,4.3225,4.2943,4.1457
AFF3,4.5632,4.5593,4.2297,4.2009,4.126,4.0873,4.214,4.4091
AFF4,4.8504,4.6121,4.8722,4.7401,5.084,4.7129,5.2004,4.7612
AFG3L2,7.5298,7.4078,7.3793,7.5864,8.745,8.7607,8.9654,8.8032
AFM,3.3486,3.6234,3.6223,3.7049,3.5392,3.3831,3.502,3.3943
AFP,4.6765,4.373,4.5263,4.5593,4.7033,4.5536,4.6696,4.7677
AFTPH,9.2801,9.3958,8.4672,8.8639,9.1456,9.1332,9.2089,8.8596
AGA,9.0711,9.2547,9.4125,9.3238,10.1542,10.2613,10.3404,10.3509
AGAP1,7.6209,6.6628,7.2935,7.2574,7.8279,7.8807,7.5777,7.3674
AGAP2,6.5716,6.5157,6.1927,6.0101,5.8477,5.8117,5.8987,6.0466
AGBL2,4.6094,4.4651,4.5641,3.8281,3.7744,3.5955,3.832,3.6755
AGBL3,3.0876,3.1521,3.2779,3.0435,3.4214,3.3845,3.4152,3.3986
AGBL5,5.8735,6.6282,7.2681,6.8529,5.636,5.8982,5.7834,5.9743
AGER,5.1103,5.5155,5.1368,5.2563,5.3903,5.1333,5.1547,5.2508
AGFG1,7.4498,7.7883,7.2119,7.2536,8.1582,8.2634,8.3862,8.4677
AGFG2,5.8614,5.6788,5.7326,5.8854,5.7538,5.6879,5.4787,5.6671
