,IRJ43,IRJ44,IRJ45,IRJ49,IRJ50,IRJ51
MTX2,5.641383166,5.570139722,5.755038084,5.800053369,5.897766101,5.885752401
SYT1,4.685394053,4.38834276,4.67443229,4.469751022,4.488066379,4.593054524
TNNI2,0.152653758,0.372043586,0.350373744,0.468484111,0.608347848,0
SREBF1,7.888577495,8.010445251,8.009015421,7.736761363,7.654887251,7.670493821
ZNF473,3.129249286,2.860937639,2.978406211,3.483057015,3.617155335,3.444083956
AC131935.1,0,0,0,0,0,0
C10orf68,0.472599108,0.553845103,0.623210772,0.646785802,0.668571932,0.715676726
PPP2R1B,3.230590322,3.556934204,3.31121177,3.450717923,3.569361051,3.515145335
PTGER1,0.230505271,0.362189326,0.226405098,0.136507729,0.065320476,0.083929726
KANSL2,4.719320002,4.920203142,5.038832187,5.239223371,4.952658258,5.215567769
FRA10AC1,3.814334496,3.662292138,3.706235967,3.761562417,3.984660081,3.961141527
AZGP1,0.595853042,0.088127037,0.280142116,0.87021202,0.819876183,0.771781678
RTKN,3.07122405,3.023579152,3.031050668,3.441680441,3.425861016,3.578673135
ARHGAP32,3.27943689,3.208010858,3.268907542,2.951479116,2.90025323,2.715505641
TRA2B,7.824504519,7.670553711,7.65430102,7.749296253,8.061232454,7.779979995
RHEB,6.100323937,6.101049048,6.243218364,6.471845426,6.49417546,6.486887458
HNRNPU,7.663845252,7.652656795,7.597095198,7.734220148,7.816093796,7.78555901
CFHR3,0.170935539,0.269241959,0.18811041,0.483320901,0.257629935,0.4046841
SLC4A10,0.618735863,0.68196192,0.574444363,1.585038806,1.644594307,1.593261365
RNF138,4.561228369,4.182629352,4.262921301,4.623769506,4.58158051,4.819029337
FGD1,1.523161434,1.653588389,1.574161814,2.114989811,1.949073744,2.118655572
RP11-73M18.2,4.295160587,4.289093732,4.306966659,4.29766657,4.697807311,4.524054632
TEX40,0.575768162,0.92968844,0.579941394,0.743552815,0.704350194,0.962825738
GP5,0.045428839,0,0.038290866,0,0.024457619,0
CCL24,0,0,0.10895801,0,0,0
RFX7,2.630214787,2.663847902,2.806823919,2.785707373,2.637512318,2.741643283
ASF1A,4.030975189,3.986831686,3.935801501,3.804304898,3.92546536,3.992341562
CCR6,0.027096801,0.070350769,0.17767923,0.031001711,0.139320104,0.143910085
RAVER2,3.210971868,3.063840005,3.040924925,3.450435656,3.430705696,3.051757691
EIF3F,7.13699694,7.221766146,7.146002823,7.132624558,7.166542579,7.17275564
ANAPC11,7.765317863,7.696640641,7.77724607,8.130351286,8.182639733,8.133518098
MRPL53,7.010678683,7.121337435,7.128925705,7.032199106,7.093680095,7.109481589
ERVW-1,0.203385248,0.183382761,0.185654283,0.109101936,0.070127457,0.079836068
NXPH2,0.457697224,0.219086451,0.188392132,0.439826571,0.414367808,0.229116768
TMIE,0.090900493,0.060532475,0.196347391,0.20039807,0.097001304,0.182587365
FBXL17,3.763742805,3.709580993,3.703346537,3.493969072,3.534042902,3.485533021
ACO2,5.993232246,6.023097545,6.015759279,6.073842086,5.931176118,6.043737677
PAGE4,0,0,0,0,0,0
KIRREL2,0.083616921,0,0,0,0,0
TSTA3,6.576321554,6.743675207,6.711779777,6.631800114,6.546068927,6.470217865
ANKRD18A,2.33240996,2.103450029,2.304911367,2.272747731,2.370319997,2.366541291
FAM24A,0,0,0,0,0,0
OR6X1,0,0,0,0,0,0
PLCG1,5.82311784,5.867991683,5.926741667,6.023562849,5.974150348,5.978160008
ZSCAN5A,2.271983943,2.406595554,1.84140267,1.980369442,2.375988707,2.228389861
C17orf82,4.602268771,4.652136594,4.640649981,4.413284196,4.246258636,4.519255179
SLC25A44,4.475622864,4.458710097,4.700683896,4.411479895,4.362873017,4.497004502
MAPRE2,2.256872737,2.247973066,2.08221952,1.765750168,1.692350432,2.090240424
TMCO1,6.541035633,6.548787496,6.484385048,6.284445114,6.341723611,6.399347677
LPAR6,0.333901963,0.458770676,0.427575945,0.315108223,0.541724704,0.291711227
SLC52A1,0.229849587,0.255367563,0.23655526,0.222202058,0.302365421,0.449753067
TSNAX,4.978829668,5.093388327,4.912760968,4.689603065,4.86418642,4.694949997
BET1,4.025918484,4.054595826,3.993555682,3.898125859,4.03515836,4.222177709
IFNE,0,0,0,0,0,0
SLC35B1,6.328857861,6.445755009,6.377331823,6.594188431,6.379686053,6.493272625
OTOP3,0.034762518,0,0.038908668,0,0,0
RPA1,5.803563959,5.796483392,5.618405503,5.821659896,5.849703024,5.821806686
NAT1,3.248532193,3.383929785,3.492438706,2.871351401,3.105375629,3.04782882
PRUNE2,0.741050545,0.491172263,0.421438337,1.052224613,0.689032169,1.0538009
NOD1,2.1303755,2.178333593,2.219727548,2.284561777,2.416146646,2.054463734
KCNE4,0,0.070875823,0.082557851,0,0.029178392,0
MSANTD1,0.484372405,0.268198172,0.299946517,0.452634745,0.494038789,0.331429594
