hugo,MWV1,MWV2,MWV3,MWE1,MWE2,MWE3
CREBBP,5.131631321,5.160548623,5.189636724,5.105348305,5.111974062,5.094358364
GCFC2,3.423360204,3.169650382,3.381480795,3.533569453,3.560578626,3.181593334
WDR54,5.005802602,5.184586894,4.993175627,5.242747149,5.06283735,5.129963767
CROT,5.385522083,5.349575962,5.339479949,5.473387583,5.554140073,5.490556557
KMT2E,4.844528195,4.953220253,4.943851862,4.920745477,4.824726211,4.815105247
RHBDD2,6.816461433,6.792933496,6.88522513,6.689585155,6.645529294,6.698538131
IBTK,4.342985993,4.34626818,4.327082211,4.482504434,4.535415947,4.418748828
ZNF195,4.451573808,4.501315161,4.544138457,4.701600288,4.658705914,4.43002602
MYCBP2,4.161141016,4.008774645,3.955540975,4.073146621,4.091181567,4.179810616
FBXL3,4.572048963,4.658237765,4.532535404,4.522000994,4.390164209,4.473330787
PDK2,4.161741713,3.808782529,3.79266246,4.085549748,4.261258197,3.921110378
ITGA3,7.05641584,7.010996294,7.130285167,6.759669463,6.760200464,6.750887527
ZFX,3.880574846,3.686168249,3.620767147,3.712743212,3.691425289,3.664551337
LAMP2,7.059351167,7.139016331,7.117656191,7.083344545,7.054899691,7.048360881
GDE1,6.374526366,6.288868731,6.297314877,6.374465152,6.371475661,6.311323548
C19orf60,5.100828747,5.265031794,5.052126709,5.215942885,5.132699952,5.171513576
CRLF1,3.835124511,3.874089705,4.193542471,3.739936433,3.772342817,4.052658468
OSBPL7,3.550437993,3.825081058,3.864648625,3.7135445,3.685807789,3.816017207
YBX2,3.100922663,2.822599841,3.1166532,2.92126741,2.809067415,2.76118909
MAP3K14,5.362059325,5.295950429,5.420495236,4.564382864,4.639320447,4.695545517
ABCC8,1.910510485,1.577982765,2.120967642,1.843494249,1.793870586,1.889865217
TMEM132A,8.059081047,8.031566232,8.093850015,7.880203077,7.85287534,7.860327321
AP2B1,6.345935805,6.338825434,6.321563978,6.327569461,6.402555642,6.301079763
ZNF263,4.816810669,4.756309405,4.937424294,4.877849847,4.839281906,4.844012828
SPATA20,5.646578366,5.689868689,5.649295832,5.630618674,5.603805065,5.655873137
TNFRSF12A,8.685580481,8.769684741,8.679481503,8.300140124,8.363434399,8.362168799
MAP3K9,3.982111311,4.001867892,4.128725452,3.823166969,3.821481141,3.780462131
RALA,4.649514754,4.58093899,4.558624773,4.526215315,4.358156051,4.714120369
BAIAP2L1,5.164927315,5.191512789,5.139501461,4.708062664,4.846435697,4.919350953
KDM7A,2.500085626,2.642733683,2.684028741,2.299766888,2.401202291,2.308468639
AGK,4.176762456,4.210979865,4.165668485,4.324203738,4.29638193,4.289235696
ALDH3B1,2.629241433,2.717330738,2.854813741,2.513990221,2.7525463,2.690080688
PHTF2,4.973460042,5.077244768,4.952580539,4.884300472,4.825166499,4.84940425
FARP2,4.985509629,4.844328402,5.013576711,4.923347644,4.687609206,4.827681454
GGCT,6.877331686,6.942387543,6.876695903,7.18883813,7.223543471,7.205878758
DBF4,4.254673023,4.50380895,4.367460812,4.729903205,4.779331118,4.707466812
IFRD1,5.222124,5.214646755,5.187840763,5.284132377,5.31289556,5.250337382
COX10,3.648331061,3.849373422,3.707991846,3.768026546,3.918449208,3.951700431
GTF2IRD1,4.734674887,4.873464144,4.778768143,4.456258268,4.368699774,4.398589317
PAF1,5.798382265,5.742221224,5.746283982,5.789569571,5.721239735,5.701667484
VPS41,4.340766696,4.348566068,4.128225422,4.245199457,4.28673081,4.225235669
ARHGAP44,3.268185089,3.135627785,3.042256841,3.135560808,3.194283092,3.014134051
ELAC2,5.598229932,5.545147294,5.589125307,5.782927674,5.852185187,5.760371322
SCIN,5.74523209,5.797496848,5.784436793,6.217651425,6.165138905,6.195529912
ARSD,5.077331626,5.109884423,5.238247773,5.128930379,5.010203451,5.121892691
ADIPOR2,6.909120444,6.921651393,6.930630515,7.006322106,7.024688064,7.01586148
CDKL3,2.204044294,2.4818086,1.973626703,2.219653649,1.975546927,2.154301603
MARK4,4.230429109,4.171519156,4.279395296,4.050622184,3.891689764,4.218262626
CCDC124,6.519716287,6.558240032,6.496043132,6.590764279,6.583378725,6.654622368
PAFAH1B1,6.08361533,5.947973036,5.947121771,5.73330851,5.814666593,5.800117752
KIAA0100,6.330493578,6.334215246,6.401887895,6.477173575,6.478034282,6.423209719
TRAPPC6A,5.708029105,5.852021691,5.81036508,5.841112326,5.672265279,5.730894864
MATK,3.428592459,3.400197859,3.46420755,4.131204314,4.30441481,4.208055778
ST7L,3.497465496,3.457574502,3.759195236,3.882366407,3.748769737,3.587415112
RPUSD1,5.369598393,5.477524924,5.38258035,5.638312355,5.554741063,5.584312961
RHBDF1,6.205184067,6.148175677,6.255513291,5.938045699,5.877605126,5.896448372
LUC7L,6.178905282,6.210519533,6.147904919,6.096952136,6.170689179,6.166393092
BAIAP3,3.776167908,3.552929474,3.918855827,3.306411431,3.129767516,3.617557738
TSR3,6.295447535,6.30137547,6.275914036,6.385867576,6.415533904,6.437322632
PIGQ,4.522157486,4.540998021,4.578118981,4.813647508,4.578220446,4.684645402
CRAMP1,4.357844096,4.364241905,4.351379779,4.295264139,4.416739635,4.270974913
TEAD3,4.70026381,4.578614946,4.698196804,4.428817072,4.410083264,4.366694993
DNAJC11,4.860739525,4.664078943,4.702643338,4.822966567,5.014411893,4.959279917
MYLIP,3.964628743,3.929453004,3.947688596,3.980251104,4.005688318,4.028753013
E2F2,0.798135975,0.795746171,0.745849137,1.284934562,1.160384562,1.160158637
PSMB1,8.558731567,8.611959221,8.525090716,8.480162103,8.534787422,8.542069264
SYN1,1.24834295,1.016147549,1.100750296,1.027514326,0.887065095,0.773806484
JARID2,3.978725558,3.997948924,3.968754516,4.217538071,4.247040971,4.206508043
CDKL5,3.548489646,3.622402113,3.716536621,3.387179159,3.286703313,3.232711404
CDK11A,4.290800269,4.346285394,4.282389474,4.331051562,4.278734531,4.324199344
NADK,5.478123698,5.346712146,5.241559471,5.422124391,5.401709814,5.386647565
CYTH3,3.116045522,3.05403454,3.175573302,2.952180342,3.218760868,2.856071594
ADAM22,2.53479579,2.302766522,2.516415112,2.757627942,2.588991127,2.542719242
SYPL1,6.98637646,7.010158046,6.903289225,6.951108876,6.995302113,6.983997022
CYB561,7.243549778,7.266657161,7.281685501,7.187340581,7.179094324,7.190443481
SPAG9,6.017946534,5.959687247,6.017960799,5.692548566,5.795086299,5.717772497
CELSR3,3.259926561,3.111343696,3.067800804,3.324548965,3.213087651,3.183769468
AASS,4.359905337,4.348461668,4.336828723,4.213425831,4.213279617,4.195283495
PLEKHG6,3.332642921,3.117223098,2.755851541,2.569066679,2.386105205,2.982822038
SS18L2,4.118599352,4.17838217,3.728780153,4.25673888,4.168912114,3.979216323
MPND,4.111429919,4.114802017,4.11386391,4.153053318,4.126251659,4.080018865
MGST1,7.447963301,7.569044818,7.509821813,7.497270579,7.649557164,7.549313674
CRY1,4.529914375,4.508825402,4.446875463,4.451536877,4.387525221,4.466850652
NFIX,3.545466908,3.651711878,3.681468831,3.587260446,3.69110643,3.65540286
ST3GAL1,6.045414946,5.949387528,6.014737878,5.609080323,5.71585497,5.627353702
MMP25,1.409474033,1.449956956,1.479528591,1.061144383,1.395629892,1.351159603
IL32,5.040227564,5.08919344,5.192176948,4.34280957,4.521036216,4.602524628
PKD1,5.443962886,5.37152614,5.473933462,5.398121699,5.407196528,5.423344057
MAPK8IP2,1.801687202,1.918685811,1.896013323,1.739326651,1.707303466,1.545454935
MED24,4.512994876,4.563652547,4.374071159,4.659155548,4.599066312,4.466977102
RHOBTB2,4.273641505,4.305044945,4.294436807,4.125583577,4.003241878,3.985079583
HEATR5B,3.731796148,3.702535097,3.652597317,3.444111241,3.530538431,3.527551821
SEC62,6.621101012,6.57732847,6.606390939,6.560647664,6.509895386,6.534731934
RPS20,10.83826127,10.94206563,10.85629975,10.83880939,10.87238151,10.86728215
CSDE1,10.4635895,10.43750303,10.43484152,10.40672067,10.43850754,10.37687662
UBE3C,5.890248831,5.911166748,5.971012735,5.900363044,5.949792728,5.991078187
REV3L,4.371766582,4.347284121,4.226465475,4.578815095,4.639230571,4.57650011
FAM76A,2.287671753,1.993399888,2.373182409,2.458667575,2.518077584,2.493988537
POMT2,5.683421277,5.6145584,5.649899171,5.77461395,5.572940586,5.740524127
VTA1,5.890510679,5.870283458,5.812710866,5.881921375,5.899064958,5.864159965
MLXIPL,2.193875172,2.185900789,2.232578183,2.182543127,2.463156827,2.22161728
BAZ1B,5.489611331,5.443933541,5.513986161,5.584908639,5.593325383,5.565547156
RANBP9,4.892382282,4.886533565,4.879015617,4.714296739,4.810150525,4.741079159
ETV7,1.010320108,0.775929338,0.73229356,0.912946574,1.03720719,0.880575245
SPRTN,3.582470017,3.527012141,3.503062458,3.638880246,3.740618594,3.352919365
METTL13,5.611090621,5.604672213,5.57486278,5.821586244,5.686046357,5.782085888
ZNF207,6.930345888,6.924238114,6.911839666,6.953634888,6.980895588,6.907598941
UQCRC1,6.912682926,6.949163882,6.9391114,6.822879711,6.866325826,6.778921204
STARD3NL,3.359232026,3.191568636,3.295333062,3.421817493,3.399726718,3.264963321
CD9,9.217572962,9.221379452,9.175080315,9.115602497,9.111645145,9.126448374
NCAPD2,4.191584285,4.142366791,4.024324467,4.023178069,4.000301762,4.130002371
GIPR,0.979134101,1.028386824,1.148638183,0.847760445,0.719514226,0.854070594
PHF7,1.108929191,1.277764013,1.435847835,1.793508061,1.674132166,1.278760821
NISCH,4.530232087,4.346194647,4.557726093,4.490002567,4.413614255,4.441140958
FUZ,2.216816557,2.413453001,2.464968401,2.490407112,2.320277256,2.578868931
IDS,7.512278197,7.506423349,7.5931336,7.250386559,7.277553641,7.234388031
PRSS3,0,0,1.102185441,1.074382124,0.127265461,0.112861839
ZNF200,2.727269625,2.746923471,2.669825244,2.705303381,2.648724277,2.799792935
LRRC23,2.081036193,2.255393773,2.21860481,2.395658405,2.130494702,2.329081966
HFE,0.788203173,0.868145298,0.596957939,0.739954012,0.9103635,0.638231424
SCMH1,3.087668877,2.706037377,2.980626225,2.99868294,2.832129589,2.864854707
FYN,5.006813953,4.702182523,4.96909707,4.66527976,4.568320244,4.822752512
HIVEP2,3.122898045,2.649047495,3.353194967,2.79178928,2.748092354,3.016364408
TCEB3,4.679848988,4.647935092,4.672138981,4.762455286,4.714128064,4.745704062
LYPLA2,5.929747427,6.102771284,5.934372973,6.007655332,5.88011377,5.94848631
CLCN6,2.397191261,2.265122698,2.255834493,2.2998576,2.133396725,2.015806899
MRC2,6.243581975,6.382775727,6.367342582,6.088013952,5.990834154,5.955356213
NME1-NME2,4.336447646,4.587773017,5.039357765,4.791772404,4.822164174,5.129855859
TSPAN9,4.199387468,4.230668002,4.151508732,3.856935309,4.000245237,3.95057679
BTBD7,4.829354982,5.036607378,4.884498922,4.719503219,4.861928673,4.84782252
APBA3,3.811261598,3.8232906,4.011396074,3.609360672,3.54507765,3.682090858
MKS1,4.292403655,4.108384362,4.184106256,4.272013332,4.210910609,4.462228783
ABHD5,3.93257128,3.849496029,4.030357092,4.000517384,3.92854391,4.010535401
ANOS1,2.148558662,2.219941675,2.342503545,1.956188274,1.818692706,1.886775264
AKAP8L,5.740109837,5.706703378,5.837497274,5.652201083,5.543354731,5.659012028
MBTD1,3.756628265,3.743891911,3.731148151,3.956963443,3.88918848,3.8423776
UTP18,6.284922091,6.177746372,6.184491485,6.40001098,6.418098646,6.452482481
RNF216,4.616520673,4.705516995,4.700469071,4.734400783,4.698786219,4.746200099
TTC19,5.413686357,5.319113033,5.396681118,5.289354844,5.33184503,5.308301835
PTBP1,7.76058358,7.899344245,7.896073041,7.852967067,7.844334692,7.846890059
DPF1,1.767967878,1.51429616,1.730874941,1.684067802,1.430408653,1.918103927
SYT7,4.424944588,4.323290904,4.431111976,4.504914304,4.450689339,4.45678171
LARS2,3.122354166,3.019821986,3.250953845,3.250479584,3.39079657,3.223033093
PIK3C2A,4.802758808,4.681901175,4.861703714,4.621890053,4.912184075,4.508259779
PLAUR,3.019124543,2.922343671,2.970324692,2.452067439,2.416873512,2.530137869
ANLN,3.367074402,3.384682713,3.31051303,3.648477638,3.300208673,3.331018111
WIZ,5.15775247,5.159559721,5.232788867,5.238812305,5.278853635,5.208239314
RABGAP1,5.522249014,5.446519799,5.533813867,5.415981265,5.419074124,5.375645955
QPCTL,3.069717116,3.078307875,2.975575346,3.4050351,3.443708087,3.390563414
PPP5C,5.713566896,5.695654417,5.719645957,5.735715431,5.788316691,5.743112443
