,MWV1,MWV2,MWE1,MWE2
FAXDC2,2.918751635,2.898211902,2.951106273,3.804420693
ANKRD22,0.822536472,0.929722166,0.693142732,1.751999525
STEAP4,0.670082101,0.929722166,0.387804595,1.262686236
ATXN1,4.022547023,4.64444787,4.504039342,5.171500913
PQLC3,6.366697243,6.00501778,6.241924141,6.031818273
DSC2,5.035826097,5.188734704,4.758083072,5.004959856
SH3PXD2A,1.871936599,2.130379825,1.587175572,2.169460757
GRHL1,4.838313258,5.056370737,4.771720387,4.943199586
SYDE1,3.562949684,2.789118428,3.17287501,2.47897951
RHOB,8.897860161,8.705630663,8.942438683,8.408404044
ELL2,3.016846107,3.104544083,3.197334244,3.569542579
PERP,7.953095064,7.624283343,7.785167338,7.652664543
GOLM1,3.43473688,4.086336052,3.489109752,4.011183432
SH3RF2,0.869973177,0.625687074,1.682665899,1.500808124
SLC18B1,2.503397528,2.384853621,2.951106273,2.919628654
TNFSF10,0,0.164341623,0.072311833,0
TRIM55,0,0,0,0
C21orf58,5.632083239,5.572060659,5.757459224,5.154160075
ACHE,5.98028322,4.777332709,4.997422698,3.358636406
ARHGAP10,6.221100971,6.170029228,6.062717101,5.950024714
EPGN,0.235542107,0,0,0
ZBTB42,7.345921652,7.250208171,7.0276512,6.78690927
ACKR3,6.024189452,6.817449805,6.428253511,7.208860487
FOLR1,0.558689664,0.084509627,0.387804595,0.343827804
NFE2L1,8.102069259,8.225246215,8.097146957,8.30760396
KIT,0,0,0,0
DIAPH2,2.929986253,2.977702917,2.201009554,2.098708129
MESP1,2.660032216,2.433998579,2.51823623,2.909329465
DBN1,6.942703913,7.172096916,6.946407278,6.929417422
SOWAHB,4.664251672,3.84120102,3.731686533,3.00915513
TRIM45,6.411469773,6.038505655,6.05046205,5.121073292
MAB21L3,0.082861088,0.311862404,0,0.281307171
SLC16A14,5.851791445,5.727977899,5.692983356,5.322732634
NFRKB,5.625187932,5.691392075,5.626991941,5.203463663
LAMC2,2.849442264,2.316609213,3.508787177,4.20046615
DKK1,9.965197578,9.889228915,9.638311328,9.392365314
COL18A1,7.653528094,7.674991913,8.303220277,8.486904704
ZDHHC23,5.209525812,5.145129058,5.508191621,4.995254164
PPP1R3C,6.923862362,6.923781936,6.304244773,5.780975415
SLC11A2,6.96608555,7.272333426,6.516756603,6.805772141
ACPP,1.045508901,0.974702857,0.548536515,0.147499166
MFGE8,2.686770403,2.643503634,2.642196561,2.450850182
APBB2,6.639873287,6.506969466,6.635627719,6.231038393
HNMT,2.813497569,2.763712899,2.810199676,3.700742116
PACS1,7.896235021,8.082923597,7.794549762,7.540771014
FNDC3B,5.347884885,5.449947917,5.946079674,5.951280236
RTN4,7.725007927,7.958984401,8.162013514,8.576077943
TGFA,4.074092828,4.190109151,4.738771636,5.626078939
GDPD1,2.590934871,2.188815245,2.011713278,2.624590474
NR4A1,5.263810039,4.777332709,5.314954091,4.751844484
ITGA6,3.700508449,4.830301461,4.536355135,5.345829209
SLC28A3,0,0,0,0.075633777
FLNA,10.7137572,11.30573546,10.8466538,11.25245986
SNCAIP,0.437971386,0.734308604,0.443395519,0.403751207
PCNT,7.452502952,7.754124213,7.579567269,7.587140441
43716,7.480471297,7.181720628,7.23826725,6.636591269
P2RX2,3.770924083,3.963400171,3.070667578,2.686211813
LAPTM4A,8.322956991,8.012880511,8.401887786,8.588032796
MR1,4.844263557,4.827238909,4.50730369,5.078043726
LOC90768,5.356237272,5.058983955,5.155574987,4.737361773
KLHL13,3.285286801,3.968968789,2.979589837,3.529756045
SLPI,0.61546071,0.734308604,0.598366545,1.262686236
HAPLN3,0.773486835,0.380326469,0.548536515,0.516611308
AKR1C2,1.871936599,1.637589194,2.309703224,1.945856978
TXNRD1,7.110708295,7.422444983,6.966706615,7.162456931
LDLRAD4,1.983975896,2.368092769,2.011713278,2.745308604
MET,5.94749067,6.618349762,5.845207871,6.538926261
STK17A,4.148114729,3.957809975,4.289498886,4.674894995
HS3ST5,0,0,0,0
CASP14,0.082861088,0,0,0
COL17A1,0.61546071,0.785698927,0.945010225,0.343827804
ZFP36L2,9.512615367,9.01345722,9.371371999,8.599489071
SPRR1B,0,0,0.072311833,0
HPGD,0,0,0,0
SLC37A4,5.779105054,5.814032087,5.861879863,5.372316031
PERM1,2.872917309,2.481524433,2.723037596,2.024305898
S100A12,0,0,0,0.075633777
SYCP2,5.104367635,4.830301461,4.911331083,4.237986435
MUC3A,5.789935965,4.466923718,5.027290602,2.979925936
FUT9,0.915899659,0.734308604,0.598366545,0.403751207
NOTCH1,6.035935554,6.471120084,6.025635155,5.751009724
C2orf72,3.985336862,2.862756168,3.237200101,1.884087558
EREG,0.082861088,0,0,0
LOC100129034,6.136344809,6.160326945,6.196134838,6.058860504
ARHGEF37,5.489396794,5.439957969,4.644079251,4.053886803
PLD1,1.045508901,1.180703414,0.905968816,0.516611308
FRY,0.373600059,0.681019872,0.269751995,0.670897133
INHBB,6.498937577,6.696791583,6.729461512,6.215448045
LOC80078,0,0.164341623,0,0.215953927
LHX2,3.138054002,2.417802229,2.902347177,2.080464193
PROCR,1.408851962,1.141789486,1.611647199,1.262686236
FST,0,0,0.14117154,0
CLDN3,8.380647257,8.226990154,7.967460772,7.796518545
ALDH6A1,7.313046338,7.329185945,6.960170386,6.614571916
SDC2,0.082861088,0.380326469,0.206893763,0.516611308
CIAO1,6.884703025,6.905022662,7.059687986,7.101564855
PLLP,2.57670921,2.557412348,2.100846151,1.705138771
KLF10,6.318354743,6.543816457,6.920930756,7.235899665
SOX9,1.376369012,2.150122457,1.635710641,1.631863882
PCYOX1,6.827279605,7.141602258,7.015666505,7.208860487
IGFL1,1.871936599,0.835321463,1.835926916,0.7188649
APOE,1.274286972,1.018323428,1.403161084,1.196464223
ANKRD33B,2.166029194,1.255517234,1.484914023,0.516611308
NPC2,5.903999571,5.431915904,5.82048922,5.707092201
MIR492,0,0,0,0
LOX,0.235542107,0.239986759,0.206893763,0.343827804
ARHGAP36,0.161220443,0,0.269751995,0.075633777
TRPM4,6.498937577,6.348313586,6.298603565,5.640160549
RPTN,0,0,0,0
ERCC4,5.114250571,5.283397903,5.313090036,5.38909003
ZMYM3,6.458778209,6.413067238,6.246814786,5.857968274
LRRK2,0,0,0,0
CA12,5.687746044,7.027489494,7.163683782,7.88589948
AGFG1,6.50552345,6.605894068,6.737128192,6.533906961
SERPINB6,5.933604018,5.827888329,6.140459458,6.285808555
RDH13,4.664251672,4.712419731,4.67923615,4.671851842
LMAN2L,4.57403559,4.50957842,4.57731175,4.650368114
NUDT9,4.285655076,4.204342818,4.45077953,4.527807931
KREMEN1,4.811228967,4.975688577,4.730415513,4.30630118
GRM4,3.176294653,3.575219936,3.414572123,3.248561096
PNLIPRP3,0,0,0,0
CRY2,5.427328799,5.429898363,5.188483891,4.843948582
AREG,0,0,0,0
FAM19A5,3.088782157,3.380044335,2.778127823,2.756842925
SLC39A8,5.138665716,4.478682447,4.90639419,4.802810488
PKIB,4.245752025,4.398417572,5.576604604,6.554706474
PDK4,0,0,0,0.075633777
LYPD6,6.999796238,6.45335239,7.435787513,6.931963454
B3GNT2,5.343690488,5.655581885,5.405213407,5.66026103
CADPS2,2.941134059,4.199613848,3.313771812,4.517673736
NUB1,5.307536997,5.278921486,5.210681028,5.136608267
EGR1,5.637233178,5.590240565,6.161331312,6.416093943
EPHB6,0.558689664,0.239986759,0.693142732,0.075633777
SBSN,0,0.164341623,0.072311833,0.075633777
ALDH4A1,6.976958911,6.81590564,6.434268491,5.969983131
IGDCC3,4.44293284,4.273477946,3.709183979,2.649555729
JRK,6.49610583,6.642071951,6.366682808,6.061188222
PARP1,7.673300478,8.238562846,8.006336743,8.262800642
PRRT2,3.720056068,3.567899428,3.633527838,2.422161471
CARD6,0.082861088,0,0.206893763,0.215953927
LGR4,6.325816521,6.277153675,6.528050056,6.369896529
SERPINA1,2.503397528,2.150122457,4.07746891,4.958264959
MAP6D1,4.366436134,3.894844247,4.850943216,4.490295941
TSPAN15,7.301198459,7.123615445,7.423745111,7.782832229
PRRT4,3.213547799,3.114627524,2.410778464,2.098708129
QPCT,1.561125501,2.110363271,0.865841433,1.841387964
PYDC1,0,0.084509627,0,0
PIM1,2.713022041,2.850741275,3.052906211,3.853593505
ARRDC1,7.373442787,6.945128429,7.251467395,6.61298617
ISG20,2.941134059,2.789118428,4.166879819,4.950751938
THAP8,2.533170719,2.572122408,2.438402538,2.422161471
C17orf82,4.537777392,4.317793479,4.359806015,4.049203927
LOC284379,0.499592803,0.164341623,0.646532775,0.215953927
NFATC2IP,6.292474483,6.472100791,6.471513299,6.267781881
SYT7,6.029421752,5.965172277,5.631486531,5.141016278
RDH11,7.287069811,7.180521169,7.484633507,7.786705636
TMEM87A,5.60780409,5.905441087,5.77110241,6.041281866
SHISA9,5.552543229,5.789065302,5.238446798,5.328541535
ZNF469,3.844013525,3.829004499,3.578725003,2.506570851
AMTN,2.067736102,1.745350804,1.587175572,1.054138305
CEBPA-AS1,2.872917309,2.351134904,2.778127823,2.317005048
GABARAPL1,0.082861088,0.164341623,0.14117154,0
KIAA0922,6.486626329,6.435363145,6.528050056,6.39779211
AHCYL1,7.153270268,6.977258308,7.197926304,6.903706888
HAUS5,4.694210714,4.818012051,4.830238847,4.615947994
RASSF3,5.234659879,5.83247766,5.453396322,5.852602991
FRK,2.107860474,2.909839452,3.283629042,4.78602108
CYP2S1,0.61546071,1.018323428,1.09139728,1.294691174
TUSC3,7.218288221,7.005982178,7.176043391,7.140060144
CD109,4.933486515,3.772807044,5.320531849,4.099898073
SPPL2A,7.189947184,7.091429074,7.150173625,7.407622013
PTPRN2,1.672337082,2.005889922,1.51116695,1.79738594
NHLRC1,3.222712698,3.248860509,3.114137267,3.256708295
AGA,3.777158304,4.300230276,3.651342398,4.490295941
TNFRSF11B,7.638197869,6.488671617,7.299331015,6.097929829
LOC283335,5.089415118,4.904825662,5.049852377,4.580686559
RAB7A,7.830312218,7.795062075,7.88265187,7.892450378
DGUOK-AS1,2.825578915,2.481524433,2.73422522,2.909329465
SCARB1,6.149620322,6.376870669,6.503740612,6.190147667
KRTDAP,0,0,0.206893763,0.075633777
OSER1,6.805333205,6.337591773,6.19411065,6.431470013
UNC5B,3.249863163,3.589750448,3.6394905,3.595470149
DOCK4,1.125867311,2.090065086,1.484914023,2.450850182
SLC5A6,7.816758318,7.610098205,7.664623294,7.18557858
ATG16L2,4.303041564,3.906498862,4.11646829,3.223839752
ADAM21,0,0,0,0
CAMK2N1,6.461684104,6.577013505,6.143609551,6.226897412
PI4K2A,5.439171776,5.386864896,5.626991941,5.434686453
DNMT3B,5.525024603,5.636463307,5.04536816,4.583927996
COL21A1,0,0.084509627,0.072311833,0
ZNF804B,0,0,0,0
FNIP2,2.813497569,3.404908107,3.615490548,4.131254539
TMEM45A,0,0.084509627,0,0
SPRR1A,0,0,0,0
ARHGEF17,5.80068617,5.886440218,5.682914206,5.291350515
GJB2,2.618972171,2.698170007,2.569105454,2.56021923
CAMK2N2,3.996066628,3.618379661,4.235409141,3.676654398
FXYD3,8.017705414,7.77414208,7.810493305,8.479309361
PDHX,5.588436776,5.714781061,5.543598726,5.855288127
TRAM2-AS1,3.118546727,2.698170007,2.630268978,2.301336899
ZNF185,7.737450511,7.945631147,8.161754593,9.00938355
DSG1,0.082861088,0,0,0
YIPF4,5.902574568,6.00366196,5.691549202,6.029442642
PGPEP1,5.944724012,5.981793751,5.554684798,5.7204084
OXTR,4.232201921,2.898211902,4.146088662,2.979925936
NFX1,6.469404665,6.505054268,6.497188314,6.43057006
CACNG1,0.306221876,0.164341623,0.329985457,0.215953927
GM2A,5.534255924,5.296744417,5.6194697,4.950751938
LOC642852,6.626987515,6.75998866,6.706923953,6.709632412
PSAPL1,0,0,0,0
TRIML2,0,0.084509627,0.072311833,0
TUBA4A,1.502130401,1.394424364,0.983022896,1.580861129
MYH10,7.093325587,6.973800391,7.094831135,6.79951188
NYNRIN,4.523015055,4.447110317,3.321210119,1.728759402
LINC01214,0.161220443,0,0.387804595,0.343827804
TACC1,7.379089519,6.608572213,6.899972229,5.702626014
MYPN,4.017289684,1.893256321,4.724817754,2.436577137
KRT19,11.3950835,11.35909336,11.68515263,11.72078841
MSX2,7.253368399,6.32895658,7.157983379,6.7677965
RPS6KA6,0,0.084509627,0,0.075633777
ME1,5.747703875,5.905441087,5.841332972,6.207063788
FAM26E,0,0,0,0.075633777
KCTD1,4.660884159,4.767780011,4.90639419,5.02178927
ACER3,6.073146412,6.182066037,6.510263287,6.917262031
PLEKHN1,3.979941905,3.935230028,3.764795648,3.065894782
UPK3A,2.632789104,0.56814712,2.756343515,0.343827804
TICRR,5.567007984,5.648658954,5.86442777,5.669444555
CLDN23,5.232392972,4.343743778,5.015876006,4.254353945
PAWR,7.261728913,6.891891088,6.923987372,6.533068711
HSDL2,6.460716122,6.146878865,6.239963232,6.276823373
ZNF229,3.884999309,4.470853953,3.633527838,3.523016958
GAB1,6.008377721,5.592046019,5.267614547,5.103111753
PTPRH,0.082861088,0.311862404,0.269751995,0.621279485
DCAF6,5.889685807,6.394565311,6.006153772,6.457327386
DUSP1,3.930457352,3.354744528,3.615490548,3.652157664
EDEM1,5.557984522,6.114585128,5.644886891,5.942468544
ANKH,3.311295164,3.888981443,3.890119576,4.769033983
DLG4,1.962253318,2.207779322,1.955464533,1.862895728
MMP13,0,0,0.14117154,0.569894404
RAET1E,0,0.164341623,0.269751995,0.569894404
S100A8,1.698850261,0.835321463,1.12578547,0.670897133
SGK1,2.57670921,2.481524433,3.62754043,3.712636819
ATP1B3,6.079466183,6.346175589,6.350416278,6.897207018
SLC12A6,4.48923692,4.50957842,4.251071389,4.50746785
MISP,7.317330647,7.159976291,7.01394625,6.771355059
CD36,1.086247531,0.681019872,0.443395519,0.403751207
CATSPERG,3.996066628,3.437406959,3.508787177,2.82417689
ABHD16A,0,0,0,0
BDKRB2,1.086247531,1.218595222,1.51116695,1.554667268
KCNC3,5.39931115,4.907728024,5.238446798,4.237986435
CERCAM,6.512079396,6.468173956,6.33946913,5.97369479
PGM1,3.037767863,3.248860509,2.851882341,2.835099903
LOC102467147,0.235542107,0.239986759,0.269751995,0.461284588
ETFDH,3.896498805,4.044753391,3.469160222,4.072467769
ANKEF1,4.541444494,4.770971277,4.487605881,4.680962113
STK39,5.421370653,5.804720102,5.718557296,6.146968697
GPX2,1.75045818,1.521123876,1.192196385,1.262686236
PPP1R1C,0.306221876,0.239986759,0.269751995,0.853882458
DUSP9,2.240109786,3.16401392,2.478871528,3.147027647
HMGCS2,0,0,0,0
SNX29,6.500822324,5.768456749,6.12778985,5.713025691
RALGAPA2,5.114250571,5.074564632,5.065438275,5.061861529
NEK6,5.661026101,5.608194227,5.634475164,5.651018671
CAMK2B,4.969320358,5.135257287,4.974019105,4.386454745
UST,4.378787494,4.562103664,4.652949121,5.127751632
GAS7,0,0.239986759,0.387804595,0.147499166
MMRN1,0,0,0,0
SUSD4,2.258050461,2.737851954,2.820733789,3.688748528
EFEMP1,7.097690938,7.038124101,6.309864009,5.550221795
ZNF555,3.473643557,3.285025554,3.335972659,3.028317366
SAMD8,5.183946094,5.611758303,5.056552676,5.571605703
NFIB,7.101422184,7.801318391,7.0372807,7.572121023
GPR143,2.293276066,2.281236974,2.168388374,2.024305898
WNT5A,0.235542107,0.239986759,0.496923616,0.461284588
KRT6B,0,0,0,0
HES4,4.324484101,4.352291176,4.533155935,4.580686559
OPLAH,4.972040291,5.378520485,4.758083072,4.760464834
CHI3L2,0.082861088,0,0,0
PAM,4.891002576,5.251767319,5.155574987,5.285389607
PPAP2A,1.75045818,1.637589194,1.81500434,1.473105284
UBE2H,6.97017267,7.358650757,6.703370437,7.143908684
BIRC3,0.670082101,0.974702857,0.548536515,0.670897133
ADGRB1,5.169799965,4.88728779,5.608872234,5.859306483
TBC1D4,4.896739906,5.200617093,5.277207541,5.434686453
SEPP1,0.373600059,0.445688194,0.206893763,0.461284588
ZNF331,5.328913314,5.355321336,5.431225639,5.173653935
TIFA,3.924852813,4.086336052,4.319520529,4.816653934
CNNM2,3.941601533,3.883094715,3.924711695,3.787650123
YPEL2,5.933604018,5.905441087,5.508191621,5.324671534
MED22,5.530570481,5.682946113,6.071564929,5.808946905
TRIM9,2.203544931,1.394424364,2.294667998,1.262686236
JAZF1,2.026463784,2.130379825,2.368324548,3.075138171
MACROD1,3.777158304,3.91806008,3.924711695,3.858955112
ZMYND15,1.848445461,1.490476802,2.029985846,1.229955159
SPIN3,5.671104162,5.413655656,5.575049901,5.061861529
PPID,5.179246113,4.833357525,5.294315807,5.054870349
ETNPPL,0,0,0,0
FIGN,1.724884972,2.188815245,1.955464533,2.317005048
CACNG4,7.282146708,7.239305027,7.389658492,6.993587116
GJB5,0.437971386,0.380326469,0.548536515,0.215953927
C1RL,0.915899659,0.445688194,0.387804595,0.7188649
OCIAD2,5.372798365,5.040591241,5.333463363,5.468400827
BMPER,0,0,0,0
NMB,4.114043215,4.156340751,4.094932248,4.426727562
TWF2,3.832086207,3.810514181,3.68632487,3.608261267
43709,2.377751498,2.110363271,2.368324548,1.9049726
RNF43,4.847229529,5.469722651,4.374180789,4.69601921
ABLIM3,6.064251963,4.978451958,5.929141543,4.479893823
GPR137C,3.058390547,2.789118428,3.357837041,2.970049776
CASP10,0.235542107,0.380326469,0.443395519,0.281307171
CASZ1,6.1290518,6.294998325,5.805982429,5.768209113
PKM,10.56782916,10.4861469,10.73674461,10.8023112
PRR16,0,0,0,0
CDK14,0.235542107,0.625687074,0.14117154,0.461284588
ARSJ,0.082861088,0.084509627,0.329985457,0.075633777
HJURP,6.131486901,5.698113424,5.988743097,5.328541535
POLR2B,7.316260762,7.50573625,7.467557308,7.453974697
TMEM51,2.725970877,3.053041838,2.851882341,3.343416286
RECQL4,6.141186415,6.196378887,6.644549541,6.161144106
STAC3,2.825578915,2.150122457,2.581547363,2.043269261
S100A7,0,0.164341623,0.072311833,0
JPH1,4.204713837,4.360788232,4.62015615,4.500623593
KIFC2,6.351110676,6.301633571,6.435982459,5.548563675
TTC39A,7.211974236,6.380009065,6.87807445,6.420633353
NMNAT2,0,0.084509627,0.072311833,0.075633777
C1orf123,4.605906675,4.339451014,4.38486865,4.278562219
HLA-DRB6,1.408851962,1.326641954,1.286410384,0.765288989
FRMD4B,2.764134322,2.763712899,2.922049004,3.395998698
NPEPPS,7.39640462,7.749682758,7.452818422,7.645313864
OLMALINC,3.465945708,3.484822487,3.291223982,3.764981732
UPK2,8.429455216,6.398697405,8.117048535,5.932331692
ARHGEF28,3.336842949,3.740613652,3.753843486,4.053886803
SNAP29,6.076941595,6.203482412,6.061607298,6.367077074
ARIH2,5.481782764,5.73942693,5.682914206,5.855288127
SLC7A2,10.97455612,10.64703897,11.0052842,11.18044567
PDZK1IP1,0,0,0,0
SH3BP4,6.699351292,6.79959133,6.252661759,6.035374399
PDIA5,3.795700942,3.963400171,4.162745489,3.864296868
GALNT10,7.725007927,7.061769165,7.36872339,6.132652623
NT5DC1,5.34578921,5.13773157,5.369784385,5.581369302
MCF2L,3.633367948,3.740613652,4.348930153,4.476409717
AKR1C3,0.161220443,0,0.14117154,0.215953927
HEXB,6.648400303,6.522200198,6.646031161,6.716294162
TMEM55A,1.64532752,1.869634582,1.955464533,2.624590474
ELFN1,3.336842949,3.346211696,3.365052147,2.898956224
DBT,5.305381841,5.318717843,5.096113849,5.040785524
STX3,5.512000708,5.498885641,5.607351936,5.523460444
MCOLN1,2.547830028,2.698170007,2.767276786,2.779638551
ASCL2,4.415219509,4.250799033,4.840628173,5.334327141
S100A2,1.086247531,1.218595222,1.286410384,1.262686236
TFAP2C,7.923891936,8.011869294,8.038563025,8.314206047
KRT6A,0.082861088,0,0,0
SAMD4A,6.999796238,6.363191506,6.739212053,6.306558881
FAM20C,4.64392767,4.482580822,4.175113105,3.280877425
RERG,2.394068837,3.877183869,3.007521912,4.783203751
DNAJA1,7.896592972,7.967006997,8.350787571,8.540233149
BAG1,7.930898868,7.567604112,8.054549646,7.973158012
ANXA3,7.400448736,5.80783078,6.552746768,5.175803749
ADAM11,3.584438391,2.874671827,3.229314572,2.169460757
SCYL2,6.952377582,6.931645705,6.963145071,7.035031547
GSDMA,0.082861088,0,0.14117154,0.147499166
GPR157,1.589742373,1.939370233,1.224289547,1.774871204
PSME4,7.119321735,7.258189667,7.371412932,7.295934886
LRRC15,3.795700942,3.53072912,4.289498886,4.408560979
PADI3,1.589742373,1.255517234,3.547354722,3.335745587
TPBG,6.105711,6.507926111,6.562194422,7.150482388
CHMP4C,4.079147547,3.883094715,3.844389325,3.890712937
ENTPD5,4.736415274,4.761376223,4.52351555,4.242095754
DDX3X,9.044454977,9.342958116,9.146597562,9.223906737
RDH12,0,0.084509627,0.14117154,0.147499166
SYNE4,4.534100944,4.326495546,4.526736174,3.967177396
ATP9A,8.434394337,8.476816334,8.131664406,7.965722348
FLG2,0,0,0,0
ZNF704,5.593744607,5.342508234,4.724817754,3.991790716
C1R,1.376369012,1.291517855,1.09139728,1.32600149
TYRO3,5.296728878,5.056370737,5.149320114,4.811132486
HCFC1R1,5.081880341,4.482580822,4.903919393,4.174899313
ABCD3,4.530415105,4.675432099,4.388413747,4.671851842
HDAC2,6.206161536,6.354708633,6.607766224,6.736096812
SOD2,5.374855198,5.779590229,5.480223734,5.624505797
GALNT18,1.983975896,1.394424364,3.007521912,2.546993003
KCNF1,3.267683702,3.707685444,4.38131482,4.824896686
KRT1,0,0,0.072311833,0
APBA1,3.410879069,2.826407072,2.368324548,1.79738594
FAM69B,2.673463253,2.886489876,2.767276786,2.134518131
KLK7,0,0,0.14117154,0.215953927
TIPARP,4.209331709,4.410745695,5.254076281,5.961285278
SLC16A4,4.771187107,3.183304636,4.289498886,3.320280738
SOCS3,4.493029339,4.039470263,3.502257811,2.407600306
ABCC5,7.634768917,7.032151784,6.882480676,5.448978124
MCC,3.496493688,4.126753683,3.495698759,3.736135999
SOAT1,4.5081001,4.422969365,4.696498456,4.631695376
FGF12,2.984883349,3.154270963,2.606113834,2.134518131
ACTRT3,1.617802633,1.490476802,1.993206304,1.945856978
ZNF541,1.848445461,0.734308604,1.974458833,1.162177309
ADGRG6,7.794650046,7.983607467,7.606071514,7.742065107
SLIT1,1.775585961,2.090065086,1.255684297,1.127055659
SORBS3,5.458696559,5.627688577,5.465194745,5.255209931
LGI1,0.082861088,0.164341623,0,0.075633777
SORCS2,0.61546071,1.394424364,1.056169355,2.00508995
RUNX2,3.311295164,2.150122457,3.298779149,2.856700915
ZC3H4,6.428402823,6.511746364,6.432552482,6.26374518
NRBP1,8.088660102,8.278351494,7.796218793,7.865733524
MTCL1,6.238148717,6.393530435,6.237999653,5.680085303
HOXC5,1.848445461,2.188815245,2.465507602,2.422161471
CBX6,7.778814836,7.828375203,7.33191511,6.831908896
MAN2B1,6.633874247,6.696791583,6.651204884,6.488794573
ZFP90,6.730205034,6.554041285,6.62665038,6.280823698
IGF2R,7.281050401,7.56208812,7.295559822,7.576602611
TGFBR1,6.311928073,6.438376972,6.266213242,6.309498999
AIFM1,6.292474483,6.62806149,6.336719315,6.550570492
APMAP,7.339090239,7.282990704,7.402864211,7.423540544
EDEM2,4.56325349,4.194869327,4.549081458,4.593608836
FAM126A,5.056476358,4.692362303,5.228591682,5.138813956
SCPEP1,4.916642766,4.539826589,4.787916808,4.472917175
SPEG,3.222712698,3.484822487,3.731686533,3.652157664
CDC14A,2.562341879,3.173691521,2.778127823,3.410676834
TBX4,0.499592803,0.625687074,0.548536515,0.461284588
LINC01126,3.640224362,2.512360248,3.455705613,1.819554703
BPNT1,5.048767107,5.333902505,4.835442862,5.749567143
DCLK1,0.61546071,1.180703414,0.738293844,1.196464223
SLC22A15,3.108693278,3.202340811,3.748336068,4.104419511
CA8,0,0,0,0
SGMS2,5.009590538,4.76458167,4.760820867,4.229732515
LOC100288152,4.687606707,4.322151073,4.787916808,3.77636045
ABCB7,4.752324619,4.630460576,4.690767273,4.841242238
SGCG,5.450918326,4.878438252,4.635154512,3.682714137
FAM53B,5.58666315,5.736165039,5.429506006,5.036059859
RPS6KL1,5.530570481,4.808725802,5.665487601,4.992817504
RCBTB1,4.209331709,4.466923718,4.211592267,4.527807931
AKAP1,5.961244929,6.33003881,6.447073899,6.453788286
GRIK2,0,0,0,0
MMP1,0.082861088,0,0,0.075633777
ELOVL5,6.398385526,6.689220908,7.112086812,7.459720594
SLC20A1,7.529302641,7.542147472,7.162649019,6.858249994
AMN1,2.861227533,2.944170179,3.088212937,3.155767091
PCAT18,0.082861088,0,0,0
SKIDA1,3.541136059,3.991030779,3.365052147,3.288844653
TLE3,6.223385677,7.013411538,5.980545646,6.137072719
GTPBP4,7.235934932,7.445596433,7.76961965,7.863401264
LOC101928674,2.503397528,1.916497516,2.100846151,0.937348878
ITGA1,0,0.084509627,0.072311833,0
PCSK2,0.082861088,0,0,0
DUSP2,2.562341879,2.615373521,2.201009554,2.169460757
OSTM1,5.474128337,5.242601155,5.257957338,5.423874017
PLIN3,6.070610731,6.167609767,5.97937077,6.31438592
SLC25A20,3.533790936,3.632484002,3.400596149,3.620939972
S100P,1.672337082,1.984055714,1.562281674,2.919628654
TOM1L2,7.829187577,7.354933941,7.513328852,6.628765737
ARHGEF3,3.386620078,3.192854121,3.213413021,3.181672192
SLC27A3,5.268242859,5.908342213,5.342629704,5.55518475
CPPED1,4.841291475,4.925020642,4.787916808,5.019397054
SDC4,7.906935132,8.254040168,7.713490801,8.270616622
DGKE,4.435068918,4.745241278,4.779841326,4.889196269
PRDM16,2.344552499,2.150122457,2.810199676,2.422161471
LOC100288181,2.087937776,1.821198148,1.255684297,0.937348878
OAZ2,6.230218164,6.33003881,5.884650639,6.246462064
RHOQ,4.853143242,4.715735692,4.713556654,4.318027959
TNS1,4.152917061,3.84120102,4.179212196,3.627237785
TRAM2,6.424436419,6.419182192,6.014207402,5.501345287
MYO18A,4.647334949,4.780502938,4.667612117,4.701998321
TMEM26,0,0.084509627,0,0.075633777
ARC,2.618972171,3.507958389,3.147993934,3.198687397
LRTOMT,4.431120824,4.304641161,4.037385929,4.179192041
BOK,5.709097411,5.485349573,6.150933129,6.023486396
COL4A5,4.640512325,5.544353901,4.769003218,5.230603231
DOCK5,6.740610578,6.611245395,6.794367787,6.24133914
ZFYVE21,7.282146708,7.301867322,7.48007189,7.916433304
DPY19L1,3.795700942,3.589750448,4.037385929,3.652157664
EGF,0.235542107,0.625687074,0.443395519,0.516611308
RASA2,4.31165686,4.722344835,4.497488403,4.462388535
FBXO30,3.511528491,3.753577343,3.802486425,3.967177396
SLC10A6,0,0,0,0
ISCA1,5.5452561,5.671038077,5.761565744,5.88581325
CLCA2,0.869973177,1.394424364,0.693142732,1.500808124
NLGN2,6.160391971,6.180866865,6.052697999,5.618196021
OAZ1,8.751585366,8.626580541,8.693845601,8.926270476
MAATS1,0.082861088,0,0.269751995,0
HTATIP2,6.159199084,5.886440218,6.002688405,6.10584383
SIK2,5.056476358,5.074564632,5.008983647,5.154160075
TLN2,5.172167307,4.57676621,5.432943225,5.25724167
HSD17B12,4.885242338,5.174345436,4.814513215,5.579746617
IL17RE,4.337198297,4.126753683,4.211592267,3.706701726
BTNL9,0,0,0,0
TCN1,0,0,0,0
NPNT,8.741458245,8.177344911,8.175926677,6.741186768
KCNV1,0,0,0,0
REEP6,5.270454172,5.005798493,5.668406693,5.550221795
ZFP41,4.985563565,4.981210056,5.043120815,4.7227322
ACAT1,5.534255924,5.599245324,5.585897805,5.782386945
AMMECR1,6.425429042,6.659395834,6.750275426,7.361620316
TMEM143,3.027344911,2.999632753,3.070667578,2.47897951
MED20,5.479872961,5.429898363,5.26568827,5.418437258
