,MWV1,MWV2,MWE1,MWE2
XKR6,2.067736102,2.244975627,2.029985846,2.236905147
LOC101929234,1.003586388,0.734308604,0.548536515,0.403751207
BFSP1,1.75045818,1.771078867,1.936216816,2.043269261
ZNF343,3.979941905,4.023503799,4.39899707,4.104419511
ADAM20,0.082861088,0.164341623,0.269751995,0.147499166
NPIPB3,1.502130401,2.226497348,2.39676551,2.422161471
BST1,0,0.084509627,0,0.215953927
SULT1A2,1.274286972,1.060663726,1.09139728,0.937348878
RGL4,2.751525012,3.144461761,2.998271179,2.624590474
KRTCAP2,5.886805933,6.308238441,5.930358027,6.418819303
PDPK1,6.526028329,6.983461749,6.276772251,6.578464124
METTL2B,4.768060436,4.605651675,4.766280921,4.894427419
MRE11A,5.143499551,5.008504851,5.228591682,5.064184414
POLR1C,4.972040291,4.994922002,5.290531464,5.429290364
ABCB4,2.026463784,2.417802229,1.43093,1.606587877
LINC00052,0.722710708,1.326641954,1.056169355,0.670897133
SLC7A5P2,1.309123082,1.141789486,1.43093,1.527989017
RPS28,7.251130722,7.076675339,7.280375692,7.552814032
ALOX12B,3.745714258,1.961885976,3.663097725,1.631863882
RPUSD4,4.058821536,4.273477946,4.460916667,4.126816555
GOLGA8H,0.235542107,0.239986759,0.443395519,0.569894404
GRB2,8.161063316,8.19319204,8.203356831,8.148683318
LOC100507557,0.082861088,0.311862404,0.14117154,0.075633777
CCDC163P,2.377751498,2.263220224,2.382615113,2.080464193
MDK,6.21995726,7.843611421,6.204203312,7.954809509
FAM19A2,0,0,0,0
CRYZL1,4.250240591,3.293926918,3.895112379,3.3124857
EFCC1,0.306221876,0,0.548536515,0.075633777
PPARGC1A,0.082861088,0.084509627,0.206893763,0.075633777
SNORD54,0.161220443,0.239986759,0.329985457,0
IARS,7.97529388,8.271326385,8.320952467,8.958938169
PPP1R14B,5.742934188,5.809383608,6.21422586,6.426964626
TUBGCP5,4.87945901,5.027308528,5.13039112,4.824896686
SCFD2,4.171968111,4.41483177,4.649998553,4.693020336
LOC441081,0.437971386,0.084509627,0.269751995,0.765288989
LOC101926889,1.125867311,1.060663726,0.646532775,0.461284588
TMEM79,4.40720264,4.309038603,4.203565126,4.408560979
AP1S3,4.730002086,4.513394306,5.04536816,5.028942209
BFAR,6.306550557,6.100701744,6.287254539,6.253603734
CCDC113,3.855843042,3.974515997,3.802486425,3.543140508
WWTR1-AS1,1.440619618,1.255517234,1.192196385,1.054138305
NELFA,4.764926973,5.066795327,4.940602842,5.343918554
RNF38,4.838313258,4.896083375,4.713556654,4.69601921
GAS1,0.373600059,0.445688194,0.782074667,0.853882458
EPHX4,1.440619618,1.551133434,0.782074667,1.294691174
PCDH12,0.558689664,0.883293799,0.646532775,0.569894404
SOX18,2.861227533,3.618379661,3.034923449,3.403356434
SNORA46,0.161220443,0,0.14117154,0.075633777
CD99,0,0,0,0
KIAA0391,6.833275491,6.657672776,6.832605359,6.966523248
CLDN6,0.670082101,0.508216588,0.443395519,0.281307171
KLF16,4.099191161,4.633970133,4.866278803,5.045495761
PCED1B,2.699955932,3.484822487,2.410778464,2.845940837
NAPB,4.001401733,4.14654566,4.258839209,3.931997666
SNORD58A,0.161220443,0.311862404,0.269751995,0.215953927
UBE2M,5.976224683,6.172444637,6.234064461,6.423350158
WDR73,5.903999571,6.013126046,5.821800814,5.879232075
CNOT10,4.982869033,5.357445832,5.296204262,5.633919018
UBAC1,5.395263839,5.549937985,5.360789496,5.509891282
MAP3K9,6.437287561,6.691748883,6.401310105,6.5760245
BCO2,0.306221876,0.239986759,0.14117154,0.147499166
MBD4,6.071879128,5.918450457,6.124604986,6.035374399
C16orf86,1.238588832,0.56814712,0.693142732,0.343827804
METTL8,5.106844723,5.421799868,5.556261592,5.943730657
NKX3-1,2.963174533,2.629507138,2.642196561,2.407600306
CYP2A6,0.161220443,0.311862404,0.269751995,0.281307171
PDIA6,8.094600452,8.014227699,8.40561005,8.385134559
SNRPB2,6.59028276,6.018506351,6.399554421,6.36330921
TTLL1,2.488277303,2.110363271,2.135012489,1.728759402
LSP1P3,0.306221876,0.508216588,0.646532775,0.461284588
BTK,0.61546071,0.239986759,0.646532775,0.075633777
RBM4,6.165153676,6.091796789,5.958057731,6.024679614
TTC30A,2.995616476,3.063490423,2.424656616,3.00915513
SCRN1,8.192014669,8.373534202,8.163566063,8.335035776
MIRLET7BHG,3.667328739,3.500287573,3.603339174,2.674096309
CDKL3,1.440619618,1.218595222,1.09139728,1.32600149
PIK3CD,3.504030675,1.692475918,3.335972659,1.32600149
WNT11,0.822536472,1.521123876,0.329985457,0.516611308
TMED2,9.01277453,8.84690859,8.984037248,9.363302867
LOC284930,0.960409119,0.734308604,0.782074667,0.7188649
PABPC3,4.209331709,3.625449068,3.939286695,3.706701726
ZNRF1,7.114406068,7.286339869,7.458310458,7.514256939
XPO6,7.426462733,7.762164721,7.838949395,7.823850476
ZNF816,4.366436134,4.38181447,4.39899707,4.183472033
ZSCAN32,4.908146567,4.927882701,5.025014896,4.734447702
MIR149,1.125867311,1.060663726,0.693142732,0.147499166
IPCEF1,0.558689664,0.625687074,0.782074667,0.461284588
ABCD2,0,0,0,0
BIK,2.107860474,2.110363271,1.020059653,1.262686236
BDNF-AS,0.773486835,0.56814712,0.548536515,0.075633777
SPDYC,1.471702807,0,0.82456593,0
PCDHA4,0.437971386,0.380326469,0.646532775,0.343827804
TMSB15B,0.437971386,1.101796765,0.82456593,1.416050783
GAB2,6.235887289,5.512295888,6.637863352,6.350043644
MIR6758,0,0.164341623,0.14117154,0.215953927
CECR5,5.481782764,5.835529123,5.805982429,6.058860504
PPIE,4.856091033,4.767780011,4.827629783,4.680962113
MUC5B,7.32053555,6.957086032,7.189314551,7.137856361
LARP7,6.090772473,5.939875397,5.688676609,5.765356749
C16orf96,0.082861088,0,0.206893763,0.075633777
SNORD16,0.161220443,0.311862404,0.387804595,0.281307171
FAM3A,5.360395402,5.987291957,5.441500615,6.086548272
CDK17,5.169799965,5.74592867,5.002058201,5.66026103
UCHL1,0,0,0,0
JTB,8.033090237,8.603495423,8.048400345,9.061907048
HSP90AB4P,0.773486835,0.929722166,1.12578547,0.853882458
RNF146,4.236732778,4.422969365,4.073069846,4.183472033
G2E3,6.288115607,6.098163074,6.24876641,6.287797684
CLDN4,9.070545608,8.821739931,8.407358386,8.205555393
MBTD1,6.110656332,6.37162479,5.974661675,6.119310497
MT1X,3.213547799,2.351134904,3.414572123,2.436577137
FERMT3,1.343137814,1.180703414,1.484914023,0.621279485
CNNM3,6.089520586,6.068642708,5.978194937,5.904082409
VPS13D,6.558965583,6.648159001,6.26813882,6.735368207
DCTN1-AS1,0.082861088,0,0.072311833,0.215953927
RNPC3,3.07872259,3.063490423,2.970157663,2.392890676
