,IRJ7,IRJ8,IRJ9,IRJ13,IRJ14,IRJ15
SLC35E3,3.202252029,3.218695234,3.210373997,3.25471436,3.620298624,3.448076373
AC005841.1,0,0,0,0,0,0
PLEKHG6,2.693608557,2.709209082,2.701313152,2.398459277,2.733088194,2.39197511
DOK3,2.351054822,2.709209082,2.701313152,3.021597575,3.444316332,3.014579793
ARID5B,3.577560613,3.7510532,3.585908697,2.743413855,2.733088194,2.39197511
ALDH16A1,4.426926041,4.248215911,4.435612696,4.655938821,4.870062173,4.727513545
NPLOC4,5.834414828,5.81752869,5.80836868,6.055501589,6.217890895,5.884263605
TCEAL2,0,0,0,0,0,0
PJA2,5.191816045,5.363252385,5.253670552,4.482976671,4.376478395,4.802647065
AC092964.2,0,0,0,0,0,0
NLGN3,0,0,0,0,0,0
HIST1H2AC,6.615886937,6.463510926,6.664580109,5.746659652,5.809299703,5.660175697
RNF212,0,0,0,0,0,0
FKBP10,3.577560613,3.418777305,3.585908697,4.17708796,4.274896257,4.380419215
MTFR1L,5.345268287,5.363252385,5.253670552,4.881794459,5.065246869,4.874060667
PSMA6,8.350599202,8.313535357,8.341435491,8.456710209,8.467802514,8.533881154
ZNF414,3.577560613,3.218695234,3.585908697,3.788392754,3.777129306,3.780967602
NAT14,4.957966767,4.842885912,5.028906553,5.302011244,4.938100384,4.727513545
CPT1C,1.900972127,1.253933359,1.248525183,2.398459277,1.270345541,0
TMEM14A,5.726785039,5.781658597,5.943529911,5.627038009,5.615138859,5.700024982
SMN2,5.079624364,5.209749557,5.200676451,5.353172046,5.237144043,5.488765509
PRAMEF16,0,0,0,0,0,0
MEIS1,1.900972127,1.253933359,1.248525183,0,0,0
LCE3D,0,0,0,0,0,0
FAM134A,6.48986478,6.463510926,6.408287791,6.674028658,6.662002167,6.517907052
ZNF114,0,0,0,0,0,0
HAGH,5.569521764,5.628533473,5.536285311,5.54139853,5.656117818,5.660175697
FRG1B,5.191816045,5.363252385,5.448091758,4.810367039,4.723530165,5.069263252
PLAC9,0,0,0,0,0,0
GLOD4,6.375724614,6.369981964,6.454291042,6.385425764,6.445326009,6.425846803
XYLT1,1.900972127,1.914493786,1.907647602,3.021597575,3.010952856,2.736606163
KRTAP4-4,0,0,0,0,0,0
PMVK,6.821717263,6.712431644,6.777455804,6.914410771,7.048039746,7.005204971
OR2L5,0,0,0,0,0,0
SNX27,3.402076351,3.418777305,3.585908697,2.743413855,3.010952856,2.736606163
TJAP1,4.121669088,4.020945135,3.883605278,4.286417269,4.376478395,4.051264754
C5orf63,3.875115378,3.892301235,3.883605278,4.17708796,3.444316332,3.624102287
PPP3CB,5.39299445,5.410993215,5.253670552,5.45035282,5.341324478,5.394764257
TMBIM6,9.832316712,9.797840904,9.768180912,9.933624282,9.948547031,9.891614361
CTB-134H23.2,1.243257057,1.253933359,1.248525183,1.277468654,1.270345541,1.27277062
SIPA1,2.693608557,1.914493786,2.358382844,1.944208272,1.935228395,2.39197511
B3GNT4,2.693608557,2.365894829,2.701313152,2.743413855,3.010952856,2.39197511
CORT,0,0,0,0,0,0
NIPBL,4.332173241,4.696457739,4.68749264,4.17708796,3.918570694,4.47532957
TMEM252,0,0,0,0,0,0
CLEC18A,0,0,0,0,0,0
IRF2,4.515837384,4.020945135,4.012195449,2.743413855,2.388624898,3.014579793
SLC35E1,4.753773121,4.842885912,4.68749264,5.13665011,5.065246869,4.727513545
ALPP,0,0,0,0,0,0
PRAMEF11,0,0,0,0,0,0
NDUFC2,8.449840198,8.338439862,8.530459945,8.632664031,8.661376556,8.660465446
C15ORF31,0,0,0,0,0,0
PRG2,0,0,0,0,0,0
RNF112,0,0,0,0,0,0
ACHE,0,0,0,0,0,0
CRAT,5.569521764,5.262752776,5.536285311,5.784426538,5.914376042,5.660175697
C17orf72,2.970231369,2.365894829,2.701313152,2.398459277,2.388624898,2.39197511
ZNF329,4.121669088,4.139051209,4.239382256,3.25471436,3.444316332,3.448076373
PPP5D1,0,0,0,0,0,0
WDR65,1.243257057,1.253933359,1.248525183,1.277468654,1.270345541,1.27277062
SULT1B1,0,0,0,0,0,0
IFNW1,0,0,0,0,0,0
NHP2L1,7.330709743,7.138278615,7.041314065,7.847278879,7.799050728,7.718397386
SPANXN4,0,0,0,0,0,0
CIDEA,0,0,0,0,0,0
ZNF143,4.003652778,3.7510532,3.883605278,3.929916578,4.047374939,4.278822556
CTNNA1,8.362635203,8.479461978,8.316744603,8.235975872,8.409078601,8.448726986
CGB,0,0,0,0,0,0
TNKS2,4.957966767,5.097517334,5.028906553,4.735218222,4.644276625,4.802647065
TAS2R39,0,0,0,0,0,0
WNT1,0,0,0,0,0,0
AC073342.1,0,0,0,0,0,0
ZNF525,3.402076351,3.418777305,3.410326004,3.25471436,3.010952856,3.448076373
HOXA4,0,0,0,0,0,0
PSMC6,6.970698001,7.207504444,7.100372469,6.948079937,6.740313717,7.067462755
