,t47d_01,t47d_02,t47d_03,t47d_04,t47d_17,t47d_18,t47d_19,t47d_20
PDK4,0.777297246,0.902465707,0.968872269,0.707697056,0.701136483,0.435846182,0.738840456,0.666647534
SLC22A16,0.648563,0.536957037,0.704286802,0.437385425,0.651010807,0.717481437,0.81646782,0.740916338
ZMYND10,3.734687946,3.304511042,3.865691211,3.7989422,3.508492038,3.463897055,3.273218965,3.577477169
ABCB5,0.087476827,0.125381183,0.148417439,0.147495572,0.10330238,0.014892847,0.084621228,0.077296877
ARX,0.061247262,0.284785353,0.193441226,0.081838757,0.2709439,0.304560104,0.199828736,0.244320827
SLC25A13,4.014774828,3.957933166,4.249672878,4.16459322,4.289959847,4.599085658,4.155765421,4.383013015
ST7,2.676314805,2.697642619,2.974958753,2.991047408,3.028645175,3.236934926,2.676594641,3.080623557
CDC27,5.453590008,5.000959974,5.413939281,5.339358334,5.512075149,5.496133148,5.541056336,5.520145627
SLC4A1,0.597127807,0.62118776,0.51393435,1.068333741,0.336975715,0.580517932,0.870442056,0.680614217
CALCR,0.136830284,0.071564028,0.182663062,0.187828544,0.71041788,0.819874151,0.77093558,0.862749719
HCCS,4.197425095,4.033211538,4.30228249,4.449455727,4.729764836,4.437467458,4.748375356,4.460034801
DVL2,3.955684776,3.834316817,4.041330607,4.197605947,3.750413561,3.84098684,4.118160353,4.111014614
PRSS22,4.682747444,4.549970984,4.865126995,4.883650139,4.09903425,3.975244976,4.150714011,4.35421235
UPF1,4.162886745,4.168369258,4.218316207,4.334410955,4.493077265,4.320398027,4.585473365,4.583278374
SKAP2,5.400766748,5.128841897,5.458395129,5.239482059,4.403690378,4.147298557,4.174805869,4.243463446
SLC25A5,6.512225306,6.208963936,6.667381246,6.576370967,7.278133471,7.13162035,7.250023593,7.210593424
CCDC109B,2.531892942,2.506810101,2.940452442,2.600562355,2.920541034,2.744621823,3.272492063,3.271480956
HOXA11,0.323834654,0.476368207,0.460953253,0.468607297,0.590101834,0.691663689,0.749691293,0.605430803
POLR2J,4.72155859,4.443832055,4.683775043,4.891321967,4.759544691,4.758233877,4.65287078,4.680397503
DHX33,1.508986353,1.568046702,1.789261838,1.810397858,1.849082527,1.862840157,1.994967046,1.838669451
MEOX1,0,0,0.129526886,0,0,0,0,0
THSD7A,1.550354011,0.918597662,1.064944916,1.183111699,0.817918724,0.561235209,0.519358726,1.018092884
LIG3,4.863794768,4.869565467,4.889799621,5.09413893,4.339365461,4.736464171,4.689260017,4.679192939
RPAP3,4.504353437,4.343933635,4.788288967,4.829301597,4.660557881,4.672119798,4.722782945,4.838709785
ACSM3,1.981739425,2.228686341,2.653443003,2.658099491,2.522409849,2.026499098,2.725507777,2.050748946
0,3.33069033,3.60212427,3.596088354,3.563316794,3.944802236,3.856517659,3.904840513,4.028940386
CIAPIN1,4.450617424,4.541836944,4.570122862,4.625428312,4.74780629,4.775313975,5.166856013,4.781779346
SPPL2B,4.377928879,4.107520494,4.339322699,4.407882956,4.338053531,4.195670436,4.595861664,4.658314325
FAM214B,1.982027957,1.651017238,1.832857616,1.752564497,1.571589445,1.548939631,1.213577472,1.704464766
COPZ2,1.976359969,1.936507914,2.452279135,1.832027176,1.831257073,2.384129954,1.545083706,2.579151178
PRKAR2B,2.375425952,2.299385344,2.390510862,2.558867612,2.093793395,2.007805467,2.055487219,1.99870099
MSL3,4.398076692,4.30903063,4.466444406,4.455563951,4.077969292,4.130757934,4.193172467,4.229657134
CREBBP,2.950636377,3.381003667,3.34268985,3.504569548,2.874997572,2.890703495,3.105661318,2.934903307
BZRAP1,0.73445254,0.796943229,0.368370541,0.801599884,0.281593809,0.417997756,0.598299454,0.397263014
MPO,0.024768731,0,0,0,0,0,0,0
PON1,0.371627999,0.175423681,0.360051823,0.255812503,0.191553808,0.187681613,0.567919215,0.112659036
GCFC2,3.780226097,3.417150401,3.66294603,3.545140558,3.917087988,3.816118387,4.178443762,3.833517577
WDR54,2.694608339,2.529888396,2.633896146,2.650098193,2.980081983,2.671549275,3.051349478,2.820311735
CROT,4.692494153,4.31386982,4.660346804,4.652807695,3.961586288,3.958787007,3.907832849,3.741574847
ABCB4,0.473634193,0.558463573,0.724507086,0.620139692,0.796379298,0.945427917,1.026077646,0.502138094
KMT2E,3.81905501,3.644756151,3.752652266,4.147005427,3.714773035,3.200273637,3.395221871,3.771579264
RHBDD2,4.269145385,4.505262154,4.601470706,4.54553599,4.369159346,4.530470325,4.193196127,4.198973401
SOX8,0,0,0,0,0,0,0,0
IBTK,4.513995979,4.399820502,4.723138033,4.72661872,4.569697663,4.412178583,4.448431867,4.449726433
ZNF195,3.530295521,3.401024211,3.792407694,3.60895114,3.653518671,3.637146506,3.760146414,3.711990404
