,t47d_01,t47d_02,t47d_03,t47d_04,t47d_17,t47d_18,t47d_19,t47d_20
HNF1A,0.035461897,0.078549585,0.130296208,0.127989123,0.0877971,0.149500011,0.108339646,0.074204535
FBXO21,4.488804187,4.345169251,4.568567238,4.686248384,4.705209365,4.462098139,4.616810527,4.540021068
TBX3,2.643791556,2.174757941,2.387616203,2.421874974,1.403218632,1.394075066,1.506190613,1.390161388
OASL,1.075580549,0.9954288,1.304189758,1.412201622,1.131187765,0.993890252,0.916877104,0.83022449
HRK,0.119355513,0.120183904,0.177241719,0.425794427,0.149380344,0.417426427,0.298725171,0.650555951
RNFT2,2.293164454,2.179399579,2.534019258,2.527002755,2.655983728,2.478058024,2.571235076,2.51062272
P2RX4,4.599323745,4.554680936,4.841469999,4.719988365,4.476407612,4.553434234,4.361185831,4.613142639
CCDC64,4.693743414,4.463262784,4.660107166,4.79077725,4.747715004,4.728709638,4.867590106,4.866576684
DTX1,0.16795518,0.175519491,0.043355145,0.096973578,0.11483381,0.063452413,0.139427582,0
TRAFD1,4.41814946,4.281735337,4.489061186,4.495484115,4.01409637,3.986993357,4.025170576,4.089387978
DMTF1,5.128606853,5.299109087,5.5252295,5.644410078,5.232691452,4.853826026,5.736301802,5.566026631
OCM2,0,0,0,0,0,0,0,0
TMEM243,4.261997096,4.096059403,4.580422899,4.547116633,4.389697584,4.160242556,4.268464337,4.451633141
CCDC146,2.339807256,1.749778808,2.065951374,1.963141156,1.379266066,1.840918379,1.667642385,1.844506174
TMEM60,4.847365589,4.384533388,4.807473424,4.88397265,4.81653827,4.826655255,4.81545759,4.82747863
CD36,4.445104261,4.409472404,4.412822164,4.423470604,3.147537902,3.088163651,3.029640168,3.173862988
UGT2A3,0,0,0,0,0,0,0,0
CSN2,0,0,0,0,0,0,0,0
UGT2B28,0.069050298,0.061456869,0,0.064021115,0,0,0,0
PNPLA8,4.227910469,4.103984331,4.370868713,4.366014406,4.004240695,3.958722059,4.016523063,3.804755731
HILPDA,6.015892248,5.759816296,5.915188632,6.017601273,5.030901038,4.955391856,5.035157598,4.952342886
FAM71F1,0,0,0,0.04871175,0.280427823,0.090808456,0.280320913,0.056010915
RINT1,3.410448299,3.646635028,3.800278696,3.757492686,3.978204784,3.809105703,3.852757951,3.780278599
SRPK2,4.154072777,4.321935308,4.49087173,4.466862004,3.894342444,3.998213559,4.014033865,3.905553078
KCP,0.494851809,0.102618226,0.637033331,0.54184289,0.424162122,0.576444741,0.596025839,0.687075026
TES,0.83045573,0.409096528,0.813826741,0.379207278,0.683292219,0.357772685,0.652943496,0.925385003
MDFIC,2.859842363,2.624910355,2.770353354,2.908880142,3.144344996,3.029917512,3.251635785,2.907315647
MTO1,3.752213368,3.751870721,4.254442873,4.07269751,4.170133376,4.04550413,4.206815112,3.811738172
ADGRB3,0.046115792,0.035936343,0.073440628,0.194752758,0,0,0.045273109,0.015955368
ANKRD6,2.363344919,2.224879955,2.302395096,2.482461104,1.891267521,1.605551225,2.554996432,2.178998213
HTR1B,0,0,0,0,0,0,0,0
KHDC1,0.797774188,0.449637436,0.796291242,0.505665364,0.499708657,0.861463137,0.774461962,0.638911632
CEP162,2.438681422,2.159680848,2.782716782,2.605330759,2.350502905,2.335671898,2.309004428,2.349560606
SYNCRIP,5.439074543,5.354159445,5.419100623,5.685886901,5.936491896,5.73753805,5.916533969,6.096637155
SNX14,5.737267627,5.648160535,5.722072509,5.577428828,5.796091538,5.636981263,5.7236978,5.824783125
NT5E,0.159630477,0.250121171,0.114239209,0.235457487,0.026108108,0.024267616,0.026865342,0.143830928
MRAP2,0.201544788,0.481565547,0.396658207,0.409030251,0.330600848,0.286453006,0.270471532,0.283115771
EPHA7,0.145848286,0.094944067,0.231949671,0.251045223,0.014479274,0.086802105,0.029609498,0.031058057
AKIRIN2,2.946998417,3.155807509,3.300806097,3.0998338,3.20591169,3.015106798,2.876123989,3.400386275
ORC3,4.194528369,3.972269892,4.570997164,4.28233601,4.607004746,4.438066581,4.419545633,4.533413838
LCA5,1.011846251,1.100082832,1.169880117,0.96049021,0.741383281,0.770796915,0.859276252,0.855818317
MAP3K7,3.98966584,3.806375618,4.023290843,4.070801468,4.011916006,3.895195967,4.084532044,4.040734655
CGA,0.615418181,0.187437118,0.32946119,1.038962873,0.605345458,0.504711908,0.867473475,0.475844433
GJA10,0,0,0,0,0,0,0,0
PRR5L,0.317661803,0.379101898,1.01913967,0.174637794,0.661660227,0.188443971,0.482145088,0.752049764
LMO2,0.680176704,0.462505741,0.567021621,1.014326724,0.450312305,0.61804879,0.536376227,0.442885124
PHF21A,3.487331987,3.539965254,3.140482562,3.937118365,3.102491851,3.198888562,3.440532347,3.569564003
NAT10,4.226269602,4.016531977,4.258940968,4.213285062,4.301382787,4.252725977,4.445442003,4.392578458
EHF,7.691638846,7.579232957,7.743696721,7.743891911,7.235018556,7.139755975,7.254915228,7.221065047
ELF5,6.697537539,6.507426785,6.780415095,6.783404268,6.014522675,5.932458085,6.034875978,6.012805528
PRRG4,3.709830994,3.599972334,3.735966182,3.787192135,3.868992891,3.768607806,3.805808349,3.717396767
CAPRIN1,7.134416052,6.991340435,7.252391058,7.27009906,7.389007453,7.300480693,7.398008264,7.294786144
ATP5G2,8.290889732,8.048868273,8.345099154,8.352462817,8.214421126,8.14693519,8.196847985,8.189157405
DNAJC14,5.239283465,5.057164304,5.296204088,5.347176644,5.165839601,5.203040587,5.246571502,5.220511828
CD63,7.663180926,7.421644094,7.633264088,7.670734135,7.64096791,7.610042988,7.706772271,7.657418497
PRPH,0.277075414,0.574524927,0.40791286,0.47208428,0.711685198,0.638084035,0.447883836,0.450127513
AVIL,2.303733997,2.44541684,2.436809467,2.759439231,1.804255985,1.893540838,2.438982093,2.43225659
AMHR2,0,0,0,0,0,0,0,0
LACRT,0,0,0,0,0,0,0,0
GDF11,1.272566711,0.959511263,1.410167406,1.236223188,1.548781844,1.965939395,1.651155045,1.628652296
GLS2,1.067170591,1.004896843,1.860295409,0.934216798,1.510688541,1.349093473,1.796639282,1.546620399
ITGA7,1.116983492,0.544158925,1.320640637,0.923489985,1.066475006,0.895976497,1.131984509,0.580610546
TESPA1,0.166279679,0.17328353,0.161336935,0.268140914,0.156731847,0.170401974,0.186140473,0.328440128
FAM186B,0.553929604,0.559656264,0.569559142,0.541321542,0.203349021,0.508418511,0.464106761,0.483467554
RDH5,1.428924912,1.360066435,1.557419894,1.728826074,1.307900603,1.464438254,2.063268226,1.873092655
AGAP2,0.288820387,0.240974917,0.37434065,0.38575019,0.299163757,0.147901891,0.740608125,0.294697789
BLOC1S1,5.671717965,5.238905296,5.583446875,5.669939503,5.580884134,5.480843506,5.614014828,5.653378224
KRT85,0,0,0,0,0,0,0,0
CDK4,5.96556267,5.723370158,6.071816289,6.063714327,6.406601293,6.41181263,6.568409151,6.523405133
PPP1R1A,0,0,0.04306924,0.168920536,0.546576939,0.323303193,0.591712923,0.614391356
TROAP,3.459090578,2.951921575,3.191924227,3.43727835,4.117562069,4.266059389,4.435388569,4.381193374
TSPAN31,5.682511498,5.601354816,5.75469513,5.765770756,5.276879993,5.331429347,5.33330923,5.274131179
B4GALNT1,0.443298985,0.41313369,0.512829633,0.484744477,0.81096127,0.547079607,0.560984884,0.598586262
TFCP2,2.255186478,2.311241523,2.579952469,2.505705501,2.566352443,2.367502468,2.386990238,2.431991943
COQ10A,2.188400925,2.065279331,2.225136084,1.973442293,2.012536494,2.204400554,2.367192116,1.941046197
FAIM2,0.233486847,0.388870626,0.379704128,0.211248988,0.593888198,0.209651742,0.105255129,0.112146298
PAN2,5.227382976,5.24918363,5.546082619,5.427401687,4.288011506,4.460342852,4.753353155,4.804549245
ESPL1,2.043760943,1.964879142,2.098668834,2.000926634,3.173735093,3.482590175,3.499909651,3.411384212
KRT87P,1.886940276,1.635800817,1.829394968,2.073679726,1.132359682,1.241974382,1.279833781,1.720882563
KRT7,6.716442237,6.527125086,6.792725233,6.933100475,6.209467013,6.203175701,6.379898164,6.236421821
ZC3H10,2.570987452,2.444205882,2.363173881,2.511715973,2.252657864,2.124662299,2.341524694,2.395937477
HNRNPA1,8.374391811,8.145356481,8.57400687,8.529551587,8.820833134,8.634310103,8.769550268,8.794630305
SLC26A10,0,0.151170418,0,0,0,0.246439708,0,0
ACVR1B,3.885164339,3.672017935,3.958981835,3.939160743,3.348646016,3.181392015,3.107199078,3.147161771
OS9,7.154291556,6.951016553,7.260016244,7.311784637,6.850124314,6.809735979,6.826103535,6.806878239
MIP,0.430165356,0.214822354,0.354392353,0.387632745,0.276645543,0.42225884,0.282830006,0.181647077
KCNH3,0.386162002,0.488354586,0.461079022,0.740013096,0.370838311,0.636240856,0.859994189,0.365004896
LTV1,3.365535775,3.366502671,3.519453841,3.692840039,4.079821818,3.869091627,4.027189446,4.00221644
MAP7,3.629904449,3.528883827,3.789854426,3.902845384,3.554011658,3.576304447,3.660152815,3.594739622
CD164,8.026844313,7.85106188,8.092561598,8.06634756,7.409959416,7.278068406,7.363600387,7.31899464
LACE1,2.601475461,2.770097472,2.463075719,2.720926328,2.447425795,2.265166816,2.479292656,2.4823914
NHSL1,1.406106682,1.625237754,1.775223359,1.761187388,1.156823731,1.162925405,1.422389105,1.218210795
AHI1,3.307234696,3.141921563,3.149947051,3.518849829,3.127453344,3.094340805,3.38288855,3.39641161
HEY2,0.199475732,0.284292619,0.24463624,0.436991177,1.076196495,0.726309835,0.968848682,1.071048695
PKIB,3.516607741,3.38989441,3.78301655,3.871774666,4.313666697,4.193897875,4.420226367,4.267438417
TAAR5,0,0,0,0,0,0,0,0
NMBR,0.349310921,0,0,0,0,0,0,0
SMPD2,3.1473816,3.207325967,2.973324728,3.120683709,3.256434029,3.327706044,3.423166682,3.387435611
MICAL1,2.021245182,2.254890291,2.170524397,2.018067951,2.041207931,1.916155585,2.414717366,2.286538171
REPS1,4.00096448,3.592720137,3.966956431,4.202166933,3.849969245,3.627151547,3.781705919,3.943171193
STX11,0.048122607,0.123275113,0.177963703,0.129501301,0.176178496,0.202528055,0.094062936,0.099115269
TEC,0.732390776,0.685348152,0.853176491,0.596198584,0.417112045,0.420086742,0.648736009,1.024475714
PRADC1,3.68036937,3.646300928,3.921702908,3.771758835,4.280228846,4.214233625,4.230425919,4.22680906
SEMA4F,1.846360925,1.572569573,1.626266237,1.727497928,1.717732348,1.48126277,1.736080951,1.781258984
CCT7,6.090493558,5.801337171,6.172849504,6.14458891,6.557688848,6.503741479,6.532192261,6.608099546
EGR4,0,0,0,0,0.066529012,0.06161198,0.035011092,0.036852
RAB11FIP5,2.530210609,2.01748369,2.029636634,2.334905742,2.24389753,2.335434662,2.708659594,2.385234983
SMYD5,3.076801918,2.592581418,3.200675405,3.082784326,2.998056463,3.156331891,3.177812575,3.390553509
DYSF,0.252560987,0.222408909,0.428322516,0.268442778,0.299870608,0.376422643,0.333115697,0.380611989
CCDC142,2.467629024,2.421228686,2.475458482,2.501151214,2.70012451,2.312514159,2.627770241,2.591399371
EMX1,0.173438331,0,0.085533976,0,0.21916914,0,0.05250479,0.228007168
KCNMB4,1.432761691,1.292822968,1.893156374,1.590496631,1.544173766,1.131563146,1.432141648,1.116005369
USP15,5.611370117,5.475454591,5.817165308,5.823051278,5.704028117,5.692898608,5.60919056,5.56883473
GNS,6.6462606,6.346405582,6.694713076,6.586677687,6.335211682,6.246740598,6.382433816,6.288343796
CPM,1.464934827,1.632835874,1.65239471,2.062456782,1.128702525,1.308226887,1.724532407,1.754404386
MDM2,6.57149631,6.324931183,6.572387972,6.473283634,6.59432759,6.459457849,6.686570559,6.780244473
KLHL36,4.714575239,4.638293991,4.893158316,4.90230034,4.892983526,4.822092774,4.903848112,4.871286763
BCO1,0.032842811,0,0.085784537,0.059734178,0.031173834,0,0,0
MPHOSPH6,6.753591166,6.636570972,6.873530241,6.905230542,6.498895468,6.463534182,6.492588683,6.613938238
CHST5,0.3230322,0.300332278,0.217379632,0.320560927,0.136242582,0.241040837,0.463664304,0.372081762
KIAA0513,3.52625665,3.394837875,3.709312695,3.521088437,2.903796065,3.105808799,2.968170029,2.783990887
DYNC1LI2,5.313332933,5.16048057,5.336204823,5.410575157,5.27489899,5.186603558,5.416569549,5.315424939
FBXL8,4.398582956,4.444362277,4.635028799,5.015252235,4.090243712,3.983641216,4.467442524,4.516922851
FHOD1,3.569199413,3.362363278,3.543434017,3.605458776,3.641256999,3.50445514,4.114358695,4.140328766
CCDC102A,1.783490181,2.27821675,2.101189496,2.148800726,2.110289737,2.320103375,2.389440157,2.379460161
SLC9A5,1.195517688,1.29785464,1.388553265,1.740802385,1.553837227,1.709290636,1.491001334,1.910275992
AGT,0.071809752,0.063257732,0.034858727,0.032933768,0.224768849,0.21008084,0.200947477,0.24096393
ZNF670-ZNF695,0.945888574,0.853182081,1.024879909,1.382528924,0.944009067,0.79755425,0.927147044,1.504203412
PCNXL2,3.403912564,3.608690984,3.668141823,4.091149728,3.528983816,3.545931313,3.737794905,3.942214206
KCNK1,1.761285273,1.757492686,1.783850539,2.02905704,1.552131108,1.796560378,1.815202411,1.942247993
URB2,2.654992255,2.527941096,2.777897291,2.82065893,3.560910561,3.424347045,3.612647378,3.537494874
EGLN1,4.313107962,4.002261454,4.442897064,4.596970911,4.181023017,4.180482074,4.279233551,4.309059743
CAPN9,1.626948371,1.646379276,1.840487404,1.753206585,1.100399109,1.153403271,1.058212576,1.121366911
COG2,4.625796498,4.51825186,4.784038016,4.754780632,4.618191662,4.593545002,4.777214541,4.66680771
ABCB10,3.417834966,3.113530486,3.393793712,3.202911335,3.688292278,3.70030654,3.845439869,3.72823618
NTPCR,6.119173546,5.815762414,6.075389296,6.027815342,6.259018204,6.192496011,6.251300612,6.217347058
TAF5L,3.626310632,3.53265359,3.804683464,3.861598119,3.770321635,3.856846292,3.923291826,3.896068365
GLUL,7.425786573,7.110405007,7.476114317,7.559667704,8.234108481,8.18968127,8.25867909,8.232065906
STX6,3.966458154,3.818830114,3.95726459,4.00477103,3.88455885,3.848557846,3.904628601,3.797562965
RGS8,0,0,0,0,0.013834758,0.050827917,0.01429147,0.109680558
RNASEL,2.505138907,2.31317328,2.437515397,2.54560765,1.829289418,1.975006461,1.939738108,1.961323276
DHX9,6.248724572,6.024297514,6.398634257,6.379941471,6.593001122,6.633832226,6.820919271,6.698093432
KIAA1614,0.155022522,0.189651267,0.331971148,0.237104773,0.190138202,0.120214566,0.418759896,0.171922872
CEP350,4.7844464,4.595503661,4.790605243,4.857622764,4.720639641,4.41615065,4.915989294,4.705231487
NPL,2.810146925,2.428753437,2.994568863,2.689361788,2.563258212,2.623974522,2.524525104,2.467968053
FAM129A,4.371914265,4.128384144,4.398494031,4.539487646,4.047547113,3.867372651,3.967389976,4.084404483
PIGC,4.801210402,4.704374016,4.774718546,4.792844943,4.646116564,4.526951441,4.564146441,4.540275304
LAMC1,4.873414582,4.779538145,4.773774842,4.980994086,4.610611485,4.909336294,5.089930284,4.989861083
RC3H1,3.574840231,3.571604006,3.638884763,4.204672863,3.307951589,3.140727948,3.57282905,3.432889943
GPR55,0,0,0,0,0,0,0,0
SP110,3.13707229,3.12531386,3.449557413,3.50445514,2.783316255,2.291282334,2.5442727,2.576877628
MRPL44,4.266681614,4.128738812,4.379406094,4.466242089,4.448550804,4.339721758,4.433373455,4.332765211
CHRND,0.050664538,0.044905774,0.073325314,0.206904486,0.110253784,0,0.14923725,0.165221209
PAX3,0,0,0,0.038477762,0,0,0,0
DOCK10,1.411643176,1.540553053,1.502809214,1.493913716,1.831042182,1.612932763,1.805808349,1.929363048
TTLL4,2.391242558,2.458305877,2.790411319,2.62192058,2.929544848,2.759415794,2.536520457,2.826400016
USP37,3.027366405,2.609338922,3.172497116,3.182871829,3.307368776,3.26917681,3.310172863,3.384391094
HTR2B,0.087317003,0.077172845,0.202131819,0.119508241,0.123523575,0.077769657,0.166158824,0.131807683
ITM2C,2.473945327,2.15606325,2.453928402,2.430678682,2.364365118,2.287046693,2.532272069,2.416356061
SLC19A3,1.357850365,1.448710693,1.520744069,1.393108627,0.427224264,0.682451045,0.813736461,1.26616886
SERPINE2,0.473957272,0.45416115,0.618145606,0.495763715,0.348378608,0.671566938,0.573005079,0.605412786
DNAJB2,5.03968676,4.799693484,5.096561259,5.094434553,4.435388569,4.300292151,4.450043293,4.278661317
WNT10A,0.032064581,0.617065225,0.359893322,0.029191781,0,0.298267679,0.031643059,0.276792023
TMBIM1,4.703017618,4.748536371,4.952245026,5.029907797,4.745490131,4.819709052,4.755079849,5.017240474
CYP27A1,1.581153571,1.420493182,1.480032411,1.673058857,0.970651957,1.020726202,0.776190758,1.10782845
EIF4E2,4.672572433,4.761567188,5.160928253,4.898029335,5.097189387,5.038225451,4.861315237,4.991807522
ARMC9,2.683431468,2.54491808,2.847036794,3.010645587,2.895444169,2.533947019,2.92432036,2.447692915
CAB39,4.850634426,4.749115879,4.973556175,4.984092569,4.293510273,4.078823286,4.395474156,4.352313616
COX5B,6.785563629,6.528261869,6.796792405,6.750994994,6.900444199,6.869600012,6.848447678,6.901856435
REV1,4.163901214,4.068636419,4.053641386,4.28660766,3.897104864,3.790021308,4.135830339,4.269953245
TSGA10,2.857467503,2.953539036,2.821108116,3.039975335,2.348515717,2.637807291,2.351342815,2.912465924
MFSD9,2.579530157,2.098237626,2.175562923,2.656949358,2.365084988,1.989803875,2.400013218,2.073134705
TMEM127,3.65558081,3.381168451,3.616816407,3.670024511,3.150473567,3.039824476,3.203681975,3.171672809
EDAR,0.020129074,0.017651582,0.019354487,0,0,0,0.019725396,0
TGFBRAP1,2.631039074,2.379080266,2.633117294,2.716290771,2.677801374,2.780433993,2.904360777,2.732010816
GCC2,4.611402579,4.472065299,4.821868352,5.006302513,4.468342196,4.14185782,4.430746915,4.448603662
MRPS9,4.711968385,4.460015136,4.884705362,4.775482548,4.760614839,4.839889063,4.742997858,4.800770504
GPR45,0.065161985,0.057463027,0,0,0,0,0,0
C2orf49,3.571009303,3.38907803,3.499463243,3.636334602,3.470055236,3.301378397,3.733918292,3.58508272
ANKRD36,2.651703843,2.555170724,2.70513083,2.881273061,2.975463274,2.827510133,3.278381806,3.404061123
EPC2,2.964982616,2.872255507,3.116022009,3.040729395,2.787480526,2.700579542,2.745702018,2.744976957
ARHGEF4,1.131602654,0.920489966,0.791533213,0.745629743,0.804443513,0.748175242,0.706008856,1.195586978
ISCU,5.939877713,5.817733246,6.016892953,6.055338841,5.966645028,5.830934724,5.828293918,5.856706881
ALDH1L2,1.686159843,1.161829651,1.581500692,1.323957981,1.783770933,1.638064567,1.929294868,1.55835581
STAB2,0,0.176087837,0,0.009009285,0.189345109,0,0.028816087,0
USP44,0.049661991,0.065227899,0.071483712,0.068752659,0.1065902,0.06597439,0.096066556,0.100546456
SCYL2,5.886940276,5.750552912,5.999355152,6.067526862,5.64946026,5.637045043,5.703978301,5.641973688
CKAP4,4.975341288,4.816343705,5.149352864,5.218928374,5.337761036,5.296193073,5.325997962,5.287945039
PLXNC1,0.293377548,0.217435471,0.402605403,0.330580198,0.099545811,0.133157226,0.193437441,0.348750246
APPL2,4.544800648,4.036740686,4.366217287,4.47520813,4.114966635,4.004312616,4.126865509,4.300094431
PWP1,5.301016894,5.138814469,5.46391013,5.453056581,5.479262902,5.493785014,5.572822988,5.538879553
DRAM1,4.822551712,4.728345034,5.142891262,5.153047317,4.741342936,4.52583711,4.684139861,4.618215159
KIAA1033,4.654504283,4.733484503,4.987775616,5.067797879,4.693152381,4.834407842,4.902903252,4.603899282
SLC41A2,5.636470918,5.406152272,5.579825788,5.879492581,5.172919491,5.290527618,5.232787371,5.063597853
VILL,0.459728521,0.648763615,0.590776373,0.57418,0.500664404,0.618663413,0.848523394,0.61354674
FLNB,6.126836606,5.872681036,6.194737159,6.231236544,6.06727731,6.016765953,6.183814002,6.136021131
NEK3,0.797874601,0.917253007,1.376529331,2.205220455,1.379898164,1.086376168,2.144898026,1.45741043
PCDH8,0,0,0,0,0,0,0,0
VPS36,4.654212107,4.139690499,4.48652775,4.467625112,4.038339601,4.263019378,4.209819842,4.383649003
RNASEH2B,3.068130774,2.838060267,3.350333167,3.326469756,3.748214322,3.921569625,4.060004137,4.029965203
CKAP2,4.272403974,4.124121312,4.441211222,4.384927041,5.086758295,4.917918619,4.984425295,4.85671186
LECT1,0,0,0.064549173,0,0,0,0.131450015,0
TBC1D4,2.235138835,2.081356672,2.237107833,2.328371189,2.079774041,1.85667103,2.040489191,1.984720581
THSD1,0.665581965,0.402379469,0.500560394,0.686886838,0.380208566,0.289616127,0.388084811,0.319943891
BORA,2.28514177,2.283145411,2.393149824,2.622813244,3.330875299,2.906761709,3.186779435,3.082470977
LRCH1,1.848545828,1.780074881,1.767959829,1.92397823,1.825789697,1.968890696,2.338601264,1.984625805
SUCLA2,4.844234988,4.599722453,4.924613006,4.896368736,4.851943886,4.884563733,4.811337441,4.818681869
RCBTB1,2.632538114,2.431090709,2.727107961,2.622459525,2.531985239,2.695472746,2.695886943,2.795567483
MED4,4.750724402,4.615904725,5.164935077,5.171366976,4.909845093,4.628709448,4.912242672,4.896441397
PHF11,3.771357409,3.490749814,3.579819756,3.76670116,3.354910512,3.093725799,3.376639067,3.468479053
RPL13AP25,0.398702791,0.190286147,0.381987657,0.191130535,0.533002108,0.499275966,0.548000544,0.576869407
COG3,4.439264081,4.23157833,4.434668256,4.44500491,4.087793775,3.711605032,4.009642776,3.950188433
LMO7,3.497701773,3.54532593,3.415665386,3.684953353,3.296357553,3.094220866,3.47095328,3.236735981
SCEL,0.284946403,0.175562923,0.314436672,0.060120589,0.103775711,0.176880592,0.195712951,0.20401172
ITM2B,8.387241898,8.224373157,8.513514432,8.513688124,8.189735623,8.093211545,8.145876118,8.162260398
SPRY2,0.753749141,0.748471538,0.784029847,0.7533615,1.390172396,1.159215821,1.154881283,0.999585166
NUDT15,3.903780643,3.469365054,3.905408668,4.014087441,4.082889896,4.002612518,3.831836715,3.998728064
EDNRB,0.212126035,0.103270148,0.174911305,0.054499132,0.222957847,0.079282662,0.022303463,0.060912465
RCBTB2,0.588353654,0.344773969,0.899518278,0.641375855,0.63721886,0.585619258,0.427094435,0.612728046
LCP1,1.335174515,1.263917786,1.34126849,1.466428744,1.380441324,1.392009615,1.118080596,1.110663913
SETDB2,2.598107899,2.626658737,2.444364928,2.731850117,2.582936497,2.46647312,2.487944193,2.328296501
SCRN1,5.417741145,5.237093297,5.564176933,5.532014548,5.486234896,5.476109455,5.47037417,5.443808853
C7orf25,1.799344315,1.554461152,1.9979752,1.293240983,1.812457152,1.737314684,1.226089224,1.955327684
TNS3,5.377068206,5.147864292,5.5508822,5.606907061,4.677468778,4.561100029,4.770897744,4.977797369
SPDYE1,0.622547143,0.245434814,0.51877582,0.464018908,0.153619881,0.349111595,0.385703812,0.613821106
CHST12,2.921546776,2.690323222,2.884838187,3.094930221,2.672067736,2.60356107,2.441132856,2.607567044
IGF2BP3,0.600016594,0.440893745,0.710880694,0.623055879,0.420528753,0.673560042,0.877586428,0.62018193
GPNMB,5.247479449,5.061750281,5.300193294,5.457151015,4.573495715,4.519988432,4.737124282,4.506278221
RAPGEF5,2.490939742,2.22976325,2.600531432,2.138336112,2.324436203,2.814072522,2.729034982,2.747514154
RAC1,9.155068661,8.927529098,9.300039046,9.38078788,9.16268588,9.03353588,9.150658676,9.114999419
KDELR2,7.472569002,7.210398606,7.39254068,7.416316197,7.400426922,7.290396756,7.299372888,7.38451612
NUPL2,4.495317813,4.703875896,4.776540943,4.994557097,4.644340854,4.500827542,5.00274302,4.79100135
IL6,0,0.104518495,0,0,0.335889093,0,0,0
ZDHHC4,4.813965844,4.694133586,4.916725034,4.935591753,4.608495836,4.523624681,4.841303932,4.729264529
AOAH,0.24623173,0.327659775,0.307695472,0.348523649,0.357753546,0.535843943,0.814817815,0.547910747
BZW2,6.864198528,6.647105805,6.959561524,6.879999764,6.884549081,6.799229807,6.847057346,6.794233893
DGKB,0.079837925,0.047816711,0.120533095,0.179876614,0.325580987,0.057447915,0.088493474,0.081941261
TBRG4,5.067767769,4.842053602,5.111594755,5.328750313,5.648919809,5.532120555,5.74970856,5.735779392
DDX56,5.540210199,5.306437243,5.584905393,5.588489782,5.950295766,5.907611763,6.006208245,5.992861315
HUS1,4.084668097,3.673432048,3.870808557,3.993764924,4.119107129,4.024124611,4.263477666,4.116971852
NACAD,0.015097447,0,0,0,0,0.013242417,0,0
C7orf69,0,0.397319975,0.510572086,0.298515212,0.18361863,0.158648543,0.211909314,0.426278712
DBNL,5.620216892,5.433730642,5.752336487,5.776075029,5.673788186,5.713646331,5.88303668,5.834648018
CCM2,3.737405549,3.45265078,3.804951865,3.85433483,4.189777127,4.092063635,4.265481905,4.400619899
MYO1G,0.218391851,0.160705962,0.301374592,0.233180034,0.165870787,0.059394044,0.258192058,0.24283783
TTYH3,2.273110028,1.991245185,2.311346166,2.5768873,1.866239378,1.776478829,2.164860277,2.011620867
MMD2,0,0,0,0,0,0,0,0
CIDEB,0.199314905,0.233019237,0.098596481,0.309875824,0.189806851,0.091813418,0.100299388,0.206871987
0,0,0,0,0,0,0,0,0
TTC5,2.860323223,2.998173835,2.69214372,2.731437429,2.853626446,2.725064905,2.981914743,2.77373687
NKX2-8,0.071001588,0.17977345,0.424133092,0.352826309,0.194291335,0,0.202224618,0.212853181
NKX2-1,0,0,0,0,0,0,0,0
ZFHX2,0.184009823,0.37768128,0.304151199,0.555953548,0.199635286,0.377263707,0.355425665,0.151625058
MTHFS,4.341594431,4.011576144,4.349888924,4.432779059,4.854279968,4.781375452,4.755261486,4.884251125
ADAMTS7,0.353700432,0.588109911,0.54164369,0.517923689,0.759351874,0.394440606,0.423595381,0.547947258
ABHD17C,2.588384839,2.467754213,2.579428784,2.754466387,2.687389962,2.794985553,2.596121758,3.076830986
IREB2,4.109569509,4.313862566,4.254367281,4.479579808,3.94913335,4.050292722,4.077670274,3.998186475
ALPK3,0.106631738,0.339539915,0.421738739,0.352410519,0.251618517,0.047931429,0.200253232,0.103595662
TM6SF1,0.52143775,0,0.055563571,0.270341156,0,0,0.072681391,0
CIB2,0.470872088,0.686817829,0.275817591,0.682590376,0.59452753,0.684517154,0.570058725,0.59196563
CALCOCO2,6.334151696,6.230971508,6.466090332,6.60901765,6.346659103,6.113469226,6.312619798,6.306265886
RSAD1,4.105426657,3.893070924,4.119903932,4.325479962,3.851838973,3.989066326,4.149917794,4.142903511
NMT1,5.322598792,5.59830267,5.768912107,5.482270702,5.888684809,5.927159278,5.85382852,5.875463087
MYCBPAP,2.613831005,2.411252678,2.367801573,2.182514333,2.469339003,2.296812714,2.710274157,2.141530886
SRSF1,6.894890502,6.685631847,6.988343852,6.902519829,7.420894994,7.408576008,7.54450857,7.397717411
VEZF1,5.511581892,5.345144407,5.549056111,5.618805401,5.713613341,5.610082864,5.801838963,5.715146577
CHAD,0.136799054,0.081541427,0.448023441,0.300902716,0.129669706,0.266860884,0.395367763,0.322735778
TACO1,3.810823522,3.546128934,3.983394964,3.810905761,4.007653,3.979842438,4.048959793,4.08343465
TEX2,3.592457037,3.335308883,3.687967688,3.741607204,4.114275396,3.908534331,4.029806228,4.019408365
DCAF7,3.697295659,3.730629088,3.785843455,3.912448678,3.888879598,3.398889365,3.675714329,3.689981204
GH2,0,0,0,0,0,0,0,0
CSH1,0,0,0,0,0,0,0,0
LIMD2,0.361488775,0.582832473,0.706043347,0.675024603,0.552084863,0.653797461,0.866327223,0.65531244
BRIP1,2.309737902,2.185352791,2.77936059,2.45610434,3.421312181,3.353057879,3.444069354,3.353965444
KAT7,4.845239126,4.724841236,4.930529196,5.096405238,4.710547483,4.533968193,4.789906578,4.756260081
