,TWV1,TWV2,TWE1,TWE2,TSV1,TSV2,TSE1,TSE2,TGV1,TGV2,TGE1,TGE2
SPINK5,3.815996403,4.448435153,4.099002935,4.721138606,2.657657808,1.65954192,2.641107576,1.746436974,1.567237307,2.469157125,1.816801828,2.406898764
RNF122,1.312528651,1.26521991,1.246907568,1.250179533,1.299691881,1.306678565,1.152004402,0.984298235,1.11335161,0.812457411,0.828879892,1.022194756
TECPR2,5.450038195,5.61527534,5.436810459,5.736509188,5.403171547,5.53426092,5.224029518,5.624620732,5.347086043,5.375412439,5.286843435,5.204026856
TMEM2,4.986840412,5.045491879,4.970017176,5.151464347,4.233400575,5.842428767,4.377706292,5.987991743,5.240121647,5.748299522,5.436583658,5.573478081
CTBS,4.919847074,5.130097442,4.755276259,4.948809934,5.212054297,4.816498504,5.273711592,4.696540657,4.656202289,5.059033589,4.613723029,4.872111434
SLC2A11,4.021685161,3.80757385,4.452874584,4.11133899,4.071325574,3.576872751,3.696031347,3.830443237,3.56053381,3.437041809,3.506358351,3.661619013
SEC23B,7.421670338,7.485034465,7.419228084,7.565000194,7.127916816,7.21040051,7.373017089,7.182418029,7.673642107,7.680451485,7.785653198,7.757793357
CNOT10,5.46333174,5.798776972,5.453862092,5.660960144,6.075439295,5.952714456,6.247779196,5.907543563,6.183146949,6.130648716,6.19370139,5.982286136
LYRM1,5.81861679,5.344626757,5.55609791,5.176950701,5.593460102,5.711732191,5.59967907,5.570645495,4.972501039,5.355248137,5.232768722,5.456110576
LBHD1,2.614882595,2.264416019,2.91956769,2.670339824,2.8490054,2.030165539,2.326502729,2.253524072,2.471143493,1.592891927,2.077813356,1.774259371
TTLL5,6.539754218,6.474906979,6.695059382,6.662108947,6.679312841,6.579333009,6.717914468,6.682973222,6.464888326,6.461185958,6.701734752,6.52000393
MVK,6.207196569,6.194765574,6.060647701,6.318498657,5.871492083,5.791561942,6.112945134,5.775394481,5.468152896,5.197136194,5.519493774,5.267523295
FAM133A,0,0,0,0,0,0.228187076,0,0.148876382,0.101269918,0,0,0
B3GAT3,5.254898184,5.251173929,5.19458066,5.097530534,5.156423542,4.939222319,5.026942848,4.87815674,5.458641922,5.245867806,5.270977803,5.267523295
GPC1,4.628787544,4.583479687,4.83336309,4.690237393,4.649855333,4.676567558,4.454394053,4.883479706,4.581490264,4.408532588,4.564873609,4.549249095
NAA15,5.802435662,5.977707106,6.415715437,6.616268213,6.428115674,6.421006658,6.689316309,6.601336769,6.65593634,6.709724349,6.837194369,6.747691014
LKAAEAR1,0.182549575,0.151616697,0.228560373,0.103698884,0.779020593,0.185346004,0.949511376,0.100937866,0.485370282,0.28221113,0.302046089,0.393728698
VRK2,3.783390761,3.98295521,4.009574424,4.031406195,4.050697655,4.369631537,4.375685324,4.160727365,4.114786195,4.381370312,4.06686466,4.017577864
PLEKHA1,5.161929289,5.492812078,5.024296583,5.346407249,4.886499345,5.236712796,5.020489926,5.313669531,5.016920281,5.729819021,5.145283826,5.372721603
SCARNA9,2.736666425,2.136940298,2.869613988,2.18267058,2.657657808,1.7057476,1.867166044,1.908381073,2.057693693,1.724480231,1.981838655,1.935105497
CCDC97,5.10463828,5.063133417,5.208043425,5.349047526,5.188643313,5.077432151,5.265003343,5.125822979,4.948918913,4.978931845,5.251999752,5.100388511
ATP6V1C2,1.484655279,0.9157186,2.047150879,1.00438334,1.759817084,1.579083549,1.410738846,1.581561779,1.765395042,1.676530044,1.517595036,1.847968484
ARL6IP6,4.749450748,4.531429786,4.285174656,4.142111961,4.860068121,5.026763086,5.010104836,4.879933245,4.458049902,4.615547475,4.269182745,4.299581223
NCOA3,7.970462924,7.852054758,7.867140247,7.800962061,7.592442807,7.394457328,7.284768333,7.309130176,7.980513694,7.906645916,7.733982277,7.536710491
ASIC3,1.484655279,1.432500499,2.306932798,1.90974256,2.769183569,1.675108821,1.867166044,2.186199719,1.925853586,1.287106731,1.800818435,1.593203805
ACRC,1.175653666,1.149876631,1.29816216,1.057007061,1.072984002,0.496992956,0.607683395,0.556853905,1.11335161,0.953263756,1.114006177,0.923360115
CTDSPL2,5.640225214,5.587837931,5.485991565,5.549447371,6.482072435,6.547970861,6.742432102,6.484180448,6.22090846,6.571812315,6.339819773,6.320831698
SLC29A2,6.058432495,6.230689814,6.378990596,6.32655904,6.502153211,5.858709491,6.081052446,6.02859718,6.213152031,5.670875178,6.070794525,5.914212388
C17orf53,2.256061458,1.928759505,2.782310597,2.422153679,3.216185963,3.304007894,3.207184338,3.501698457,2.829495007,2.611964232,3.265585916,3.022792441
SLC38A1,9.98341865,9.513806042,10.30669824,10.13047093,9.240664411,8.851743494,9.39213236,9.143219714,9.901135469,10.039427,10.21517976,10.20799317
NUDT1,4.257004387,3.696869043,3.970612011,3.547736051,4.221914476,4.278303417,4.518077743,4.212401495,3.728232306,3.493483198,3.721153837,3.476479954
B9D2,1.638417257,1.857020594,1.138589296,1.33785948,2.088031964,1.403309072,2.284033377,1.181568504,1.925853586,1.522304894,1.593781534,1.335766985
HAGLR,0.743677487,1.527986402,0.99064622,1.33785948,1.598636315,0.565415637,1.923588636,0.626231839,0.051523357,0.147995142,0.302046089,0.237937441
EXOC3L4,0.063451273,0.052329433,0,0.052780958,0.562972955,0.048616221,0.195981093,0.051351515,0.195895079,0.051037286,0.054939147,0
CCDC69,1.938339312,2.741667502,1.855150209,2.134510733,1.78501298,3.184008777,1.890000553,3.081416996,2.235292687,2.802727473,2.275815575,2.56825104
VPS13A,4.293849076,4.646539589,4.867699204,5.154486215,5.185098667,6.025869456,5.03848587,6.146929917,5.359915742,5.576049583,5.38793099,5.520925568
RNF157-AS1,0.344573385,0.45352131,0.330555862,0.246483723,1.99392423,0.228187076,1.602666098,0.100937866,1.038717666,0.752047398,1.114006177,0.741916024
DLEU7-AS1,0.12422906,0.198810213,0.174724574,0.2911021,0,0.048616221,0.158857012,0,0.149358158,0.194135169,0.255895178,0.12386842
MAML3,3.378120102,3.4799949,3.354311673,3.666802676,3.493413306,3.247860443,3.487267993,3.330386772,2.8873541,2.937676718,3.175486922,3.173754126
DNAJC18,3.371867642,3.003277015,3.118030303,2.695454585,2.371967425,2.998479355,1.977887389,2.593758824,2.166853673,2.551217664,2.240701249,2.331812026
COPS5,7.571051409,7.408371092,7.372540812,7.381485212,7.186410168,7.237521017,7.379839115,7.184216409,7.414584558,7.377816056,7.278106777,7.342786564
C1orf35,4.715287549,4.680186423,4.971991304,4.781023593,4.761962987,4.47788247,4.82254362,4.714572139,4.794933844,4.427970631,4.899163877,4.663385345
ZFAT,3.843369317,3.772907985,3.803301648,3.856886394,3.390467334,3.487123442,3.337494261,3.266633755,3.801539329,3.516363957,3.823584467,3.582852102
43717,7.731345842,8.024870866,8.338075875,8.68938468,8.034240129,8.150552944,8.385579493,8.514831954,8.077686678,8.129663869,8.879745899,8.939438616
AASDH,5.520975699,5.33277512,5.246063431,5.345085297,5.267855157,4.953654553,5.080037262,4.911541849,5.253934006,5.181474234,4.919660674,4.988724913
ABHD10,6.718542085,6.476703183,6.375266167,6.130257508,6.342136524,6.511582884,6.471484032,6.372522892,5.853710447,6.096132303,5.810384103,5.8969513
KIAA0513,5.958704975,6.377640673,5.751487263,6.072317602,5.906353394,6.327442399,5.707251892,6.173246561,6.093810666,6.125449194,5.627649906,5.608362866
PAWR,5.555867557,5.29526814,5.184400495,5.163514029,5.447241374,5.49642616,5.488118748,5.508843051,4.94210975,5.44026246,4.887859839,5.067980242
CLCN4,1.796158144,1.871656598,1.613523309,1.880840491,1.972150766,3.338632893,2.060726329,3.506306276,1.4569192,2.144342121,1.784655978,1.900879621
MRPS18A,5.758776537,5.728151774,5.545531583,5.405943674,5.102324799,5.407194569,5.410291015,5.198805297,5.169003766,5.260849616,5.33758015,5.352286672
MARCKS,2.62543323,3.160539243,1.905598543,2.252023894,1.78501298,2.344378895,1.574750268,2.091249334,1.531393789,1.46700156,1.237890999,0.957062939
ALDH18A1,7.01081884,7.249697876,7.086707783,7.521190036,6.967977727,7.295953591,7.159686857,7.339465384,7.428049186,7.473874774,7.605597326,7.579939944
NCOA6,6.663294313,6.803520879,6.865628202,6.914680399,6.784171263,6.844504917,6.626966765,6.908154153,7.047968413,7.033758249,7.230425352,7.097593523
KCCAT211,0.743677487,0.414071314,0.471184007,0.246483723,0.200579042,0.141193724,0.041383988,0.100937866,0.408416046,0.688996866,0.208219002,0.442132342
CCDC89,0.890866043,0.565784425,0.557855369,0.605659444,1.869886773,0.531609893,1.696325254,0.407207978,1.207212771,0.65640724,1.307417355,0.741916024
SPRY2,1.507650322,0.767077798,1.837934314,1.626063663,2.756501634,2.0541754,3.382471788,2.253524072,1.883831911,1.48567255,2.850088426,2.523961971
KCNE4,0.781906208,0.858086689,1.021473439,1.774864424,1.417156503,0.693233515,1.394861091,0.786349003,0.661510988,0.55397383,0.860065716,0.780076405
LOC100130899,2.09837506,1.734258643,2.162280988,1.836371869,1.495565102,1.137198195,1.394861091,1.355080652,1.337461757,1.329066537,1.537022152,1.504814043
DISC1FP1,1.055960386,0.636049457,0.790419298,0.417230834,0.409419048,0.425162923,0.195981093,0.100937866,0.593612953,0.688996866,0.158913286,0.702718784
NDUFB3,7.423182898,6.629838383,7.020055542,6.188173534,6.4469843,6.511582884,6.269166141,6.192673723,5.975418739,6.180206436,5.732479327,5.963754263
AMER1,3.034569984,3.016508442,3.372360549,3.291888693,2.580610301,2.696791981,2.738684089,3.199932702,2.761503374,2.515321273,3.10564387,2.889506634
PCDHB14,4.0176859,4.26658417,4.275616154,4.494267714,4.871875154,4.502086451,4.765031804,4.60283941,4.672749421,4.781518169,4.833903958,4.706130648
OCRL,6.492268164,6.648550141,6.472597361,6.752633685,6.085614743,6.172232598,5.883292133,6.13507775,6.51105376,6.485160573,6.401399971,6.384916017
TBC1D20,6.258087799,6.350468918,6.167012788,6.409213328,6.12252839,5.967013013,6.075460269,6.110320759,6.305576172,6.224648958,6.214965196,6.254615147
LEPROTL1,5.852691326,5.551939003,5.635464145,5.448421694,5.644254567,5.866357753,5.773220054,5.700971757,5.594028978,5.846367343,5.637807681,5.718086779
MBTPS2,6.235882076,6.347854241,6.274094089,6.533381696,6.363201821,6.556926238,6.585163625,6.576903029,6.499505226,6.747927186,6.645232198,6.60018158
CYB5R4,4.287219652,4.198556343,3.794404365,3.800130205,4.106729596,4.8076981,3.892573142,4.550260232,3.892647961,4.572528227,3.858748827,4.106611601
FHOD3,0.238603818,0,0.118801698,0,0.200579042,0.09564743,0.158857012,0,0.195895079,0.10033058,0.158913286,0.063263205
GUCD1,7.003759745,7.173485383,7.373661264,7.598948604,6.293035221,6.509413562,6.541211671,6.658860172,6.588314363,6.651487525,6.938369355,7.11495972
ARHGEF1,4.564447522,4.508200192,4.60818132,4.568645515,4.59926117,4.40507004,4.324218531,4.598530266,4.766308146,4.541632821,4.634162551,4.5043636
STEAP2,5.830064623,6.143673627,6.151418754,6.305643563,6.018818014,4.793504832,5.525056983,4.825662818,6.243238366,6.647347454,5.919879859,6.102923366
MIR637,0.443289005,0.288804001,0.42581417,0.37640098,0.16263233,0.048616221,0.195981093,0.195273071,0.101269918,0.147995142,0.208219002,0.12386842
MOSPD2,4.610316259,5.024360792,4.458517821,4.808141384,4.86302895,5.102114608,4.847548555,4.9793982,4.940402426,5.328347428,4.833903958,4.966144119
ZNF85,3.918219085,3.590292824,3.829668935,3.592988478,4.439844996,4.158823908,4.262121964,4.098004271,3.209985601,3.52992023,3.344886332,3.435225007
TUBGCP6,5.140021188,4.552021353,5.579592941,5.095959547,5.479432199,4.058532331,4.729074481,4.686424923,5.416278,4.439987743,4.993590665,4.904861257
MTAP,5.141859624,5.019440119,5.502474959,5.59242032,5.341882482,5.043351552,5.533239344,5.351292607,5.373897872,5.410035703,5.703757721,5.56939809
LINC01004,3.548571353,2.90709493,4.091758678,3.104594553,3.735584338,2.749210923,2.572185875,2.979054126,3.591323848,3.110032808,3.271397078,2.965988738
LOC100507642,0.925430949,0.9157186,0.678818461,0.569891278,0.753718901,0.565415637,0.85982341,0.326130589,0.327124588,0.365218067,0.390141883,0.534324247
CD58,4.867478123,4.598955304,4.294670245,4.076712899,5.304254768,5.531056539,4.834364652,5.042620615,4.304588608,4.525933413,3.610891064,3.852788808
ATF3,5.303341063,5.195545611,5.308326948,5.223736849,4.675344673,4.967943841,5.122837151,4.871028763,5.08804203,5.510322976,5.301116877,5.614975841
OPRL1,0.959187069,0.601344673,0.71698604,0.707932411,0.922165069,0.970579484,1.243502822,1.204433531,0.327124588,0.443707836,0.512953121,0.237937441
ANKRD22,6.929605941,7.250047996,6.58004526,6.760092479,5.689156539,6.368115545,5.955429303,6.124626624,5.577646997,6.230887587,5.471079272,5.92808653
AMBRA1,5.781361069,5.876120698,5.749186866,5.941973398,5.646833847,5.654966679,5.562850443,5.714972814,5.718790095,5.797699662,5.970768623,5.771154821
LMNB2,5.936634394,5.752079722,6.073575979,6.100011817,6.552999949,6.390094888,6.538504385,6.626951226,6.622787668,6.314203709,6.68114586,6.418569826
LOC90784,3.050316586,2.856487252,3.530746135,3.392581456,2.769183569,3.059060396,2.757431723,3.250245367,3.400855458,3.258559663,3.712636384,3.499535135
TBC1D8B,3.198995161,3.594710514,3.286130749,3.477079311,2.958256362,3.446881784,2.775938857,3.515477996,3.659327199,3.98512969,3.265585916,3.453050346
WIPF3,0.063451273,0.151616697,0.378971088,0.200441268,0.647826617,0.995593034,0.57986542,1.061469585,0.368342807,0.147995142,0.054939147,0.237937441
LOC100288637,2.09837506,1.582384567,2.41536552,1.923979328,3.965103641,3.304007894,3.382471788,3.304164524,3.56053381,2.469157125,3.175486922,2.871945587
UBE2Q2P1,0.53568048,0.491921211,0.894003579,0.334381857,1.510748123,0.838560941,0.812798032,0.957629034,0.818467435,0.481407374,0.696923751,0.578301128
LGI1,1.868999557,1.308893306,1.486706401,0.89300185,0.503497906,1.863532449,0.267480713,1.249104334,1.22975401,2.021767812,1.087899501,1.883457303
FUNDC1,6.333221895,6.272650436,6.131244567,6.088207904,5.894826303,5.762710289,5.796823095,5.49615839,5.736607435,5.886438093,5.634429696,5.774702991
PCBP2,9.524625457,9.596049203,9.22360827,9.519981633,9.659618027,9.675266875,9.780997726,9.624557027,9.054936963,9.057810109,9.037896658,9.008370024
RAVER2,4.575372102,4.579027419,4.684806825,4.781023593,4.963006138,5.236712796,5.015306725,5.374160793,4.985805468,5.052786594,4.901039302,4.915614714
VWA8,4.536768577,4.531429786,4.600545318,4.825308883,5.013179103,4.924644249,4.978493354,4.885249672,5.104906814,5.121552455,5.168825407,5.032853092
DEGS2,8.083346732,8.077900315,7.809520009,7.813920839,6.265327757,6.305105159,6.622712735,6.270578526,6.421486732,6.264388144,6.971320747,7.002446216
ZNF324B,2.458449576,2.391727371,2.356133836,2.687131482,2.371967425,2.211907991,2.550850532,2.359187812,2.452098211,2.372145998,2.539306576,2.43108365
PGBD2,3.042464769,2.73367792,3.266962784,2.896543476,3.305956756,2.382807439,2.661157993,2.686003365,2.929274783,2.757348929,3.039075743,2.68346964
ITIH6,0.182549575,0.565784425,0.330555862,0.533213732,0.620092916,0.141193724,0.432111628,0.283816637,0.284694031,0.051037286,0.432251316,0.182030019
LINC01237,0.622509557,0.373512171,0.678818461,0.200441268,0.409419048,0.349568307,0.267480713,0.148876382,0.788412564,0.518146809,0.661958673,0.534324247
STARD9,0.344573385,0.244508708,0.86029514,0.569891278,1.417156503,0.662324937,1.054307653,1.010483371,1.18431374,0.87043921,1.395195531,1.229459275
LOC283922,2.481862726,2.725643846,3.014567604,2.925135748,2.854966437,1.750519245,2.700441731,2.576334492,2.032271942,1.815849072,2.408303353,2.048879757
NFE2L3,2.549905211,2.499315164,2.911361266,2.661870132,3.348830767,2.535589617,2.794211581,2.661424988,2.942981957,2.58624254,2.770256669,2.369843837
MIR4691,0.57974815,0.244508708,0.42581417,0.334381857,0.308774628,0.185346004,0.232173796,0.051351515,0.447406201,0.194135169,0.208219002,0.237937441
YPEL1,2.604254233,2.308113393,2.255994404,2.217763941,3.140117237,2.179529685,2.738684089,2.242519267,2.489940626,2.611964232,2.343579782,2.406898764
NUDT18,2.036474364,2.24206077,2.319391256,2.720139613,2.147524319,2.658148397,2.110184745,2.839956816,2.535889108,2.310645286,2.72014734,2.889506634
SOWAHD,0.344573385,0.198810213,0.378971088,0.495579357,0.647826617,0.970579484,0.522566686,0.755715735,0.327124588,0.194135169,0.473166434,0.343644525
STPG1,3.624167436,3.818946474,3.546728819,3.606291975,3.891613678,3.744872945,3.843698982,3.604124197,4.191432986,4.036686417,4.151225892,4.053074352
ACVR1B,6.952307387,6.905723374,6.497480357,6.54609358,6.050331756,6.022070244,6.064837759,5.983041388,6.231418651,6.288514373,6.094753754,6.00562452
GNL3L,7.034267747,7.213890754,7.382593695,7.456551957,6.997917849,6.690261748,7.110710061,6.876470416,6.756875661,6.737254057,7.161690101,6.942718124
OACYLP,0.344573385,0.244508708,0.42581417,0.334381857,0.083606608,0.048616221,0.12075235,0.051351515,0.149358158,0.051037286,0.255895178,0.063263205
SEMA6D,0.664039919,0.97113643,0.378971088,0.200441268,0.503497906,0.349568307,0.432111628,0.240224029,0.447406201,0.752047398,0.054939147,0.182030019
LPP-AS2,2.228643583,2.371273785,2.38011911,1.952038199,2.015373964,2.429446936,1.999047304,2.186199719,1.953203096,2.401940357,2.167799683,2.079804128
AQP4,0,0.052329433,0.060623375,0.246483723,0.042408862,0.09564743,0.041383988,0.367238763,0,0,0,0
SEC11C,6.686151975,6.490400291,6.435164874,5.961946782,6.077989893,6.32065375,6.228871926,6.06106141,5.645235217,5.896066188,5.666756901,5.875080405
HIBCH,5.187075227,5.172088366,5.216394299,5.185839458,5.175603479,5.230141207,5.239670294,5.133289608,5.703772354,5.744428514,5.405212754,5.442790678
AXIN1,4.545128162,4.344721833,4.791498276,4.702677415,4.532021931,4.750067485,4.788008468,4.808975448,4.980830674,4.816968362,4.945333287,5.040733372
SCGB2A2,0.063451273,0.102827024,0,0.052780958,0,0,0.041383988,0,0.149358158,0.051037286,0.107862683,0
CCDC176,4.508548192,4.603346588,4.365464958,4.11133899,5.395012185,4.22905795,5.167911561,4.003387568,4.970829325,4.923518801,5.007584564,4.883110853
RNF123,5.187075227,5.277517089,5.479067509,5.495654464,5.408247814,4.952058083,5.186476878,5.133289608,5.413819218,5.209825254,5.435290066,5.254029161
SRP19,6.585726956,6.35958315,6.519918791,6.243144494,6.224470287,6.245747052,6.272428481,6.12537565,5.969571109,6.200127874,5.952799425,6.146481598
LLGL2,6.035870624,5.926932211,5.825413072,5.816906429,5.689990457,6.231340791,5.638122151,6.217473896,6.003489168,5.830022132,5.735635605,5.765221743
TCTN3,7.218024627,7.423350304,6.993577157,7.431234568,6.954507478,7.317812183,7.213010117,7.217966468,7.350782644,7.500512909,7.457670039,7.474072381
UPF1,6.304785334,6.213557777,6.487164548,6.611877841,6.491191231,6.146638467,6.449074552,6.349628521,6.480245692,6.278510764,6.646350669,6.375599801
FAM71F2,1.719442505,1.582384567,2.176047113,1.626063663,1.834121899,0.91921248,1.094183704,1.158335248,1.207212771,0.953263756,1.164843628,1.114690478
CCDC64,4.86302701,5.091544019,4.869818318,5.14083768,5.632156578,4.914843049,5.312261032,5.055253787,4.705284976,4.4447667,4.464452621,4.354356362
C10orf88,3.900953537,3.962590886,3.864092041,3.92571361,4.005858824,4.133693007,4.131682307,4.00012427,4.056082199,4.089518895,3.831473174,3.676869185
MADD,6.103468252,6.153439,6.054139855,6.172607423,6.312660163,6.078765614,6.12863093,6.192673723,6.169365469,6.022122545,6.182179818,6.063821175
DEPDC1-AS1,0.704408138,0.529325473,0.557855369,0.45693689,0.922165069,0.782174248,0.836502314,0.84573065,0.485370282,0.752047398,0.208219002,0.393728698
KIF23,5.637621636,5.361575716,5.738789445,5.503970851,7.142611701,6.816702933,7.255942643,7.013059645,6.832003383,6.741144337,6.936998955,6.696233109
WARS2,4.710340375,4.627262602,4.368465565,4.359346711,4.242524064,4.435094649,4.444787112,4.160727365,4.658281089,4.630306192,4.531363528,4.495789855
PLEKHN1,2.052200307,1.88614561,2.505351463,2.046157443,2.355242391,1.980912767,1.843964297,2.115579183,2.393405719,1.78603115,2.41881384,1.883457303
ADAMTS7,0.53568048,0.331779704,0.471184007,0.45693689,1.881614048,2.401644553,1.410738846,2.369340709,0.986726563,0.926180481,0.62612509,1.084512713
SLC28A1,0.12422906,0,0,0,0.273603358,0.185346004,0.081613896,0.195273071,0.051523357,0,0,0.12386842
TAPBP,1.259326609,1.432500499,0.99064622,1.554660949,1.734173321,2.042220416,1.50250188,1.746436974,1.437683949,1.929315333,1.648392126,1.793042698
JAK3,3.514919749,3.733387471,3.292463892,3.761013069,3.642156361,3.830777711,3.358112578,3.731589189,3.085744418,2.937676718,2.802721367,2.982447863
TAF5,2.593546989,2.480341111,2.71789435,3.110830906,3.519918787,3.273653203,3.333335001,3.356140903,3.181360189,3.048572202,3.328256491,3.348997832
TNS1,2.28296797,2.381536825,2.162280988,1.880840491,1.893246763,2.447688593,1.65692772,2.163041527,0.661510988,0.782568575,0.764409967,0.780076405
MYLK,3.34658325,3.302331481,3.022208968,2.636158566,2.483909218,2.992278952,1.867166044,2.918114003,3.048189029,3.306605822,3.150478911,2.940942523
ELMSAN1,6.294078771,6.273339543,6.450112995,6.539751639,6.397300866,6.286222913,6.320498488,6.60402626,5.934836393,6.006853836,6.441899094,6.472728946
HEBP1,4.634021905,4.659249288,4.17979788,4.460481474,4.170260143,4.462265789,4.281680883,4.134179238,4.105674479,4.226253655,4.103159706,4.204567651
CFHR3,2.157728736,1.9970995,1.593146259,1.440459085,2.421009724,2.799791861,2.292627852,2.757321763,1.765395042,2.190597271,1.261440711,1.847968484
HIGD2A,6.010939913,6.247620792,5.69643382,5.994352224,5.690823893,6.106299102,6.10625715,6.0027417,5.962017731,5.911683957,6.00168603,5.929148265
PLEKHA8,5.031157617,5.0931061,5.330038317,5.398315977,5.389889049,5.315806887,5.156185735,5.449068765,5.502113902,5.500028348,5.444320946,5.488161804
LINC01132,0.238603818,0.331779704,0.639613627,0.2911021,0.503497906,0.387860686,0.368495449,0.367238763,0.368342807,0.194135169,0.473166434,0.620977045
METTL10,4.187503783,3.910385815,4.127621594,4.079895293,4.439844996,4.213150915,4.479076764,4.192525339,4.299269947,4.169644637,4.00891225,4.060845246
DGKA,4.336213337,4.652908435,4.725161164,4.960943154,4.706997831,4.466744974,4.514408459,4.746081992,4.426685928,4.415852579,4.667597789,4.683658631
PLEKHB1,2.020575111,2.5273164,1.938276631,2.432149065,4.734742157,5.699414978,4.864941747,5.61824932,2.606492149,3.197576904,2.711623924,3.329830474
WDR19,4.426461609,3.863561128,4.186614292,4.163269032,4.750816541,3.972955904,4.233393672,4.013133405,4.488746509,4.195393917,4.248708812,4.235795412
AMH,1.904085976,1.685389083,2.558869562,1.952038199,3.252767276,2.157533266,2.620774568,3.345894354,2.983338985,2.132542839,2.490318262,2.57911408
MAD2L1,5.728510978,4.669755836,5.54950303,4.606652395,6.307235514,5.875650899,6.209713571,5.985518689,5.303919837,5.519412492,5.184309053,5.255722846
TUBB2A,3.838843079,3.401480868,2.650466949,3.671029284,3.719338375,3.162081064,4.292433455,3.533648344,2.730224847,3.507255153,3.695449119,3.745979753
BLZF1,6.919460142,7.170529094,6.625276488,6.849047223,6.503102502,6.978751396,6.658893873,6.661444632,6.423321441,6.701262099,6.373979913,6.539601233
CHST6,0.063451273,0,0,0.052780958,0.308774628,0.09564743,0.267480713,0.051351515,0.149358158,0.10033058,0.054939147,0.182030019
ZNF610,3.870232528,4.108746558,3.629102329,3.74506433,3.712788417,3.547572324,3.715337775,3.335574509,3.591323848,3.71931753,3.554814017,3.303871317
DAB2IP,6.945481754,7.04176869,6.796016507,7.037206596,6.758165556,7.19698367,6.551990289,7.196029821,7.15010466,7.173467016,6.978443504,7.026951746
HJURP,4.456317258,3.98295521,4.613249627,4.184120316,5.504298273,5.164104173,5.403363834,5.239502733,4.914547101,4.638672448,5.225303373,4.78095994
C21orf140,1.739007233,1.842234587,2.016873224,1.694098502,2.11808478,1.579083549,1.546283597,1.714934958,2.10723155,1.755583916,1.995946454,1.774259371
TMLHE,3.543016979,3.455915111,3.619059204,3.538512708,4.550505924,4.963196453,4.497780203,4.651491006,4.29125501,3.699460177,3.984355925,4.242644068
FRAT1,4.303736441,4.318253142,3.658818915,3.886267458,4.449726221,3.976101239,4.150716642,3.707781634,4.609694063,4.415852579,4.328916889,3.997473557
MLLT4,5.688820867,5.234284843,6.322862313,5.685192874,5.924182093,4.909917366,5.270452155,5.318917621,5.821608547,5.365365517,5.717658036,5.6970488
ZNF138,5.378553396,5.538243214,5.451034112,5.599090023,6.016825361,5.806657881,6.073591382,5.702980246,5.498637537,5.764636404,5.493626479,5.643718123
ULK1,5.781361069,5.644333136,5.915359319,5.776287241,5.941092823,5.518167364,5.527789597,5.79812056,5.490493294,5.282367312,5.352733737,5.307264533
SOD2,4.707860412,4.352568663,4.556494187,4.522610638,4.677028056,4.821753094,4.801620846,5.013784896,4.987459927,5.137874884,5.211767616,4.951588296
LOC554206,1.388824719,1.101027067,1.766939708,1.358971434,1.190786532,1.266138222,1.170774219,1.270931534,1.337461757,0.623064387,0.978475449,1.309915389
HMGA1,5.802435662,5.940879213,5.895734745,6.067516181,6.520083788,5.331855131,6.800457197,5.3332522,5.788776049,5.275677443,6.103738655,5.612334287
C9orf72,3.838843079,3.803762967,3.419415292,3.207111791,4.035030825,3.928185654,3.953459639,3.650653482,3.18713089,3.679325686,2.880823965,3.085085136
TMEM186,4.626163224,4.479821764,4.537957141,4.579928321,4.124111041,4.298545779,4.305231641,4.289275951,4.450872344,4.343486906,4.602241352,4.764399037
C22orf23,1.921314299,1.928759505,2.162280988,2.217763941,2.650821063,2.135196273,2.507209303,2.078928795,2.722298095,2.551217664,3.236173718,2.88075283
GATA6-AS1,0.57974815,0.703050648,0.639613627,0.569891278,0.409419048,0.141193724,0.400654158,0.326130589,0.661510988,0.812457411,0.473166434,0.393728698
BRCC3,4.865254283,5.083708142,5.103870217,5.306212063,5.990667251,6.008309642,6.262072328,6.146929917,5.371365725,5.510322976,5.509694176,5.482387021
RAB1B,9.297826349,9.36956631,9.121483372,9.286500287,8.640091333,9.031526346,9.00656222,9.00170367,9.1065676,9.214331472,9.261844239,9.349947274
SNPH,0.992171389,0.735419387,0.754169838,0.740473331,0.852367456,1.545600293,0.764188041,1.746436974,1.437683949,2.021767812,1.351973928,1.410653408
SLC12A8,4.144137355,4.064841979,4.316586552,4.398107781,3.783252587,3.89533434,3.964259041,4.073373662,4.689108914,4.539400481,4.808150168,4.660831035
SLC46A2,0.238603818,0.414071314,0.471184007,0.495579357,1.031477375,0.753132335,0.739254725,0.755715735,0.847908946,0.812457411,0.764409967,0.620977045
C7orf13,2.614882595,2.811649862,2.558869562,2.852563661,2.616142753,2.314870473,2.383934739,2.467123371,2.499248142,2.431131835,2.15528306,2.406898764
SNX29,5.108403926,5.074248562,5.06185416,4.817704093,4.524561511,4.686202544,4.462033809,4.712579734,4.680952356,4.892371715,4.63190574,4.50721023
TTLL11,2.784524341,3.003277015,2.791282545,3.000962396,2.166822142,2.820938065,2.375868822,2.757321763,2.571622484,2.903369394,2.737044573,2.67336728
ABCC12,3.002551598,3.401480868,4.335110556,4.665030846,4.91388341,2.410971672,4.257739291,3.524591776,3.712312916,3.061075573,4.224948624,4.201055805
KBTBD8,2.866860592,2.811649862,2.727274643,2.830060554,2.769183569,2.135196273,3.193481847,2.139505526,1.911981915,2.372145998,1.800818435,2.124982247
