,TWV1,TWV2,TWE1,TWE2,TSV1,TSV2,TSE1,TSE2,TGV1,TGV2,TGE1,TGE2
TINCR,2.309381845,2.136940298,2.869613988,2.736364728,2.941546787,3.45592188,3.151575767,3.703775229,2.665556787,3.042279644,3.131434249,3.144799116
SLC22A23,8.217318469,8.024052208,8.009209773,7.919609666,6.937403069,6.571036206,6.576391719,6.549260084,7.819865849,7.585733405,7.557359399,7.321515827
SLC9A1,7.214098022,7.626586593,6.684262966,7.081143763,6.111988767,6.395390963,5.898855615,6.107290838,6.662682759,7.063580271,6.238147368,6.646749385
SPINK8,2.614882595,2.329475571,2.047150879,1.677388209,1.093297931,0.838560941,0.905364234,0.816345325,2.045038811,2.047129979,1.556191138,1.755228263
AGRN,9.149919791,9.12656584,9.083070215,9.333337072,8.67357316,8.671038219,8.583513019,8.811309139,8.983262528,8.782868547,8.956936278,8.834693303
CBLN2,1.552569233,0.373512171,1.021473439,0.37640098,0.409419048,0.141193724,0.232173796,0,0.932791561,1.329066537,0.589378756,0.888851086
CLDN16,5.394062381,6.091487364,5.139436987,5.668378505,4.597484498,3.576872751,4.456307788,3.266633755,4.486408282,5.089869143,4.340019658,4.678616955
CGN,7.617044403,7.213531747,7.726299502,7.288952505,7.331348129,6.608508538,6.809094174,6.587813589,7.50803012,7.1109515,7.225569377,6.859956229
HIVEP2,4.53397125,4.690542138,4.350367588,4.286839162,4.143722465,4.061496705,3.799155316,3.950267772,4.559413525,4.609175797,4.292231183,4.117829885
CYFIP2,8.87570278,8.688982216,8.44356494,8.273949374,7.480983651,8.028232461,7.089288186,7.753808945,7.856313351,8.214136463,7.49819023,7.812613947
MDK,5.505351829,5.905755595,5.375490777,5.563156563,6.820418678,7.23948557,7.297634394,7.063174868,6.37357921,6.330433847,6.63004735,6.487218989
CNNM4,6.481419372,6.467097478,6.269285906,6.250930099,5.645114839,5.999062443,5.634746168,5.947057864,6.212444829,6.346483429,6.137538974,6.113236354
ZMYND15,2.77507892,2.856487252,3.125144158,2.939222156,2.036509454,1.750519245,1.855611812,1.837014831,2.526815739,2.487800418,2.387049836,2.512673953
C12orf75,2.961502705,3.291487054,2.640571962,3.324452062,4.837666064,4.967943841,5.152649321,4.775010242,3.856891941,3.975254276,3.750575051,3.760368057
C2CD2L,6.677939533,6.800177516,6.755331558,6.85602501,6.48879713,6.152210935,6.361922922,6.283387001,6.583946699,6.376806928,6.534816735,6.503704586
MARCKSL1,6.330000228,6.274716769,6.370784123,6.411741227,6.749791729,6.888570734,7.187891155,6.873352613,6.898583744,6.891360642,7.193409477,6.980080833
TRPM4,5.867210643,5.916382758,5.826504533,5.989283719,5.505246154,5.260125702,5.36822005,5.445474299,5.673259595,5.463996013,5.491138565,5.411224161
ABHD12,6.600508516,6.631989194,6.201074313,6.284420399,5.733512207,6.293805493,5.806607363,6.129114952,6.722518356,6.884781535,6.645791541,6.792134219
DLX2,3.960500039,3.913925542,3.514584405,2.695454585,2.204660241,2.294857457,1.956412497,1.730771947,2.745948876,3.097948367,2.439607849,2.557305584
SLC25A44,6.783576223,6.951651051,6.90594125,6.981716887,6.358488875,6.550083015,6.528533983,6.570316866,6.743230766,6.770943509,6.888195931,6.908136156
ITPR1,5.401754798,5.025997294,5.686850169,5.325109262,4.441826662,4.748228902,4.516244268,4.720532897,4.837752244,5.086815077,5.002352746,5.119117575
FAM83H-AS1,7.317349968,7.193647511,7.353737342,7.292385993,6.897167567,6.698854422,6.712320085,6.752499851,7.266760227,7.10643457,7.229306192,7.033383947
PITPNC1,3.07361885,3.236007415,2.911361266,3.247295016,4.003177339,3.89533434,4.342958783,3.811951514,3.696215902,3.917979629,3.787541552,3.7840342
CLDN1,11.84685361,12.36359741,11.90490285,12.42754144,11.74746341,11.22937504,11.62453192,11.06686031,12.22412726,12.56674735,12.12979934,12.39135333
INPP5J,6.045723517,5.817796708,5.89156902,5.527471158,5.146737097,4.388640341,4.371634876,4.339201407,5.325010245,4.895865896,4.586011927,4.693689432
KLHDC7A,5.306622748,5.401206629,5.071092747,5.021779985,4.690424875,5.011515337,4.59479093,4.734346298,5.437010172,5.420990433,4.925200537,4.869901451
PPP2R2C,3.497794942,3.32377881,3.6975122,4.041235269,5.251001329,5.253660138,5.514992885,5.520278573,4.699240187,4.969013768,5.987634519,5.923831756
PRSS23,2.067756678,2.329475571,1.872163085,2.32893506,3.070099168,3.551794709,3.563818869,3.595500705,3.449681662,4.317667116,3.435664214,4.179803287
PTPN9,4.751860297,4.778603033,4.559122999,4.608857216,5.030401228,5.100674329,5.131246844,5.075549638,4.91628528,5.124533938,4.910380032,4.992792808
TOM1L2,7.021842387,7.080476201,7.001813397,7.094186193,6.263648266,6.434217832,6.000717786,6.460037785,7.073506955,7.060080725,6.978443504,6.976490516
PXMP4,9.284365609,9.578731451,8.850161445,9.19168444,7.599117306,7.655816741,7.63430444,7.390207236,9.094815783,9.197352464,8.78034407,8.866077858
MPHOSPH6,7.796985184,7.68316937,7.47979488,7.136446547,6.973125286,6.767175776,6.715519531,6.464780381,6.984351568,7.268514661,6.669640455,6.949012825
MFGE8,1.117047965,0.887190406,1.051655705,1.030935125,2.077873612,2.284745869,2.040458241,2.17466709,1.273806653,1.12982028,1.087899501,1.022194756
PCP4L1,6.957535987,7.077717379,6.427991916,6.507025948,4.819490542,5.660842535,4.94071596,5.161315514,6.312192522,6.670482312,6.023371149,6.36543888
GSTM2,5.423077887,5.241346005,5.580887069,5.260664163,4.804167375,4.854594968,4.538093671,4.927090192,5.528491335,4.943916106,5.111666596,5.094722049
CHST7,0.622509557,0.529325473,0.59931358,0.533213732,1.228009271,1.5955382,1.47255806,1.598923469,0.986726563,0.898579038,0.696923751,0.853496337
ACTN1,7.015839987,6.975560799,7.205569181,7.312478915,7.398698919,7.370155877,7.55056594,7.518343087,6.755905294,6.814057416,7.155811559,7.100423902
EML1,4.205195334,4.80933774,4.20351574,4.881101869,5.842533575,5.475464052,5.7662946,5.453847497,4.796822179,4.721740389,4.851467958,4.745236542
C4orf48,1.146648383,1.101027067,1.166440787,1.082616185,1.612777563,2.146407999,1.878628475,1.935967573,0.986726563,1.105882697,1.087899501,1.481843743
SLC43A1,0.443289005,0.703050648,0.330555862,0.246483723,0.944700184,0.91921248,0.949511376,0.483970356,0.149358158,0.28221113,0.158913286,0.393728698
BCL9L,8.517849383,8.561208406,8.410101512,8.315547045,8.192525305,8.02367968,7.940793697,8.009291264,8.343452772,8.280465038,8.185013215,8.087094378
CYP27B1,0.622509557,0.887190406,0.926942372,1.180735331,1.881614048,1.750519245,2.110184745,1.415120347,0.876761632,0.720866544,1.457692954,0.989996371
