,MCF7_P1,MCF7_P2,MCF7_P3,MCF7_FasR1,MCF7_FasR2,MCF7_FasR3
BRWD3,0.678071905,0.713695815,0.782408565,1.339137385,0.757023247,0.895302621
BSCL2,5.484460413,5.437627248,5.546585829,6.254556252,7.200751509,6.427438564
BSDC1,4.985955755,4.905447179,4.867402306,4.753283616,3.703765179,4.203201156
BSG,9.35451387,9.307337443,9.404907379,9.563863591,9.212082911,9.238165863
BSN,0.189033824,0.201633861,0.163498732,0.189033824,0.084064265,0.163498732
BSN-AS1,0,0,0,0,0,0
BSN-AS2,0.137503524,0.111031312,0.201633861,0.516015147,0.286881148,0.275007047
BSND,0.014355293,0,0,0,0.028569152,0
BSPH1,0,0,0,0,0,0
BSPRY,4.517905554,4.597531174,4.663344619,5.324090516,4.690975738,5.327328083
BST1,0.084064265,0.263034406,0.070389328,0.014355293,0.056583528,0.111031312
BST2,2.976363636,2.280956314,2.286881148,5.397802962,4.417515003,4.909773104
BSX,0,0,0,0,0,0
BTAF1,3.22342255,2.998195503,2.895302621,3.617063344,2.403267722,2.82374936
BTBD1,5.049195106,5.37086174,5.185073638,4.252476214,3.617063344,4.053111336
BTBD10,4.336283388,4.618825953,4.559491813,4.271276259,3.945794957,4.260025656
BTBD11,1.803227036,2.09423607,1.510961919,0.367371066,0.070389328,0.070389328
BTBD16,0,0,0,0.014355293,0,0.084064265
BTBD17,0,0,0,0,0,0
BTBD18,0,0,0,0,0,0
BTBD19,0.124328135,0.056583528,0.056583528,0.389566812,0.214124805,0.084064265
BTBD2,5.706254254,5.871350841,6.111240021,5.658211483,4.874796966,5.701826258
BTBD3,2.765534746,3.286881148,2.875780063,2.865918815,2.3950628,2.558267634
BTBD6,6.37521324,6.532161085,6.572131751,5.144454314,4.807870078,5.239168879
BTBD7,3.590961241,4.008092421,3.87774425,3.327687364,3.097610797,3.224966365
BTBD7P1,0.555816155,0.731183242,0.545968369,0.137503524,0.042644337,0.201633861
BTBD7P2,0,0,0,0,0,0
BTBD8,0.650764559,0.604071324,0.454175893,0.411426246,0.084064265,0.189033824
BTBD9,1.883620816,1.952333566,1.839959587,1.344828497,0.871843649,1.189033824
BTBD9-AS1,0,0,0,0,0,0
BTC,1.735522177,1.807354922,1.82374936,1.531069493,0.992768431,1.137503524
BTD,4.286881148,3.775050541,3.879705766,4.54225805,3.635754391,4.165107985
