gene_id,MCF7_1,MCF7_2,MCF7_3,FulR_1,FulR_2,FulR_3
PLBD1,4.306699707,4.130107179,3.832890014,3.893362211,4.001802243,3.876762491
PLBD2,4.794935663,4.805292456,4.800123353,4.590961241,4.43496176,4.388189537
PLCB1,5.018367116,4.448900951,4.488000771,4.230356745,3.734438666,3.918386234
PLCB2,0,0,0,0.275007047,0.124328135,0.23878686
PLCB3,4.928844037,4.983221651,4.970853654,4.851499202,4.865423978,4.868390453
PLCB4,3.368768349,2.897240426,3.056583528,4.696550301,4.377123749,4.386121157
PLCD1,3.12763328,3.280956314,3.23572706,2.845991771,2.881664619,3.005399988
PLCD3,6.057883449,6.022811651,6.029232003,5.139551352,5.052241981,4.971773447
PLCD4,1.280956314,1.042644337,1.195347598,1.257010618,1.176322773,1.042644337
PLCE1,0.310340121,0.286881148,0.516015147,0.137503524,0.070389328,0.163498732
PLCE1-AS1,0,0,0,0,0,0
PLCG1,6.571525131,6.597531174,6.572283367,6.904965719,6.9202933,6.897603474
PLCG2,2.017921908,1.82374936,2.053111336,1.50589093,1.35614381,1.411426246
PLCH1,1.891419187,1.570462931,1.678071905,1.871843649,1.411426246,1.761285273
PLCH2,0.895302621,1.097610797,0.98550043,0.941106311,0.839959587,1.049630768
PLCL1,0.070389328,0.124328135,0.042644337,0.042644337,0,0.070389328
PLCL2,0,0,0,0,0,0
PLCXD1,2.622930351,2.678071905,2.797012978,2.526068812,2.462052319,2.307428525
PLCXD2,0.189033824,0.485426827,0.176322773,0.070389328,0.189033824,0.163498732
PLCXD3,2.99095486,2.304511042,2.59454855,0.443606651,0.23878686,0.310340121
PLCZ1,0,0,0,0,0,0
PLD1,1.655351829,1.516015147,1.669026766,1.169925001,0.97819563,0.86393845
PLD2,3.495695163,3.557042415,3.324810603,2.570462931,2.833902077,2.599317794
PLD3,6.884842094,7.116863758,7.03496399,7.610286657,7.671505684,7.619633096
PLD4,0,0,0,0,0.097610797,0
PLD5,0.028569152,0,0,0.056583528,0,0
PLD6,2.565597176,2.565597176,2.841973119,2.893362211,2.837943242,3.177917792
PLEC,6.039138394,5.758089934,5.962317655,5.753283616,5.373996142,5.532005194
PLEK,0.056583528,0,0.042644337,0.028569152,0.070389328,0.084064265
PLEK2,3.058316496,3.19061486,2.809414444,2.733354341,2.704871964,2.713695815
PLEKHA1,3.440952198,3.066950244,3.032100843,3.763411574,3.462052319,3.524815928
PLEKHA2,2.879705766,2.358958826,2.711494907,3.073820233,2.893362211,3.039138394
