"","MCF7_S1","MCF7_S2","MCF7_S3","MCF7_TamR1","MCF7_TamR2","MCF7_TamR3"
"LCK",3.776103988,2.788476912,1.628073654,2.132576843,2.712815854,2.676267408
"LCMT2",6.99004722,7.151676196,7.447380829,5.997879484,6.323910438,6.155445671
"LCN1",3.986683975,4.004501392,3.523561956,3.931588513,4.584902387,4.572222722
"LCN2",4.268434394,4.260402093,3.857582955,3.644087003,3.3021728,3.988412026
"LCP1",5.761763964,5.700051248,6.414845879,7.451013243,7.766687911,7.379872178
"LCP2",2.777577522,3.254140484,1.468322644,1.883620816,3.244125943,2.323658291
"LCT",3.666529378,4.110279713,4.590602019,3.581110175,4.713585849,3.53692323
"LDB1",7.166625073,7.248686627,6.795052591,6.522934561,6.489976373,6.509014866
"LDB2",1.787850334,0,1.883229789,0.704871964,0.634128558,1.499271883
"LDB3",5.834559537,5.355227746,5.682348561,5.600715769,5.692259796,5.586434501
"LDHA",10.03699091,10.21897849,10.3558488,11.01270624,11.23678737,11.04062878
"LDHAL6B",3.024851548,2.833902077,3.2880632,1.906120953,0,2.611408481
"LDHB",5.148446076,5.424048684,4.853047507,5.574131791,5.123955832,5.670613764
"LDHC",5.27026729,4.960558045,3.350355799,5.045792419,4.299098095,5.149828396
"LDLR",9.032877758,9.06036629,9.511286173,9.481577462,9.444853387,9.571659747
"LDLRAD4",3.453517579,3.7367131,4.346389625,3.598246088,4.619765131,4.238404739
"LDOC1",11.80831385,11.53924461,10.86917508,10.42203848,10.3351,10.3277042
"LECT2",4.28281044,3.334425258,2.509695842,2.615416297,3.224503394,4.027861775
"LEF1",4.115865583,4.311648424,3.809311538,4.122507073,4.49575911,4.383151297
"LEFTY1",4.026268908,3.563768278,4.623457213,4.153643226,3.665961186,4.959028219
"LEMD3",6.301569357,6.538243263,6.439074543,6.251491879,6.429180747,6.357851069
"LEP",0,1.279768422,2.017565643,1.751035177,0,1.10634832
"LEPROT",7.246598103,7.554036224,7.03178114,7.349701424,7.474492828,7.170235548
"LEPROTL1",7.367982544,7.136211898,7.211820172,7.376950171,7.306645031,7.348126168
"LETMD1",7.339030462,7.215649478,6.838573653,7.193732325,6.963497244,7.209443618
"LFNG",4.817367438,5.197747468,4.942514505,4.323946455,2.800951655,4.808642468
"LGALS1",8.313871634,8.236770033,7.624429939,5.287176752,5.765349094,5.707552399
"LGALS2",2.193771743,2.515762906,3.05154612,3.260627908,2.905543451,3.54399072
"LGALS3",11.32743812,11.3360719,10.78246017,10.43128343,10.48316581,10.50852175
"LGALS3BP",8.974431799,8.78317833,8.328347311,6.149442293,6.725154908,6.57198012
"LGALS4",4.080913438,3.930737338,3.173926932,4.659924558,4.765534746,4.846744023
"LGALS8",5.802632681,6.1468792,5.300563057,5.781123617,5.886281873,5.777787904
"LGALS9",5.427572653,4.97020945,5.550562109,5.414270864,5.320304149,5.71929298
"LGI1",0,1.896853073,0,0.915329676,2.529321225,2.753818443
"LGMN",5.734899258,6.182473811,5.489575047,5.429247712,5.220639513,5.482041542
"LGR4",4.453056581,5.280733659,4.798569004,5.775761702,5.702685245,5.174406419
"LGR5",2.25761413,2.714355433,3.274112538,2.3950628,2.851199339,2.886745225
"LHCGR",3.711494907,3.490441771,3.83622713,3.613885211,3.893265122,3.564500116
"LHFPL2",6.458660882,6.925133067,6.656768066,6.518786896,6.286012461,6.267142486
"LHFPL6",1.855591108,1.32308179,1.525066592,1.471967788,1.815165514,3.498506189
"LHPP",4.870512681,5.009795033,4.565658099,4.849548972,4.728464765,3.922863847
"LHX1",5.136683578,4.613178008,4.424586226,3.79763559,4.215911521,4.547388132
"LHX2",3.748031796,4.052502843,4.117030053,3.86393845,4.438093203,4.025206019
"LHX5",2.386810946,2.740279983,2.423847055,2.645932176,2.502075956,2.491596594
"LIAS",3.351628329,3.715344295,4.434494793,5.018322601,4.978561749,4.607034346
"LIF",4.013283587,4.141678015,3.822730148,4.375595544,4.176242975,3.639116372
"LIFR",3.756382855,3.82130204,3.499399459,3.85847839,2.858776745,3.030512652
"LIG1",6.971451586,7.132124387,7.371149344,6.780572574,6.937509181,6.748166009
"LIG3",5.202378539,5.152345693,5.272396509,5.999706923,6.018500651,5.713420885
"LIG4",2.917431755,2.854195176,4.206955732,4.662034554,3.085084679,3.567302058
"LILRA1",3.34397626,3.292045492,3.925429821,3.279768422,3.253838032,2.512226887
"LILRA2",3.651797967,4.360715425,5.045093438,4.962410207,4.432090857,4.445991491
"LILRA3",2.666529378,3.120517834,3.584481522,0.438292852,2.118691953,2.118027423
"LILRA4",3.738983955,3.626439137,4.22596896,4.410544631,4.213813846,4.616886965
"LILRA5",4.540399306,4.379413026,5.001126665,4.806014654,4.244202073,4.811368271
"LILRA6",1.938473998,3.493006791,2.889084099,3.384878704,2.374622206,2.60951859
"LILRB1",2.497995501,0.290424404,2.633663697,3.182056609,0.825378604,2.850199342
"LILRB2",3.166715445,4.271500379,4.572101426,4.396022448,0.975263322,2.344260395
"LILRB3",4.522369672,4.432692217,4.881419908,4.133974445,4.139551352,4.594070757
"LILRB4",5.181818154,5.284329047,4.931635786,3.397802962,4.706917282,4.778155999
"LILRB5",3.226354387,3.835216697,4.161484639,5.085594615,4.306699707,4.139878735
"LILRP2",2.92808602,3.313826296,3.363871925,2.236339539,3.09423607,3.436828119
"LIMA1",6.918946697,7.016161994,6.910408883,8.048187133,8.117580769,8.046158156
"LIMCH1",3.663800016,3.751249465,4.487486349,5.354452161,5.29788838,4.952286967
"LIMD1",5.532690989,5.077670274,5.607004746,5.342803612,5.369850314,5.502171453
"LIMD2",3.41196851,3.995755847,3.327256216,3.899465687,3.112866909,3.448372395
"LIMK1",4.936920562,4.975263322,4.792334806,5.623398682,4.920531506,5.117985879
"LIMK2",6.429281193,6.516913399,5.981555866,6.741035462,6.822347758,6.60364118
"LIN37",6.239512609,6.603848851,5.280733659,5.319979141,5.232353768,5.28514325
"LIN7A",6.944143947,7.026202501,6.578968895,4.522934561,4.466300829,5.087038457
"LINC00260",4.153805336,1.915329676,2.965876614,2.897627674,2.885379129,3.670840336
"LINC00302",1.46100461,2.890057511,3.970669625,3.495183478,3.228049048,2.337711092
"LINC00342",3.31802755,2.926758532,3.663572335,3.603359292,3.626672753,1.993130871
"LINC00563",3.809928866,4.080742926,3.800123353,4.164866712,4.157447996,4.029629568
"LINC00588",2.450749376,2.802193217,2.819668183,0.559736524,2.746957642,2.128293401
"LINC00597",2.088480855,3.415217825,3.351769652,3.217075579,3.194087052,3.310630957
"LINC00663",4.613590585,3.424115888,4.484395963,3.80240004,4.635173947,4.132823577
"LINC00667",3.8360251,3.954010144,3.988866432,3.841168044,3.459431619,2.750392121
"LINC00837",3.310921735,3.42344371,3.009347172,2.440952198,3.764367389,3.127468202
"LINC00894",3.989229854,4.023964991,4.328764672,5.088226419,4.909917078,4.557287542
"LINC00939",3.888597146,1.734655433,3.468974238,3.808488023,3.114700172,2.514753498
