"","MCF7_S1","MCF7_S2","MCF7_S3","MCF7_TamR1","MCF7_TamR2","MCF7_TamR3"
"43891",5.202339355,5.379274385,5.58044702,6.273180167,6.063697072,5.806504512
"43892",5.519919261,5.392901253,5.539034703,5.258255085,5.407930529,5.572647178
"43893",5.144087169,5.16711703,4.704650675,5.021835027,4.482267475,5.214824219
"43895",6.936979435,7.249805591,6.838888755,7.195633038,7.371463028,7.34283916
"43896",8.446504379,8.427727677,8.212812491,7.78640033,8.035332482,7.761923493
"43897",8.057493596,8.27428496,7.78307026,7.47999847,7.536962071,7.443275112
"A2M",1.458906907,2.074847916,2.37517848,2.02112434,2.355862006,2.213813846
"AAAS",6.738632747,6.510534742,7.044689186,6.667892125,6.421778722,6.518000009
"AACS",7.797525355,7.794233893,7.796519886,8.10283132,8.181157227,8.162089162
"AADAC",0.761285273,1.528571319,2.367650631,3.60430859,2.516267344,3.248838402
"AAGAB",7.132319783,7.152984468,7.181649224,6.784844201,6.592770957,6.473786912
"AAK1",5.7258502,5.728437554,5.662518847,5.778471434,5.591888817,5.797557778
"AAMP",7.754179339,7.379387032,7.715934543,8.947972919,8.943103779,8.815095048
"AANAT",1.981852653,2.300709472,3.277687254,3.226046053,2.56193706,3.14208663
"AAR2",6.748716151,6.718813682,6.7910717,6.880661039,6.575055116,6.630274407
"AARS",9.722527502,9.578985872,9.844953645,10.37593649,10.46586532,10.4432347
"AASDHPPT",6.521521924,6.750753875,6.699676553,7.374491799,7.605457294,7.085647723
"AASS",4.30626224,3.471447616,4.04491864,2.925429821,2.419808529,3.044568981
"AATF",7.192401321,7.321973178,7.229664823,7.861266844,7.715680629,7.682025441
"AATK",5.677790101,5.696439021,5.533033765,5.859596903,6.000495841,5.564987801
"ABAT",7.796772941,7.958529516,8.183878498,7.420558193,7.387026438,7.054935279
"ABCA1",4.047363887,4.351628329,3.50156653,4.56285296,4.68212379,4.528633826
"ABCA12",6.891650058,6.996388746,6.238614918,5.958239493,6.174546239,5.633867092
"ABCA2",6.77367991,6.775221779,6.285679634,6.525536469,6.361943774,6.290295375
"ABCA3",6.761670898,6.656667974,6.920841115,7.2696597,7.406604695,7.094573898
"ABCA4",3.756169328,3.438825113,3.86710573,1.722028778,4.58345891,3.517149688
"ABCA5",5.794753755,5.976065717,5.699329526,4.598603411,4.597054368,4.399581281
"ABCA6",2.133563526,2.905543451,3.499527024,1.977829417,1.779049553,2.39149279
"ABCA8",3.93479954,3.493006791,2.805498835,2.143066832,2.820281097,4.067638717
"ABCB1",4.478195258,4.784346932,4.395748328,4.608099546,4.457659951,4.530070742
"ABCB11",4.854344805,4.12647734,3.347098671,3.854893311,4.378095401,3.788059224
"ABCB4",4.989638595,4.684257705,3.228203009,4.662433396,4.050849922,5.160516874
"ABCB6",6.914791721,6.482993449,6.386397112,7.197472276,7.282782645,7.296540002
"ABCB7",5.273739662,5.135986257,5.125609777,5.762534855,5.768475482,5.416197951
"ABCB8",4.596815906,4.806581843,5.18737187,5.060739158,5.011271989,5.105594276
"ABCB9",6.219149155,6.226161686,5.020235488,5.519070071,5.183446814,5.352122899
"ABCC1",5.443109313,5.808848369,6.102028179,6.616872265,6.640143691,6.365570068
"ABCC10",6.399649634,6.158478413,5.97471285,6.277445495,6.530382926,6.567697546
"ABCC2",2.52656966,2.558512553,3.215057281,2.303634645,1.930926531,2.116697443
"ABCC3",4.177279996,3.414541488,4.323658291,5.69588249,5.734194764,5.564622052
"ABCC4",2.041593449,3.585323129,3.133727907,2.853396894,2.631104282,3.127303106
"ABCC5",7.185321468,7.333128509,6.461643148,8.190372876,8.027386312,8.246027981
"ABCC6",3.313245852,3.522557993,4.534123872,3.18142064,4.52869633,4.61022759
"ABCC8",4.26993081,3.134056614,3.942514505,2.44625623,3.699773705,3.946450153
"ABCC9",3.497995501,3.29130886,3.652486495,3.421963816,4.808385051,3.12763328
"ABCD1",6.983221651,6.754727194,6.393004257,6.519919261,6.575161033,6.615298579
"ABCD2",2.365972428,2.520799374,2.489286023,2.354452161,2.811881996,2.807148808
"ABCD3",8.043103861,8.565391541,8.30989921,8.235731846,8.432592008,7.980876449
"ABCD4",5.679226726,6.174725988,5.927920151,5.515542158,5.145310622,5.500961352
"ABCE1",6.744201469,6.874624855,7.886226992,8.02465766,8.343865255,8.140712204
"ABCF1",8.215343702,7.977566144,8.347129683,8.324963576,8.374335294,8.351928624
"ABCF2",6.936861687,6.910660717,7.330181902,7.812023239,7.878296196,7.705411215
"ABCF3",7.401203793,7.06521685,6.945361896,7.097473852,7.078865972,7.072952556
"ABCG1",7.468395963,7.772175989,7.021612975,6.887439974,6.850211846,6.864904218
"ABCG2",7.334192823,7.411417771,6.087080901,6.162894799,5.82901231,6.235746204
"ABCG4",3.704207995,3.707193454,3.575554373,3.632035504,4.064106815,2.969380765
"ABHD10",7.349029053,7.493070858,7.652264194,7.645680046,7.631751836,7.573806216
"ABHD2",7.021846129,6.721304297,6.679494175,6.467214258,6.598633184,6.422283467
"ABHD3",5.518314815,5.294253136,4.985682577,6.263710511,6.506160775,5.870857864
"ABHD4",7.472219678,7.496174702,7.235238804,6.85847839,6.89207525,7.162753845
"ABHD5",6.008943978,6.631584519,6.281141834,6.384101627,6.42921423,6.582721578
"ABI1",6.83586093,7.099126852,6.681674142,6.384809647,6.515715605,6.386345375
"ABI2",8.04429575,8.10048889,7.973037206,8.28167507,8.414452695,8.268953639
"ABL1",7.4289296,7.665733847,7.463810432,7.166695363,7.242364323,7.219904204
"ABL2",4.294988268,4.893847558,5.133522427,4.74130518,5.202848663,5.120766639
"ABLIM1",7.228780218,7.422367574,7.453608115,8.10048889,8.110217062,8.168280996
"ABLIM3",5.082532289,5.241268177,4.8401107,5.208478242,5.414778242,5.72957996
"ABO",4.202887833,3.117030053,3.945420425,3.72049737,3.955219795,3.894623774
"ABR",6.797402142,6.444252935,6.657525683,6.750432321,6.324288576,6.420802382
"ABRAXAS2",6.821455119,7.503929068,7.397092732,7.505454309,6.946777639,7.212160751
"ABT1",6.593428474,6.66214852,6.585097747,6.685954161,6.710916611,6.773640353
"ABTB2",6.308430049,6.494319598,6.429532279,6.280102615,6.489799803,6.545458766
"ACAA1",8.401481145,8.317656811,8.078134793,9.075562045,8.924943112,9.042069727
"ACAA2",7.032211069,7.207141252,7.190486466,7.629232747,7.761564529,7.77939106
"ACACA",6.668870805,6.763544364,6.931021119,7.856095554,8.152771575,7.789364098
"ACACB",6.864569987,6.72376332,7.299720885,4.75579558,4.318606075,4.628948527
"ACADL",4.70978689,4.513174885,4.75947545,4.12713799,4.674630131,4.38294387
"ACADM",6.15548615,6.164967247,5.987661942,6.466724993,6.67468662,6.255085238
"ACADS",4.811059948,4.438093203,5.0721058,3.786073552,4.376846014,4.634477105
"ACADSB",4.821761229,4.803330378,4.730368236,4.957496769,4.797116765,4.769295698
"ACADVL",8.746769583,8.571464455,8.594578406,8.302757716,7.828491956,8.065066022
"ACAN",5.894793516,5.580326413,5.503952912,5.131877534,5.284440101,5.896514054
"ACAP1",4.990001823,5.611556025,5.883571944,5.285772093,6.074162876,5.795221471
"ACAP2",5.55197736,5.674771349,5.185232254,5.691506249,5.818492705,5.402790381
"ACAT1",6.996298349,7.202711559,7.121564598,8.008932777,7.973605536,7.779180911
"ACAT2",7.394488419,7.536324935,7.901940884,7.81393507,7.822666423,8.158417821
"ACBD3",5.845991771,6.194875023,6.011719254,6.192904289,6.405839235,6.032012656
"ACD",6.890507493,7.031306966,7.162834392,7.180018532,6.911907251,7.189172234
"ACE",2.511721033,3.682011391,2.559491813,3.158013807,0,1.793271654
"ACHE",4.212258044,4.350992205,5.14722528,4.887866408,4.515195201,4.819821436
"ACIN1",7.631373525,7.617562968,7.79886705,7.292303225,7.238385631,7.371323621
"ACKR1",0.947105052,0,0,0,0,0.789103218
"ACKR2",3.788268083,4.25451846,3.499144296,2.292192774,3.202887833,3.147795113
"ACKR3",7.700398101,7.886940276,7.335854801,7.382226285,7.396613343,7.127932435
"ACLY",10.16241902,10.15124745,10.63920774,11.23106934,11.27472932,11.31233277
"ACO1",6.458464033,6.365780009,6.506605116,7.23610989,7.122517426,6.935176839
"ACO2",8.464884688,8.423275617,7.995150942,8.239989877,7.92011462,8.237759682
"ACOT11",5.931423046,5.350461886,5.485136971,5.641025733,5.229164896,5.438825113
"ACOT13",7.184805933,7.32400048,7.241678138,7.388198149,7.202309966,7.325269472
"ACOT7",7.143679121,7.29421637,7.006084791,7.062941977,7.177947682,6.929767331
"ACOT8",6.698635221,6.358572087,5.6742629,6.648048336,6.597233189,6.117383367
"ACOX1",6.218587452,6.424603021,5.271836493,6.602052987,6.480168163,6.464161797
"ACOX2",2.621758857,3.283773644,3.133563526,1.518535139,1.23511432,1.787014474
"ACOX3",5.671916066,5.484041433,5.431990606,6.367737984,6.292045492,5.840815682
"ACP1",8.793330187,8.883012845,8.824777398,8.707807747,8.796497174,8.73287291
"ACP2",7.416603326,7.42387226,7.030159483,7.24913242,7.268752512,7.310221951
"ACP5",1.847996907,3.629939409,1.567058626,3.36232961,3.381144911,2.050327554
"ACP6",6.943018774,7.164192943,7.252561365,7.392429056,7.105856141,7.206135253
"ACPP",4.266786541,3.791293149,4.599496334,3.457331625,3.556306784,5.143026004
"ACR",2.486714373,0.250961574,2.079634112,0,1.959399235,0.879705766
"ACRV1",6.342892482,6.280325368,6.226142415,6.156598865,6.422922557,6.404835017
"ACSBG1",2.220949004,4.556429415,3.248686627,4.478065793,4.398623997,4.383911611
"ACSF2",4.549237899,4.03157164,5.959538341,4.188559176,4.220716892,5.440055217
"ACSL1",4.689299161,4.817930181,4.649098065,7.187599513,7.096356742,6.983073405
"ACSL3",8.54226192,8.6301142,7.900661556,7.347204997,7.282560272,7.365771262
"ACSL4",1.277389699,2.442014566,2.993493221,3.234654595,2.856786546,2.626906331
"ACSL5",4.330486694,4.371349761,3.635522241,4.186025075,3.929506975,4.659639187
"ACSL6",5.593652558,4.473267396,5.358220416,4.991317757,5.393313226,5.198886991
"ACSM1",0.175045486,1.21350282,0.773996325,3.158175426,2.968090752,1.469365054
"ACSM3",2.854594152,3.260627908,2.457068911,2.944671071,4.11727946,3.018812186
"ACTA1",3.835317772,2.767654798,5.451936399,4.352193538,4.157771344,4.463491677
"ACTA2",7.940201995,7.706758459,7.739024473,9.487520516,9.82844118,9.886528809
"ACTB",13.57628073,13.55987762,13.52321545,13.4453249,13.51817291,13.47673924
"ACTC1",3.210700563,2.807973087,3.091361332,2.744376407,3.803743669,1.492622329
"ACTG2",8.703429517,7.879135975,7.410162996,9.240946324,9.35270998,9.421936474
"ACTL6A",7.687655621,7.904195048,8.089376325,8.011959601,8.134949908,8.03265189
"ACTL6B",3.546832739,3.049979203,3.247471854,3.358677571,2.920674411,2.804260116
"ACTL8",4.394445545,2.029276182,4.263710511,3.597531174,3.943264981,3.931588513
"ACTN1",8.787605503,8.667597682,8.209453366,8.634132189,8.704750951,8.540829353
"ACTN2",4.309467259,4.093898163,3.52869633,4.038172764,4.674912553,4.392180017
"ACTN3",4.297558281,3.654206378,4.267910281,4.653404021,4.796909183,4.491724851
"ACTN4",9.475686826,9.220600822,9.331951484,9.383479664,9.282479189,9.366024901
"ACTR1A",8.089265084,8.061279376,7.827126721,7.451450167,7.565993132,7.309858293
"ACTR1B",8.110295375,8.149599795,7.94099477,7.617379303,7.332985348,7.370242762
"ACTR2",9.596269904,9.703524687,9.368750891,9.529596484,9.686649341,9.480822507
"ACTR3",10.03561979,10.02038969,9.705751599,9.915988398,10.07211786,9.92796162
"ACTR3B",5.270416811,4.079719436,5.095797862,5.85127431,5.022545365,5.362750405
"ACTR6",5.721427347,5.776762002,5.741143355,6.21912979,6.278356528,6.301477904
"ACTR8",4.683920981,4.160194142,4.551885103,4.229664823,3.762667726,4.93593114
"ACVR1",5.801339758,6.405890279,5.446024586,6.078503097,5.979590964,5.771146087
"ACVR1B",7.580801243,7.697627886,7.429682909,7.418864577,7.565787553,7.252599209
"ACVR2A",6.974104793,6.63028897,6.680647858,6.72903607,6.467051188,6.582254908
"ACVR2B-AS1",5.816471712,6.430803774,6.052068047,6.36339889,5.993719643,6.334192823
"ACVRL1",4.222340896,4.236339539,3.783456654,3.841570637,4.467801156,4.733571271
"ACYP1",3.581471768,3.403131355,4.226354387,4.011763972,3.692761943,4.466105019
"ACYP2",6.149665839,6.509521669,5.62377909,5.570948605,5.289539405,5.296897858
"ADA",3.595503661,4.18657979,3.319328904,4.163740235,4.184042206,4.265436896
"ADAM10",7.368174669,7.554082285,7.372377551,6.53895713,6.483041834,6.369937534
"ADAM11",0,0,1.837135914,0,0,0
"ADAM12",4.873468721,4.755528558,5.700411974,5.616475329,5.25190841,5.449792451
"ADAM15",6.174905714,5.551392968,6.289299625,6.694364853,6.815242382,6.859149602
"ADAM17",6.985010796,6.762747442,6.952123857,6.742127509,6.730830129,6.720223734
"ADAM18",3.906409617,3.495183478,3.830762369,2.987138926,3.835823042,3.985044962
"ADAM19",4.175285063,3.87892148,4.329482431,3.966245873,4.06720846,4.423981478
"ADAM2",3.748675904,3.146329373,2.702214251,2.925809578,1.724650272,3.459038103
"ADAM20",5.393759397,5.080487122,5.775630032,5.17596365,4.988321127,5.353464448
"ADAM21",2.288949105,2.95214716,4.225352061,4.251870549,3.390530122,3.054153872
"ADAM22",4.678860663,4.23809897,4.546832739,3.996659904,4.553421946,4.356214253
"ADAM23",3.761498045,3.350921507,3.603834019,2.463360886,3.241840184,2.078951341
"ADAM28",4.802710219,3.437360921,3.412510571,4.596040633,3.284958244,3.609045731
"ADAM3A",4.419471474,3.514501036,4.462510452,4.580748492,4.631628168,3.409662477
"ADAM5",3.810854362,3.8667102,3.888791947,4.514879713,4.3305584,4.064106815
"ADAM7",4.460283868,4.750606505,4.243288252,4.142821844,4.110279713,4.646335494
"ADAM8",3.691534165,3.711825257,2.817009214,4.362119167,3.270229907,3.67457364
"ADAM9",5.532940288,5.77478706,5.137380562,6.386897147,6.388206761,5.926568791
"ADAMDEC1",3.887622747,3.893362211,3.573010898,3.920388587,3.612352499,4.348232419
"ADAMTS2",3.768501947,4.199044096,3.734547054,4.97480461,3.577610098,3.590362488
"ADAMTS3",3.18142064,3.389566812,1.041242982,2.817009214,1.712815854,1.086104371
"ADAMTSL2",0,0,2.213813846,0,0,0.361768359
"ADAMTSL3",4.861756906,5.118276657,4.913511776,4.193377511,4.504366151,4.669083474
"ADAR",8.978015396,8.868853414,8.834148659,8.785063338,8.686066253,8.543205861
"ADARB1",4.963150406,5.104672131,5.06307145,4.791657814,4.538972645,4.827412574
"ADCY1",5.144984469,4.998105219,5.114033801,4.908236483,4.945794957,4.707193454
"ADCY10",5.429013321,4.812087435,5.099000575,5.594279811,5.027684877,5.64096791
"ADCY2",4.594787387,4.091615216,4.728355919,4.581049901,4.505065208,4.368768349
"ADCY3",7.81010887,6.947549278,7.341496585,7.268621531,7.55583149,7.945361896
"ADCY6",7.782742726,7.384939125,7.001363153,7.37393526,7.191651474,7.029088411
"ADCY7",3.197079053,1.481298942,2.516267344,2.824767853,3.152670186,2.553851968
"ADCY8",3.241382597,3.302611509,2.578214165,3.511847513,3.885867169,4.702879139
"ADCY9",5.655523568,6.260496187,6.519321735,5.767469418,5.931990282,5.562395082
"ADCYAP1",1.445726703,2.266636643,2.380452407,2.780730036,3.018990175,1.945233123
"ADCYAP1R1",3.42693562,1.353323291,1.830660974,3.474825382,2.280956314,2.297191417
"ADD1",8.008983183,8.105353318,7.912799539,8.300457813,8.080886797,8.042742819
"ADD2",5.839858837,5.790876275,5.406638706,5.740010073,5.678071905,5.898159972
"ADD3",4.690696444,5.45206823,5.348090749,5.425627144,5.228395438,5.063373508
"ADD3-AS1",3.277092083,4.404698799,2.457331625,2.037382222,3.900432123,3.695548468
"ADGRA3",4.849599011,5.048933645,5.291272018,5.946075792,5.911020405,5.65197013
"ADGRB1",2.893556369,2.52431447,2.846794159,2.824767853,3.015961361,2.72377697
"ADGRB2",5.418830853,5.806581843,5.471317544,5.817853456,5.758089934,5.462543171
"ADGRB3",3.193771743,3.613531653,3.842174318,3.862253001,3.94373383,4.139142019
"ADGRD2",4.397666077,3.831877241,4.810031728,3.3652726,2.858776745,4.796390097
"ADGRE1",4.264911693,3.842375488,3.925714648,5.124204045,4.496654083,4.58165253
"ADGRE2",2.150559677,1.520547968,1.982217846,2.465190888,1.947853143,2.123003954
"ADGRE3",2.230203013,3.052589786,3.718087584,3.15704371,3.384326159,4.197157706
"ADGRE5",6.635115889,6.796325198,6.62411552,6.734411568,6.885903765,6.767535628
"ADGRF5",3.683471893,3.496717988,3.56303607,3.619178216,4.376984888,4.26092894
"ADGRG1",8.467854129,8.283569943,7.506002049,8.760390626,8.883095349,8.694998556
"ADGRG2",3.410612466,2.966799585,3.776946192,4.182771739,3.4668881,4.221103725
"ADGRG6",6.40135741,6.658868402,6.33614054,7.097136702,7.212374788,6.561967599
"ADGRL1",7.265183697,7.555179622,7.114356613,7.100820002,7.276384998,6.774062236
"ADGRL2",5.057796824,4.435228531,4.437760394,5.188282225,4.609932216,4.811625156
"ADGRL3",2.34596403,1.280956314,2.883425316,2.565597176,3.456149035,2.421425296
"ADGRV1",3.402039955,2.538538164,3.692985063,3.191878443,3.671746267,2.968090752
"ADH1A",3.279025492,2.445991491,2.717649008,3.345254427,2.559491813,3.333853043
"ADH1B",2.922007507,2.786805433,3.832383717,2.906698223,2.373509016,3.387224662
"ADH1C",3.547203025,2.199436784,2.961067626,3.524439851,2.60430859,1.868291669
"ADH5",8.681639007,8.837549095,8.431334626,8.323023226,8.263020317,8.296342685
"ADH6",3.453649266,1.404358195,3.38294387,2.529321225,1.897240426,3.580266106
"ADH7",4.140615076,4.134056614,3.109527722,4.309831015,4.164142649,3.227124934
"ADI1",7.005983775,7.306006989,7.243507241,7.759015979,7.85668074,7.715536495
"ADIPOQ",2.092207438,2.281549893,2.573132118,2.428142391,1.632268215,2.792230674
"ADIPOR1",9.297562866,9.602773085,9.109107167,9.508499961,9.635224745,9.51649783
"ADIPOR2",8.129849679,8.260905424,8.501279899,9.016877914,8.894084106,8.786746635
"ADIRF",7.575115641,7.443648089,6.686500527,7.682952461,7.712919003,7.476810997
"ADK",9.215608227,9.297445939,9.176624466,8.784454906,8.915302783,8.931895759
"ADM",3.473916761,4.185787274,4.112116265,3.591679417,2.809208624,3.392180017
"ADNP",8.99965901,8.964467946,8.663636374,8.214761091,8.403463727,8.149162811
"ADNP2",6.874440428,7.029353493,6.944307962,6.628963104,6.720565772,6.614606791
"ADO",7.768224031,7.659439393,8.150381969,7.796552332,7.823016874,7.658090063
"ADORA1",4.909341095,2.833902077,4.59490679,4.060652704,3.664824132,5.08763256
"ADORA2B",4.057796824,4.767601835,5.077841149,4.85224859,4.987366347,5.176761579
"ADORA3",5.076345309,5.240199825,4.051285085,5.198415573,5.493583292,5.236148167
"ADPRH",4.423174752,4.681674142,3.428812384,4.027861775,3.497356886,3.685267407
"ADRA1A",5.147550927,3.23924527,4.638189712,4.211790976,3.050849922,3.070045788
"ADRA1B",2.177917792,1.109694865,0.515005916,1.079292767,3.292487292,2.76532257
"ADRA1D",3.840966704,3.865225996,4.050762874,4.18030702,4.094827217,3.985227167
"ADRA2A",3.314551524,2.833902077,4.260703172,4.423040253,4.712485731,4.240695944
"ADRA2B",4.104588271,3.008630305,3.46727948,4.152345693,3.704650675,4.350709393
"ADRA2C",8.075810704,8.197378895,8.101812883,7.639557775,7.579828805,7.924224619
"ADRB1",2.158013807,3.006118461,2.485426827,0.829443681,2.088820033,1.390667686
"ADRB2",4.673895576,4.250431073,3.635406153,5.177279996,4.20820509,4.848848246
"ADRB3",2.994579724,2.447050155,3.618473603,4.056323404,2.974529312,2.248838402
"ADRM1",10.33391676,10.37630124,10.50526076,10.0821171,10.09874009,10.11921739
"ADSL",7.784150595,7.807754184,8.206555319,8.489201713,8.358884123,8.422527364
"ADTRP",5.770274057,5.730938788,5.8623522,6.182116217,5.906096895,5.994195015
"AEBP1",4.150803354,3.086444109,3.303050085,3.120020096,3.845188935,2.952519949
"AFAP1",1.871055075,3.006118461,1.721591399,1.979659552,2.39835037,2.47612242
"AFDN",4.096514876,4.567545448,3.961345504,4.123500664,4.126725119,4.373926563
"AFDN-DT",1.085424656,2.493647334,2.551392968,2.488000771,0.929033479,3.036854953
"AFF1",5.065873847,5.392660881,4.816702094,6.05278539,6.039971827,5.530445355
"AFF2",4.12631213,2.992587176,4.150397202,3.490185018,3.298804923,3.598365205
"AFF3",2.290719283,3.009167989,3.606086841,3.800848143,2.162210036,3.20116334
"AFG3L2",7.614783449,7.739834604,7.731319031,7.731549844,7.795331882,7.722991911
"AFM",1.756169328,3.632035504,3.030512652,4.027507957,2.937909306,3.423712619
"AFP",3.562059213,3.785445929,3.347098671,3.112366523,3.198022608,3.139142019
"AFTPH",8.12513963,8.449037188,7.777610396,7.825919157,8.018216873,7.779981938
"AGA",6.726299915,6.82498419,6.251794823,6.459349645,6.339743133,6.464341533
"AGAP1",7.031317995,7.406468643,6.831801255,7.248506374,7.464153627,7.006634643
"AGAP2",5.585142826,5.85127431,4.642586059,4.737957106,4.152913507,4.620410461
"AGBL5",5.365587564,5.559644763,5.540616283,5.09017595,5.328764672,5.274895264
"AGER",3.750177706,3.357129691,1.870660627,2.632966125,3.522934561,3.219865493
"AGFG1",7.308056835,7.646609109,7.509561256,8.088311236,8.180898738,8.157988552
"AGFG2",5.661863588,6.035183997,5.309612772,5.460152786,5.643654198,5.326393532
"AGGF1",6.369414135,7.203073877,6.318750669,6.42683501,6.224657734,6.125692425
"AGK",6.513553909,6.625285103,6.196489018,6.432308044,6.620395798,6.280640875
"AGL",6.904134822,6.815805955,6.763411574,7.691729563,7.731631298,7.431940478
"AGO1",5.591858905,6.273478591,5.90768386,6.314841513,6.235478166,5.917073663
"AGPAT1",8.092223298,7.805834139,7.749051501,8.110290155,8.033434014,8.105835194
"AGPAT2",9.241825886,9.263299721,8.796367383,9.037711667,8.968116679,8.896768326
"AGPAT5",6.563600513,7.027729104,7.433935901,7.340820379,7.576257579,7.532083141
"AGPS",4.410815954,4.037909298,4.580386718,3.93319492,3.66368618,2.744591687
"AGR2",8.28857543,8.552742095,8.992241597,10.94371186,11.21377133,10.76802631
"AGRN",9.207805023,9.178859023,8.433076288,8.630642086,8.613586902,8.605675815
"AGRP",4.183724694,4.720387922,3.611998564,5.117778145,4.551085298,4.463295486
"AGT",3.00270252,3.847295426,3.949534933,4.678409997,3.886550147,3.351062899
"AGTPBP1",4.857433662,4.338567037,4.361136691,5.735603408,5.534279535,5.770881891
"AGTR1",5.89956236,5.673556424,5.83311779,6.075810704,5.7258502,5.791162889
"AGTR2",5.708049252,5.341380941,5.295135249,4.604664415,4.519667701,5.030468511
"AGXT",3.741143355,3.941575862,3.48864354,4.114700172,3.437893526,3.95930649
"AHCTF1",5.254253887,5.112575038,4.736875423,5.467214258,5.515226746,5.033555151
"AHCY",8.875604998,9.055537325,8.730758817,9.504973873,9.576265139,9.493046833
"AHCYL1",9.869425737,10.36711002,9.623961942,9.82972432,10.26751824,9.60882772
"AHCYL2",5.43005105,5.713008392,5.605938737,5.82558213,5.735792928,5.736631932
"AHDC1",3.802193217,4.520233649,3.325818122,4.290203205,4.260477369,3.718416428
"AHNAK",5.981578698,6.026379581,5.665790685,7.369841591,7.875122691,6.865807491
"AHNAK2",3.787641414,3.3950628,3.30932173,4.302684614,4.252249119,3.059874388
"AHR",5.371628556,5.111406965,4.880685525,4.959074601,5.52177316,5.041155352
"AHSA1",8.758722907,8.777238874,9.135185974,9.910569282,9.868084817,9.900930189
"AHSG",3.95893545,4.449561375,4.58394023,4.19519009,4.415285441,3.744053428
"AIF1",4.550777563,4.117030053,5.064279304,4.7083528,4.428611418,5.124493572
"AIFM1",8.441699257,8.469499372,8.13167179,8.795221471,8.731207006,8.787497765
"AIM2",3.62058641,3.414000189,4.00270252,2.327687364,2.960882345,3.470016178
"AIMP1",7.99614014,7.929145948,8.321770291,8.159861248,8.217245259,8.25966795
"AIMP2",8.328118384,8.306868279,8.956042128,8.8825972,8.895532872,8.826977419
"AIP",7.713262776,7.949546605,7.831832916,7.446562274,7.373943958,7.499008722
"AIRE",3.928844037,3.33614054,3.010063683,3.733137378,4.514690387,2.476900083
"AJAP1",3.625153573,3.493263042,3.08219163,3.547573216,3.184121573,4.553053253
"AK1",8.140824659,8.339213117,7.605086844,6.735061784,7.017866247,6.831332582
"AK2",8.978138415,9.020488311,9.208139232,9.240779409,9.436492935,9.478504714
"AK4",7.903960153,8.090620582,8.180734672,9.530269767,9.601620384,9.193419403
"AK6",6.528352523,6.258330473,6.836290258,7.133090824,6.845439869,7.075393575
"AKAP1",8.651342354,8.878765184,9.872097687,9.678739209,9.643470217,9.527527832
"AKAP10",7.642679914,7.894247847,7.125434136,6.938285792,6.633678226,6.693723902
"AKAP11",6.202006248,6.424115888,5.872336288,6.524471195,6.888670199,6.664710377
"AKAP12",6.082085157,6.205861657,5.134878054,1.360645202,2.555570778,2.717210299
"AKAP13",7.375786658,7.056052391,6.620249156,7.109538169,7.35948603,7.144025969
"AKAP17A",6.446735945,6.27351589,6.397666077,6.838687097,6.340508861,6.777682717
"AKAP3",2.535306486,4.403131355,2.771251752,3.25716152,3.653977179,3.097273679
"AKAP4",4.158983251,3.049282249,0.923719679,3.646162657,3.828631582,4.416704652
"AKAP5",3.4516727,2.890641244,2.976363636,3.697996166,1.879313676,0.807354922
"AKAP6",4.298951516,3.510961919,4.275603079,3.559858864,3.452463652,3.586884813
"AKAP7",7.190634612,6.944296247,6.920150358,6.909509114,6.635812423,6.723845215
"AKAP8",6.956683977,6.999695649,7.098379552,7.086741313,7.086210548,6.765707117
"AKAP8L",6.767072094,6.501152489,6.702061838,6.592995144,6.356566413,6.464259838
"AKAP9",6.990682628,6.658311468,6.406128457,5.829798831,6.088035562,5.930311561
"AKIRIN1",7.562791918,7.591260525,7.461798647,7.937962255,7.923487941,7.761930139
"AKIRIN2",3.126146902,1.814755483,2.620820976,3.538165647,2.476900083,3.622696128
"AKR1A1",8.185544479,8.178664851,7.980173859,8.27500239,8.103471412,8.115745964
"AKR1B1",5.105594276,5.008540672,5.095966603,5.427673211,5.004591277,4.855790416
"AKR1B10",2.560959458,3.715893371,2.932250191,3.24610401,2.913033,3.511847513
"AKR1C1",4.819566006,5.025781848,4.393210243,5.223847264,5.101818134,5.050588762
"AKR1C2",3.848798181,3.781779346,4.034391815,4.237946061,3.534933133,2.453122447
"AKR1C3",2.616357697,3.539531071,3.479101189,3.675815931,4.212024529,3.602052987
"AKR1C4",4.004501392,3.502330602,2.080657663,2.80240004,2.48362233,3.78209399
"AKR1D1",2.874796966,2.260025656,3.266186855,2.432959407,1.555325359,3.548066655
"AKR7A2",8.717340555,8.740290103,8.282838233,8.44242934,8.434315471,8.351672494
"AKR7A3",7.911344047,7.792991965,7.469755763,7.722206425,7.430419097,7.420819221
"AKT1",10.51460755,10.48571864,10.13422351,10.29851284,10.04826616,10.22778198
"AKT2",5.71929298,5.915831587,6.153156788,5.08031656,5.779679964,5.88754964
"AKT3",6.177060688,5.748380723,5.60928218,5.810031728,5.562211891,5.632442725
"AKTIP",7.220184827,7.295300585,6.977234123,7.045191753,7.3061802,7.128138712
"ALAD",7.639210453,7.123842054,7.142607445,6.9058202,7.050196932,7.298282565
"ALAS1",5.512163664,6.065658471,5.860093742,5.302648062,5.34862194,5.133727907
"ALAS2",0,0.515005916,1.28036249,0,0,0
"ALB",4.063934306,4.112283109,4.017298387,3.698107326,4.202339355,4.257538705
"ALCAM",5.183526214,4.94181058,3.911691582,9.970556033,10.07880061,9.901823257
