,hugo,MCF7_WT_veh_1-quant.sf,MCF7_WT_veh_2-quant.sf,MCF7_WT_veh_3-quant.sf,MCF7_WT_E2_1-quant.sf,MCF7_WT_E2_2-quant.sf,MCF7_WT_E2_3-quant.sf,MCF7_S_veh_1-quant.sf,MCF7_S_veh_2-quant.sf,MCF7_S_veh_3-quant.sf,MCF7_S_E2_1-quant.sf,MCF7_S_E2_2-quant.sf
ENSG00000005238,FAM214B,3.202151978,3.298773213,3.346814243,2.681683586,2.795472146,2.691610541,2.905647149,3.087143054,3.028278339,2.540051306,2.515529497
ENSG00000005243,COPZ2,1.822198853,1.652284102,1.92715501,1.666976501,1.811879942,2.191405992,1.375854619,1.717671028,1.441216801,1.611901807,1.177780052
ENSG00000005249,PRKAR2B,4.667279048,4.716047074,4.66063774,4.453313441,4.511379481,4.440899059,3.179313582,3.105316018,3.226328182,3.0956156,3.00843669
ENSG00000005302,MSL3,4.089980099,3.966872013,4.036874729,4.102661273,4.101223877,4.15566387,4.149720866,4.005046997,4.302775186,4.196476821,4.158129124
ENSG00000005339,CREBBP,5.131631321,5.160548623,5.189636724,5.105348305,5.111974062,5.094358364,4.898549005,4.76904955,4.933544454,4.820383438,4.815796371
ENSG00000005436,GCFC2,3.423360204,3.169650382,3.381480795,3.533569453,3.560578626,3.181593334,3.206933859,3.347522513,3.524730818,3.574217186,3.713466417
ENSG00000005448,WDR54,5.005802602,5.184586894,4.993175627,5.242747149,5.06283735,5.129963767,5.673016613,5.596773933,5.616618768,5.631481325,5.630938899
ENSG00000005469,CROT,5.385522083,5.349575962,5.339479949,5.473387583,5.554140073,5.490556557,5.413520836,5.501170167,5.400206078,5.628212795,5.701164684
ENSG00000005483,KMT2E,4.844528195,4.953220253,4.943851862,4.920745477,4.824726211,4.815105247,4.945387134,4.849839524,4.907899312,4.809846313,4.921902618
ENSG00000005486,RHBDD2,6.816461433,6.792933496,6.88522513,6.689585155,6.645529294,6.698538131,6.729891408,6.636610266,6.644250194,6.561721891,6.580933866
ENSG00000005700,IBTK,4.342985993,4.34626818,4.327082211,4.482504434,4.535415947,4.418748828,4.482393834,4.52099255,4.409927315,4.644229886,4.767839699
ENSG00000005801,ZNF195,4.451573808,4.501315161,4.544138457,4.701600288,4.658705914,4.43002602,4.25286836,4.122797529,4.112794947,4.478934871,4.384306353
ENSG00000005810,MYCBP2,4.161141016,4.008774645,3.955540975,4.073146621,4.091181567,4.179810616,3.674264316,3.686667905,3.809890363,3.965870874,3.91709417
ENSG00000005812,FBXL3,4.572048963,4.658237765,4.532535404,4.522000994,4.390164209,4.473330787,4.525046227,4.329933288,4.373697344,4.274849281,4.422513774
ENSG00000005882,PDK2,4.161741713,3.808782529,3.79266246,4.085549748,4.261258197,3.921110378,4.436495551,4.539469841,4.668872904,4.544461337,4.520416654
ENSG00000005884,ITGA3,7.05641584,7.010996294,7.130285167,6.759669463,6.760200464,6.750887527,5.865867359,5.824736812,5.857454365,5.823293762,5.712463362
ENSG00000005889,ZFX,3.880574846,3.686168249,3.620767147,3.712743212,3.691425289,3.664551337,3.525403918,3.885960756,3.752941894,3.637274838,3.557129648
ENSG00000005893,LAMP2,7.059351167,7.139016331,7.117656191,7.083344545,7.054899691,7.048360881,7.338236043,7.29731075,7.229993047,7.22924505,7.306899076
ENSG00000006007,GDE1,6.374526366,6.288868731,6.297314877,6.374465152,6.371475661,6.311323548,6.514658368,6.529189959,6.532470339,6.432737426,6.48670168
ENSG00000006015,C19orf60,5.100828747,5.265031794,5.052126709,5.215942885,5.132699952,5.171513576,5.387035919,5.497472751,5.301746941,5.483990309,5.483174498
ENSG00000006016,CRLF1,3.835124511,3.874089705,4.193542471,3.739936433,3.772342817,4.052658468,3.430542874,2.96236097,3.243955703,2.970461828,3.301590573
ENSG00000006025,OSBPL7,3.550437993,3.825081058,3.864648625,3.7135445,3.685807789,3.816017207,2.949483369,2.738241692,2.992019503,2.514675417,2.798011309
ENSG00000006047,YBX2,3.100922663,2.822599841,3.1166532,2.92126741,2.809067415,2.76118909,3.231773841,3.433873359,3.126623865,3.249186513,3.382162014
ENSG00000006062,MAP3K14,5.362059325,5.295950429,5.420495236,4.564382864,4.639320447,4.695545517,3.924943017,3.807701045,3.923239001,3.574741918,3.664468504
ENSG00000006071,ABCC8,1.910510485,1.577982765,2.120967642,1.843494249,1.793870586,1.889865217,1.37163567,1.610788013,1.664678979,1.206688292,1.400611538
ENSG00000006118,TMEM132A,8.059081047,8.031566232,8.093850015,7.880203077,7.85287534,7.860327321,7.32586919,7.318154972,7.338975304,7.237870671,7.23994923
ENSG00000006125,AP2B1,6.345935805,6.338825434,6.321563978,6.327569461,6.402555642,6.301079763,6.125367469,6.145590585,6.098881443,6.164257859,6.083219928
ENSG00000006194,ZNF263,4.816810669,4.756309405,4.937424294,4.877849847,4.839281906,4.844012828,4.566642812,4.339769067,4.465352144,4.22295383,4.275162114
ENSG00000006282,SPATA20,5.646578366,5.689868689,5.649295832,5.630618674,5.603805065,5.655873137,5.234486031,5.236105645,5.20043497,5.164901055,5.210316892
ENSG00000006327,TNFRSF12A,8.685580481,8.769684741,8.679481503,8.300140124,8.363434399,8.362168799,8.042016414,8.143909672,8.087390073,8.025472867,7.961298529
ENSG00000006432,MAP3K9,3.982111311,4.001867892,4.128725452,3.823166969,3.821481141,3.780462131,3.456201352,3.500315253,3.520705605,3.335325463,3.337830784
ENSG00000006451,RALA,4.649514754,4.58093899,4.558624773,4.526215315,4.358156051,4.714120369,4.716287313,4.439390293,4.706155049,4.479539016,4.620220236
ENSG00000006453,BAIAP2L1,5.164927315,5.191512789,5.139501461,4.708062664,4.846435697,4.919350953,4.996708165,4.988732897,4.983687544,4.867345121,4.871753773
ENSG00000006459,KDM7A,2.500085626,2.642733683,2.684028741,2.299766888,2.401202291,2.308468639,2.64051057,2.57867188,2.412459084,2.610395335,2.60464378
ENSG00000006530,AGK,4.176762456,4.210979865,4.165668485,4.324203738,4.29638193,4.289235696,4.60807121,4.382866768,4.375967964,4.415570882,4.586102933
ENSG00000006534,ALDH3B1,2.629241433,2.717330738,2.854813741,2.513990221,2.7525463,2.690080688,3.115137195,2.965700814,2.956128042,2.718910475,2.872351262
ENSG00000006576,PHTF2,4.973460042,5.077244768,4.952580539,4.884300472,4.825166499,4.84940425,5.157062552,5.060886117,5.049940269,4.885351012,5.092347336
ENSG00000006607,FARP2,4.985509629,4.844328402,5.013576711,4.923347644,4.687609206,4.827681454,5.054136546,5.031663074,5.010457152,5.021749239,5.16838906
ENSG00000006625,GGCT,6.877331686,6.942387543,6.876695903,7.18883813,7.223543471,7.205878758,7.530892187,7.554528487,7.545002023,7.637576732,7.669614208
ENSG00000006634,DBF4,4.254673023,4.50380895,4.367460812,4.729903205,4.779331118,4.707466812,5.494456883,5.49413863,5.513552173,5.638754959,5.671644067
ENSG00000006652,IFRD1,5.222124,5.214646755,5.187840763,5.284132377,5.31289556,5.250337382,4.991082433,4.844145676,4.864051751,4.913184109,4.994444329
ENSG00000006695,COX10,3.648331061,3.849373422,3.707991846,3.768026546,3.918449208,3.951700431,3.66601256,3.868746109,3.837524699,3.80326114,3.675919896
ENSG00000006704,GTF2IRD1,4.734674887,4.873464144,4.778768143,4.456258268,4.368699774,4.398589317,4.956713338,4.997946982,4.915085254,4.875705854,4.90677128
ENSG00000006712,PAF1,5.798382265,5.742221224,5.746283982,5.789569571,5.721239735,5.701667484,6.06726653,6.028022646,6.022989569,6.028412144,6.00686359
ENSG00000006715,VPS41,4.340766696,4.348566068,4.128225422,4.245199457,4.28673081,4.225235669,4.335051429,4.393469813,4.332515108,4.20216317,4.3062847
ENSG00000006740,ARHGAP44,3.268185089,3.135627785,3.042256841,3.135560808,3.194283092,3.014134051,2.907098463,2.813558407,2.812176196,2.7938549,2.843457017
ENSG00000006744,ELAC2,5.598229932,5.545147294,5.589125307,5.782927674,5.852185187,5.760371322,5.730044905,5.696273258,5.726495021,5.814456663,5.852640189
ENSG00000006747,SCIN,5.74523209,5.797496848,5.784436793,6.217651425,6.165138905,6.195529912,6.43239695,6.376190312,6.390043094,6.299486198,6.335926714
ENSG00000006756,ARSD,5.077331626,5.109884423,5.238247773,5.128930379,5.010203451,5.121892691,5.225333473,5.204939527,5.100727004,5.002784463,4.987194784
ENSG00000006831,ADIPOR2,6.909120444,6.921651393,6.930630515,7.006322106,7.024688064,7.01586148,6.734651518,6.682025511,6.741479472,6.54011035,6.57916214
ENSG00000006837,CDKL3,2.204044294,2.4818086,1.973626703,2.219653649,1.975546927,2.154301603,2.006045768,1.867929665,1.912383641,1.804664881,1.997967955
ENSG00000007047,MARK4,4.230429109,4.171519156,4.279395296,4.050622184,3.891689764,4.218262626,4.202521677,4.039629081,3.855756526,3.805407887,3.658794499
ENSG00000007080,CCDC124,6.519716287,6.558240032,6.496043132,6.590764279,6.583378725,6.654622368,6.361934968,6.434179955,6.382913462,6.566359857,6.53731132
ENSG00000007168,PAFAH1B1,6.08361533,5.947973036,5.947121771,5.73330851,5.814666593,5.800117752,5.849819344,5.925267065,5.9639778,5.677758439,5.749124704
ENSG00000007202,KIAA0100,6.330493578,6.334215246,6.401887895,6.477173575,6.478034282,6.423209719,6.378661815,6.305939997,6.373138533,6.396796745,6.372113479
ENSG00000007255,TRAPPC6A,5.708029105,5.852021691,5.81036508,5.841112326,5.672265279,5.730894864,6.023516118,6.036178449,6.104528454,6.204577013,6.111685929
ENSG00000007264,MATK,3.428592459,3.400197859,3.46420755,4.131204314,4.30441481,4.208055778,2.820126381,2.992586959,2.965680592,3.282865582,3.442854078
